item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
울산광역시 - 소년범죄검거건수＜br＞(A),Statistics,2703.0,2569.0,2344.0,2414.0,2140.0,2010.0,2244.0,1873.0,1784.0,1509.0,1402.0,1432.0,1771.0,2004.0,1805.0
울산광역시 - 소년인구＜br＞(B),Statistics,159954.0,156835.0,151404.0,144537.0,137676.0,130196.0,122844.0,116055.0,111416.0,106905.0,102030.0,99704.0,99341.0,99590.0,99417.0
인천광역시 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,19.1,17.1,19.5,21.2,19.3,16.2,17.4,20.4,18.5,18.3,18.9,18.9,15.4,18.1,21.5
인천광역시 - 소년범죄검거건수＜br＞(A),Statistics,6782.0,5974.0,6605.0,6888.0,6034.0,4828.0,4959.0,5571.0,4903.0,4706.0,4680.0,4579.0,3734.0,4411.0,5266.0
인천광역시 - 소년인구＜br＞(B),Statistics,354700.0,349123.0,338430.0,324838.0,312544.0,298930.0,285242.0,273031.0,265666.0,257417.0,247614.0,242596.0,243140.0,244334.0,245058.0
전국 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,19.1,15.5,14.5,18.6,16.4,14.9,16.0,15.9,15.6,14.7,15.3,15.2,12.8,14.5,15.9
전국 - 소년범죄검거건수＜br＞(A),Statistics,118040.0,94845.0,86614.0,106982.0,90693.0,78774.0,80318.0,76354.0,72741.0,66255.0,66202.0,64573.0,54060.0,61112.0,66497.0
전국 - 소년인구＜br＞(B),Statistics,6174295.0,6124528.0,5955977.0,5737143.0,5516012.0,5280968.0,5031620.0,4809719.0,4664993.0,4511854.0,4320697.0,4234920.0,4215860.0,4211440.0,4179339.0
전라남도 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,18.7,14.8,13.2,16.5,13.3,12.4,13.3,14.3,13.6,12.3,14.3,16.7,15.5,17.6,17.7
전라남도 - 소년범죄검거건수＜br＞(A),Statistics,4284.0,3378.0,2929.0,3519.0,2721.0,2419.0,2451.0,2508.0,2284.0,1973.0,2167.0,2457.0,2265.0,2551.0,2535.0
전라남도 - 소년인구＜br＞(B),Statistics,229255.0,227614.0,221550.0,213489.0,204620.0,194729.0,184617.0,174915.0,168046.0,160503.0,151904.0,147276.0,145837.0,145012.0,143119.0
전북특별자치도 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,16.4,13.2,13.2,16.5,13.7,13.9,14.1,13.4,13.7,14.3,13.1,15.2,13.9,16.0,20.1
전북특별자치도 - 소년범죄검거건수＜br＞(A),Statistics,3845.0,3080.0,2998.0,3622.0,2904.0,2806.0,2696.0,2449.0,2400.0,2399.0,2080.0,2344.0,2108.0,2402.0,2968.0
전북특별자치도 - 소년인구＜br＞(B),Statistics,233890.0,232721.0,227644.0,219966.0,211421.0,201859.0,191833.0,182631.0,175321.0,167746.0,158820.0,154003.0,151703.0,150052.0,147504.0
제주특별자치도 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,19.9,19.6,14.9,14.8,16.0,14.3,16.2,13.4,15.2,12.6,13.0,16.9,12.6,14.7,17.9
제주특별자치도 - 소년범죄검거건수＜br＞(A),Statistics,1518.0,1503.0,1131.0,1098.0,1162.0,1010.0,1113.0,896.0,1012.0,828.0,821.0,1066.0,799.0,942.0,1148.0
제주특별자치도 - 소년인구＜br＞(B),Statistics,76177.0,76695.0,75848.0,74116.0,72491.0,70474.0,68644.0,67067.0,66634.0,65471.0,63359.0,62951.0,63592.0,64081.0,64049.0
충청남도 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,13.4,13.0,10.5,15.7,15.2,14.9,15.6,14.7,13.4,13.9,14.9,14.7,13.5,17.4,19.0
충청남도 - 소년범죄검거건수＜br＞(A),Statistics,3222.0,3135.0,2526.0,3696.0,3506.0,3383.0,3505.0,3260.0,2990.0,3087.0,2723.0,2640.0,2432.0,3174.0,3473.0
충청남도 - 소년인구＜br＞(B),Statistics,240589.0,241915.0,239566.0,235761.0,230237.0,226484.0,224276.0,221320.0,222428.0,222483.0,182663.0,179901.0,180816.0,182506.0,182391.0
충청북도 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,16.8,14.1,14.2,15.9,15.3,14.6,14.6,15.6,16.4,15.5,17.0,17.6,13.9,16.0,16.1
충청북도 - 소년범죄검거건수＜br＞(A),Statistics,3245.0,2716.0,2667.0,2887.0,2657.0,2433.0,2312.0,2341.0,2387.0,2171.0,2288.0,2328.0,1820.0,2099.0,2092.0
충청북도 - 소년인구＜br＞(B),Statistics,192974.0,192252.0,187995.0,181081.0,174154.0,166789.0,157883.0,150499.0,145367.0,140271.0,134552.0,131965.0,131168.0,130913.0,129813.0
