item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
경북 - 계 - -보통,Statistics,40.6,42.2,37.6,42.5,40.9,38.2,37.929,31.721,37.018
경북 - 계 - -약간 만족,Statistics,37.6,35.7,40.5,34.4,37.1,41.5,37.794,41.674,41.726
경북 - 계 - -약간 불만족,Statistics,3.1,3.9,2.9,3.0,3.8,1.5,2.624,2.75,2.244
경북 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경북 - 남자 - -매우 만족,Statistics,20.5,19.3,19.9,21.9,20.3,19.7,21.887,25.152,19.756
경북 - 남자 - -매우 불만족,Statistics,0.4,0.4,0.3,1.0,0.9,0.1,0.168,0.717,0.753
경북 - 남자 - -보통,Statistics,40.4,39.8,35.8,40.7,38.5,38.4,38.089,29.942,37.764
경북 - 남자 - -약간 만족,Statistics,36.1,36.5,41.4,33.7,37.0,40.1,36.957,41.743,39.993
경북 - 남자 - -약간 불만족,Statistics,2.7,4.0,2.6,2.7,3.4,1.7,2.899,2.447,1.734
경북 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경북 - 여자 - -매우 만족,Statistics,16.1,16.0,17.3,16.6,15.0,17.8,21.186,21.288,17.206
경북 - 여자 - -매우 불만족,Statistics,0.4,0.8,0.5,0.7,0.4,0.1,0.062,0.505,0.294
경북 - 여자 - -보통,Statistics,40.8,44.5,39.4,44.1,43.2,37.9,37.769,33.543,36.265
경북 - 여자 - -약간 만족,Statistics,39.2,35.0,39.6,35.2,37.2,42.9,38.639,41.604,43.475
경북 - 여자 - -약간 불만족,Statistics,3.5,3.8,3.2,3.4,4.1,1.3,2.345,3.06,2.759
경북 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 계 - -매우 만족,Statistics,15.6,18.2,20.6,17.4,25.3,19.4,22.673,25.242,23.193
광주 - 계 - -매우 불만족,Statistics,0.4,0.5,0.5,0.9,0.8,0.4,0.433,0.24,1.323
광주 - 계 - -보통,Statistics,44.3,41.5,42.3,40.3,34.9,38.8,36.003,34.034,34.41
광주 - 계 - -약간 만족,Statistics,36.0,34.6,33.0,38.5,36.6,39.1,38.433,38.228,37.888
광주 - 계 - -약간 불만족,Statistics,3.8,5.2,3.7,2.9,2.3,2.3,2.458,2.255,3.186
광주 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 남자 - -매우 만족,Statistics,17.2,18.9,22.2,19.5,26.0,21.4,26.637,30.464,24.234
