item,category,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052
경상북도 - 남자 - 추계인구,Statistics,1718929.0,1722312.0,1722641.0,1722228.0,1719667.0,1698428.0,1675218.0,1650074.0,1624140.0,1598242.0,1589593.0,1575827.0,1553044.0,1523026.0,1495212.0,1468621.0,1444753.0,1419507.0,1392356.0,1369957.0,1368373.0,1366339.0,1362931.0,1358458.0,1353289.0,1364456.0,1376002.0,1382655.0,1388690.0,1390813.0,1383054.0,1372748.0,1358050.0,1342017.0,1332967.0,1333832.0,1329299.0,1326520.0,1322133.0,1319210.0,1328334.0,1334532.0,1337940.0,1344773.0,1349606.0,1355427.0,1351843.0,1353879.0,1353578.0,1342556.0,1335572.0,1329198.0,1325997.0,1321874.0,1315823.0,1309921.0,1304469.0,1299399.0,1294556.0,1289797.0,1285061.0,1280274.0,1275303.0,1270057.0,1264513.0,1258687.0,1252527.0,1245934.0,1238932.0,1231508.0,1223685.0,1215479.0,1206935.0,1198063.0,1188826.0,1179182.0,1169113.0,1158629.0,1147738.0,1136445.0,1124792.0,1112804.0
경상북도 - 여자 - 추계인구,Statistics,1668907.0,1670957.0,1672284.0,1671353.0,1673027.0,1652441.0,1630592.0,1607016.0,1582785.0,1558568.0,1549399.0,1535567.0,1513498.0,1484908.0,1458746.0,1438252.0,1421873.0,1403267.0,1382111.0,1366076.0,1364102.0,1362035.0,1358620.0,1354188.0,1349176.0,1359644.0,1369316.0,1376390.0,1382053.0,1382527.0,1373912.0,1363762.0,1346540.0,1327488.0,1318735.0,1318857.0,1314179.0,1312716.0,1312034.0,1311233.0,1316658.0,1321223.0,1323001.0,1326149.0,1328162.0,1327912.0,1323285.0,1321317.0,1317530.0,1309233.0,1305159.0,1296309.0,1285411.0,1275355.0,1267553.0,1260136.0,1253250.0,1246707.0,1240366.0,1234154.0,1227980.0,1221773.0,1215524.0,1209170.0,1202677.0,1196081.0,1189416.0,1182694.0,1175818.0,1168735.0,1161460.0,1153964.0,1146203.0,1138151.0,1129694.0,1120707.0,1111162.0,1101040.0,1090290.0,1078934.0,1067068.0,1054664.0
광주광역시 - 계 - 추계인구,Statistics,672432.0,693417.0,713346.0,732636.0,751007.0,776209.0,801080.0,825601.0,849767.0,873909.0,913258.0,953574.0,991599.0,1023089.0,1052558.0,1062312.0,1068550.0,1078519.0,1099843.0,1124968.0,1154456.0,1184604.0,1214505.0,1244187.0,1273532.0,1292483.0,1317015.0,1340506.0,1361160.0,1382426.0,1401954.0,1421613.0,1431964.0,1444682.0,1445390.0,1448384.0,1456365.0,1465274.0,1479146.0,1493632.0,1502051.0,1503758.0,1503835.0,1504582.0,1505906.0,1502125.0,1495392.0,1488439.0,1489142.0,1479550.0,1476003.0,1469502.0,1463254.0,1455515.0,1446570.0,1437279.0,1428218.0,1419477.0,1411029.0,1402772.0,1394663.0,1386641.0,1378645.0,1370574.0,1362390.0,1354093.0,1345634.0,1336940.0,1327904.0,1318525.0,1308839.0,1298876.0,1288628.0,1278109.0,1267280.0,1256081.0,1244517.0,1232580.0,1220201.0,1207388.0,1194191.0,1180563.0
광주광역시 - 남자 - 추계인구,Statistics,345698.0,355991.0,365368.0,374445.0,382372.0,395686.0,408888.0,421898.0,434667.0,447412.0,466645.0,486315.0,504769.0,519839.0,533844.0,538012.0,540102.0,544197.0,553997.0,565805.0,579797.0,594201.0,608582.0,622906.0,637092.0,646084.0,658284.0,669731.0,680305.0,691174.0,700979.0,710702.0,716268.0,721981.0,722348.0,723652.0,727455.0,731070.0,737110.0,743895.0,748229.0,748890.0,748772.0,749276.0,750248.0,747452.0,744386.0,741160.0,741181.0,735215.0,732627.0,728987.0,726313.0,722352.0,717786.0,713035.0,708403.0,703914.0,699562.0,695308.0,691124.0,686992.0,682877.0,678739.0,674575.0,670388.0,666141.0,661796.0,657317.0,652680.0,647912.0,643012.0,637986.0,632845.0,627568.0,622121.0,616515.0,610755.0,604791.0,598600.0,592236.0,585681.0
광주광역시 - 여자 - 추계인구,Statistics,326734.0,337426.0,347978.0,358191.0,368635.0,380523.0,392192.0,403703.0,415100.0,426497.0,446613.0,467259.0,486830.0,503250.0,518714.0,524300.0,528448.0,534322.0,545846.0,559163.0,574659.0,590403.0,605923.0,621281.0,636440.0,646399.0,658731.0,670775.0,680855.0,691252.0,700975.0,710911.0,715696.0,722701.0,723042.0,724732.0,728910.0,734204.0,742036.0,749737.0,753822.0,754868.0,755063.0,755306.0,755658.0,754673.0,751006.0,747279.0,747961.0,744335.0,743376.0,740515.0,736941.0,733163.0,728784.0,724244.0,719815.0,715563.0,711467.0,707464.0,703539.0,699649.0,695768.0,691835.0,687815.0,683705.0,679493.0,675144.0,670587.0,665845.0,660927.0,655864.0,650642.0,645264.0,639712.0,633960.0,628002.0,621825.0,615410.0,608788.0,601955.0,594882.0
대구광역시 - 계 - 추계인구,Statistics,1344660.0,1395645.0,1445274.0,1494654.0,1543540.0,1611920.0,1680300.0,1749080.0,1818250.0,1888506.0,1940193.0,1995279.0,2046550.0,2091406.0,2129426.0,2162263.0,2195733.0,2229908.0,2266543.0,2293038.0,2332235.0,2370971.0,2407544.0,2442258.0,2475360.0,2488905.0,2495979.0,2502146.0,2511610.0,2528863.0,2535374.0,2530953.0,2531930.0,2533260.0,2509168.0,2490045.0,2483535.0,2480984.0,2481714.0,2479781.0,2483116.0,2480493.0,2475657.0,2474900.0,2468755.0,2461272.0,2457769.0,2448800.0,2436776.0,2414262.0,2395774.0,2371593.0,2359734.0,2353742.0,2334535.0,2315299.0,2296541.0,2278256.0,2260413.0,2242904.0,2225610.0,2208456.0,2191357.0,2174224.0,2156888.0,2139329.0,2121505.0,2103222.0,2084333.0,2064892.0,2044944.0,2024535.0,2003699.0,1982466.0,1960844.0,1938809.0,1916286.0,1893290.0,1869747.0,1845674.0,1821011.0,1795789.0
대구광역시 - 남자 - 추계인구,Statistics,674467.0,699718.0,723553.0,747312.0,769601.0,804532.0,839571.0,874805.0,910337.0,946716.0,971818.0,998496.0,1023291.0,1044853.0,1063136.0,1080668.0,1097913.0,1115752.0,1134837.0,1149109.0,1170687.0,1192103.0,1212555.0,1232177.0,1251093.0,1257498.0,1260661.0,1262153.0,1266680.0,1275668.0,1278630.0,1276142.0,1276725.0,1275882.0,1262644.0,1251746.0,1246651.0,1243091.0,1240959.0,1237614.0,1238666.0,1236441.0,1232859.0,1232587.0,1230092.0,1223929.0,1220800.0,1215439.0,1207640.0,1192479.0,1181660.0,1168336.0,1161280.0,1156829.0,1146074.0,1135429.0,1125131.0,1115183.0,1105540.0,1096142.0,1086934.0,1077873.0,1068909.0,1059999.0,1051041.0,1042033.0,1032952.0,1023678.0,1014126.0,1004348.0,994356.0,984161.0,973791.0,963278.0,952653.0,941896.0,930979.0,919917.0,908643.0,897157.0,885445.0,873529.0
대구광역시 - 여자 - 추계인구,Statistics,670193.0,695927.0,721721.0,747342.0,773939.0,807388.0,840729.0,874275.0,907913.0,941790.0,968375.0,996783.0,1023259.0,1046553.0,1066290.0,1081595.0,1097820.0,1114156.0,1131706.0,1143929.0,1161548.0,1178868.0,1194989.0,1210081.0,1224267.0,1231407.0,1235318.0,1239993.0,1244930.0,1253195.0,1256744.0,1254811.0,1255205.0,1257378.0,1246524.0,1238299.0,1236884.0,1237893.0,1240755.0,1242167.0,1244450.0,1244052.0,1242798.0,1242313.0,1238663.0,1237343.0,1236969.0,1233361.0,1229136.0,1221783.0,1214114.0,1203257.0,1198454.0,1196913.0,1188461.0,1179870.0,1171410.0,1163073.0,1154873.0,1146762.0,1138676.0,1130583.0,1122448.0,1114225.0,1105847.0,1097296.0,1088553.0,1079544.0,1070207.0,1060544.0,1050588.0,1040374.0,1029908.0,1019188.0,1008191.0,996913.0,985307.0,973373.0,961104.0,948517.0,935566.0,922260.0
대전광역시 - 계 - 추계인구,Statistics,569050.0,590072.0,610596.0,630981.0,650941.0,683582.0,716734.0,750442.0,784747.0,820076.0,842954.0,863535.0,887444.0,918722.0,951943.0,964457.0,973775.0,984042.0,1003113.0,1035986.0,1083721.0,1133067.0,1183308.0,1234568.0,1286844.0,1315028.0,1338886.0,1358370.0,1377545.0,1396869.0,1417579.0,1433562.0,1453216.0,1460948.0,1469868.0,1481261.0,1493931.0,1501152.0,1508164.0,1515009.0,1528356.0,1540136.0,1545232.0,1552692.0,1542394.0,1536169.0,1527784.0,1513217.0,1503212.0,1491876.0,1482094.0,1472473.0,1473897.0,1473033.0,1465021.0,1456694.0,1448679.0,1441075.0,1433967.0,1427350.0,1421177.0,1415360.0,1409801.0,1404400.0,1399051.0,1393669.0,1388174.0,1382356.0,1376080.0,1369261.0,1361883.0,1353998.0,1345622.0,1336799.0,1327496.0,1317657.0,1307365.0,1296630.0,1285443.0,1273854.0,1261934.0,1249657.0
대전광역시 - 남자 - 추계인구,Statistics,290064.0,300524.0,310444.0,320348.0,329559.0,346513.0,363789.0,381371.0,399314.0,417863.0,428622.0,438186.0,449408.0,464304.0,480166.0,486947.0,491902.0,497476.0,507545.0,524795.0,549046.0,574129.0,599714.0,625851.0,652533.0,666733.0,678960.0,688009.0,697467.0,707268.0,717052.0,724650.0,734101.0,737335.0,741066.0,747032.0,753095.0,756237.0,759350.0,762913.0,769470.0,774514.0,776298.0,779597.0,774512.0,771514.0,766620.0,759207.0,753904.0,746190.0,741608.0,736306.0,737472.0,736669.0,732508.0,728172.0,723964.0,719891.0,716019.0,712384.0,708969.0,705752.0,702684.0,699724.0,696803.0,693893.0,690939.0,687835.0,684534.0,680965.0,677116.0,673022.0,668692.0,664159.0,659412.0,654413.0,649200.0,643789.0,638173.0,632363.0,626411.0,620321.0
