item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
고양시 - 당해년가격,Statistics,14523406.0,15106830.0,16351362.0,16040511.0,17085215.0,18551297.0,20124858.0,21542187.0,21702354.0,21759387.0,22616950.0
고창군 - 2015년 기준년가격,Statistics,1385421.0,1342102.0,1331871.0,1372386.0,1328184.0,1368560.0,1425210.0,1671223.0,1630467.0,1465772.0,1510421.0
고창군 - 당해년가격,Statistics,1332373.0,1355017.0,1324620.0,1349420.0,1328184.0,1409978.0,1481276.0,1752668.0,1697443.0,1583028.0,1670372.0
고흥군 - 2015년 기준년가격,Statistics,1099042.0,1147458.0,1276722.0,1236406.0,1258868.0,1273866.0,1321661.0,1275847.0,1443629.0,1496429.0,1538179.0
고흥군 - 당해년가격,Statistics,1014617.0,1077091.0,1207532.0,1157611.0,1258868.0,1283774.0,1368125.0,1355894.0,1470217.0,1604617.0,1644323.0
곡성군 - 2015년 기준년가격,Statistics,983275.0,998608.0,983815.0,1013907.0,963998.0,972822.0,936246.0,930916.0,937604.0,983131.0,1086656.0
곡성군 - 당해년가격,Statistics,912788.0,956733.0,941644.0,983864.0,963998.0,984646.0,935487.0,954984.0,998105.0,1071222.0,1154432.0
공주시 - 2015년 기준년가격,Statistics,3628370.0,3149506.0,3139356.0,3071730.0,3197369.0,3359111.0,3398698.0,3367918.0,3429687.0,3377259.0,3534805.0
공주시 - 당해년가격,Statistics,3274571.0,2919157.0,2959596.0,2953498.0,3197369.0,3479922.0,3613380.0,3628228.0,3712791.0,3762849.0,4080692.0
과천시 - 2015년 기준년가격,Statistics,5950052.0,5624241.0,3737292.0,4476208.0,4378579.0,4623968.0,4474210.0,4470090.0,4420767.0,3946652.0,4142434.0
과천시 - 당해년가격,Statistics,5332866.0,5209663.0,3530507.0,4322324.0,4378579.0,4733242.0,4701605.0,4783175.0,4780609.0,4338028.0,4650517.0
관악구 - 2015년 기준년가격,Statistics,5545042.0,5537617.0,5615912.0,5679347.0,5597548.0,5506898.0,5553958.0,5578726.0,5649476.0,5747725.0,5912079.0
관악구 - 당해년가격,Statistics,5036256.0,5157841.0,5304105.0,5504127.0,5597548.0,5623923.0,5755018.0,5836563.0,5963769.0,6138754.0,6347562.0
광명시 - 2015년 기준년가격,Statistics,6826992.0,7658405.0,7288567.0,6586232.0,7011796.0,7284209.0,7466428.0,8208629.0,7822633.0,7831458.0,8151513.0
광명시 - 당해년가격,Statistics,5774393.0,6857359.0,6713764.0,6433216.0,7011796.0,7366541.0,7569890.0,8116318.0,7756108.0,7961842.0,8074460.0
광산구 - 2015년 기준년가격,Statistics,10440718.0,10616921.0,11197504.0,11472815.0,11649626.0,11700932.0,12097138.0,12528389.0,12996830.0,13192664.0,14284738.0
광산구 - 당해년가격,Statistics,9619618.0,9963198.0,10647983.0,11045957.0,11649626.0,12017691.0,12433700.0,12897093.0,13519198.0,14002138.0,15061973.0
광양시 - 2015년 기준년가격,Statistics,9060054.0,9139251.0,8873896.0,9554180.0,9431290.0,9174985.0,9583184.0,9770940.0,10146399.0,9792840.0,11128012.0
광양시 - 당해년가격,Statistics,8821828.0,8879531.0,8753661.0,9401555.0,9431290.0,9112426.0,9440656.0,9688279.0,10060287.0,9979935.0,13834369.0
광주광역시 - 2015년 기준년가격,Statistics,31011787.0,31650181.0,32859385.0,34169569.0,34845589.0,35933462.0,36384616.0,38216077.0,39624032.0,39530642.0,41257137.0
광주광역시 - 당해년가격,Statistics,28678421.0,29773635.0,31263021.0,33016736.0,34845589.0,36819006.0,37743917.0,39805406.0,41519553.0,42068384.0,43742580.0
광주시 - 2015년 기준년가격,Statistics,6896205.0,6782468.0,7933925.0,7635065.0,7841731.0,8728995.0,9046906.0,9191959.0,9191292.0,9332624.0,9890097.0
광주시 - 당해년가격,Statistics,6386977.0,6378479.0,7550362.0,7389299.0,7841731.0,8962932.0,9395522.0,9658391.0,9766402.0,10082476.0,10821756.0
광진구 - 2015년 기준년가격,Statistics,5881569.0,5876051.0,5880643.0,5729947.0,5696485.0,5954740.0,5899749.0,6018697.0,6187957.0,5983567.0,6005449.0
광진구 - 당해년가격,Statistics,5376706.0,5491363.0,5577272.0,5539718.0,5696485.0,6097219.0,6131450.0,6342279.0,6587069.0,6451227.0,6554954.0
괴산군 - 2015년 기준년가격,Statistics,1155364.0,1081575.0,1006616.0,1038169.0,1138380.0,1208671.0,1306850.0,1242290.0,1320575.0,1349003.0,1346904.0
괴산군 - 당해년가격,Statistics,1067243.0,1025900.0,955901.0,1005562.0,1138380.0,1243145.0,1359258.0,1312967.0,1377991.0,1498780.0,1518123.0
구례군 - 2015년 기준년가격,Statistics,424885.0,450364.0,526611.0,493453.0,554602.0,544980.0,528007.0,525150.0,552122.0,566193.0,573887.0
구례군 - 당해년가격,Statistics,399740.0,433749.0,509404.0,483679.0,554602.0,559850.0,544652.0,553644.0,575442.0,595953.0,616413.0
구로구 - 2015년 기준년가격,Statistics,11905786.0,12161584.0,12109115.0,11907133.0,12017187.0,12203198.0,12696656.0,13061147.0,13302390.0,12899608.0,13158416.0
구로구 - 당해년가격,Statistics,11041540.0,11459277.0,11551459.0,11490653.0,12017187.0,12472027.0,13254659.0,13816661.0,14090156.0,13924846.0,14663398.0
구리시 - 2015년 기준년가격,Statistics,2612222.0,2797755.0,2902716.0,3120377.0,3029305.0,3187108.0,3353586.0,3526272.0,3384157.0,3208482.0,3294987.0
구리시 - 당해년가격,Statistics,2461047.0,2665207.0,2772856.0,3033415.0,3029305.0,3256155.0,3491071.0,3722338.0,3598393.0,3452293.0,3611223.0
