item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
경북 - 계 - 매우 안전,Statistics,0.3,0.4,0.8,1.3,1.0,0.6,1.912,3.018,2.67
경북 - 계 - 매우 안전하지 않음,Statistics,5.1,4.6,4.8,5.6,5.8,4.2,2.922,4.19,3.358
경북 - 계 - 보통,Statistics,39.3,45.6,46.7,44.9,46.7,48.2,46.39,41.496,47.96
경북 - 계 - 비교적 안전,Statistics,4.8,8.1,13.8,13.8,11.3,17.0,23.755,29.436,24.852
경북 - 계 - 비교적 안전하지 않음,Statistics,50.5,41.3,33.9,34.3,35.3,29.9,25.021,21.86,21.16
경북 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경북 - 남자 - 매우 안전,Statistics,0.4,0.4,0.7,1.6,1.2,0.8,2.483,4.155,2.883
경북 - 남자 - 매우 안전하지 않음,Statistics,4.6,4.1,3.5,3.7,5.2,4.2,2.804,4.3,3.372
경북 - 남자 - 보통,Statistics,38.8,46.7,48.8,46.9,46.4,47.9,46.498,41.029,47.839
경북 - 남자 - 비교적 안전,Statistics,6.1,10.3,15.4,16.9,13.2,20.3,25.561,29.612,27.68
경북 - 남자 - 비교적 안전하지 않음,Statistics,50.2,38.4,31.6,30.9,34.0,26.9,22.653,20.903,18.227
경북 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경북 - 여자 - 매우 안전,Statistics,0.2,0.4,0.9,0.9,0.7,0.4,1.335,1.851,2.454
경북 - 여자 - 매우 안전하지 않음,Statistics,5.6,5.0,6.0,7.5,6.4,4.3,3.041,4.076,3.344
경북 - 여자 - 보통,Statistics,39.8,44.5,44.7,43.1,46.9,48.6,46.281,41.975,48.083
경북 - 여자 - 비교적 안전,Statistics,3.6,6.0,12.2,10.9,9.4,13.8,21.931,29.255,21.991
경북 - 여자 - 비교적 안전하지 않음,Statistics,50.8,44.1,36.2,37.6,36.6,33.0,27.413,22.842,24.128
광주 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
