item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
대전 - 계 - 아들(장남 포함) 또는 며느리,Statistics,11.9,12.2,8.2,9.0,9.5,4.7,,,
대전 - 계 - 장남 또는 맏며느리,Statistics,11.1,10.0,12.3,8.5,9.7,6.8,,,
대전 - 계 - 정부 및 사회단체,Statistics,,,,,,,4.447,5.892,4.883
부산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 계 - 기타,Statistics,1.4,0.7,0.3,0.5,,0.2,,,
부산 - 계 - 딸 또는 사위,Statistics,1.6,3.1,2.7,2.9,3.3,2.5,,,
부산 - 계 - 모든 자녀(아들과 딸),Statistics,28.3,26.9,25.8,31.6,26.4,29.1,,,
부산 - 계 - 부모님 스스로 해결,Statistics,39.3,43.2,44.2,43.6,50.2,51.3,63.282,65.62,62.761
부산 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,32.718,30.256,32.782
부산 - 계 - 아들(장남 포함) 또는 며느리,Statistics,12.5,13.8,11.8,7.9,7.8,6.5,,,
부산 - 계 - 장남 또는 맏며느리,Statistics,17.0,12.4,15.2,13.4,12.5,10.3,,,
부산 - 계 - 정부 및 사회단체,Statistics,,,,,,,4.001,4.125,4.458
서울 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 계 - 기타,Statistics,0.1,0.4,0.4,,,,0.135,0.091,
서울 - 계 - 딸 또는 사위,Statistics,1.7,1.6,2.5,2.9,3.0,2.4,,,
서울 - 계 - 모든 자녀(아들과 딸),Statistics,28.5,24.3,25.5,22.4,22.6,23.5,,,
서울 - 계 - 부모님 스스로 해결,Statistics,48.7,52.7,52.6,58.2,58.4,61.3,72.94,74.033,76.443
서울 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,23.973,23.195,21.252
서울 - 계 - 아들(장남 포함) 또는 며느리,Statistics,8.3,9.7,10.2,8.3,8.3,6.5,,,
서울 - 계 - 장남 또는 맏며느리,Statistics,12.8,11.3,8.9,8.1,7.7,6.2,,,
서울 - 계 - 정부 및 사회단체,Statistics,,,,,,,2.952,2.681,2.305
세종 - 계 - 계,Statistics,,,,,100.0,100.0,100.0,100.0,100.0
세종 - 계 - 기타,Statistics,,,,,,,,0.335,
세종 - 계 - 딸 또는 사위,Statistics,,,,,2.0,2.4,,,
세종 - 계 - 모든 자녀(아들과 딸),Statistics,,,,,30.6,21.9,,,
세종 - 계 - 부모님 스스로 해결,Statistics,,,,,52.9,62.4,76.855,78.287,80.855
세종 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,19.364,17.545,14.889
세종 - 계 - 아들(장남 포함) 또는 며느리,Statistics,,,,,7.0,6.0,,,
세종 - 계 - 장남 또는 맏며느리,Statistics,,,,,7.4,7.2,,,
세종 - 계 - 정부 및 사회단체,Statistics,,,,,,,3.78,3.833,4.256
울산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 계 - 기타,Statistics,0.2,,0.4,0.2,0.6,,,,
울산 - 계 - 딸 또는 사위,Statistics,1.7,2.2,1.1,0.6,2.8,2.8,,,
울산 - 계 - 모든 자녀(아들과 딸),Statistics,27.4,24.5,34.3,24.3,32.3,28.4,,,
울산 - 계 - 부모님 스스로 해결,Statistics,42.9,46.6,44.6,53.3,46.6,52.5,67.906,72.115,75.243
울산 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,28.118,24.059,21.354
울산 - 계 - 아들(장남 포함) 또는 며느리,Statistics,10.2,15.5,7.4,9.4,10.3,8.9,,,
울산 - 계 - 장남 또는 맏며느리,Statistics,17.6,11.2,12.2,12.1,7.4,7.4,,,
울산 - 계 - 정부 및 사회단체,Statistics,,,,,,,3.976,3.826,3.402
인천 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 계 - 기타,Statistics,1.0,0.6,0.3,0.5,0.7,,,,0.105
인천 - 계 - 딸 또는 사위,Statistics,2.7,1.5,2.7,3.4,2.2,3.8,,,
인천 - 계 - 모든 자녀(아들과 딸),Statistics,24.1,27.6,31.0,29.8,29.1,29.1,,,
인천 - 계 - 부모님 스스로 해결,Statistics,43.5,45.4,44.7,46.9,49.6,50.0,65.052,70.997,70.36
인천 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,29.41,24.624,23.525
인천 - 계 - 아들(장남 포함) 또는 며느리,Statistics,13.0,11.4,8.7,7.7,9.9,9.5,,,
인천 - 계 - 장남 또는 맏며느리,Statistics,15.7,13.5,12.6,11.8,8.6,7.5,,,
