item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
경주시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,659.0,664.0,692.0
경주시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,24266.0,25188.0,26067.0
계룡시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,6.1,5.9,5.3
계룡시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,139.0,138.0,130.0
계룡시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,2271.0,2329.0,2438.0
계양구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.5,4.4,4.4
계양구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,820.0,810.0,817.0
계양구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,18109.0,18521.0,18712.0
고령군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,2.9,2.8,2.6
고령군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,114.0,114.0,108.0
고령군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,3939.0,4025.0,4137.0
고성군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,2.7,2.5,2.3
고성군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,77.0,75.0,72.0
고성군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,2878.0,2971.0,3070.0
고양시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.9,3.9,3.8
고양시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,2629.0,2667.0,2675.0
고양시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,66621.0,69255.0,69687.0
고창군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.9,3.9,3.9
고창군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,208.0,207.0,214.0
고창군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,5290.0,5367.0,5502.0
고흥군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.0,4.0,3.9
고흥군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,207.0,208.0,206.0
고흥군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,5144.0,5233.0,5309.0
