item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
관악구 - 조혼인율 (천명당),Statistics,9.1,8.6,8.9,8.9,8.4,8.7,9.1,8.4,8.1,8.3,8.4,8.6,8.2,7.8,7.7,7.1,6.4,6.2,5.7,5.2,4.4,4.1,4.1,5.0
광명시 - 조혼인율 (천명당),Statistics,7.8,7.7,7.2,7.1,7.0,6.7,7.2,7.2,6.5,8.7,8.3,7.7,7.0,6.3,6.1,5.6,5.2,5.1,4.7,4.0,3.8,3.9,3.8,4.5
광산구 - 조혼인율 (천명당),Statistics,7.5,7.2,6.7,7.0,6.6,7.3,7.1,6.7,6.3,7.2,7.0,6.6,6.5,6.0,5.9,5.5,5.2,4.8,4.8,4.2,3.7,3.6,3.9,4.1
광양시 - 조혼인율 (천명당),Statistics,6.4,5.6,5.1,5.5,6.2,6.5,6.6,6.2,6.3,6.7,7.5,7.0,6.9,6.2,5.8,5.3,5.1,4.8,4.2,3.9,3.9,4.2,4.5,5.8
광주광역시 - 조혼인율 (천명당),Statistics,6.4,5.9,5.6,5.7,5.6,6.0,6.3,6.0,5.7,6.0,6.2,5.9,6.0,5.6,5.4,5.1,4.9,4.6,4.3,3.8,3.4,3.4,3.6,4.0
광주시 - 조혼인율 (천명당),Statistics,7.0,7.0,6.8,6.7,7.0,7.1,7.4,7.1,6.3,6.7,7.4,7.4,7.2,7.0,7.2,6.8,6.5,6.3,5.3,4.6,4.3,3.9,3.9,4.5
광진구 - 조혼인율 (천명당),Statistics,8.2,8.3,7.8,7.4,7.4,8.2,8.1,7.2,7.1,7.2,7.5,7.6,7.4,7.2,7.2,6.5,5.9,6.2,5.4,4.8,4.1,3.9,4.1,4.6
괴산군 - 조혼인율 (천명당),Statistics,5.3,4.8,4.8,4.4,5.0,5.1,5.2,4.7,4.6,4.6,4.2,4.8,3.4,3.8,4.4,4.0,3.9,3.4,3.0,3.2,2.0,2.3,2.3,2.8
구례군 - 조혼인율 (천명당),Statistics,4.4,4.8,4.5,4.2,4.2,4.9,5.4,4.5,4.9,5.2,4.4,4.1,3.9,4.0,3.4,4.0,2.9,2.9,2.7,2.0,2.0,2.0,2.0,2.3
구로구 - 조혼인율 (천명당),Statistics,8.0,7.7,7.6,8.2,8.3,8.9,9.4,8.7,7.8,8.3,8.2,8.5,8.0,7.5,7.3,6.4,6.0,5.7,5.1,5.1,4.2,4.0,4.2,4.9
구리시 - 조혼인율 (천명당),Statistics,6.3,6.5,6.3,6.1,6.0,6.7,6.8,6.6,6.2,6.5,6.1,6.0,5.6,5.1,5.0,4.6,4.9,4.6,4.0,3.7,3.5,3.7,3.5,3.7
구미시 - 조혼인율 (천명당),Statistics,7.6,7.4,7.0,6.8,7.0,8.0,8.3,7.5,7.1,7.6,8.1,7.6,7.8,6.7,6.7,6.3,5.9,5.5,5.1,4.3,3.6,3.7,3.7,4.2
군산시 - 조혼인율 (천명당),Statistics,5.2,5.7,5.7,5.4,5.5,6.1,6.4,6.4,6.2,6.9,6.8,7.0,6.2,5.7,5.8,5.2,4.8,4.2,4.0,3.8,3.1,3.1,3.2,3.7
군위군 - 조혼인율 (천명당),Statistics,4.0,3.4,3.0,4.5,5.0,5.2,4.7,3.7,3.5,4.6,4.1,3.6,2.8,3.2,4.1,2.5,3.2,2.8,2.7,2.1,1.5,1.4,1.6,1.8
군포시 - 조혼인율 (천명당),Statistics,7.6,7.7,7.8,7.2,7.4,7.8,7.5,7.2,6.7,7.8,7.7,6.9,6.8,6.8,6.9,6.2,5.8,5.2,4.7,4.3,4.1,4.0,3.9,4.4
권선구 - 조혼인율 (천명당),Statistics,7.8,7.1,6.7,6.6,6.8,7.7,8.0,7.5,7.2,7.3,7.6,8.0,7.2,7.0,7.2,7.0,6.4,6.2,5.3,4.9,4.6,4.6,4.6,5.2
금산군 - 조혼인율 (천명당),Statistics,5.1,5.1,4.8,5.2,6.0,5.3,5.9,6.3,5.1,5.9,4.9,4.6,4.3,4.1,4.2,3.6,2.8,3.1,3.3,2.1,2.1,2.7,2.5,2.4
금정구 - 조혼인율 (천명당),Statistics,5.1,5.0,5.1,5.0,4.7,5.1,5.2,5.0,4.4,4.7,4.8,5.0,5.3,4.7,4.8,4.1,4.0,3.9,3.4,2.8,2.9,2.6,2.7,2.9
금천구 - 조혼인율 (천명당),Statistics,7.1,7.0,6.9,7.0,6.7,7.1,7.2,6.7,6.3,7.0,6.9,7.1,6.7,6.6,6.3,5.7,6.2,5.5,5.4,5.6,4.6,5.0,4.6,5.2
기장군 - 조혼인율 (천명당),Statistics,5.6,6.2,5.6,5.5,5.6,5.4,6.3,6.0,7.1,7.8,6.5,7.2,7.9,7.6,7.1,6.3,5.2,4.8,4.6,4.4,3.7,3.9,3.3,3.6
기흥구 - 조혼인율 (천명당),Statistics,,,,,7.5,7.6,7.6,6.8,6.2,6.7,6.6,6.2,6.2,5.9,5.6,4.8,4.4,4.2,4.3,3.8,3.2,3.2,3.4,4.2
김제시 - 조혼인율 (천명당),Statistics,5.6,5.2,4.6,5.1,4.9,5.5,5.6,5.0,4.6,5.1,4.5,4.4,4.2,4.1,3.8,3.5,3.6,3.1,2.9,3.5,2.6,2.8,3.4,4.0
김천시 - 조혼인율 (천명당),Statistics,5.4,4.9,4.9,4.9,5.0,5.9,6.0,5.4,4.4,4.8,5.1,5.0,4.8,4.2,4.8,4.9,4.5,4.2,4.0,3.4,3.1,2.9,2.9,3.1
김포시 - 조혼인율 (천명당),Statistics,6.9,5.9,5.8,5.9,5.7,5.8,5.9,5.7,5.5,6.1,6.0,6.6,6.3,6.3,5.6,4.9,5.1,5.1,4.5,4.5,3.9,3.7,3.8,4.1
김해시 - 조혼인율 (천명당),Statistics,6.3,6.6,6.7,6.6,6.3,6.8,7.0,6.6,6.2,6.5,6.1,6.0,6.5,6.0,5.5,5.2,4.9,4.7,4.5,4.1,3.4,3.4,3.4,3.8
나주시 - 조혼인율 (천명당),Statistics,5.2,4.9,5.4,4.5,4.4,5.1,5.6,5.3,5.1,4.9,4.6,5.2,4.8,4.7,6.1,5.9,5.9,5.3,5.1,4.3,4.4,3.8,4.2,4.6
남구 - 조혼인율 (천명당),Statistics,6.0,5.5,5.4,5.5,5.3,5.7,6.0,6.0,5.2,5.4,5.3,5.3,5.3,5.1,4.7,4.1,3.7,3.9,3.8,2.8,2.7,2.6,2.8,3.2
