item,category,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
공주시 - 도시지역면적,Statistics,53315434.0,53315434.0,53315434.0,58466513.0,58466513.0,58466513.0,59145838.0,59401803.0,60114957.0,60114957.0,60114957.0,60114957.0,60114957.0,60114954.0,60114957.0,60114957.0,60114957.0,60114957.0
과천시 - 도시지역면적,Statistics,35813000.0,35813000.0,35813000.0,35813000.0,35813000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0
관악구 - 도시지역면적,Statistics,29570000.0,29570000.0,29570000.0,29570000.0,29570000.0,29570000.0,29570000.0,29570000.0,29570000.0,29570000.0,29570000.0,29563482.0,29563482.0,29563482.0,29563482.0,29563482.0,29563482.0,29563482.0
광명시 - 도시지역면적,Statistics,38649000.0,38649000.0,38506473.0,38506473.0,38506473.0,38506550.0,38506550.0,38506569.0,38506473.0,38506473.0,38506473.0,38506472.0,38506472.0,38506473.0,38506473.0,38506473.0,38506473.0,38506473.0
광산구 - 도시지역면적,Statistics,200042741.0,200036716.0,,201933331.0,201929181.0,201906112.0,201906112.0,201906113.0,201906113.0,201906113.0,203272589.0,201815081.0,201906112.0,201793538.0,201863790.0,201798359.0,201726606.0,201705958.0
광양시 - 도시지역면적,Statistics,175354080.0,175354080.0,180336235.0,181138398.0,181138398.0,176885410.0,176885410.0,176885410.0,176885410.0,176887820.0,176886009.0,176886009.0,176886009.0,176886009.0,176886009.0,176886009.0,176886009.0,176886009.0
광주광역시 - 도시지역면적,Statistics,478323669.0,478294158.0,478210854.0,480117230.0,480108790.0,480053716.0,480053747.0,480050517.0,480050517.0,480050517.0,481554450.0,480047663.0,480053767.0,480002734.0,480081726.0,479978979.0,479890096.0,479838049.0
광주시 - 도시지역면적,Statistics,172256000.0,172256000.0,172256000.0,172256000.0,172256000.0,172256000.0,172256000.0,172256000.0,172256000.0,172256000.0,172260533.0,172260533.0,172260533.0,172259487.0,172263425.0,172263424.0,172263424.0,151889586.0
광진구 - 도시지역면적,Statistics,17050000.0,17050000.0,17050000.0,17050000.0,17050000.0,17050000.0,17050000.0,17050000.0,17050000.0,17050000.0,17050000.0,17075115.0,17075115.0,17075115.0,17075115.0,17075115.0,17075115.0,17075115.0
괴산군 - 도시지역면적,Statistics,10552000.0,10552000.0,10552000.0,12445211.0,12445211.0,13073708.0,12634616.0,12634616.0,12157709.0,12228633.0,12228633.0,12411518.0,12417874.0,12417874.0,12429805.0,12430138.0,12430138.0,12434501.0
