item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
계양구 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,18109.0,18521.0,18712.0
계양구 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,55.9,59.2,61.7
계양구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,323784.0,312680.0,303471.0
고령군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,3939.0,4025.0,4137.0
고령군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,116.6,122.1,127.8
고령군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,33768.0,32969.0,32373.0
고성군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,2878.0,2971.0,3070.0
고성군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,95.8,105.6,112.6
고성군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,30029.0,28144.0,27260.0
고양시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,66621.0,69255.0,69687.0
고양시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,63.9,66.3,65.4
고양시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,1041983.0,1044189.0,1066351.0
고창군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,5290.0,5367.0,5502.0
고창군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,87.5,94.1,99.1
고창군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,60472.0,57041.0,55504.0
고흥군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,5144.0,5233.0,5309.0
고흥군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,77.1,79.6,81.8
고흥군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,66736.0,65777.0,64913.0
곡성군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,2038.0,2104.0,2202.0
곡성군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,67.6,71.0,76.2
곡성군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,30131.0,29624.0,28887.0
공주시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,8983.0,9215.0,9459.0
공주시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,82.8,85.7,88.8
공주시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,108432.0,107581.0,106474.0
과천시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,3628.0,3675.0,3697.0
과천시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,63.1,63.2,63.4
과천시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,57527.0,58142.0,58289.0
관악구 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,26374.0,26105.0,25505.0
관악구 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,52.4,52.0,51.0
관악구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,503297.0,501957.0,500094.0
광명시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,19114.0,18990.0,18577.0
광명시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,57.4,58.1,58.7
광명시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,332790.0,326841.0,316552.0
광산구 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,28579.0,29795.0,32061.0
광산구 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,70.7,73.7,79.1
광산구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,404131.0,404547.0,405315.0
광양시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,11925.0,12231.0,12712.0
광양시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,76.5,78.1,81.1
광양시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,155857.0,156564.0,156750.0
광주광역시 - 사업체수＜br＞(A),Statistics,97111.0,97511.0,99148.0,99976.0,102386.0,105931.0,108808.0,111285.0,113424.0,116046.0,118409.0,119617.0,123706.0
광주광역시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,68.7,68.5,69.2,68.7,70.0,72.1,73.9,75.4,77.0,79.0,80.9,82.0,84.9
광주광역시 - 주민등록인구＜br＞(B),Statistics,1413444.0,1422702.0,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0
광주시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,26597.0,27420.0,28195.0
광주시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,76.9,75.4,75.7
광주시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,345947.0,363782.0,372654.0
광진구 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,24688.0,24535.0,24445.0
광진구 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,69.0,69.0,69.6
광진구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,357703.0,355559.0,351350.0
괴산군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,2818.0,2901.0,3024.0
괴산군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,72.2,74.1,77.2
괴산군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,39054.0,39133.0,39163.0
구례군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,2251.0,2332.0,2381.0
구례군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,81.8,86.0,89.6
구례군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,27525.0,27117.0,26563.0
구로구 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,38405.0,38553.0,38756.0
구로구 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,93.5,95.3,95.3
구로구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,410742.0,404497.0,406664.0
