item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강북구 - 무농약농산물 - 건수,Statistics,1.0,,,,,,,,,0.0
강북구 - 무농약농산물 - 농가수,Statistics,1.0,,,,,,,,,0.0
강북구 - 무농약농산물 - 면적,Statistics,,,,,,,,,,0.0
강북구 - 무농약농산물 - 출하량,Statistics,,,,,,,,,,0.0
강북구 - 유기농산물 - 건수,Statistics,,,,,,,,,,0.0
강북구 - 유기농산물 - 농가수,Statistics,,,,,,,,,,0.0
강북구 - 유기농산물 - 면적,Statistics,,,,,,,,,,0.0
강북구 - 유기농산물 - 출하량,Statistics,,,,,,,,,,0.0
강서구 - 계 - 건수,Statistics,2.0,1.0,14.0,15.0,12.0,11.0,8.0,9.0,8.0,9.0
강서구 - 계 - 농가수,Statistics,2.0,1.0,14.0,15.0,12.0,11.0,8.0,9.0,8.0,9.0
강서구 - 계 - 면적,Statistics,44.0,14.0,6.6,13.9,15.88,13.26,12.61,11.62,9.93,7.29
강서구 - 계 - 출하량,Statistics,51.0,79.0,129.8,115.7,80.01,69.02,86.95,53.72,53.5,47.4
강서구 - 무농약농산물 - 건수,Statistics,2.0,1.0,14.0,14.0,11.0,11.0,8.0,9.0,8.0,9.0
강서구 - 무농약농산물 - 농가수,Statistics,2.0,1.0,14.0,14.0,11.0,11.0,8.0,9.0,8.0,9.0
강서구 - 무농약농산물 - 면적,Statistics,20.0,14.0,6.6,13.9,15.88,13.26,12.61,11.62,9.93,7.29
강서구 - 무농약농산물 - 출하량,Statistics,51.0,79.0,129.8,98.2,57.42,69.02,86.95,53.72,53.5,47.4
강서구 - 유기농산물 - 건수,Statistics,,,,1.0,1.0,,,,,0.0
강서구 - 유기농산물 - 농가수,Statistics,,,,1.0,1.0,,,,,0.0
강서구 - 유기농산물 - 면적,Statistics,,,,,,,,,,0.0
강서구 - 유기농산물 - 출하량,Statistics,,,,17.5,22.59,,,,,0.0
강서구 - 저농약농산물 - 건수,Statistics,5.0,,,,,,,,,
강서구 - 저농약농산물 - 농가수,Statistics,25.0,,,,,,,,,
강서구 - 저농약농산물 - 면적,Statistics,24.0,,,,,,,,,
강원특별자치도 - 계 - 건수,Statistics,1993.0,2081.0,2167.0,2062.0,2091.0,2207.0,2162.0,2071.0,1965.0,1922.0
강원특별자치도 - 계 - 농가수,Statistics,2974.0,2892.0,2630.0,2433.0,2389.0,2466.0,2378.0,2253.0,2146.0,2083.0
강원특별자치도 - 계 - 면적,Statistics,4331.0,4283.0,4061.2,3497.9,3669.59,3675.18,3651.7,3634.05,3579.4,3634.74
강원특별자치도 - 계 - 출하량,Statistics,49038.0,37938.0,23110.2,20467.3,21606.49,18007.9,19950.26,16513.41,16642.68,18930.72
강원특별자치도 - 무농약농산물 - 건수,Statistics,1462.0,1582.0,1609.0,1484.0,1456.0,1499.0,1450.0,1353.0,1280.0,1231.0
강원특별자치도 - 무농약농산물 - 농가수,Statistics,2127.0,2129.0,1957.0,1761.0,1663.0,1690.0,1602.0,1483.0,1410.0,1335.0
강원특별자치도 - 무농약농산물 - 면적,Statistics,2626.0,2630.0,2704.4,2207.7,2239.46,2151.22,2085.26,2035.25,1983.87,1999.89
강원특별자치도 - 무농약농산물 - 출하량,Statistics,35132.0,19779.0,15505.0,12734.6,13351.89,10903.63,11623.37,9201.31,9419.39,10922.15
강원특별자치도 - 유기농산물 - 건수,Statistics,471.0,499.0,558.0,578.0,635.0,708.0,712.0,718.0,685.0,691.0
강원특별자치도 - 유기농산물 - 농가수,Statistics,711.0,763.0,673.0,672.0,726.0,776.0,776.0,770.0,736.0,748.0
