item,category,2021,2022,2023
곡성군 - 전산업 사업체수(B),Statistics,3716.0,3721.0,3899.0
공주시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.7,2.8,2.7
공주시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,401.0,418.0,418.0
공주시 - 전산업 사업체수(B),Statistics,14691.0,14751.0,15401.0
과천시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.0,3.1,3.3
과천시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,181.0,194.0,219.0
과천시 - 전산업 사업체수(B),Statistics,6039.0,6218.0,6714.0
관악구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.3,3.5,3.3
관악구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,1257.0,1288.0,1249.0
관악구 - 전산업 사업체수(B),Statistics,37915.0,36814.0,37689.0
광명시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.3,3.5,3.3
광명시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,885.0,915.0,872.0
광명시 - 전산업 사업체수(B),Statistics,26653.0,26394.0,26604.0
광산구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.7,2.7,2.7
광산구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,1297.0,1342.0,1343.0
광산구 - 전산업 사업체수(B),Statistics,48342.0,49342.0,49603.0
광양시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.3,2.4,2.4
광양시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,438.0,467.0,471.0
광양시 - 전산업 사업체수(B),Statistics,18979.0,19504.0,19613.0
광주광역시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.1,3.2,3.2
광주광역시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,5316.0,5469.0,5496.0
광주광역시 - 전산업 사업체수(B),Statistics,170973.0,170894.0,173424.0
광주시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,1.9,1.9,1.9
광주시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,888.0,937.0,941.0
광주시 - 전산업 사업체수(B),Statistics,46834.0,48726.0,49927.0
광진구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.9,3.0,3.0
광진구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,981.0,998.0,987.0
광진구 - 전산업 사업체수(B),Statistics,33706.0,33325.0,33384.0
괴산군 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.8,3.0,2.8
괴산군 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,139.0,146.0,149.0
괴산군 - 전산업 사업체수(B),Statistics,4932.0,4934.0,5231.0
구례군 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.0,3.1,3.2
구례군 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,97.0,102.0,110.0
구례군 - 전산업 사업체수(B),Statistics,3233.0,3281.0,3462.0
구로구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.4,2.4,2.4
구로구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,1258.0,1277.0,1259.0
구로구 - 전산업 사업체수(B),Statistics,52791.0,52988.0,51955.0
구리시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.0,3.0,2.9
구리시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,647.0,647.0,638.0
구리시 - 전산업 사업체수(B),Statistics,21325.0,21435.0,22121.0
구미시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.6,2.6,2.5
구미시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,1224.0,1218.0,1180.0
구미시 - 전산업 사업체수(B),Statistics,46926.0,47547.0,47515.0
군산시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.8,2.9,2.8
군산시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,934.0,958.0,951.0
군산시 - 전산업 사업체수(B),Statistics,33592.0,32870.0,33811.0
군위군 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.3,2.3,2.3
군위군 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,75.0,80.0,79.0
군위군 - 전산업 사업체수(B),Statistics,3321.0,3438.0,3432.0
군포시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.0,2.9,2.8
군포시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,808.0,824.0,793.0
군포시 - 전산업 사업체수(B),Statistics,26843.0,28217.0,28071.0
금산군 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.5,2.6,2.5
금산군 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,234.0,246.0,242.0
