item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
세종 - 계 - 약간 불만족,Statistics,,,,,2.5,0.9,6.49,4.502,6.516
울산 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 계 - 매우 만족,Statistics,12.1,8.3,6.1,9.3,13.0,20.7,26.106,25.943,32.849
울산 - 계 - 매우 불만족,Statistics,0.6,1.1,1.5,0.5,1.2,,0.868,,
울산 - 계 - 보통,Statistics,45.7,43.7,55.8,48.5,47.8,38.0,38.968,39.806,35.515
울산 - 계 - 약간 만족,Statistics,33.4,37.3,29.6,38.4,34.2,38.3,31.008,25.162,25.307
울산 - 계 - 약간 불만족,Statistics,8.2,9.6,7.0,3.3,3.8,3.0,3.051,9.088,6.33
인천 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 계 - 매우 만족,Statistics,13.5,12.0,10.4,17.3,16.0,23.7,37.83,20.662,16.444
인천 - 계 - 매우 불만족,Statistics,0.9,,2.1,0.7,1.7,0.7,1.731,,1.379
인천 - 계 - 보통,Statistics,45.2,46.6,50.3,40.7,43.9,33.1,33.136,38.336,50.216
인천 - 계 - 약간 만족,Statistics,33.9,35.8,32.1,36.4,34.8,38.5,23.211,27.287,27.851
인천 - 계 - 약간 불만족,Statistics,6.5,5.6,5.1,5.0,3.6,3.9,4.091,13.715,4.111
전국 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 계 - 매우 만족,Statistics,11.9,9.0,10.5,13.2,13.5,17.6,25.16,22.422,22.18
전국 - 계 - 매우 불만족,Statistics,0.9,0.8,1.2,1.0,1.1,0.5,0.845,0.949,0.728
전국 - 계 - 보통,Statistics,43.1,46.6,45.8,43.8,41.8,37.3,36.152,43.493,36.862
전국 - 계 - 약간 만족,Statistics,39.2,37.5,36.2,36.6,38.7,40.4,34.115,28.639,35.074
전국 - 계 - 약간 불만족,Statistics,4.9,6.1,6.3,5.5,4.9,4.1,3.728,4.497,5.156
전국 - 남자 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 남자 - 매우 만족,Statistics,11.7,9.8,11.5,14.7,14.4,19.0,28.001,23.148,23.53
전국 - 남자 - 매우 불만족,Statistics,1.0,0.7,1.1,0.9,1.0,0.6,1.173,0.714,0.835
전국 - 남자 - 보통,Statistics,42.2,46.2,44.3,42.8,40.6,36.2,33.713,42.847,35.914
전국 - 남자 - 약간 만족,Statistics,40.5,38.2,37.4,36.9,39.2,40.2,33.59,29.246,36.099
전국 - 남자 - 약간 불만족,Statistics,4.6,5.1,5.8,4.7,4.7,4.1,3.523,4.044,3.621
전국 - 여자 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 여자 - 매우 만족,Statistics,12.0,8.2,9.4,11.5,12.6,16.1,22.137,21.653,20.762
전국 - 여자 - 매우 불만족,Statistics,0.9,0.8,1.4,1.1,1.1,0.5,0.496,1.198,0.615
전국 - 여자 - 보통,Statistics,44.2,47.1,47.4,44.9,43.0,38.6,38.748,44.177,37.858
전국 - 여자 - 약간 만족,Statistics,37.7,36.7,35.0,36.2,38.2,40.7,34.674,27.995,33.998
전국 - 여자 - 약간 불만족,Statistics,5.3,7.2,6.8,6.3,5.1,4.1,3.945,4.977,6.767
전남 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 계 - 매우 만족,Statistics,20.8,8.9,16.1,7.8,11.7,22.6,27.993,25.065,26.591
전남 - 계 - 매우 불만족,Statistics,0.3,0.3,0.4,2.1,,3.7,,3.201,
