item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
노원구 - 산업대＜br＞(D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
노원구 - 일반대＜br＞(A),Statistics,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
노원구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
논산시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
논산시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
논산시 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
달서구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
달서구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
달서구 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
달서구 - 전문대＜br＞(B),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
달성군 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
달성군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
달성군 - 일반대＜br＞(A),Statistics,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
담양군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
담양군 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
담양군 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
당진시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
당진시 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
당진시 - 전문대＜br＞(B),Statistics,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
대구광역시 - 교육대＜br＞(C),Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
대구광역시 - 대학교 수＜br＞(A+B+C+D),Statistics,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
대구광역시 - 산업대＜br＞(D),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
대구광역시 - 일반대＜br＞(A),Statistics,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0
대구광역시 - 전문대＜br＞(B),Statistics,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
대덕구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
대덕구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
대덕구 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
대전광역시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,11.0
대전광역시 - 대학교 수＜br＞(A+B+C+D),Statistics,15.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
대전광역시 - 산업대＜br＞(D),Statistics,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
대전광역시 - 일반대＜br＞(A),Statistics,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,4.0
대전광역시 - 전문대＜br＞(B),Statistics,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
도봉구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
도봉구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
도봉구 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
동구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
동구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
동구 - 산업대＜br＞(D),Statistics,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
동구 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
동구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
동대문구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,3.0
동대문구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
동대문구 - 일반대＜br＞(A),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
동대문구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
동두천시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
동두천시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
동두천시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
동작구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,3.0
동작구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
동작구 - 일반대＜br＞(A),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
동해시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
동해시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
마포구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
마포구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
마포구 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
목포시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
목포시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
목포시 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
목포시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
무안군 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
무안군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
무안군 - 산업대＜br＞(D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
무안군 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
문경시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
문경시 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
문경시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
미추홀구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
미추홀구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0
미추홀구 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
미추홀구 - 전문대＜br＞(B),Statistics,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,
보령시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
보령시 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
보령시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
부산광역시 - 교육대＜br＞(C),Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0
부산광역시 - 대학교 수＜br＞(A+B+C+D),Statistics,23.0,23.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,22.0
부산광역시 - 산업대＜br＞(D),Statistics,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0
부산광역시 - 일반대＜br＞(A),Statistics,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0
부산광역시 - 전문대＜br＞(B),Statistics,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,
부산진구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
부산진구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
부산진구 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
부산진구 - 전문대＜br＞(B),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
부여군 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
부여군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
부여군 - 일반대＜br＞(A),Statistics,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
부천시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
부천시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
부천시 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
부천시 - 전문대＜br＞(B),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
북구 - 교육대＜br＞(C),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
북구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
북구 - 산업대＜br＞(D),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
북구 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
북구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
사상구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
사상구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
사상구 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
사상구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
사하구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
사하구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
사하구 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
사하구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
상주시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,,,,,,,,,,,,,,,,,
상주시 - 산업대＜br＞(D),Statistics,,,1.0,1.0,,,,,,,,,,,,,,,,,
서구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
서구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
서구 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
서구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
서대문구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,4.0
서대문구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
서대문구 - 일반대＜br＞(A),Statistics,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
서대문구 - 전문대＜br＞(B),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
서산시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
서산시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
서산시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
서울특별시 - 교육대＜br＞(C),Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0
서울특별시 - 대학교 수＜br＞(A+B+C+D),Statistics,52.0,52.0,51.0,50.0,49.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
서울특별시 - 산업대＜br＞(D),Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0
서울특별시 - 일반대＜br＞(A),Statistics,38.0,38.0,38.0,38.0,37.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,9.0
서울특별시 - 전문대＜br＞(B),Statistics,12.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
서초구 - 교육대＜br＞(C),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
서초구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
서초구 - 산업대＜br＞(D),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
성남시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
성남시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
성남시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
성남시 - 전문대＜br＞(B),Statistics,,,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
성동구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
성동구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
성동구 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
성동구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
성북구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,6.0
성북구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
성북구 - 일반대＜br＞(A),Statistics,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
세종특별자치시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
세종특별자치시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
세종특별자치시 - 일반대＜br＞(A),Statistics,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
세종특별자치시 - 전문대＜br＞(B),Statistics,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
속초시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
속초시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
송파구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
송파구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
송파구 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
수성구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
수성구 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
수성구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
수원시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
수원시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
수원시 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
수원시 - 전문대＜br＞(B),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
순천시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
순천시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
순천시 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
순천시 - 전문대＜br＞(B),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
시흥시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
시흥시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
시흥시 - 산업대＜br＞(D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
시흥시 - 일반대＜br＞(A),Statistics,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
시흥시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
아산시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,3.0
아산시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
아산시 - 일반대＜br＞(A),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
안동시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
안동시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
안동시 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
