item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
경산시 - 일반대＜br＞(A),Statistics,,,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0
경산시 - 전문대＜br＞(B),Statistics,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,
경상남도 - 교육대＜br＞(C),Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
경상남도 - 대학교 수＜br＞(A+B+C+D),Statistics,19.0,20.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,18.0
경상남도 - 산업대＜br＞(D),Statistics,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0
경상남도 - 일반대＜br＞(A),Statistics,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0
경상남도 - 전문대＜br＞(B),Statistics,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
경상북도 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,18.0
경상북도 - 대학교 수＜br＞(A+B+C+D),Statistics,38.0,38.0,38.0,38.0,36.0,36.0,36.0,36.0,36.0,35.0,34.0,34.0,34.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0
경상북도 - 산업대＜br＞(D),Statistics,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
