경기 여주군 - 전체 일반가구＜br＞(B),Statistics,32451.0,35492.0,,,,,,,,,
경기도 - 65세이상 1인가구＜br＞(A),Statistics,96002.0,147434.0,195059.0,211633.0,227890.0,245480.0,268019.0,296821.0,330371.0,364360.0,406282.0
경기도 - 독거노인가구비율＜br＞(A÷B×100),Statistics,2.9,3.8,4.4,4.7,5.0,5.2,5.5,5.8,6.2,6.7,7.4
경기도 - 전체 일반가구＜br＞(B),Statistics,3329177.0,3831134.0,4384742.0,4484424.0,4602950.0,4751497.0,4907660.0,5098431.0,5290662.0,5406963.0,5500024.0
경남 마산시 - 65세이상 1인가구＜br＞(A),Statistics,6220.0,,,,,,,,,,
경남 마산시 - 독거노인가구비율＜br＞(A÷B×100),Statistics,4.3,,,,,,,,,,
경남 마산시 - 전체 일반가구＜br＞(B),Statistics,144246.0,,,,,,,,,,
경남 진해시 - 65세이상 1인가구＜br＞(A),Statistics,2364.0,,,,,,,,,,
경남 진해시 - 독거노인가구비율＜br＞(A÷B×100),Statistics,4.7,,,,,,,,,,
경남 진해시 - 전체 일반가구＜br＞(B),Statistics,49975.0,,,,,,,,,,
경남 창원시 - 65세이상 1인가구＜br＞(A),Statistics,3710.0,,,,,,,,,,
경남 창원시 - 독거노인가구비율＜br＞(A÷B×100),Statistics,2.3,,,,,,,,,,
경남 창원시 - 전체 일반가구＜br＞(B),Statistics,162888.0,,,,,,,,,,
경산시 - 65세이상 1인가구＜br＞(A),Statistics,4191.0,5881.0,6295.0,6718.0,7165.0,7625.0,8032.0,8767.0,9880.0,10691.0,12006.0
경산시 - 독거노인가구비율＜br＞(A÷B×100),Statistics,4.9,5.8,6.0,6.3,6.6,7.0,7.2,7.5,8.1,8.6,9.4
경산시 - 전체 일반가구＜br＞(B),Statistics,85485.0,100576.0,105571.0,106396.0,108602.0,109175.0,112324.0,116127.0,122309.0,124164.0,127547.0
경상남도 - 65세이상 1인가구＜br＞(A),Statistics,79702.0,99249.0,104241.0,108935.0,114010.0,118767.0,123835.0,132723.0,145671.0,156221.0,168365.0
경상남도 - 독거노인가구비율＜br＞(A÷B×100),Statistics,7.5,8.6,8.3,8.6,8.8,9.1,9.4,9.8,10.6,11.2,12.0
경상남도 - 전체 일반가구＜br＞(B),Statistics,1056007.0,1151172.0,1258487.0,1273523.0,1292998.0,1306394.0,1321213.0,1350155.0,1378982.0,1392608.0,1404476.0
경상북도 - 65세이상 1인가구＜br＞(A),Statistics,88068.0,108072.0,107177.0,111776.0,116968.0,121493.0,124876.0,132074.0,143877.0,152660.0,158914.0
