item,category,2014,2016,2018,2020,2022,2024
충북 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
충북 - 계 - 매우 불안함,Statistics,29.0,33.7,45.0,30.192,21.189,22.604
충북 - 계 - 별로 불안하지 않음,Statistics,5.3,4.0,4.0,6.092,9.454,10.187
충북 - 계 - 보통,Statistics,19.0,16.4,13.5,18.562,22.887,26.48
충북 - 계 - 약간 불안함,Statistics,46.2,45.5,36.5,44.015,43.943,39.524
충북 - 계 - 전혀 불안하지 않음,Statistics,0.6,0.4,1.0,1.138,2.527,1.204
충북 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
충북 - 남자 - 매우 불안함,Statistics,26.9,30.8,41.7,26.219,19.744,20.618
충북 - 남자 - 별로 불안하지 않음,Statistics,6.1,4.7,4.1,7.596,10.066,10.73
충북 - 남자 - 보통,Statistics,20.0,18.5,14.7,20.14,24.573,27.931
충북 - 남자 - 약간 불안함,Statistics,46.2,45.5,38.3,44.632,42.317,39.204
충북 - 남자 - 전혀 불안하지 않음,Statistics,0.7,0.5,1.2,1.414,3.3,1.517
충북 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
충북 - 여자 - 매우 불안함,Statistics,30.9,36.6,48.3,34.17,22.65,24.627
충북 - 여자 - 별로 불안하지 않음,Statistics,4.5,3.2,3.9,4.586,8.835,9.634
충북 - 여자 - 보통,Statistics,18.0,14.2,12.4,16.983,21.183,25.004
충북 - 여자 - 약간 불안함,Statistics,46.2,45.6,34.7,43.398,45.587,39.851
충북 - 여자 - 전혀 불안하지 않음,Statistics,0.5,0.4,0.8,0.863,1.745,0.885
