item,category,2014,2016,2018,2020,2022,2024
경북 - 여자 - 보통,Statistics,26.3,17.0,12.9,23.298,27.057,24.521
경북 - 여자 - 약간 불안함,Statistics,45.6,48.0,43.4,39.307,42.405,46.83
경북 - 여자 - 전혀 불안하지 않음,Statistics,0.6,0.3,0.6,2.388,1.937,1.17
광주 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 계 - 매우 불안함,Statistics,25.0,35.6,49.5,26.851,24.775,25.135
광주 - 계 - 별로 불안하지 않음,Statistics,2.6,3.2,2.5,9.545,6.087,9.416
광주 - 계 - 보통,Statistics,22.8,18.0,10.3,19.907,23.454,24.792
광주 - 계 - 약간 불안함,Statistics,49.3,42.9,37.1,42.434,43.077,39.319
광주 - 계 - 전혀 불안하지 않음,Statistics,0.3,0.4,0.5,1.263,2.606,1.337
광주 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 남자 - 매우 불안함,Statistics,23.1,33.1,45.6,22.739,23.804,23.238
광주 - 남자 - 별로 불안하지 않음,Statistics,3.1,3.6,3.7,10.64,6.317,9.117
광주 - 남자 - 보통,Statistics,24.6,19.3,11.6,23.128,23.773,25.235
광주 - 남자 - 약간 불안함,Statistics,48.7,43.4,38.8,42.042,42.977,41.327
광주 - 남자 - 전혀 불안하지 않음,Statistics,0.5,0.5,0.3,1.45,3.129,1.082
광주 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 여자 - 매우 불안함,Statistics,26.8,37.9,53.0,30.759,25.704,26.982
광주 - 여자 - 별로 불안하지 않음,Statistics,2.1,2.9,1.5,8.505,5.868,9.708
광주 - 여자 - 보통,Statistics,21.2,16.7,9.2,16.844,23.149,24.36
광주 - 여자 - 약간 불안함,Statistics,49.9,42.3,35.6,42.807,43.173,37.364
광주 - 여자 - 전혀 불안하지 않음,Statistics,0.1,0.2,0.7,1.085,2.106,1.586
대구 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 계 - 매우 불안함,Statistics,23.6,27.6,36.6,26.285,15.389,20.055
대구 - 계 - 별로 불안하지 않음,Statistics,2.3,2.2,3.6,4.4,9.738,9.324
대구 - 계 - 보통,Statistics,21.9,17.8,13.7,24.008,32.163,26.228
대구 - 계 - 약간 불안함,Statistics,51.7,51.9,45.5,44.151,39.931,42.954
대구 - 계 - 전혀 불안하지 않음,Statistics,0.6,0.5,0.6,1.156,2.778,1.44
대구 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 남자 - 매우 불안함,Statistics,20.5,26.1,30.5,24.033,14.223,18.141
대구 - 남자 - 별로 불안하지 않음,Statistics,2.4,2.5,5.2,5.229,11.001,10.118
대구 - 남자 - 보통,Statistics,23.3,19.0,14.2,26.235,33.912,28.49
대구 - 남자 - 약간 불안함,Statistics,53.2,51.9,49.2,42.998,37.426,41.351
대구 - 남자 - 전혀 불안하지 않음,Statistics,0.6,0.6,0.8,1.505,3.438,1.9
대구 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 여자 - 매우 불안함,Statistics,26.5,29.1,42.2,28.445,16.525,21.888
대구 - 여자 - 별로 불안하지 않음,Statistics,2.1,1.9,2.1,3.605,8.509,8.563
대구 - 여자 - 보통,Statistics,20.6,16.7,13.3,21.873,30.461,24.062
대구 - 여자 - 약간 불안함,Statistics,50.2,51.9,42.0,45.256,42.37,44.488
대구 - 여자 - 전혀 불안하지 않음,Statistics,0.5,0.4,0.3,0.821,2.136,1.0
대전 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 계 - 매우 불안함,Statistics,30.2,37.2,47.6,31.026,20.399,27.973
대전 - 계 - 별로 불안하지 않음,Statistics,4.3,3.6,4.1,6.308,9.555,5.5
대전 - 계 - 보통,Statistics,16.0,15.0,13.3,19.824,26.882,21.123
대전 - 계 - 약간 불안함,Statistics,48.5,43.6,34.4,41.061,40.828,43.167
대전 - 계 - 전혀 불안하지 않음,Statistics,0.9,0.6,0.7,1.782,2.336,2.236
대전 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 남자 - 매우 불안함,Statistics,27.1,33.7,42.3,28.562,18.43,26.001
대전 - 남자 - 별로 불안하지 않음,Statistics,5.2,3.8,5.6,7.704,9.007,6.551
대전 - 남자 - 보통,Statistics,19.2,18.0,13.9,21.76,27.356,23.229
대전 - 남자 - 약간 불안함,Statistics,47.3,43.7,37.5,39.553,42.087,41.449
대전 - 남자 - 전혀 불안하지 않음,Statistics,1.1,0.7,0.8,2.42,3.121,2.77
대전 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 여자 - 매우 불안함,Statistics,33.3,40.5,53.0,33.467,22.385,29.997
대전 - 여자 - 별로 불안하지 않음,Statistics,3.4,3.5,2.5,4.924,10.107,4.421
대전 - 여자 - 보통,Statistics,13.0,12.1,12.7,17.906,26.404,18.962
대전 - 여자 - 약간 불안함,Statistics,49.6,43.5,31.3,42.554,39.56,44.931
대전 - 여자 - 전혀 불안하지 않음,Statistics,0.8,0.4,0.5,1.149,1.545,1.688
부산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 계 - 매우 불안함,Statistics,22.2,24.5,31.7,23.123,17.345,21.366
부산 - 계 - 별로 불안하지 않음,Statistics,5.3,7.6,8.0,8.926,11.059,8.549
부산 - 계 - 보통,Statistics,19.5,19.9,20.4,26.78,26.453,21.274
부산 - 계 - 약간 불안함,Statistics,52.6,45.2,39.1,39.557,41.326,46.279
부산 - 계 - 전혀 불안하지 않음,Statistics,0.3,2.8,0.8,1.614,3.818,2.532
부산 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 남자 - 매우 불안함,Statistics,19.9,23.0,29.2,20.848,15.13,18.253
부산 - 남자 - 별로 불안하지 않음,Statistics,4.9,9.0,8.3,10.631,11.792,8.828
부산 - 남자 - 보통,Statistics,22.2,20.9,22.6,29.036,28.332,23.166
부산 - 남자 - 약간 불안함,Statistics,52.6,44.1,39.2,37.582,40.483,46.097
부산 - 남자 - 전혀 불안하지 않음,Statistics,0.4,2.9,0.7,1.903,4.263,3.656
부산 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 여자 - 매우 불안함,Statistics,24.5,25.9,34.1,25.268,19.474,24.284
부산 - 여자 - 별로 불안하지 않음,Statistics,5.6,6.2,7.6,7.318,10.353,8.288
부산 - 여자 - 보통,Statistics,17.0,19.0,18.4,24.652,24.647,19.5
부산 - 여자 - 약간 불안함,Statistics,52.6,46.2,39.0,41.419,42.136,46.449
부산 - 여자 - 전혀 불안하지 않음,Statistics,0.3,2.7,1.0,1.342,3.39,1.479
서울 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 계 - 매우 불안함,Statistics,34.1,38.2,53.4,34.721,27.133,28.768
서울 - 계 - 별로 불안하지 않음,Statistics,2.4,3.5,3.1,4.996,6.741,7.972
서울 - 계 - 보통,Statistics,15.4,14.4,11.0,16.077,22.595,21.558
서울 - 계 - 약간 불안함,Statistics,47.8,43.1,31.9,43.242,41.752,39.85
서울 - 계 - 전혀 불안하지 않음,Statistics,0.3,0.9,0.6,0.963,1.779,1.852
서울 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 남자 - 매우 불안함,Statistics,31.4,34.6,48.4,30.843,24.126,26.744
서울 - 남자 - 별로 불안하지 않음,Statistics,2.8,4.6,3.6,6.046,7.624,8.781
서울 - 남자 - 보통,Statistics,17.4,15.0,13.3,19.182,25.678,23.525
서울 - 남자 - 약간 불안함,Statistics,47.8,44.5,33.8,42.558,40.138,38.108
서울 - 남자 - 전혀 불안하지 않음,Statistics,0.5,1.2,0.9,1.371,2.434,2.842
서울 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 여자 - 매우 불안함,Statistics,36.6,41.5,58.0,38.225,29.919,30.596
서울 - 여자 - 별로 불안하지 않음,Statistics,1.9,2.5,2.5,4.048,5.924,7.24
서울 - 여자 - 보통,Statistics,13.6,13.7,8.8,13.272,19.738,19.782
서울 - 여자 - 약간 불안함,Statistics,47.7,41.8,30.3,43.86,43.247,41.424
서울 - 여자 - 전혀 불안하지 않음,Statistics,0.2,0.6,0.4,0.594,1.173,0.958
세종 - 계 - 계,Statistics,,100.0,100.0,100.0,100.0,100.0
세종 - 계 - 매우 불안함,Statistics,,38.2,50.0,38.137,27.529,27.99
세종 - 계 - 별로 불안하지 않음,Statistics,,6.8,4.7,4.421,5.867,9.904
세종 - 계 - 보통,Statistics,,15.4,9.3,13.165,19.545,18.97
세종 - 계 - 약간 불안함,Statistics,,39.2,35.4,43.328,44.69,40.559
세종 - 계 - 전혀 불안하지 않음,Statistics,,0.4,0.6,0.949,2.369,2.577
세종 - 남자 - 계,Statistics,,100.0,100.0,100.0,100.0,100.0
세종 - 남자 - 매우 불안함,Statistics,,37.0,44.4,33.753,23.148,26.867
세종 - 남자 - 별로 불안하지 않음,Statistics,,7.4,4.8,5.003,7.125,10.246
세종 - 남자 - 보통,Statistics,,17.5,9.3,15.29,22.01,21.095
세종 - 남자 - 약간 불안함,Statistics,,37.7,40.8,44.779,44.992,38.766
세종 - 남자 - 전혀 불안하지 않음,Statistics,,0.4,0.7,1.175,2.725,3.026
세종 - 여자 - 계,Statistics,,100.0,100.0,100.0,100.0,100.0
세종 - 여자 - 매우 불안함,Statistics,,39.4,55.5,42.451,31.895,29.057
세종 - 여자 - 별로 불안하지 않음,Statistics,,6.2,4.6,3.848,4.612,9.579
세종 - 여자 - 보통,Statistics,,13.3,9.2,11.075,17.088,16.951
세종 - 여자 - 약간 불안함,Statistics,,40.8,30.1,41.9,44.389,42.263
세종 - 여자 - 전혀 불안하지 않음,Statistics,,0.4,0.6,0.727,2.015,2.15
울산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 계 - 매우 불안함,Statistics,28.3,26.3,38.8,22.111,17.976,25.183
울산 - 계 - 별로 불안하지 않음,Statistics,2.5,2.7,4.6,10.28,11.172,5.977
울산 - 계 - 보통,Statistics,20.1,22.1,17.6,24.586,26.523,22.4
울산 - 계 - 약간 불안함,Statistics,48.9,48.1,38.4,41.133,41.077,44.682
울산 - 계 - 전혀 불안하지 않음,Statistics,0.2,0.8,0.5,1.89,3.252,1.758
울산 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 남자 - 매우 불안함,Statistics,26.0,24.3,35.3,19.241,16.699,24.858
울산 - 남자 - 별로 불안하지 않음,Statistics,2.7,3.0,5.2,10.407,12.576,6.251
울산 - 남자 - 보통,Statistics,22.3,22.3,21.3,28.059,27.381,24.003
울산 - 남자 - 약간 불안함,Statistics,48.8,49.6,37.7,39.228,39.601,42.749
울산 - 남자 - 전혀 불안하지 않음,Statistics,0.2,0.8,0.6,3.066,3.744,2.138
울산 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 여자 - 매우 불안함,Statistics,30.6,28.5,42.6,25.201,19.328,25.524
울산 - 여자 - 별로 불안하지 않음,Statistics,2.4,2.4,4.1,10.144,9.686,5.69
울산 - 여자 - 보통,Statistics,17.7,21.9,13.7,20.846,25.616,20.72
울산 - 여자 - 약간 불안함,Statistics,49.1,46.4,39.2,43.185,42.639,46.707
울산 - 여자 - 전혀 불안하지 않음,Statistics,0.3,0.8,0.4,0.624,2.731,1.359
인천 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 계 - 매우 불안함,Statistics,36.2,38.8,50.1,33.697,22.762,25.357
인천 - 계 - 별로 불안하지 않음,Statistics,3.5,2.0,2.7,4.329,6.861,6.928
인천 - 계 - 보통,Statistics,18.1,14.6,9.6,19.331,25.947,22.722
인천 - 계 - 약간 불안함,Statistics,41.6,43.7,37.1,41.612,42.667,42.539
인천 - 계 - 전혀 불안하지 않음,Statistics,0.6,0.9,0.5,1.031,1.765,2.454
인천 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 남자 - 매우 불안함,Statistics,33.7,34.4,45.3,30.241,20.122,22.874
인천 - 남자 - 별로 불안하지 않음,Statistics,4.5,2.5,2.9,4.862,7.747,7.223
인천 - 남자 - 보통,Statistics,19.9,15.2,10.3,21.081,27.545,25.358
인천 - 남자 - 약간 불안함,Statistics,41.2,46.5,40.7,42.536,42.152,41.169
인천 - 남자 - 전혀 불안하지 않음,Statistics,0.6,1.4,0.8,1.28,2.435,3.377
인천 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 여자 - 매우 불안함,Statistics,38.6,43.1,54.8,37.119,25.398,27.864
인천 - 여자 - 별로 불안하지 않음,Statistics,2.6,1.5,2.5,3.801,5.975,6.631
인천 - 여자 - 보통,Statistics,16.2,14.0,9.0,17.599,24.351,20.061
인천 - 여자 - 약간 불안함,Statistics,42.1,41.1,33.6,40.697,43.181,43.923
인천 - 여자 - 전혀 불안하지 않음,Statistics,0.6,0.3,0.2,0.784,1.095,1.522
전국 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 계 - 매우 불안함,Statistics,29.3,34.6,45.3,29.591,22.504,24.788
전국 - 계 - 별로 불안하지 않음,Statistics,3.5,3.7,3.9,6.321,8.662,7.696
전국 - 계 - 보통,Statistics,18.2,16.2,13.0,19.352,24.475,23.003
전국 - 계 - 약간 불안함,Statistics,48.6,44.7,37.2,43.286,42.143,42.618
전국 - 계 - 전혀 불안하지 않음,Statistics,0.5,0.8,0.6,1.45,2.216,1.895
전국 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 남자 - 매우 불안함,Statistics,26.6,32.4,40.8,26.302,20.498,22.693
전국 - 남자 - 별로 불안하지 않음,Statistics,3.8,4.2,4.4,7.089,9.467,8.396
전국 - 남자 - 보통,Statistics,20.1,17.6,14.6,21.662,26.073,24.938
전국 - 남자 - 약간 불안함,Statistics,48.9,44.9,39.3,43.124,41.175,41.525
전국 - 남자 - 전혀 불안하지 않음,Statistics,0.7,0.9,0.9,1.824,2.787,2.448
전국 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 여자 - 매우 불안함,Statistics,31.8,36.8,49.7,32.815,24.495,26.845
전국 - 여자 - 별로 불안하지 않음,Statistics,3.2,3.3,3.4,5.568,7.863,7.009
전국 - 여자 - 보통,Statistics,16.3,14.7,11.4,17.088,22.889,21.102
전국 - 여자 - 약간 불안함,Statistics,48.4,44.6,35.1,43.446,43.104,43.692
전국 - 여자 - 전혀 불안하지 않음,Statistics,0.3,0.6,0.4,1.083,1.649,1.352
전남 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 계 - 매우 불안함,Statistics,22.2,24.2,33.9,22.283,16.252,22.074
전남 - 계 - 별로 불안하지 않음,Statistics,5.2,5.2,6.7,8.66,9.947,8.421
전남 - 계 - 보통,Statistics,20.9,25.3,17.5,22.669,28.877,26.026
전남 - 계 - 약간 불안함,Statistics,51.0,44.2,40.7,44.653,43.124,42.728
전남 - 계 - 전혀 불안하지 않음,Statistics,0.7,1.0,1.2,1.735,1.801,0.751
전남 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 남자 - 매우 불안함,Statistics,21.0,24.7,32.1,19.938,14.639,19.49
전남 - 남자 - 별로 불안하지 않음,Statistics,6.3,6.3,6.6,9.194,10.304,9.987
전남 - 남자 - 보통,Statistics,21.6,27.5,18.6,24.85,27.565,26.827
전남 - 남자 - 약간 불안함,Statistics,50.1,40.6,41.2,43.352,45.551,42.753
전남 - 남자 - 전혀 불안하지 않음,Statistics,1.1,0.9,1.5,2.666,1.941,0.942
전남 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 여자 - 매우 불안함,Statistics,23.4,23.8,35.7,24.656,17.911,24.708
전남 - 여자 - 별로 불안하지 않음,Statistics,4.2,4.3,6.8,8.12,9.58,6.824
전남 - 여자 - 보통,Statistics,20.2,23.2,16.4,20.462,30.227,25.21
전남 - 여자 - 약간 불안함,Statistics,51.9,47.6,40.3,45.97,40.626,42.703
전남 - 여자 - 전혀 불안하지 않음,Statistics,0.4,1.1,0.8,0.792,1.657,0.556
전북 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
전북 - 계 - 매우 불안함,Statistics,29.6,33.6,40.7,26.555,21.629,25.368
전북 - 계 - 별로 불안하지 않음,Statistics,1.9,3.6,4.4,6.36,10.16,6.543
전북 - 계 - 보통,Statistics,14.7,16.3,12.6,19.015,22.408,19.206
전북 - 계 - 약간 불안함,Statistics,53.4,46.0,41.8,45.997,44.002,47.388
전북 - 계 - 전혀 불안하지 않음,Statistics,0.4,0.5,0.5,2.073,1.801,1.494
전북 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
전북 - 남자 - 매우 불안함,Statistics,28.5,32.3,37.4,22.744,20.467,22.857
전북 - 남자 - 별로 불안하지 않음,Statistics,1.9,3.4,4.8,7.228,11.205,6.89
전북 - 남자 - 보통,Statistics,16.2,19.4,15.0,21.524,24.186,21.559
전북 - 남자 - 약간 불안함,Statistics,52.7,43.9,42.1,46.357,42.01,47.15
전북 - 남자 - 전혀 불안하지 않음,Statistics,0.7,0.9,0.7,2.146,2.132,1.544
전북 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
전북 - 여자 - 매우 불안함,Statistics,30.5,34.9,44.1,30.36,22.767,27.8
전북 - 여자 - 별로 불안하지 않음,Statistics,1.9,3.7,4.1,5.492,9.136,6.207
전북 - 여자 - 보통,Statistics,13.3,13.4,10.1,16.511,20.665,16.928
전북 - 여자 - 약간 불안함,Statistics,54.1,47.9,41.5,45.637,45.955,47.618
전북 - 여자 - 전혀 불안하지 않음,Statistics,0.2,0.2,0.3,2.0,1.477,1.447
제주 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
제주 - 계 - 매우 불안함,Statistics,20.0,21.3,33.2,22.031,21.17,20.978
제주 - 계 - 별로 불안하지 않음,Statistics,4.5,4.5,3.2,8.188,6.456,7.63
제주 - 계 - 보통,Statistics,25.4,22.6,19.8,22.095,27.661,22.462
제주 - 계 - 약간 불안함,Statistics,49.7,50.5,42.6,44.918,43.126,47.454
제주 - 계 - 전혀 불안하지 않음,Statistics,0.5,1.1,1.3,2.768,1.588,1.477
제주 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
제주 - 남자 - 매우 불안함,Statistics,18.4,18.6,31.0,20.991,18.973,19.791
제주 - 남자 - 별로 불안하지 않음,Statistics,5.1,5.1,3.6,9.465,6.974,9.481
제주 - 남자 - 보통,Statistics,26.8,24.9,21.6,22.94,31.767,23.701
제주 - 남자 - 약간 불안함,Statistics,49.1,50.5,42.0,44.152,40.892,44.72
제주 - 남자 - 전혀 불안하지 않음,Statistics,0.7,1.0,1.8,2.453,1.395,2.307
제주 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
제주 - 여자 - 매우 불안함,Statistics,21.5,24.1,35.4,23.079,23.392,22.178
제주 - 여자 - 별로 불안하지 않음,Statistics,3.9,3.9,2.8,6.901,5.931,5.757
제주 - 여자 - 보통,Statistics,24.1,20.3,17.9,21.244,23.506,21.209
제주 - 여자 - 약간 불안함,Statistics,50.2,50.5,43.1,45.69,45.387,50.218
제주 - 여자 - 전혀 불안하지 않음,Statistics,0.3,1.1,0.7,3.086,1.784,0.638
충남 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
충남 - 계 - 매우 불안함,Statistics,31.1,29.2,43.0,29.816,16.529,17.958
충남 - 계 - 별로 불안하지 않음,Statistics,3.7,3.7,3.3,5.564,13.102,6.747
충남 - 계 - 보통,Statistics,14.0,17.0,15.3,18.657,26.161,26.692
충남 - 계 - 약간 불안함,Statistics,50.8,49.4,37.8,44.597,40.632,44.468
