item,category,2009,2011,2013,2015,2017,2019,2021,2023
광주광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 계 - 해외여행 한 적 없음,Statistics,92.3,88.6,86.9,85.3,79.4,75.4,99.318,
광주광역시 - 계 - 해외여행 한 적 있음,Statistics,7.7,11.4,13.1,14.7,20.6,24.6,0.682,14.237
대구광역시 - 계 - - 가족 및 친지 방문,Statistics,17.3,8.5,6.6,9.5,4.1,3.9,30.136,11.972
대구광역시 - 계 - - 관광,Statistics,68.0,75.8,78.4,80.5,90.7,94.4,35.922,85.875
대구광역시 - 계 - - 교육,Statistics,5.4,7.6,6.9,4.2,1.7,1.6,5.644,5.474
대구광역시 - 계 - - 업무,Statistics,20.1,13.1,13.5,13.2,9.3,6.1,28.298,8.047
대구광역시 - 계 - · 가족 및 친지방문 여행자 1인당 여행횟수(평균),Statistics,3.2,1.9,2.2,1.7,3.6,1.5,2.217,2.684
대구광역시 - 계 - · 관광여행자 1인당 여행횟수(평균),Statistics,1.4,1.2,1.3,1.5,1.5,1.6,1.658,1.749
대구광역시 - 계 - · 교육여행자 1인당 여행횟수(평균),Statistics,1.2,1.1,1.3,1.2,1.4,1.1,1.0,1.855
대구광역시 - 계 - · 업무여행자 1인당 여행횟수(평균),Statistics,2.2,2.0,2.6,2.5,2.0,2.6,1.0,2.604
대구광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 계 - 해외여행 한 적 없음,Statistics,91.8,89.5,86.1,81.9,77.0,73.2,99.151,
대구광역시 - 계 - 해외여행 한 적 있음,Statistics,8.2,10.5,13.9,18.1,23.0,26.8,0.849,11.527
대전광역시 - 계 - - 가족 및 친지 방문,Statistics,12.6,13.5,10.0,8.7,2.6,8.1,32.987,14.558
대전광역시 - 계 - - 관광,Statistics,73.0,72.3,78.9,80.4,90.7,91.1,36.493,79.447
대전광역시 - 계 - - 교육,Statistics,3.1,6.4,6.2,4.9,4.1,5.8,27.788,5.264
대전광역시 - 계 - - 업무,Statistics,21.4,15.9,17.4,14.3,9.4,11.9,13.834,11.902
대전광역시 - 계 - · 가족 및 친지방문 여행자 1인당 여행횟수(평균),Statistics,2.0,3.1,1.5,1.6,1.1,2.1,1.337,1.884
대전광역시 - 계 - · 관광여행자 1인당 여행횟수(평균),Statistics,1.4,1.5,1.3,1.4,1.5,1.5,1.289,1.344
대전광역시 - 계 - · 교육여행자 1인당 여행횟수(평균),Statistics,1.5,1.3,1.5,1.0,1.6,3.8,1.0,1.308
대전광역시 - 계 - · 업무여행자 1인당 여행횟수(평균),Statistics,2.0,1.9,2.0,1.8,2.2,2.3,1.0,1.957
대전광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 계 - 해외여행 한 적 없음,Statistics,86.3,85.1,81.0,79.7,71.7,71.1,99.392,
대전광역시 - 계 - 해외여행 한 적 있음,Statistics,13.7,14.9,19.0,20.3,28.3,28.9,0.608,14.58
부산광역시 - 계 - - 가족 및 친지 방문,Statistics,17.0,12.6,11.2,8.0,5.3,4.7,30.526,6.362
부산광역시 - 계 - - 관광,Statistics,72.5,75.4,75.9,82.0,88.5,90.2,46.695,89.662
부산광역시 - 계 - - 교육,Statistics,5.9,5.5,6.2,3.9,3.4,3.2,15.163,2.467
부산광역시 - 계 - - 업무,Statistics,17.6,18.7,14.0,11.4,9.7,9.2,17.16,8.621
부산광역시 - 계 - · 가족 및 친지방문 여행자 1인당 여행횟수(평균),Statistics,2.4,2.3,1.7,1.6,1.8,1.4,1.638,2.44
부산광역시 - 계 - · 관광여행자 1인당 여행횟수(평균),Statistics,1.3,1.5,1.4,1.5,1.6,1.6,1.509,1.568
부산광역시 - 계 - · 교육여행자 1인당 여행횟수(평균),Statistics,1.1,1.9,1.3,1.3,1.0,2.0,1.0,1.151
부산광역시 - 계 - · 업무여행자 1인당 여행횟수(평균),Statistics,3.1,2.9,2.6,4.0,3.2,3.2,1.298,1.454
부산광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산광역시 - 계 - 해외여행 한 적 없음,Statistics,86.9,84.8,83.6,82.6,75.0,72.5,98.881,
부산광역시 - 계 - 해외여행 한 적 있음,Statistics,13.1,15.2,16.4,17.4,25.0,27.5,1.119,14.267
서울특별시 - 계 - - 가족 및 친지 방문,Statistics,12.7,12.6,9.9,10.7,7.1,6.3,39.545,11.902
서울특별시 - 계 - - 관광,Statistics,72.2,75.1,77.6,79.6,87.6,89.1,41.493,82.397
서울특별시 - 계 - - 교육,Statistics,5.6,6.1,4.3,4.9,3.0,3.3,24.989,3.342
서울특별시 - 계 - - 업무,Statistics,23.0,19.9,21.1,17.8,13.3,11.6,43.439,14.791
서울특별시 - 계 - · 가족 및 친지방문 여행자 1인당 여행횟수(평균),Statistics,1.7,2.5,1.9,1.8,1.9,1.7,2.959,2.201
서울특별시 - 계 - · 관광여행자 1인당 여행횟수(평균),Statistics,1.4,1.5,1.5,1.6,1.7,1.6,3.011,1.556
서울특별시 - 계 - · 교육여행자 1인당 여행횟수(평균),Statistics,1.1,1.6,1.3,1.7,1.5,1.4,1.907,1.843
서울특별시 - 계 - · 업무여행자 1인당 여행횟수(평균),Statistics,2.9,2.9,2.7,2.8,3.3,2.5,2.92,3.134
서울특별시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울특별시 - 계 - 해외여행 한 적 없음,Statistics,80.4,77.1,78.1,74.0,64.9,63.2,98.328,
서울특별시 - 계 - 해외여행 한 적 있음,Statistics,19.6,22.9,21.9,26.0,35.1,36.8,1.672,19.675
세종특별자치시 - 계 - - 가족 및 친지 방문,Statistics,,,,11.8,6.0,4.0,30.952,10.086
세종특별자치시 - 계 - - 관광,Statistics,,,,80.8,86.6,90.6,50.306,78.084
세종특별자치시 - 계 - - 교육,Statistics,,,,3.9,3.0,2.3,32.944,3.369
세종특별자치시 - 계 - - 업무,Statistics,,,,17.6,13.9,13.2,33.623,16.343
세종특별자치시 - 계 - · 가족 및 친지방문 여행자 1인당 여행횟수(평균),Statistics,,,,2.5,2.1,3.1,2.434,2.177
세종특별자치시 - 계 - · 관광여행자 1인당 여행횟수(평균),Statistics,,,,1.6,1.6,1.5,2.268,1.652
세종특별자치시 - 계 - · 교육여행자 1인당 여행횟수(평균),Statistics,,,,1.2,1.3,1.1,1.96,1.085
세종특별자치시 - 계 - · 업무여행자 1인당 여행횟수(평균),Statistics,,,,2.2,2.2,2.4,6.605,2.563
세종특별자치시 - 계 - 계,Statistics,,,,100.0,100.0,100.0,100.0,100.0
세종특별자치시 - 계 - 해외여행 한 적 없음,Statistics,,,,73.1,68.6,61.9,98.971,
세종특별자치시 - 계 - 해외여행 한 적 있음,Statistics,,,,26.9,31.4,38.1,1.029,18.664
울산광역시 - 계 - - 가족 및 친지 방문,Statistics,13.8,11.0,8.7,6.9,4.6,5.9,37.171,16.352
울산광역시 - 계 - - 관광,Statistics,76.0,78.1,80.9,83.0,91.9,90.3,35.701,82.339
울산광역시 - 계 - - 교육,Statistics,4.6,7.7,8.1,3.7,1.5,1.1,17.845,1.725
