item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
세종특별자치시 - 정원 - 공무원 수,Statistics,,44.0,50.0,60.0,67.0,68.0,83.0,116.0,131.0,143.0,153.0,154.0,179.0
세종특별자치시 - 현원 - 공무원 수,Statistics,,48.0,51.0,62.0,67.0,68.0,85.0,100.0,128.0,149.0,148.0,151.0,173.0
울산광역시 - 1급 - 공무원 수,Statistics,136.0,158.0,160.0,191.0,185.0,183.0,191.0,,,,,,
울산광역시 - 2급 - 공무원 수,Statistics,22.0,39.0,58.0,76.0,89.0,116.0,131.0,,,,,,
울산광역시 - 정원 - 공무원 수,Statistics,160.0,209.0,244.0,266.0,280.0,304.0,325.0,350.0,368.0,416.0,449.0,461.0,492.0
울산광역시 - 현원 - 공무원 수,Statistics,158.0,197.0,218.0,267.0,274.0,299.0,322.0,346.5,374.0,357.0,432.0,437.0,485.0
인천광역시 - 1급 - 공무원 수,Statistics,416.0,467.0,474.0,495.0,542.0,535.0,542.0,,,,,,
인천광역시 - 2급 - 공무원 수,Statistics,56.0,120.0,161.0,222.0,232.0,302.0,349.0,,,,,,
인천광역시 - 3급 - 공무원 수,Statistics,3.0,8.0,6.0,3.0,13.0,7.0,6.0,,,,,,
인천광역시 - 정원 - 공무원 수,Statistics,481.0,268.0,631.0,732.0,806.0,864.0,1041.0,1112.0,1223.0,1374.0,1486.0,1596.0,1634.0
인천광역시 - 현원 - 공무원 수,Statistics,475.0,595.0,641.0,720.0,787.0,844.0,897.0,1053.0,1187.0,1389.0,1523.0,1541.0,1620.0
전국 - 1급 - 공무원 수,Statistics,8991.0,10168.0,10518.0,11763.0,11988.0,12370.0,12904.5,,,,,,
전국 - 2급 - 공무원 수,Statistics,1603.0,2682.0,3571.0,4498.0,5257.0,6819.0,7998.0,,,,,,
전국 - 3급 - 공무원 수,Statistics,45.0,57.0,95.0,60.0,124.0,69.0,84.0,,,,,,
전국 - 정원 - 공무원 수,Statistics,11170.0,13769.0,14700.0,16475.0,17717.0,20307.5,22711.5,24495.5,26075.8,28668.0,29572.2,31824.0,32120.0
전국 - 현원 - 공무원 수,Statistics,10639.0,12907.0,14184.0,16321.0,17370.5,19263.0,20989.5,23125.0,24835.8,26749.0,28498.0,28991.0,29856.0
전라남도 - 1급 - 공무원 수,Statistics,682.0,732.0,736.0,849.0,780.0,786.0,803.0,,,,,,
전라남도 - 2급 - 공무원 수,Statistics,238.0,332.0,366.0,412.0,471.0,548.0,634.0,,,,,,
전라남도 - 3급 - 공무원 수,Statistics,2.0,6.0,10.0,3.0,56.0,4.0,3.0,,,,,,
전라남도 - 정원 - 공무원 수,Statistics,955.0,1117.0,1177.0,1217.0,1323.0,1506.0,1701.0,1816.0,1924.0,2050.0,2128.0,2262.0,2268.0
