item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
경남 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경남 - 여자 - 매우효과있음,Statistics,5.3,9.9,10.7,7.9,8.0,8.1,13.013,11.375,10.703
경남 - 여자 - 모르겠음,Statistics,7.9,8.1,6.9,3.9,6.0,5.6,5.101,3.142,3.228
경남 - 여자 - 별로효과없음,Statistics,16.7,16.6,18.4,16.6,15.7,18.3,13.122,12.15,11.339
경남 - 여자 - 보통,Statistics,39.1,33.9,35.7,38.2,36.1,35.6,36.744,34.888,34.899
경남 - 여자 - 약간효과있음,Statistics,26.7,27.7,24.0,29.0,29.7,29.2,28.442,35.266,37.214
경남 - 여자 - 전혀효과없음,Statistics,4.2,3.8,4.3,4.4,4.5,3.2,3.578,3.179,2.617
경북 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경북 - 계 - 매우효과있음,Statistics,6.0,7.7,6.1,9.1,7.4,7.8,11.079,12.981,14.667
경북 - 계 - 모르겠음,Statistics,7.5,7.4,3.9,3.4,3.4,4.9,3.812,5.062,3.507
경북 - 계 - 별로효과없음,Statistics,16.3,18.3,16.1,14.5,15.7,16.7,12.938,13.649,11.645
경북 - 계 - 보통,Statistics,40.0,36.7,37.6,41.2,41.7,35.9,36.577,32.157,29.406
경북 - 계 - 약간효과있음,Statistics,26.9,26.0,32.9,29.3,27.9,31.0,31.424,32.328,38.447
경북 - 계 - 전혀효과없음,Statistics,3.3,4.0,3.3,2.4,3.9,3.7,4.17,3.824,2.328
경북 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경북 - 남자 - 매우효과있음,Statistics,5.0,8.5,5.5,8.2,7.1,7.7,9.929,11.848,13.619
경북 - 남자 - 모르겠음,Statistics,5.5,5.3,1.3,2.6,2.3,2.9,3.191,4.287,3.107
경북 - 남자 - 별로효과없음,Statistics,17.4,19.0,17.9,13.7,16.8,16.7,14.94,14.842,12.018
경북 - 남자 - 보통,Statistics,40.6,37.5,38.8,43.4,43.1,38.4,35.904,33.702,29.93
경북 - 남자 - 약간효과있음,Statistics,27.9,25.8,32.7,29.3,26.6,31.0,31.119,31.511,38.673
경북 - 남자 - 전혀효과없음,Statistics,3.6,4.0,3.6,2.8,4.1,3.4,4.917,3.81,2.653
경북 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경북 - 여자 - 매우효과있음,Statistics,6.9,6.9,6.7,10.0,7.6,7.8,12.241,14.145,15.727
경북 - 여자 - 모르겠음,Statistics,9.5,9.5,6.3,4.2,4.5,6.9,4.439,5.858,3.911
경북 - 여자 - 별로효과없음,Statistics,15.2,17.6,14.4,15.3,14.7,16.7,10.915,12.423,11.268
경북 - 여자 - 보통,Statistics,39.4,35.9,36.5,39.1,40.3,33.5,37.257,30.57,28.876
경북 - 여자 - 약간효과있음,Statistics,26.0,26.2,33.1,29.4,29.2,31.1,31.731,33.167,38.219
경북 - 여자 - 전혀효과없음,Statistics,3.0,3.9,3.0,2.0,3.7,4.0,3.416,3.837,1.999
광주 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 계 - 매우효과있음,Statistics,7.2,5.7,7.1,7.1,7.7,8.2,10.603,13.093,13.557
광주 - 계 - 모르겠음,Statistics,6.6,6.1,3.0,3.9,3.2,5.0,3.738,4.966,4.092
광주 - 계 - 별로효과없음,Statistics,17.8,19.7,18.2,17.7,17.0,15.1,15.344,13.563,12.037
광주 - 계 - 보통,Statistics,36.1,38.1,40.6,38.4,43.3,36.9,34.577,35.255,38.161
광주 - 계 - 약간효과있음,Statistics,29.4,26.0,26.2,27.9,24.4,29.8,32.173,28.721,29.111
광주 - 계 - 전혀효과없음,Statistics,2.9,4.5,5.0,5.0,4.4,5.0,3.565,4.403,3.041
광주 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 남자 - 매우효과있음,Statistics,8.2,5.2,6.7,6.6,6.2,8.7,10.991,14.035,13.026
광주 - 남자 - 모르겠음,Statistics,6.0,4.2,2.7,2.8,2.4,4.6,2.595,3.431,2.32
광주 - 남자 - 별로효과없음,Statistics,18.4,20.4,19.4,18.3,16.9,17.4,17.119,13.974,11.817
광주 - 남자 - 보통,Statistics,35.3,39.1,43.0,40.1,45.7,35.1,34.834,36.013,39.534
광주 - 남자 - 약간효과있음,Statistics,28.4,25.9,23.0,27.0,23.8,28.8,30.491,28.219,29.93
