item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
세종특별자치시 - 주민등록인구＜br＞(A),Statistics,,,,,113117.0,122153.0,156125.0,210884.0,243048.0,280100.0,314126.0,340575.0,355831.0,371895.0,383591.0,386525.0
울산광역시 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,278102.0,278717.0,281575.0,283874.0,286814.0,289120.0,291594.0,293384.0,293076.0,291283.0,231125.0,229604.0,227203.0,186932.0,185111.0,183944.0
울산광역시 - 소방서 수＜br＞(B),Statistics,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0
울산광역시 - 주민등록인구＜br＞(A),Statistics,1112407.0,1114866.0,1126298.0,1135494.0,1147256.0,1156480.0,1166377.0,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,1121592.0,1110663.0,1103661.0
인천광역시 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,336587.0,338822.0,344787.0,350159.0,355498.0,359973.0,362826.0,325091.0,327008.0,294854.0,295464.0,295703.0,294283.0,294838.0,296731.0,272492.0
인천광역시 - 소방서 수＜br＞(B),Statistics,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0
인천광역시 - 주민등록인구＜br＞(A),Statistics,2692696.0,2710579.0,2758296.0,2801274.0,2843981.0,2879782.0,2902608.0,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,2948375.0,2967314.0,2997410.0
전국 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,270712.0,269044.0,267279.0,264241.0,261273.0,259601.0,256640.0,248934.0,246172.0,240830.0,236649.0,231473.0,229332.0,224517.0,218890.0,213856.0
전국 - 소방서 수＜br＞(B),Statistics,183.0,185.0,189.0,192.0,195.0,197.0,200.0,207.0,210.0,215.0,219.0,224.0,226.0,230.0,235.0,240.0
전국 - 주민등록인구＜br＞(A),Statistics,49540367.0,49773145.0,50515666.0,50734284.0,50948272.0,51141463.0,51327916.0,51529338.0,51696216.0,51778544.0,51826059.0,51849861.0,51829023.0,51638809.0,51439038.0,51325329.0
전라남도 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,191900.0,191300.0,191849.0,174031.0,159135.0,158931.0,158815.0,146846.0,135994.0,126428.0,117686.0,109926.0,102864.0,91640.0,82623.0,82010.0
전라남도 - 소방서 수＜br＞(B),Statistics,10.0,10.0,10.0,11.0,12.0,12.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,22.0,22.0
전라남도 - 주민등록인구＜br＞(A),Statistics,1919000.0,1913004.0,1918485.0,1914339.0,1909618.0,1907172.0,1905780.0,1908996.0,1903914.0,1896424.0,1882970.0,1868745.0,1851549.0,1832803.0,1817697.0,1804217.0
전북특별자치도 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,185577.0,185451.0,186896.0,187403.0,187334.0,187297.0,187156.0,186971.0,186479.0,185461.0,166985.0,151576.0,138777.0,137450.0,136124.0,116984.0
