item,category,2020,2021,2022,2023,2024
동구 - 미충족의료율(표준화율),Statistics,5.8,6.0,3.9,3.0,3.1
동대문구 - 미충족의료율(표준화율),Statistics,1.9,2.6,0.4,1.5,1.1
동두천시 - 미충족의료율(표준화율),Statistics,1.8,5.7,5.4,13.1,6.9
동래구 - 미충족의료율(표준화율),Statistics,3.0,3.0,4.4,2.7,6.4
동부 - 미충족의료율(표준화율),Statistics,5.4,4.0,4.7,5.3,6.9
동안구 - 미충족의료율(표준화율),Statistics,8.1,4.3,7.1,4.9,3.1
동작구 - 미충족의료율(표준화율),Statistics,4.2,3.3,2.4,5.7,5.6
동해시 - 미충족의료율(표준화율),Statistics,3.0,1.9,4.0,3.6,3.1
마산 - 미충족의료율(표준화율),Statistics,12.5,13.9,6.4,5.1,5.4
마포구 - 미충족의료율(표준화율),Statistics,5.6,1.7,3.1,2.2,6.5
만안구 - 미충족의료율(표준화율),Statistics,6.1,6.5,6.3,3.5,2.3
목포시 - 미충족의료율(표준화율),Statistics,3.1,2.6,2.8,2.2,6.9
무안군 - 미충족의료율(표준화율),Statistics,2.8,3.2,4.8,9.0,3.1
무주군 - 미충족의료율(표준화율),Statistics,5.1,4.4,5.7,7.3,5.0
문경시 - 미충족의료율(표준화율),Statistics,8.5,4.0,5.5,5.2,3.6
미추홀구 - 미충족의료율(표준화율),Statistics,8.7,7.6,7.8,6.9,8.9
밀양시 - 미충족의료율(표준화율),Statistics,5.5,2.7,4.0,4.0,2.6
보령시 - 미충족의료율(표준화율),Statistics,7.5,7.6,5.0,4.6,3.4
보성군 - 미충족의료율(표준화율),Statistics,2.3,5.1,3.7,3.2,5.9
보은군 - 미충족의료율(표준화율),Statistics,11.7,11.5,14.9,15.7,14.3
봉화군 - 미충족의료율(표준화율),Statistics,18.4,4.6,11.6,7.6,2.4
부산광역시 - 미충족의료율(표준화율),Statistics,5.5,6.1,6.3,5.6,6.8
부산진구 - 미충족의료율(표준화율),Statistics,8.2,6.2,7.3,6.0,9.8
부안군 - 미충족의료율(표준화율),Statistics,6.6,10.1,7.9,8.5,9.5
부여군 - 미충족의료율(표준화율),Statistics,8.5,5.5,3.3,4.6,10.3
부천시 - 미충족의료율(표준화율),Statistics,4.8,7.5,5.2,5.7,4.0
부평구 - 미충족의료율(표준화율),Statistics,8.0,11.3,11.0,11.2,4.6
북구 - 미충족의료율(표준화율),Statistics,7.0,13.6,12.7,12.7,13.3
분당구 - 미충족의료율(표준화율),Statistics,4.2,3.2,2.2,4.9,3.5
사상구 - 미충족의료율(표준화율),Statistics,4.1,11.1,6.5,5.1,4.7
사천시 - 미충족의료율(표준화율),Statistics,9.8,7.0,3.1,7.8,7.9
사하구 - 미충족의료율(표준화율),Statistics,5.9,6.7,5.3,9.0,5.9
산청군 - 미충족의료율(표준화율),Statistics,5.9,2.8,6.0,6.9,5.6
삼척시 - 미충족의료율(표준화율),Statistics,5.5,5.7,3.8,4.6,6.1
상당구 - 미충족의료율(표준화율),Statistics,7.9,2.9,10.4,8.6,8.6
상록구 - 미충족의료율(표준화율),Statistics,10.2,7.0,5.8,5.7,3.6
상주시 - 미충족의료율(표준화율),Statistics,4.2,5.6,3.1,4.7,5.9
서구 - 미충족의료율(표준화율),Statistics,4.7,4.5,3.6,2.5,2.3
서귀포 - 미충족의료율(표준화율),Statistics,7.7,4.1,5.5,2.8,6.1
서귀포시 - 미충족의료율(표준화율),Statistics,7.2,4.1,5.2,3.6,5.7
서대문구 - 미충족의료율(표준화율),Statistics,2.6,4.9,8.9,11.7,9.4
서부 - 미충족의료율(표준화율),Statistics,8.0,3.9,5.2,4.0,2.4
서산시 - 미충족의료율(표준화율),Statistics,4.5,9.1,4.2,6.9,10.5
서울특별시 - 미충족의료율(표준화율),Statistics,4.8,4.4,3.8,4.4,4.4
서원구 - 미충족의료율(표준화율),Statistics,5.9,8.4,8.7,15.0,11.9
서천군 - 미충족의료율(표준화율),Statistics,2.9,2.3,3.4,3.7,4.3
서초구 - 미충족의료율(표준화율),Statistics,4.5,4.0,3.0,2.2,2.5
선산 - 미충족의료율(표준화율),Statistics,4.6,6.1,5.6,5.3,3.2
성남시 - 미충족의료율(표준화율),Statistics,3.2,3.1,3.7,5.7,3.8
성동구 - 미충족의료율(표준화율),Statistics,5.2,3.5,2.9,2.8,3.1
성북구 - 미충족의료율(표준화율),Statistics,5.8,5.8,2.8,5.5,4.2
성주군 - 미충족의료율(표준화율),Statistics,2.6,1.5,1.8,11.4,10.2
세종시 - 미충족의료율(표준화율),Statistics,4.3,4.8,3.7,7.0,8.7
세종특별자치시 - 미충족의료율(표준화율),Statistics,4.3,4.8,3.7,7.0,8.7
소사구 - 미충족의료율(표준화율),Statistics,4.2,5.8,5.5,5.9,3.6
속초시 - 미충족의료율(표준화율),Statistics,0.3,1.1,4.6,3.0,3.5
송탄 - 미충족의료율(표준화율),Statistics,5.0,4.8,8.8,8.5,12.6
송파구 - 미충족의료율(표준화율),Statistics,3.0,6.3,5.2,4.4,4.6
수성구 - 미충족의료율(표준화율),Statistics,1.8,2.2,1.9,2.7,0.7
수영구 - 미충족의료율(표준화율),Statistics,6.0,5.8,11.4,9.4,11.6
수원시 - 미충족의료율(표준화율),Statistics,4.0,4.1,5.7,5.6,5.0
수정구 - 미충족의료율(표준화율),Statistics,2.1,2.7,2.3,6.3,3.0
수지구 - 미충족의료율(표준화율),Statistics,1.6,4.9,4.5,4.7,3.8
순창군 - 미충족의료율(표준화율),Statistics,3.4,3.8,6.8,3.9,8.7
순천시 - 미충족의료율(표준화율),Statistics,4.5,5.5,7.6,4.1,4.1
시흥시 - 미충족의료율(표준화율),Statistics,5.1,2.6,6.7,5.5,5.1
신안군 - 미충족의료율(표준화율),Statistics,2.0,6.0,7.1,9.9,8.0
아산시 - 미충족의료율(표준화율),Statistics,4.4,5.3,6.9,6.8,6.3
안동시 - 미충족의료율(표준화율),Statistics,12.0,11.2,11.0,4.9,3.5
안산시 - 미충족의료율(표준화율),Statistics,9.5,6.5,6.5,6.3,4.4
안성시 - 미충족의료율(표준화율),Statistics,6.2,4.0,10.0,5.9,5.9
안양시 - 미충족의료율(표준화율),Statistics,7.3,5.2,6.8,4.3,2.8
양구군 - 미충족의료율(표준화율),Statistics,7.7,5.4,4.1,5.3,7.8
양산시 - 미충족의료율(표준화율),Statistics,5.1,3.3,3.4,5.2,3.0
양양군 - 미충족의료율(표준화율),Statistics,4.8,3.9,4.7,6.0,5.4
양주시 - 미충족의료율(표준화율),Statistics,2.8,7.0,7.0,4.7,3.6
양천구 - 미충족의료율(표준화율),Statistics,3.2,4.9,4.5,1.8,4.7
양평군 - 미충족의료율(표준화율),Statistics,6.8,4.9,10.7,5.8,2.9
여수시 - 미충족의료율(표준화율),Statistics,16.6,12.7,2.6,6.1,3.2
여주시 - 미충족의료율(표준화율),Statistics,6.4,5.8,5.6,5.8,9.6
연수구 - 미충족의료율(표준화율),Statistics,4.0,3.9,3.9,4.0,2.5
연제구 - 미충족의료율(표준화율),Statistics,8.1,6.5,7.7,5.2,4.8
연천군 - 미충족의료율(표준화율),Statistics,13.1,9.7,5.8,4.3,6.7
영광군 - 미충족의료율(표준화율),Statistics,4.3,7.6,4.7,4.8,2.2
영덕군 - 미충족의료율(표준화율),Statistics,1.0,2.8,3.2,0.3,5.2
영도구 - 미충족의료율(표준화율),Statistics,6.8,4.3,3.7,8.2,4.1
영동군 - 미충족의료율(표준화율),Statistics,6.8,11.9,9.2,3.2,5.4
영등포구 - 미충족의료율(표준화율),Statistics,12.9,4.6,3.6,3.7,3.8
영암군 - 미충족의료율(표준화율),Statistics,3.4,4.2,5.1,4.2,1.4
영양군 - 미충족의료율(표준화율),Statistics,10.7,6.4,10.4,5.9,5.3
영월군 - 미충족의료율(표준화율),Statistics,7.4,5.5,3.7,10.6,7.7
영주시 - 미충족의료율(표준화율),Statistics,5.5,2.6,6.9,5.5,5.5
영천시 - 미충족의료율(표준화율),Statistics,8.3,9.6,9.6,8.3,9.9
영통구 - 미충족의료율(표준화율),Statistics,3.2,1.4,3.9,1.7,1.8
예산군 - 미충족의료율(표준화율),Statistics,13.0,5.2,4.4,9.8,5.3
예천군 - 미충족의료율(표준화율),Statistics,4.1,5.0,3.1,5.6,3.6
오산시 - 미충족의료율(표준화율),Statistics,6.1,5.2,5.1,4.8,6.0
오정구 - 미충족의료율(표준화율),Statistics,7.4,5.5,3.8,5.3,4.9
옥천군 - 미충족의료율(표준화율),Statistics,3.4,7.1,5.7,5.5,3.3
옹진군 - 미충족의료율(표준화율),Statistics,17.5,11.4,8.6,11.3,19.0
완도군 - 미충족의료율(표준화율),Statistics,9.7,10.3,4.9,7.8,5.5
완주군 - 미충족의료율(표준화율),Statistics,1.9,1.4,3.4,1.7,3.3
용산구 - 미충족의료율(표준화율),Statistics,1.7,3.0,1.9,3.9,1.5
용인시 - 미충족의료율(표준화율),Statistics,3.6,4.4,4.9,4.6,3.7
울릉군 - 미충족의료율(표준화율),Statistics,3.7,7.0,9.3,4.4,7.0
울산광역시 - 미충족의료율(표준화율),Statistics,5.5,3.8,4.8,7.2,7.6
울주군 - 미충족의료율(표준화율),Statistics,4.9,3.5,2.9,7.4,6.3
울진군 - 미충족의료율(표준화율),Statistics,1.7,4.2,6.8,4.3,5.7
원미구 - 미충족의료율(표준화율),Statistics,4.0,9.2,5.7,5.7,4.1
원주시 - 미충족의료율(표준화율),Statistics,7.1,7.8,7.4,5.9,6.1
유성구 - 미충족의료율(표준화율),Statistics,3.8,4.5,4.3,6.7,3.0
은평구 - 미충족의료율(표준화율),Statistics,6.7,6.9,4.7,4.0,7.0
음성군 - 미충족의료율(표준화율),Statistics,3.5,5.5,6.6,6.2,3.1
의령군 - 미충족의료율(표준화율),Statistics,16.4,8.3,6.1,1.5,2.4
의성군 - 미충족의료율(표준화율),Statistics,12.1,4.6,3.3,5.1,3.7
의왕시 - 미충족의료율(표준화율),Statistics,4.8,5.0,7.5,5.2,7.5
의정부시 - 미충족의료율(표준화율),Statistics,8.0,4.5,5.5,3.6,5.2
이천시 - 미충족의료율(표준화율),Statistics,6.6,5.0,3.1,7.5,3.8
익산시 - 미충족의료율(표준화율),Statistics,5.6,4.7,5.7,11.0,7.8
인제군 - 미충족의료율(표준화율),Statistics,9.1,9.1,12.6,13.7,11.4
인천광역시 - 미충족의료율(표준화율),Statistics,7.5,7.3,7.2,7.2,5.9
일산동구 - 미충족의료율(표준화율),Statistics,10.9,6.4,6.9,5.9,4.8
일산서구 - 미충족의료율(표준화율),Statistics,3.8,6.8,5.8,3.9,4.8
임실군 - 미충족의료율(표준화율),Statistics,2.2,6.5,10.5,3.0,6.2
장성군 - 미충족의료율(표준화율),Statistics,5.2,5.3,4.8,0.3,4.1
장수군 - 미충족의료율(표준화율),Statistics,9.1,13.5,21.3,14.1,17.7
장안구 - 미충족의료율(표준화율),Statistics,3.9,4.3,5.8,3.9,7.2
장흥군 - 미충족의료율(표준화율),Statistics,4.1,1.9,7.5,3.4,4.3
전라남도 - 미충족의료율(표준화율),Statistics,6.9,6.9,5.2,5.4,4.8
전북특별자치도 - 미충족의료율(표준화율),Statistics,6.5,6.8,7.1,7.8,7.7
전주시 - 미충족의료율(표준화율),Statistics,9.1,7.3,8.4,9.4,10.8
정선군 - 미충족의료율(표준화율),Statistics,8.0,6.0,11.6,5.5,2.8
정읍시 - 미충족의료율(표준화율),Statistics,6.8,9.9,10.6,7.5,4.8
제주 - 미충족의료율(표준화율),Statistics,7.1,3.2,6.2,5.0,7.3
제주시 - 미충족의료율(표준화율),Statistics,6.3,3.2,6.1,4.6,6.7
제주특별자치도 - 미충족의료율(표준화율),Statistics,6.5,3.4,5.9,4.3,6.5
제천시 - 미충족의료율(표준화율),Statistics,9.9,8.1,7.4,10.7,8.9
종로구 - 미충족의료율(표준화율),Statistics,6.9,4.5,8.6,4.8,6.2
중구 - 미충족의료율(표준화율),Statistics,3.0,3.2,3.6,2.3,2.5
중랑구 - 미충족의료율(표준화율),Statistics,7.7,2.9,1.5,5.7,3.8
중원구 - 미충족의료율(표준화율),Statistics,2.5,3.1,8.8,6.8,5.6
증평군 - 미충족의료율(표준화율),Statistics,4.8,4.2,4.9,11.8,5.6
진도군 - 미충족의료율(표준화율),Statistics,13.4,16.1,11.0,7.2,0.3
진안군 - 미충족의료율(표준화율),Statistics,4.6,1.2,5.8,4.4,5.7
진주시 - 미충족의료율(표준화율),Statistics,10.0,6.4,6.5,12.0,5.3
진천군 - 미충족의료율(표준화율),Statistics,5.9,4.3,4.1,7.7,3.1
진해 - 미충족의료율(표준화율),Statistics,3.5,3.4,5.3,7.0,4.0
창녕군 - 미충족의료율(표준화율),Statistics,,0.7,1.7,2.9,2.7
창원 - 미충족의료율(표준화율),Statistics,8.3,7.1,10.8,12.3,9.8
창원시 - 미충족의료율(표준화율),Statistics,8.5,8.3,8.3,8.8,7.2
처인구 - 미충족의료율(표준화율),Statistics,2.1,1.9,3.0,3.3,3.1
천안시 - 미충족의료율(표준화율),Statistics,4.8,7.5,6.5,7.2,5.4
철원군 - 미충족의료율(표준화율),Statistics,5.5,4.7,4.2,2.2,4.3
청도군 - 미충족의료율(표준화율),Statistics,13.6,7.8,8.2,3.6,4.6
청송군 - 미충족의료율(표준화율),Statistics,14.8,5.9,9.8,8.7,12.1
청양군 - 미충족의료율(표준화율),Statistics,8.3,3.5,3.6,3.3,3.2
청원구 - 미충족의료율(표준화율),Statistics,3.2,2.7,4.2,7.3,7.9
청주시 - 미충족의료율(표준화율),Statistics,5.0,3.8,6.8,7.9,7.4
춘천시 - 미충족의료율(표준화율),Statistics,7.4,6.2,8.9,13.8,10.8
충주시 - 미충족의료율(표준화율),Statistics,9.0,9.2,7.5,9.5,5.2
충청남도 - 미충족의료율(표준화율),Statistics,5.2,6.5,6.3,6.6,6.7
충청북도 - 미충족의료율(표준화율),Statistics,6.1,5.4,7.1,8.4,6.7
칠곡군 - 미충족의료율(표준화율),Statistics,1.5,3.9,4.3,3.7,3.6
태백시 - 미충족의료율(표준화율),Statistics,6.9,4.1,4.6,2.6,3.0
태안군 - 미충족의료율(표준화율),Statistics,11.6,6.8,9.1,4.9,7.2
통영시 - 미충족의료율(표준화율),Statistics,9.2,1.1,6.5,5.6,12.3
파주시 - 미충족의료율(표준화율),Statistics,3.5,3.1,3.7,8.8,9.2
팔달구 - 미충족의료율(표준화율),Statistics,0.5,5.5,4.9,8.9,7.3
