item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강진군 - 주민등록인구＜br＞(B),Statistics,50846.0,46381.0,44743.0,43550.0,42696.0,41938.0,41352.0,41153.0,41164.0,41624.0,41599.0,40241.0,40079.0,39861.0,38758.0,37753.0,36868.0,36144.0,35286.0,34597.0,33753.0,33177.0,32722.0
강화군 - 생활계폐기물발생량＜br＞(A),Statistics,31.3,39.7,40.7,38.6,49.8,42.7,46.6,55.7,52.4,66.1,61.5,79.4,45.7,29.9,45.8,50.5,49.1,96.2,130.2,86.5,79.6,51.4,100.8
강화군 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.5,0.6,0.6,0.6,0.8,0.7,0.7,0.8,0.8,1.0,0.9,1.2,0.7,0.4,0.7,0.7,0.7,1.4,1.9,1.2,1.1,0.7,1.5
강화군 - 주민등록인구＜br＞(B),Statistics,66860.0,65698.0,65044.0,65114.0,65389.0,65510.0,66466.0,67387.0,67049.0,67104.0,66779.0,66752.0,66735.0,67118.0,67667.0,68010.0,68754.0,68896.0,69178.0,69203.0,69693.0,69803.0,69005.0
거제시 - 생활계폐기물발생량＜br＞(A),Statistics,150.3,193.1,234.3,249.7,284.9,276.2,321.6,299.0,306.6,286.9,280.2,235.5,195.2,250.2,264.8,350.4,369.1,352.7,355.0,378.9,268.4,261.0,259.5
거제시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.8,1.1,1.3,1.3,1.5,1.4,1.5,1.4,1.4,1.3,1.2,1.0,0.8,1.0,1.0,1.4,1.5,1.4,1.4,1.5,1.1,1.1,1.1
거제시 - 주민등록인구＜br＞(B),Statistics,178980.0,182035.0,186208.0,190141.0,195609.0,201412.0,208208.0,217211.0,225522.0,228355.0,232787.0,236944.0,242077.0,248287.0,255828.0,257183.0,254073.0,250516.0,248276.0,245754.0,241216.0,236662.0,234038.0
거창군 - 생활계폐기물발생량＜br＞(A),Statistics,44.6,49.6,45.7,47.5,46.3,46.9,53.7,51.6,50.1,50.5,56.4,79.4,79.5,69.5,78.9,83.3,76.3,70.3,97.3,100.6,79.5,83.2,81.7
거창군 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.3,1.3,1.1,1.2,1.3,1.2,1.1,1.6,1.6,1.3,1.4,1.4
거창군 - 주민등록인구＜br＞(B),Statistics,68574.0,67224.0,66370.0,65615.0,64735.0,63917.0,63979.0,63268.0,63180.0,63421.0,63146.0,63103.0,63177.0,63137.0,63232.0,63308.0,62763.0,62455.0,62179.0,61502.0,61073.0,60387.0,60047.0
경기 여주군 - 생활계폐기물발생량＜br＞(A),Statistics,84.0,92.3,85.2,78.1,78.6,69.8,78.4,109.7,116.8,219.5,322.7,132.1,,,,,,,,,,,
경기 여주군 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.8,0.9,0.8,0.8,0.8,0.7,0.7,1.0,1.1,2.0,3.0,1.2,,,,,,,,,,,
경기 여주군 - 주민등록인구＜br＞(B),Statistics,104648.0,104380.0,104030.0,103976.0,104260.0,105022.0,106926.0,107355.0,108088.0,109250.0,109120.0,109550.0,,,,,,,,,,,
경기도 - 생활계폐기물발생량＜br＞(A),Statistics,8742.9,9069.0,9354.5,9167.1,9286.7,9166.3,9790.0,10195.6,10213.6,10362.4,10798.2,10428.2,9919.2,10452.1,11467.1,12069.5,11605.3,12406.1,13196.9,15212.8,14992.6,15647.6,15325.3
경기도 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.1,1.1,1.2,1.1
경기도 - 주민등록인구＜br＞(B),Statistics,9544496.0,9927473.0,10206851.0,10462920.0,10697215.0,10906033.0,11106211.0,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0
경남 마산시 - 생활계폐기물발생량＜br＞(A),Statistics,439.0,442.0,445.0,439.0,446.0,500.7,487.4,432.6,421.9,,,,,,,,,,,,,,
경남 마산시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.0,1.0,1.0,1.0,1.0,1.2,1.2,1.1,1.0,,,,,,,,,,,,,,
경남 마산시 - 주민등록인구＜br＞(B),Statistics,433135.0,432903.0,429612.0,427248.0,425018.0,421783.0,415805.0,411078.0,406307.0,,,,,,,,,,,,,,
경남 진해시 - 생활계폐기물발생량＜br＞(A),Statistics,128.4,129.3,130.0,133.8,135.8,151.9,180.9,178.8,183.5,,,,,,,,,,,,,,
경남 진해시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.0,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.1,,,,,,,,,,,,,,
경남 진해시 - 주민등록인구＜br＞(B),Statistics,134660.0,141124.0,150308.0,151393.0,156992.0,161175.0,163108.0,168696.0,171407.0,,,,,,,,,,,,,,
경남 창원시 - 생활계폐기물발생량＜br＞(A),Statistics,501.7,638.6,556.6,490.5,497.8,514.4,535.4,457.9,532.0,,,,,,,,,,,,,,
경남 창원시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.0,1.2,1.1,1.0,1.0,1.0,1.1,0.9,1.1,,,,,,,,,,,,,,
경남 창원시 - 주민등록인구＜br＞(B),Statistics,524068.0,513659.0,510439.0,507161.0,504520.0,503881.0,503930.0,503518.0,502727.0,,,,,,,,,,,,,,
경산시 - 생활계폐기물발생량＜br＞(A),Statistics,188.8,193.3,196.9,195.9,190.8,176.7,250.4,200.2,201.9,202.6,187.7,170.3,172.0,181.8,218.9,235.5,239.0,268.8,256.1,321.8,283.2,303.1,303.2
경산시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.9,0.9,0.9,0.9,0.8,0.8,1.1,0.8,0.9,0.8,0.8,0.7,0.7,0.7,0.9,0.9,0.9,1.0,1.0,1.2,1.1,1.1,1.1
경산시 - 주민등록인구＜br＞(B),Statistics,215995.0,218446.0,216240.0,219579.0,227766.0,234839.0,236881.0,237423.0,236459.0,240708.0,243684.0,246358.0,248805.0,253968.0,256888.0,258037.0,259485.0,261093.0,263185.0,263728.0,268369.0,267725.0,266205.0
경상남도 - 생활계폐기물발생량＜br＞(A),Statistics,2691.2,3002.0,3010.3,2969.6,3043.1,3170.5,3336.4,3179.8,3300.8,3270.0,3274.6,3453.6,3176.2,3452.5,3496.4,3951.4,4003.9,3937.3,4471.8,4609.8,4683.6,4263.6,4142.2
경상남도 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.2,1.2,1.3,1.4,1.4,1.3,1.3
경상남도 - 주민등록인구＜br＞(B),Statistics,3106502.0,3124418.0,3139017.0,3143814.0,3160431.0,3172857.0,3196953.0,3225255.0,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0
경상북도 - 생활계폐기물발생량＜br＞(A),Statistics,2134.0,2231.7,2340.0,2436.3,2430.0,2427.4,2676.7,2641.9,2673.5,2679.1,2594.2,2623.2,2804.4,2795.3,2805.0,2885.4,3163.5,3246.2,3569.4,3704.3,4023.3,3755.3,3660.7
경상북도 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.2,1.2,1.3,1.4,1.5,1.4,1.4
경상북도 - 주민등록인구＜br＞(B),Statistics,2784704.0,2756744.0,2720832.0,2695917.0,2688491.0,2688577.0,2681364.0,2673931.0,2669876.0,2689920.0,2699195.0,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0,2554324.0
경주시 - 생활계폐기물발생량＜br＞(A),Statistics,221.3,248.2,260.6,260.1,262.0,231.0,257.8,300.8,290.1,272.9,268.8,277.4,272.4,269.3,287.3,300.7,410.6,582.0,378.6,282.8,635.9,521.3,399.8
경주시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.8,0.9,0.9,0.9,1.0,0.8,0.9,1.1,1.1,1.0,1.0,1.1,1.0,1.0,1.1,1.2,1.6,2.3,1.5,1.1,2.5,2.1,1.6
경주시 - 주민등록인구＜br＞(B),Statistics,287506.0,284589.0,281177.0,277870.0,275087.0,273419.0,272206.0,269343.0,267466.0,267098.0,265488.0,264091.0,263283.0,261535.0,259773.0,259452.0,257903.0,256864.0,255402.0,253502.0,251889.0,249607.0,247489.0
계룡시 - 생활계폐기물발생량＜br＞(A),Statistics,,,25.8,26.7,25.5,31.9,41.2,40.6,37.8,35.1,86.2,56.5,47.7,64.0,41.8,44.7,45.3,42.8,46.3,37.9,40.7,52.8,46.9
계룡시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,,,0.8,0.9,0.7,0.9,1.1,1.0,0.9,0.8,2.0,1.4,1.2,1.6,1.0,1.0,1.0,1.0,1.1,0.9,0.9,1.2,1.0
계룡시 - 주민등록인구＜br＞(B),Statistics,,,31058.0,31174.0,34370.0,36846.0,37775.0,41411.0,42760.0,43088.0,42942.0,41550.0,40957.0,40552.0,41730.0,42634.0,43967.0,43731.0,42971.0,42822.0,43331.0,44475.0,46667.0
계양구 - 생활계폐기물발생량＜br＞(A),Statistics,297.9,371.8,391.8,280.0,228.0,191.3,262.1,242.3,284.8,266.1,234.7,241.8,262.0,185.2,195.2,206.4,206.0,218.8,228.4,323.0,361.5,323.9,342.5
계양구 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.9,1.1,1.2,0.8,0.7,0.6,0.8,0.7,0.8,0.8,0.7,0.7,0.8,0.5,0.6,0.6,0.6,0.7,0.8,1.1,1.2,1.1,1.2
계양구 - 주민등록인구＜br＞(B),Statistics,339696.0,341074.0,340175.0,337103.0,335435.0,342335.0,342564.0,342299.0,344039.0,347810.0,344299.0,342202.0,343806.0,339538.0,334332.0,330284.0,323784.0,312680.0,303471.0,296750.0,295696.0,288856.0,280266.0
고령군 - 생활계폐기물발생량＜br＞(A),Statistics,15.8,21.5,24.9,23.7,18.9,21.2,23.3,22.8,20.9,20.4,19.6,19.6,17.5,20.3,23.7,25.5,27.0,39.0,53.9,90.3,73.0,66.4,76.4
고령군 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.4,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.8,1.2,1.7,2.9,2.4,2.2,2.5
고령군 - 주민등록인구＜br＞(B),Statistics,36796.0,35978.0,34942.0,34522.0,34271.0,34777.0,34907.0,34770.0,34535.0,34678.0,35455.0,35343.0,35198.0,35033.0,34594.0,34257.0,33768.0,32969.0,32373.0,31361.0,30626.0,30353.0,30139.0
고성군 - 생활계폐기물발생량＜br＞(A),Statistics,39.0,44.9,49.7,51.7,36.7,42.4,45.8,31.4,46.5,56.5,71.4,71.1,69.7,57.9,58.2,50.0,61.2,34.0,55.7,65.2,64.1,76.1,72.1
고성군 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.1,1.3,1.5,1.6,1.1,1.4,1.5,1.0,1.5,1.9,2.4,2.4,2.3,1.9,1.9,1.7,2.0,1.2,2.0,2.4,2.4,2.8,2.6
고성군 - 주민등록인구＜br＞(B),Statistics,34643.0,33721.0,32739.0,32361.0,31964.0,31285.0,30383.0,30172.0,30272.0,30112.0,30057.0,30124.0,30398.0,30269.0,30060.0,30114.0,30029.0,28144.0,27260.0,26757.0,27249.0,27274.0,27305.0
고양시 - 생활계폐기물발생량＜br＞(A),Statistics,679.6,707.3,707.7,695.8,690.2,646.7,724.0,783.7,832.9,843.5,877.2,845.6,895.9,874.2,913.0,885.6,953.4,924.3,936.9,856.4,1297.4,1338.6,1138.2
고양시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,1.2,1.2,1.1
고양시 - 주민등록인구＜br＞(B),Statistics,811467.0,836664.0,865077.0,886000.0,904077.0,910206.0,924839.0,938831.0,938784.0,950115.0,961239.0,969916.0,990571.0,1006154.0,1027546.0,1039684.0,1041983.0,1044189.0,1066351.0,1079216.0,1079353.0,1076535.0,1074907.0
고창군 - 생활계폐기물발생량＜br＞(A),Statistics,49.7,49.9,48.7,48.6,49.2,49.2,52.1,50.7,47.9,45.7,41.5,45.0,45.6,54.1,43.7,44.3,80.8,63.1,62.0,63.5,64.8,69.5,60.5
고창군 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.8,0.8,0.8,0.7,0.7,0.8,0.9,0.7,0.7,1.3,1.1,1.1,1.2,1.2,1.3,1.2
고창군 - 주민등록인구＜br＞(B),Statistics,74286.0,69657.0,69639.0,65203.0,63676.0,62030.0,60962.0,60328.0,60102.0,60861.0,60065.0,60440.0,60522.0,60090.0,60046.0,60597.0,60472.0,57041.0,55504.0,54529.0,53386.0,52338.0,51750.0
고흥군 - 생활계폐기물발생량＜br＞(A),Statistics,66.8,65.0,64.0,61.6,59.5,58.8,55.1,70.9,76.1,61.0,60.2,64.3,63.6,58.0,63.7,55.0,60.7,64.9,80.2,70.9,73.6,80.4,84.2
고흥군 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.9,1.0,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.9,1.0,1.2,1.1,1.2,1.3,1.4
고흥군 - 주민등록인구＜br＞(B),Statistics,95864.0,92715.0,91518.0,86747.0,83830.0,81068.0,78589.0,76605.0,75127.0,73924.0,72607.0,71560.0,70631.0,69641.0,68601.0,67656.0,66736.0,65777.0,64913.0,63922.0,62762.0,61880.0,61113.0
곡성군 - 생활계폐기물발생량＜br＞(A),Statistics,29.5,23.9,24.8,24.2,28.2,26.0,29.1,27.4,25.1,17.7,18.7,19.9,20.2,22.8,26.6,25.1,21.7,21.5,21.0,47.1,61.4,26.6,27.0
곡성군 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.8,0.7,0.7,0.7,0.8,0.8,0.9,0.8,0.8,0.6,0.6,0.6,0.7,0.7,0.9,0.8,0.7,0.7,0.7,1.7,2.2,1.0,1.0
곡성군 - 주민등록인구＜br＞(B),Statistics,38767.0,36754.0,35297.0,34396.0,34157.0,33631.0,33311.0,32608.0,32084.0,31886.0,31332.0,30878.0,31009.0,30732.0,30672.0,30400.0,30131.0,29624.0,28887.0,28039.0,27535.0,27060.0,26905.0
공주시 - 생활계폐기물발생량＜br＞(A),Statistics,102.0,117.0,220.1,827.9,123.4,119.6,126.4,144.6,136.5,135.1,135.5,130.6,130.7,128.1,150.0,141.2,155.8,173.8,140.9,98.1,101.0,96.9,94.9
공주시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.8,0.9,1.7,6.4,1.0,0.9,1.0,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.3,1.3,1.4,1.6,1.3,0.9,1.0,0.9,0.9
공주시 - 주민등록인구＜br＞(B),Statistics,133978.0,132584.0,130957.0,130280.0,129489.0,128330.0,126612.0,125143.0,124172.0,124930.0,124748.0,117298.0,116369.0,113621.0,111261.0,109931.0,108432.0,107581.0,106474.0,104545.0,103145.0,102571.0,102104.0
과천시 - 생활계폐기물발생량＜br＞(A),Statistics,77.4,85.3,83.3,82.6,73.1,51.8,70.3,82.4,80.1,79.8,78.2,79.5,76.8,73.6,73.5,89.6,70.3,88.7,89.2,100.4,87.6,94.4,92.9
과천시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.1,1.2,1.2,1.2,1.2,0.9,1.1,1.2,1.1,1.1,1.1,1.1,1.1,1.0,1.1,1.4,1.2,1.5,1.5,1.6,1.2,1.2,1.1
과천시 - 주민등록인구＜br＞(B),Statistics,71201.0,70488.0,70324.0,68333.0,60956.0,60482.0,62291.0,69477.0,72049.0,72279.0,71955.0,71068.0,70578.0,70156.0,68946.0,63778.0,57527.0,58142.0,58289.0,63231.0,73345.0,78137.0,81000.0
관악구 - 생활계폐기물발생량＜br＞(A),Statistics,501.2,520.6,563.1,583.4,551.0,581.7,569.3,540.3,474.4,340.0,321.0,317.6,315.5,354.3,337.9,339.7,361.8,436.8,434.7,401.6,400.4,442.7,402.4
관악구 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.9,1.0,1.1,1.1,1.0,1.1,1.1,1.0,0.9,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.9,0.9,0.8,0.8,0.9,0.8
관악구 - 주민등록인구＜br＞(B),Statistics,527764.0,522207.0,522456.0,530156.0,530020.0,535217.0,535571.0,534556.0,529869.0,531434.0,526397.0,523029.0,518028.0,513186.0,509663.0,506851.0,503297.0,501957.0,500094.0,495060.0,485699.0,486752.0,481956.0
광명시 - 생활계폐기물발생량＜br＞(A),Statistics,360.6,379.4,371.1,366.9,340.0,237.3,250.1,278.8,266.0,271.8,276.1,268.1,256.7,251.5,250.0,244.3,255.9,268.1,282.0,490.9,269.9,281.5,277.5
광명시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.1,1.1,1.1,1.1,1.0,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1.6,0.9,1.0,1.0
광명시 - 주민등록인구＜br＞(B),Statistics,336309.0,340807.0,336083.0,331419.0,327828.0,313372.0,313019.0,310501.0,314257.0,343982.0,355226.0,355560.0,353100.0,348560.0,344978.0,339484.0,332790.0,326841.0,316552.0,298599.0,292893.0,287945.0,280197.0
광산구 - 생활계폐기물발생량＜br＞(A),Statistics,307.0,317.5,301.8,311.8,298.8,292.7,291.2,324.4,324.3,293.4,288.2,293.8,303.0,319.5,355.9,345.6,353.0,365.1,418.7,419.3,481.4,453.6,448.7
광산구 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.2,1.2,1.1,1.1,1.0,0.9,0.9,1.0,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.0,1.2,1.1,1.1
광산구 - 주민등록인구＜br＞(B),Statistics,263032.0,275301.0,286982.0,296101.0,306989.0,311621.0,316101.0,320660.0,342936.0,363239.0,375509.0,385101.0,392875.0,397281.0,400753.0,403049.0,404131.0,404547.0,405315.0,405579.0,404221.0,400654.0,396741.0
광양시 - 생활계폐기물발생량＜br＞(A),Statistics,118.0,131.1,125.7,118.7,132.6,132.2,127.1,188.6,125.9,131.0,144.0,155.5,264.9,196.0,220.6,244.0,233.6,243.8,236.6,230.8,214.0,208.1,195.8
광양시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.9,1.0,0.9,0.9,1.0,1.0,0.9,1.3,0.9,0.9,1.0,1.0,1.7,1.3,1.4,1.6,1.5,1.6,1.5,1.5,1.4,1.4,1.3
광양시 - 주민등록인구＜br＞(B),Statistics,138238.0,137913.0,136484.0,137601.0,138098.0,138237.0,138865.0,141388.0,143461.0,145512.0,150725.0,150837.0,151621.0,152097.0,153587.0,155580.0,155857.0,156564.0,156750.0,151769.0,150531.0,152168.0,152666.0
광주광역시 - 생활계폐기물발생량＜br＞(A),Statistics,1468.8,1494.0,1487.9,1543.8,1503.5,1478.4,1449.4,1480.8,1430.0,1396.9,1333.9,1328.8,1327.0,1316.4,1272.9,1247.2,1269.1,1272.3,1368.3,1351.4,1553.5,1452.8,1446.4
광주광역시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,1.1,1.0,1.0
광주광역시 - 주민등록인구＜br＞(B),Statistics,1383765.0,1397452.0,1395762.0,1401172.0,1401745.0,1407798.0,1413444.0,1422702.0,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0,1419237.0
광주시 - 생활계폐기물발생량＜br＞(A),Statistics,163.0,185.7,197.3,198.0,223.8,186.7,234.3,245.1,247.1,262.1,233.8,250.6,257.6,271.2,292.7,295.9,301.0,366.7,312.2,265.4,392.2,397.4,418.3
광주시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.1,1.1,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.8,0.7,1.0,1.0,1.1
