item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
서울특별시 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,90.6,92.2,92.3,95.5,101.7,108.6,110.3,114.3,112.4,112.3,111.1,108.7,117.1,114.0,115.5,104.0,86.2,110.8,115.8,124.3
서울특별시 - 주민등록인구＜br＞(B),Statistics,10173162.0,10167344.0,10181166.0,10192710.0,10200827.0,10208302.0,10312545.0,10249679.0,10195318.0,10143645.0,10103233.0,10022181.0,9930616.0,9857426.0,9765623.0,9729107.0,9668465.0,9509458.0,9428372.0,9386034.0
서울특별시 - 체육시설수＜br＞(A),Statistics,9214.0,9371.0,9400.0,9734.0,10371.0,11091.0,11372.0,11717.0,11456.0,11393.0,11221.0,10895.0,11631.0,11237.0,11279.0,10116.0,8331.0,10537.0,10921.0,11667.0
세종특별자치시 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,,,,,,,,,113.2,112.2,103.1,97.2,101.2,99.3,84.0,83.1,91.1,100.3,98.5,106.3
세종특별자치시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,113117.0,122153.0,156125.0,210884.0,243048.0,280100.0,314126.0,340575.0,355831.0,371895.0,383591.0,386525.0
세종특별자치시 - 체육시설수＜br＞(A),Statistics,,,,,,,,,128.0,137.0,161.0,205.0,246.0,278.0,264.0,283.0,324.0,373.0,378.0,411.0
울산광역시 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,76.6,81.4,83.2,92.4,109.9,123.9,128.5,129.9,126.8,127.2,133.8,128.5,134.1,134.7,126.7,110.8,103.7,117.4,122.4,111.4
울산광역시 - 주민등록인구＜br＞(B),Statistics,1081453.0,1087648.0,1092494.0,1099995.0,1112407.0,1114866.0,1126298.0,1135494.0,1147256.0,1156480.0,1166377.0,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,1121592.0,1110663.0,1103661.0
울산광역시 - 체육시설수＜br＞(A),Statistics,828.0,885.0,909.0,1016.0,1222.0,1381.0,1447.0,1475.0,1455.0,1471.0,1561.0,1508.0,1572.0,1569.0,1464.0,1272.0,1178.0,1317.0,1359.0,1230.0
인천광역시 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,90.4,90.9,92.7,93.7,100.6,108.2,112.2,111.6,112.2,109.4,103.4,110.1,118.5,111.7,109.4,106.6,104.4,115.4,118.8,126.2
인천광역시 - 주민등록인구＜br＞(B),Statistics,2578817.0,2600495.0,2624391.0,2664576.0,2692696.0,2710579.0,2758296.0,2801274.0,2843981.0,2879782.0,2902608.0,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,2948375.0,2967314.0,2997410.0
인천광역시 - 체육시설수＜br＞(A),Statistics,2331.0,2365.0,2432.0,2496.0,2708.0,2932.0,3094.0,3126.0,3191.0,3150.0,3001.0,3221.0,3487.0,3293.0,3233.0,3153.0,3073.0,3402.0,3524.0,3784.0
전국 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,85.8,87.5,88.1,93.0,102.2,108.2,110.2,112.0,110.7,109.7,110.3,108.4,112.8,113.7,109.7,102.1,100.9,111.1,117.9,125.4
전국 - 주민등록인구＜br＞(B),Statistics,48583805.0,48782274.0,48991779.0,49268928.0,49540367.0,49773145.0,50515666.0,50734284.0,50948272.0,51141463.0,51327916.0,51529338.0,51696216.0,51778544.0,51826059.0,51849861.0,51829023.0,51638809.0,51439038.0,51325329.0
전국 - 체육시설수＜br＞(A),Statistics,41672.0,42703.0,43168.0,45800.0,50612.0,53851.0,55648.0,56807.0,56422.0,56124.0,56629.0,55857.0,58321.0,58884.0,56854.0,52960.0,52274.0,57380.0,60644.0,64378.0
전라남도 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,82.2,83.7,84.8,92.7,96.5,103.0,113.4,111.9,114.5,116.7,119.2,119.3,121.9,126.6,128.6,118.7,113.2,118.5,124.7,130.0
전라남도 - 주민등록인구＜br＞(B),Statistics,1986192.0,1967205.0,1942925.0,1929836.0,1919000.0,1913004.0,1918485.0,1914339.0,1909618.0,1907172.0,1905780.0,1908996.0,1903914.0,1896424.0,1882970.0,1868745.0,1851549.0,1832803.0,1817697.0,1804217.0
전라남도 - 체육시설수＜br＞(A),Statistics,1632.0,1646.0,1647.0,1788.0,1851.0,1970.0,2175.0,2142.0,2187.0,2225.0,2271.0,2277.0,2320.0,2401.0,2422.0,2218.0,2096.0,2171.0,2267.0,2345.0
전북특별자치도 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,98.0,97.7,97.3,97.2,110.7,108.5,110.9,116.4,116.5,107.7,117.7,112.4,113.9,113.8,120.5,122.4,113.3,119.9,123.4,137.2
전북특별자치도 - 주민등록인구＜br＞(B),Statistics,1906742.0,1885335.0,1868365.0,1862277.0,1855772.0,1854508.0,1868963.0,1874031.0,1873341.0,1872965.0,1871560.0,1869711.0,1864791.0,1854607.0,1836832.0,1818917.0,1804104.0,1786855.0,1769607.0,1754757.0
전북특별자치도 - 체육시설수＜br＞(A),Statistics,1869.0,1842.0,1818.0,1810.0,2054.0,2013.0,2072.0,2181.0,2183.0,2017.0,2203.0,2101.0,2124.0,2110.0,2214.0,2226.0,2044.0,2143.0,2183.0,2408.0
제주특별자치도 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,114.3,118.0,126.6,133.9,131.6,136.8,152.1,140.8,143.6,140.6,141.9,138.2,121.6,121.6,119.5,114.6,127.3,136.8,150.7,154.2
제주특별자치도 - 주민등록인구＜br＞(B),Statistics,555362.0,557569.0,558496.0,559258.0,560618.0,562663.0,571255.0,576156.0,583713.0,593806.0,607346.0,624395.0,641597.0,657083.0,667191.0,670989.0,674635.0,676759.0,678159.0,675252.0
제주특별자치도 - 체육시설수＜br＞(A),Statistics,635.0,658.0,707.0,749.0,738.0,770.0,869.0,811.0,838.0,835.0,862.0,863.0,780.0,799.0,797.0,769.0,859.0,926.0,1022.0,1041.0
충청남도 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,78.3,83.0,83.7,87.0,97.3,106.8,105.1,105.4,101.1,104.0,102.5,100.4,107.9,106.8,85.4,102.8,106.8,109.6,120.7,125.9
충청남도 - 주민등록인구＜br＞(B),Statistics,1953406.0,1962646.0,1974433.0,1995531.0,2018537.0,2037582.0,2075514.0,2101284.0,2028777.0,2047631.0,2062273.0,2077649.0,2096727.0,2116770.0,2126282.0,2123709.0,2121029.0,2119257.0,2123037.0,2130119.0
충청남도 - 체육시설수＜br＞(A),Statistics,1530.0,1629.0,1653.0,1736.0,1965.0,2177.0,2182.0,2214.0,2051.0,2129.0,2113.0,2086.0,2263.0,2261.0,1816.0,2183.0,2265.0,2322.0,2563.0,2681.0
충청북도 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,81.9,83.4,86.4,91.9,102.0,108.3,111.6,111.5,108.4,108.8,110.2,111.4,114.9,127.8,111.9,103.6,107.2,117.4,125.3,121.2
충청북도 - 주민등록인구＜br＞(B),Statistics,1488945.0,1488803.0,1494559.0,1506608.0,1519587.0,1527478.0,1549528.0,1562903.0,1565628.0,1572732.0,1578933.0,1583952.0,1591625.0,1594432.0,1599252.0,1600007.0,1600837.0,1597427.0,1595058.0,1593469.0
충청북도 - 체육시설수＜br＞(A),Statistics,1219.0,1241.0,1292.0,1384.0,1550.0,1655.0,1729.0,1743.0,1697.0,1711.0,1740.0,1765.0,1828.0,2037.0,1789.0,1657.0,1716.0,1876.0,1999.0,1931.0
