item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
경산시 - 다문화 혼인 건수(건),Statistics,123.0,133.0,121.0,141.0,108.0,107.0,111.0,122.0,114.0,98.0,133.0,74.0,71.0,77.0,101.0
경산시 - 다문화 혼인 비중(%),Statistics,8.8,8.4,7.5,8.9,6.8,7.1,7.1,7.8,8.4,7.5,10.9,7.4,8.0,8.4,11.1
경산시 - 전체 혼인 건수(건),Statistics,1401.0,1577.0,1622.0,1588.0,1584.0,1505.0,1574.0,1560.0,1355.0,1303.0,1224.0,999.0,889.0,919.0,910.0
경상남도 - 다문화 혼인 건수(건),Statistics,1914.0,2147.0,1721.0,1598.0,1405.0,1271.0,1240.0,1280.0,1292.0,1299.0,1385.0,879.0,661.0,972.0,1127.0
경상남도 - 다문화 혼인 비중(%),Statistics,9.7,10.0,8.2,7.8,6.8,6.6,6.6,7.2,8.0,8.5,10.0,7.3,6.2,9.1,10.8
경상남도 - 전체 혼인 건수(건),Statistics,19715.0,21385.0,20964.0,20362.0,20525.0,19311.0,18919.0,17809.0,16249.0,15280.0,13901.0,12100.0,10662.0,10693.0,10436.0
경상북도 - 다문화 혼인 건수(건),Statistics,1375.0,1626.0,1423.0,1335.0,1136.0,1033.0,1002.0,1052.0,1043.0,1120.0,1175.0,746.0,493.0,802.0,963.0
경상북도 - 다문화 혼인 비중(%),Statistics,9.4,10.3,8.8,8.6,7.3,7.2,6.9,7.8,8.4,9.4,10.9,8.1,6.0,9.6,11.6
경상북도 - 전체 혼인 건수(건),Statistics,14634.0,15738.0,16085.0,15538.0,15580.0,14351.0,14432.0,13530.0,12362.0,11861.0,10809.0,9159.0,8262.0,8325.0,8294.0
경주시 - 다문화 혼인 건수(건),Statistics,130.0,144.0,138.0,144.0,139.0,115.0,123.0,126.0,113.0,151.0,128.0,98.0,55.0,109.0,97.0
경주시 - 다문화 혼인 비중(%),Statistics,9.4,10.2,9.7,10.5,9.3,8.7,9.6,10.9,10.7,13.0,12.8,11.2,7.1,13.8,12.1
경주시 - 전체 혼인 건수(건),Statistics,1389.0,1415.0,1430.0,1377.0,1487.0,1322.0,1284.0,1153.0,1061.0,1158.0,999.0,878.0,770.0,792.0,804.0
계룡시 - 다문화 혼인 건수(건),Statistics,9.0,11.0,11.0,13.0,13.0,10.0,10.0,13.0,8.0,8.0,4.0,5.0,5.0,5.0,10.0
계룡시 - 다문화 혼인 비중(%),Statistics,4.0,6.2,6.4,7.1,7.2,6.8,5.8,7.5,6.0,6.4,3.3,4.2,4.2,3.8,5.8
계룡시 - 전체 혼인 건수(건),Statistics,223.0,177.0,171.0,183.0,181.0,147.0,173.0,174.0,133.0,125.0,120.0,119.0,120.0,133.0,172.0
계양구 - 다문화 혼인 건수(건),Statistics,222.0,210.0,187.0,164.0,164.0,132.0,95.0,138.0,133.0,147.0,142.0,81.0,72.0,89.0,88.0
계양구 - 다문화 혼인 비중(%),Statistics,10.5,9.4,8.2,7.2,7.4,6.6,4.9,8.0,8.3,9.6,11.2,7.8,7.0,8.7,9.1
계양구 - 전체 혼인 건수(건),Statistics,2121.0,2245.0,2293.0,2265.0,2219.0,1988.0,1957.0,1724.0,1604.0,1530.0,1273.0,1039.0,1025.0,1025.0,970.0
고령군 - 다문화 혼인 건수(건),Statistics,14.0,26.0,27.0,27.0,24.0,17.0,11.0,16.0,16.0,16.0,17.0,6.0,7.0,11.0,15.0
고령군 - 다문화 혼인 비중(%),Statistics,9.2,17.3,16.3,16.2,13.0,11.1,8.3,12.5,13.3,14.2,18.9,9.4,11.5,19.3,19.5
고령군 - 전체 혼인 건수(건),Statistics,153.0,150.0,166.0,167.0,185.0,153.0,133.0,128.0,120.0,113.0,90.0,64.0,61.0,57.0,77.0
고성군 - 다문화 혼인 건수(건),Statistics,22.0,24.0,14.0,14.0,19.0,9.0,10.0,8.0,6.0,15.0,10.0,9.0,3.0,11.0,7.0
고성군 - 다문화 혼인 비중(%),Statistics,13.3,13.6,8.5,8.0,11.4,6.0,5.8,4.5,4.4,10.6,7.7,9.1,3.2,9.8,7.4
고성군 - 전체 혼인 건수(건),Statistics,165.0,177.0,164.0,176.0,167.0,151.0,172.0,178.0,137.0,142.0,130.0,99.0,95.0,112.0,95.0
고양시 - 다문화 혼인 건수(건),Statistics,523.0,513.0,439.0,445.0,455.0,384.0,376.0,386.0,364.0,410.0,431.0,310.0,301.0,321.0,376.0
고양시 - 다문화 혼인 비중(%),Statistics,10.3,9.3,7.8,8.1,8.1,7.0,6.9,7.7,7.5,9.2,9.5,7.3,7.1,8.1,10.0
고양시 - 전체 혼인 건수(건),Statistics,5059.0,5498.0,5644.0,5494.0,5613.0,5454.0,5488.0,5042.0,4831.0,4441.0,4549.0,4262.0,4252.0,3979.0,3751.0
고창군 - 다문화 혼인 건수(건),Statistics,56.0,55.0,42.0,53.0,47.0,32.0,37.0,36.0,25.0,29.0,44.0,21.0,19.0,27.0,31.0
고창군 - 다문화 혼인 비중(%),Statistics,22.8,20.4,15.8,21.2,17.3,13.6,17.4,16.1,12.3,15.5,21.7,13.8,14.5,19.6,24.0
고창군 - 전체 혼인 건수(건),Statistics,246.0,270.0,266.0,250.0,272.0,235.0,213.0,224.0,204.0,187.0,203.0,152.0,131.0,138.0,129.0
고흥군 - 다문화 혼인 건수(건),Statistics,51.0,59.0,45.0,42.0,52.0,31.0,25.0,33.0,14.0,30.0,26.0,19.0,14.0,23.0,27.0
고흥군 - 다문화 혼인 비중(%),Statistics,17.5,18.6,16.7,17.9,20.0,12.9,11.9,14.9,8.0,15.6,12.3,12.7,10.1,16.0,17.9
고흥군 - 전체 혼인 건수(건),Statistics,291.0,317.0,269.0,234.0,260.0,240.0,210.0,222.0,176.0,192.0,212.0,150.0,139.0,144.0,151.0
곡성군 - 다문화 혼인 건수(건),Statistics,30.0,28.0,21.0,19.0,13.0,20.0,4.0,14.0,9.0,12.0,15.0,3.0,3.0,5.0,14.0
곡성군 - 다문화 혼인 비중(%),Statistics,23.3,20.6,18.1,16.7,12.6,19.6,4.7,14.7,8.4,17.1,18.1,5.7,6.3,9.8,25.5
곡성군 - 전체 혼인 건수(건),Statistics,129.0,136.0,116.0,114.0,103.0,102.0,85.0,95.0,107.0,70.0,83.0,53.0,48.0,51.0,55.0
공주시 - 다문화 혼인 건수(건),Statistics,104.0,97.0,89.0,56.0,69.0,72.0,39.0,48.0,46.0,45.0,46.0,23.0,16.0,35.0,34.0
공주시 - 다문화 혼인 비중(%),Statistics,15.7,15.7,13.5,9.9,12.1,13.2,7.9,11.7,11.7,11.1,12.5,7.7,6.1,11.4,12.9
공주시 - 전체 혼인 건수(건),Statistics,663.0,616.0,658.0,566.0,569.0,545.0,491.0,412.0,392.0,406.0,367.0,299.0,264.0,308.0,263.0
과천시 - 다문화 혼인 건수(건),Statistics,21.0,24.0,29.0,19.0,31.0,28.0,25.0,21.0,14.0,15.0,10.0,13.0,18.0,23.0,22.0
과천시 - 다문화 혼인 비중(%),Statistics,5.6,6.4,7.3,5.2,7.8,8.2,6.3,7.7,6.5,6.3,4.1,4.1,5.2,4.6,7.0
과천시 - 전체 혼인 건수(건),Statistics,377.0,375.0,395.0,368.0,395.0,341.0,394.0,272.0,214.0,238.0,243.0,316.0,345.0,496.0,313.0
관악구 - 다문화 혼인 건수(건),Statistics,468.0,483.0,392.0,374.0,377.0,327.0,301.0,306.0,305.0,275.0,351.0,196.0,189.0,196.0,234.0
관악구 - 다문화 혼인 비중(%),Statistics,10.6,10.7,8.8,8.2,8.8,8.0,7.6,8.4,9.3,8.7,12.1,7.6,8.8,9.7,11.8
관악구 - 전체 혼인 건수(건),Statistics,4436.0,4494.0,4474.0,4547.0,4299.0,4066.0,3953.0,3630.0,3273.0,3157.0,2899.0,2573.0,2156.0,2012.0,1989.0
광명시 - 다문화 혼인 건수(건),Statistics,192.0,207.0,198.0,173.0,179.0,160.0,148.0,121.0,126.0,153.0,129.0,89.0,53.0,88.0,96.0
