item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
세종특별자치시 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,,,,8.5,9.1,8.1,7.1,6.2,5.9,6.1,6.3,5.0,4.9,4.9,5.1,5.1
세종특별자치시 - 주민등록인구＜br＞(B),Statistics,,,,113117.0,122153.0,156125.0,210884.0,243048.0,280100.0,314126.0,340575.0,355831.0,371895.0,383591.0,386525.0,390685.0
세종특별자치시 - 지방자치단체 공무원현원＜br＞(A),Statistics,,,,965.0,1109.0,1269.0,1507.0,1514.0,1640.0,1906.0,2132.0,1767.0,1840.0,1873.0,1957.0,1989.0
울산광역시 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,4.6,4.6,4.6,4.7,4.7,4.8,5.0,5.1,5.2,5.5,5.8,5.0,5.2,5.4,5.5,5.6
울산광역시 - 주민등록인구＜br＞(B),Statistics,1114866.0,1126298.0,1135494.0,1147256.0,1156480.0,1166377.0,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,1121592.0,1110663.0,1103661.0,1098049.0
울산광역시 - 지방자치단체 공무원현원＜br＞(A),Statistics,5177.0,5208.0,5263.0,5348.0,5378.0,5609.0,5816.0,5921.0,6065.0,6409.0,6684.0,5644.0,5846.0,5989.0,6124.0,6145.0
인천광역시 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,4.8,4.8,4.8,4.8,4.5,4.6,4.6,4.7,4.7,4.9,5.3,4.6,4.7,4.9,4.9,4.9
인천광역시 - 주민등록인구＜br＞(B),Statistics,2710579.0,2758296.0,2801274.0,2843981.0,2879782.0,2902608.0,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,2948375.0,2967314.0,2997410.0,3021010.0
인천광역시 - 지방자치단체 공무원현원＜br＞(A),Statistics,13093.0,13176.0,13413.0,13534.0,12956.0,13301.0,13585.0,13721.0,13975.0,14515.0,15662.0,13478.0,13994.0,14485.0,14625.0,14669.0
전국 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,5.6,5.5,5.5,5.6,5.6,5.6,5.7,5.9,6.0,6.2,6.5,5.6,5.8,6.0,6.1,6.2
전국 - 주민등록인구＜br＞(B),Statistics,49773145.0,50515666.0,50734284.0,50948272.0,51141463.0,51327916.0,51529338.0,51696216.0,51778544.0,51826059.0,51849861.0,51829023.0,51638809.0,51439038.0,51325329.0,51217221.0
전국 - 지방자치단체 공무원현원＜br＞(A),Statistics,278303.0,279636.0,281035.0,284355.0,287299.0,289914.0,296273.0,303401.0,310654.0,322862.0,337084.0,292182.0,301930.0,308879.0,313296.0,315205.0
전라남도 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,10.3,10.2,10.3,10.3,10.3,10.4,10.7,10.8,11.0,11.5,12.1,10.9,11.3,11.7,11.9,11.9
전라남도 - 주민등록인구＜br＞(B),Statistics,1913004.0,1918485.0,1914339.0,1909618.0,1907172.0,1905780.0,1908996.0,1903914.0,1896424.0,1882970.0,1868745.0,1851549.0,1832803.0,1817697.0,1804217.0,1788819.0
전라남도 - 지방자치단체 공무원현원＜br＞(A),Statistics,19620.0,19555.0,19660.0,19674.0,19686.0,19864.0,20332.0,20604.0,20930.0,21698.0,22685.0,20247.0,20706.0,21343.0,21549.0,21319.0
전북특별자치도 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,8.3,8.3,8.3,8.4,8.4,8.5,8.7,8.9,9.0,9.3,9.8,8.7,9.1,9.4,9.5,9.7
전북특별자치도 - 주민등록인구＜br＞(B),Statistics,1854508.0,1868963.0,1874031.0,1873341.0,1872965.0,1871560.0,1869711.0,1864791.0,1854607.0,1836832.0,1818917.0,1804104.0,1786855.0,1769607.0,1754757.0,1738690.0
전북특별자치도 - 지방자치단체 공무원현원＜br＞(A),Statistics,15437.0,15421.0,15613.0,15773.0,15814.0,15930.0,16190.0,16535.0,16644.0,17042.0,17811.0,15639.0,16244.0,16547.0,16729.0,16783.0
제주특별자치도 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,8.7,8.6,8.6,8.5,8.4,8.4,8.4,8.4,8.4,8.8,9.0,7.6,7.7,7.7,7.8,8.0
제주특별자치도 - 주민등록인구＜br＞(B),Statistics,562663.0,571255.0,576156.0,583713.0,593806.0,607346.0,624395.0,641597.0,657083.0,667191.0,670989.0,674635.0,676759.0,678159.0,675252.0,670368.0
제주특별자치도 - 지방자치단체 공무원현원＜br＞(A),Statistics,4899.0,4931.0,4978.0,4985.0,5006.0,5110.0,5219.0,5367.0,5492.0,5862.0,6023.0,5157.0,5235.0,5229.0,5279.0,5330.0
충청남도 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,8.1,8.1,8.0,8.0,8.0,8.1,8.1,8.1,8.2,8.6,9.1,7.8,8.2,8.4,8.5,8.6
충청남도 - 주민등록인구＜br＞(B),Statistics,2037582.0,2075514.0,2101284.0,2028777.0,2047631.0,2062273.0,2077649.0,2096727.0,2116770.0,2126282.0,2123709.0,2121029.0,2119257.0,2123037.0,2130119.0,2136574.0
충청남도 - 지방자치단체 공무원현원＜br＞(A),Statistics,16462.0,16712.0,16789.0,16145.0,16437.0,16642.0,16781.0,17081.0,17441.0,18180.0,19313.0,16522.0,17339.0,17780.0,18210.0,18271.0
충청북도 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,7.9,7.9,7.8,7.9,8.0,8.1,8.2,8.3,8.4,8.7,9.2,8.1,8.4,8.6,8.7,8.7
충청북도 - 주민등록인구＜br＞(B),Statistics,1527478.0,1549528.0,1562903.0,1565628.0,1572732.0,1578933.0,1583952.0,1591625.0,1594432.0,1599252.0,1600007.0,1600837.0,1597427.0,1595058.0,1593469.0,1591177.0
충청북도 - 지방자치단체 공무원현원＜br＞(A),Statistics,12113.0,12192.0,12196.0,12294.0,12548.0,12745.0,12944.0,13262.0,13451.0,13947.0,14661.0,13040.0,13423.0,13720.0,13839.0,13817.0
