item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
거제시 - 식량작물,Statistics,713.0,530.0,536.0,313.0,1387.0,277.0,284.0,431.0,492.0,1187.0,472.0,447.0,597.0,515.0
거제시 - 채소·산나물,Statistics,971.0,1145.0,1539.0,1860.0,1175.0,1878.0,1737.0,1547.0,1413.0,1324.0,1959.0,1920.0,1878.0,1671.0
거제시 - 축산,Statistics,128.0,128.0,107.0,101.0,98.0,158.0,174.0,144.0,203.0,67.0,27.0,47.0,67.0,67.0
거창군 - 계,Statistics,9453.0,8774.0,8420.0,8100.0,8191.0,7315.0,7212.0,7166.0,7061.0,6503.0,5931.0,5785.0,5535.0,5445.0
거창군 - 과수,Statistics,3074.0,2805.0,2528.0,2558.0,2082.0,2086.0,1999.0,1818.0,1931.0,1649.0,1404.0,1366.0,1314.0,1297.0
거창군 - 기타작물,Statistics,212.0,86.0,224.0,207.0,610.0,409.0,445.0,382.0,444.0,623.0,636.0,839.0,517.0,547.0
거창군 - 논벼,Statistics,4396.0,3936.0,3327.0,3203.0,3375.0,3202.0,2957.0,2885.0,2488.0,2683.0,2139.0,2006.0,1957.0,1992.0
거창군 - 식량작물,Statistics,486.0,818.0,838.0,725.0,874.0,202.0,567.0,267.0,507.0,658.0,502.0,469.0,522.0,446.0
거창군 - 채소·산나물,Statistics,598.0,640.0,908.0,794.0,772.0,947.0,784.0,1358.0,1028.0,566.0,986.0,779.0,876.0,882.0
거창군 - 축산,Statistics,686.0,489.0,594.0,613.0,478.0,469.0,461.0,458.0,663.0,324.0,263.0,326.0,349.0,281.0
경기도 - 계,Statistics,137548.0,137049.0,133012.0,129904.0,126679.0,120317.0,117225.0,113288.0,109470.0,120979.0,114901.0,114222.0,109629.0,106373.0
경기도 - 과수,Statistics,10613.0,10889.0,10415.0,10540.0,8911.0,8775.0,9270.0,8931.0,8636.0,9746.0,9457.0,9402.0,8746.0,8445.0
경기도 - 기타작물,Statistics,10817.0,8549.0,7989.0,7713.0,10489.0,10536.0,9588.0,8671.0,8560.0,13440.0,12590.0,15379.0,15175.0,14786.0
경기도 - 논벼,Statistics,68179.0,66341.0,62489.0,60990.0,58975.0,54708.0,53637.0,50973.0,49358.0,51853.0,48990.0,49886.0,47534.0,45459.0
경기도 - 식량작물,Statistics,11422.0,10873.0,12842.0,12703.0,22679.0,8823.0,10860.0,13100.0,14081.0,23393.0,12854.0,13025.0,12833.0,12299.0
경기도 - 채소·산나물,Statistics,27624.0,31557.0,30868.0,30030.0,18542.0,31345.0,27264.0,25292.0,22726.0,16940.0,25360.0,20830.0,19673.0,20014.0
경기도 - 축산,Statistics,8893.0,8840.0,8409.0,7928.0,7083.0,6130.0,6606.0,6321.0,6108.0,5607.0,5650.0,5701.0,5670.0,5369.0
경산시 - 계,Statistics,8594.0,8233.0,8237.0,8192.0,7947.0,7620.0,7447.0,7169.0,7167.0,7511.0,7278.0,7037.0,6811.0,6827.0
경산시 - 과수,Statistics,5833.0,5749.0,5723.0,5821.0,5389.0,5410.0,5149.0,4886.0,4809.0,5022.0,5758.0,5591.0,5067.0,5158.0
경산시 - 기타작물,Statistics,721.0,434.0,419.0,489.0,553.0,681.0,614.0,556.0,641.0,714.0,191.0,290.0,267.0,418.0
경산시 - 논벼,Statistics,732.0,705.0,660.0,616.0,676.0,604.0,520.0,580.0,519.0,657.0,296.0,380.0,351.0,379.0
경산시 - 식량작물,Statistics,226.0,176.0,169.0,152.0,340.0,143.0,211.0,156.0,105.0,311.0,144.0,160.0,283.0,175.0
경산시 - 채소·산나물,Statistics,395.0,513.0,576.0,495.0,481.0,537.0,661.0,685.0,714.0,427.0,585.0,357.0,465.0,407.0
경산시 - 축산,Statistics,687.0,655.0,692.0,619.0,508.0,246.0,292.0,307.0,379.0,380.0,303.0,259.0,378.0,289.0
경상남도 - 계,Statistics,140341.0,137505.0,136708.0,135112.0,131455.0,127515.0,124865.0,122953.0,122083.0,120768.0,117660.0,119585.0,116270.0,113007.0
경상남도 - 과수,Statistics,23806.0,22653.0,22941.0,23361.0,21691.0,23362.0,21575.0,21314.0,22796.0,21378.0,23004.0,24213.0,22381.0,22415.0
경상남도 - 기타작물,Statistics,5328.0,5006.0,5245.0,5263.0,6893.0,6936.0,6205.0,5721.0,6235.0,10325.0,7794.0,8594.0,7906.0,8724.0
경상남도 - 논벼,Statistics,59647.0,58216.0,54295.0,52584.0,53178.0,46299.0,43923.0,42189.0,43662.0,46756.0,40835.0,40950.0,41186.0,37129.0
경상남도 - 식량작물,Statistics,6474.0,7031.0,7394.0,7180.0,11878.0,5522.0,6962.0,8234.0,6952.0,10775.0,7253.0,7045.0,6730.0,5481.0
경상남도 - 채소·산나물,Statistics,36143.0,37315.0,39277.0,40016.0,31825.0,39037.0,40041.0,39536.0,36015.0,26694.0,34249.0,33398.0,32841.0,34286.0
경상남도 - 축산,Statistics,8942.0,7284.0,7557.0,6708.0,5990.0,6360.0,6159.0,5960.0,6422.0,4840.0,4526.0,5387.0,5227.0,4971.0
경상북도 - 계,Statistics,197218.0,195779.0,195108.0,192583.0,184642.0,181067.0,179321.0,176385.0,174917.0,165754.0,169774.0,169525.0,166021.0,162801.0
경상북도 - 과수,Statistics,55919.0,56319.0,55991.0,56441.0,55779.0,55630.0,55321.0,53231.0,52821.0,50500.0,51202.0,51132.0,49741.0,49962.0
경상북도 - 기타작물,Statistics,8676.0,8108.0,8164.0,8870.0,10137.0,13387.0,13901.0,9246.0,9416.0,13865.0,9287.0,10065.0,11257.0,11578.0
경상북도 - 논벼,Statistics,68995.0,67306.0,66718.0,66189.0,63629.0,57014.0,55323.0,54430.0,55769.0,56492.0,48661.0,50665.0,50373.0,47938.0
경상북도 - 식량작물,Statistics,11901.0,12017.0,13230.0,13652.0,15990.0,9953.0,11242.0,12180.0,11867.0,13870.0,14512.0,13976.0,12264.0,11166.0
경상북도 - 채소·산나물,Statistics,39015.0,39550.0,38274.0,35376.0,29009.0,34180.0,32319.0,36185.0,34425.0,23131.0,36502.0,34196.0,34115.0,33170.0
경상북도 - 축산,Statistics,12712.0,12478.0,12731.0,12054.0,10098.0,10904.0,11215.0,11113.0,10619.0,7896.0,9609.0,9490.0,8269.0,8986.0
경주시 - 계,Statistics,16931.0,16416.0,16272.0,16325.0,15313.0,16201.0,16861.0,16418.0,16135.0,12553.0,13275.0,12592.0,12178.0,11777.0
경주시 - 과수,Statistics,1253.0,1327.0,1163.0,1132.0,1231.0,1042.0,1181.0,1284.0,1349.0,862.0,1196.0,1254.0,1377.0,1293.0
경주시 - 기타작물,Statistics,400.0,578.0,469.0,454.0,399.0,342.0,355.0,279.0,424.0,735.0,443.0,526.0,243.0,517.0
경주시 - 논벼,Statistics,10300.0,9751.0,9986.0,10519.0,9521.0,9346.0,9556.0,8739.0,9102.0,7984.0,7736.0,7008.0,7557.0,6960.0
경주시 - 식량작물,Statistics,491.0,702.0,732.0,689.0,1194.0,275.0,421.0,620.0,600.0,856.0,734.0,733.0,451.0,433.0
경주시 - 채소·산나물,Statistics,2274.0,1916.0,1742.0,1678.0,1272.0,2714.0,2915.0,3064.0,2797.0,996.0,2163.0,1947.0,1750.0,1408.0
경주시 - 축산,Statistics,2213.0,2141.0,2181.0,1853.0,1696.0,2484.0,2433.0,2433.0,1864.0,1120.0,1002.0,1124.0,800.0,1167.0
계룡시 - 계,Statistics,548.0,552.0,519.0,554.0,558.0,543.0,542.0,514.0,512.0,513.0,486.0,480.0,454.0,467.0
계룡시 - 과수,Statistics,56.0,61.0,61.0,63.0,49.0,76.0,49.0,49.0,56.0,65.0,22.0,40.0,58.0,27.0
계룡시 - 기타작물,Statistics,81.0,65.0,55.0,54.0,56.0,92.0,158.0,37.0,96.0,85.0,113.0,124.0,98.0,71.0
