item,category,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
경기도 - 강력범죄 (기타 강간 등) - 검거건수,Statistics,189.0,139.0,87.0,75.0,62.0,67.0,39.0,46.0,50.0,48.0
경기도 - 강력범죄 (기타 강간 등) - 검거인원,Statistics,255.0,146.0,128.0,102.0,87.0,118.0,71.0,58.0,73.0,48.0
경기도 - 강력범죄 (기타 강간 등) - 발생건수,Statistics,172.0,135.0,85.0,71.0,67.0,71.0,38.0,48.0,51.0,46.0
경기도 - 강력범죄 (방화) - 검거건수,Statistics,302.0,368.0,301.0,268.0,334.0,261.0,258.0,227.0,250.0,269.0
경기도 - 강력범죄 (방화) - 검거인원,Statistics,333.0,361.0,331.0,304.0,356.0,299.0,285.0,228.0,269.0,268.0
경기도 - 강력범죄 (방화) - 발생건수,Statistics,371.0,426.0,337.0,304.0,359.0,298.0,280.0,248.0,278.0,305.0
경기도 - 강력범죄 (살인기수) - 검거건수,Statistics,79.0,85.0,79.0,59.0,60.0,66.0,72.0,50.0,66.0,62.0
경기도 - 강력범죄 (살인기수) - 검거인원,Statistics,95.0,93.0,87.0,74.0,76.0,76.0,84.0,53.0,74.0,70.0
경기도 - 강력범죄 (살인기수) - 발생건수,Statistics,78.0,92.0,86.0,54.0,67.0,64.0,76.0,51.0,67.0,62.0
경기도 - 강력범죄 소계 - 검거건수,Statistics,5241.0,5713.0,5731.0,5799.0,5556.0,5597.0,5304.0,4907.0,5310.0,5474.0
경기도 - 강력범죄 소계 - 검거인원,Statistics,5825.0,6163.0,6453.0,6594.0,6390.0,6602.0,6358.0,5394.0,5767.0,5774.0
경기도 - 강력범죄 소계 - 발생건수,Statistics,5475.0,5970.0,5885.0,5973.0,5828.0,5780.0,5518.0,5105.0,5556.0,5582.0
경기도 - 강력범죄(강간) - 검거건수,Statistics,1150.0,1137.0,1198.0,1121.0,1089.0,1108.0,1150.0,1172.0,1125.0,1120.0
경기도 - 강력범죄(강간) - 검거인원,Statistics,1235.0,1285.0,1419.0,1299.0,1280.0,1367.0,1401.0,1382.0,1263.0,1207.0
경기도 - 강력범죄(강간) - 발생건수,Statistics,1089.0,1160.0,1184.0,1129.0,1134.0,1125.0,1192.0,1231.0,1184.0,1131.0
경기도 - 강력범죄(강도) - 검거건수,Statistics,329.0,325.0,202.0,214.0,159.0,183.0,161.0,92.0,107.0,122.0
경기도 - 강력범죄(강도) - 검거인원,Statistics,534.0,500.0,292.0,341.0,270.0,333.0,348.0,157.0,180.0,208.0
경기도 - 강력범죄(강도) - 발생건수,Statistics,320.0,306.0,186.0,206.0,166.0,181.0,158.0,88.0,111.0,124.0
경기도 - 강력범죄(살인미수 등) - 검거건수,Statistics,105.0,126.0,166.0,125.0,127.0,108.0,81.0,100.0,95.0,104.0
경기도 - 강력범죄(살인미수 등) - 검거인원,Statistics,132.0,139.0,183.0,148.0,144.0,128.0,109.0,107.0,95.0,110.0
경기도 - 강력범죄(살인미수 등) - 발생건수,Statistics,109.0,131.0,165.0,124.0,128.0,105.0,83.0,102.0,100.0,108.0
경기도 - 강력범죄(유사강간) - 검거건수,Statistics,93.0,122.0,132.0,124.0,165.0,176.0,183.0,169.0,193.0,194.0
경기도 - 강력범죄(유사강간) - 검거인원,Statistics,113.0,125.0,146.0,154.0,197.0,220.0,223.0,185.0,200.0,195.0
경기도 - 강력범죄(유사강간) - 발생건수,Statistics,101.0,119.0,130.0,129.0,163.0,184.0,191.0,175.0,196.0,189.0
경기도 - 기타범죄 - 검거건수,Statistics,232123.0,257410.0,308270.0,262757.0,233603.0,233111.0,227770.0,201621.0,189947.0,203876.0
경기도 - 기타범죄 - 검거인원,Statistics,335555.0,359010.0,404839.0,344969.0,314810.0,317563.0,317059.0,249582.0,238286.0,226499.0
경기도 - 기타범죄 - 발생건수,Statistics,275380.0,299730.0,350180.0,297682.0,269327.0,272716.0,279822.0,254886.0,253476.0,267106.0
경기도 - 절도범죄 - 검거건수,Statistics,24661.0,27299.0,27117.0,26114.0,25167.0,26617.0,26502.0,24503.0,25900.0,29905.0
경기도 - 절도범죄 - 검거인원,Statistics,23677.0,26414.0,27244.0,27643.0,26013.0,27317.0,27042.0,22157.0,23766.0,25802.0
경기도 - 절도범죄 - 발생건수,Statistics,55708.0,51459.0,44788.0,41417.0,41111.0,41955.0,40797.0,37367.0,41539.0,45483.0
경기도 - 총범죄 - 검거건수,Statistics,318065.0,353778.0,406626.0,357488.0,327256.0,329448.0,317984.0,282646.0,275517.0,291300.0
경기도 - 총범죄 - 검거인원,Statistics,451815.0,484857.0,534581.0,471724.0,438512.0,443396.0,434475.0,347035.0,340980.0,326544.0
경기도 - 총범죄 - 발생건수,Statistics,404390.0,430790.0,476348.0,417066.0,388938.0,394276.0,394226.0,357243.0,364534.0,378157.0
경기도 - 폭력범죄 - 검거건수,Statistics,56040.0,63356.0,65508.0,62818.0,62930.0,64123.0,58408.0,51615.0,54360.0,52045.0
경기도 - 폭력범죄 - 검거인원,Statistics,86758.0,93270.0,96045.0,92518.0,91299.0,91914.0,84016.0,69902.0,73161.0,68469.0
경기도 - 폭력범죄 - 발생건수,Statistics,67827.0,73631.0,75495.0,71994.0,72672.0,73825.0,68089.0,59885.0,63963.0,59986.0
