부산광역시 - 계 - 여가정보 부족,Statistics,1.71,1.591
부산광역시 - 계 - 여가프로그램 부족,Statistics,1.562,1.107
부산광역시 - 계 - 적당한 취미가 없어서,Statistics,3.202,5.781
서울특별시 - 계 - 건강 체력 부족,Statistics,7.964,13.269
서울특별시 - 계 - 경제적 부담,Statistics,51.767,52.365
서울특별시 - 계 - 계,Statistics,100.0,100.0
서울특별시 - 계 - 교통 혼잡,Statistics,1.452,1.355
서울특별시 - 계 - 기타,Statistics,10.641,0.249
서울특별시 - 계 - 시간 부족,Statistics,16.71,22.586
서울특별시 - 계 - 여가를 함께 즐길사람이 없어서,Statistics,2.067,1.078
서울특별시 - 계 - 여가시설 부족,Statistics,1.732,1.126
서울특별시 - 계 - 여가정보 부족,Statistics,1.378,0.638
서울특별시 - 계 - 여가프로그램 부족,Statistics,1.598,0.459
서울특별시 - 계 - 적당한 취미가 없어서,Statistics,4.69,6.874
세종특별자치시 - 계 - 건강 체력 부족,Statistics,7.064,10.266
세종특별자치시 - 계 - 경제적 부담,Statistics,36.789,44.927
세종특별자치시 - 계 - 계,Statistics,100.0,100.0
세종특별자치시 - 계 - 교통 혼잡,Statistics,0.325,
세종특별자치시 - 계 - 기타,Statistics,14.876,1.081
세종특별자치시 - 계 - 시간 부족,Statistics,22.424,32.833
세종특별자치시 - 계 - 여가를 함께 즐길사람이 없어서,Statistics,1.291,2.588
세종특별자치시 - 계 - 여가시설 부족,Statistics,5.721,1.316
세종특별자치시 - 계 - 여가정보 부족,Statistics,1.046,2.292
세종특별자치시 - 계 - 여가프로그램 부족,Statistics,2.359,1.454
세종특별자치시 - 계 - 적당한 취미가 없어서,Statistics,8.106,3.243
울산광역시 - 계 - 건강 체력 부족,Statistics,8.363,12.323
울산광역시 - 계 - 경제적 부담,Statistics,50.38,58.972
울산광역시 - 계 - 계,Statistics,100.0,100.0
울산광역시 - 계 - 교통 혼잡,Statistics,0.593,2.614
울산광역시 - 계 - 기타,Statistics,12.124,
울산광역시 - 계 - 시간 부족,Statistics,17.601,19.725
울산광역시 - 계 - 여가를 함께 즐길사람이 없어서,Statistics,1.773,1.266
울산광역시 - 계 - 여가시설 부족,Statistics,3.68,1.136
울산광역시 - 계 - 여가정보 부족,Statistics,0.682,0.883
울산광역시 - 계 - 여가프로그램 부족,Statistics,1.084,0.585
울산광역시 - 계 - 적당한 취미가 없어서,Statistics,3.72,2.497
인천광역시 - 계 - 건강 체력 부족,Statistics,7.084,9.132
인천광역시 - 계 - 경제적 부담,Statistics,46.935,57.555
인천광역시 - 계 - 계,Statistics,100.0,100.0
인천광역시 - 계 - 교통 혼잡,Statistics,0.937,0.644
인천광역시 - 계 - 기타,Statistics,9.954,0.625
인천광역시 - 계 - 시간 부족,Statistics,21.512,19.528
인천광역시 - 계 - 여가를 함께 즐길사람이 없어서,Statistics,1.084,3.968
인천광역시 - 계 - 여가시설 부족,Statistics,3.436,1.389
인천광역시 - 계 - 여가정보 부족,Statistics,0.832,0.402
인천광역시 - 계 - 여가프로그램 부족,Statistics,1.811,0.491
인천광역시 - 계 - 적당한 취미가 없어서,Statistics,6.414,6.265
전국 - 계 - 건강 체력 부족,Statistics,10.383,14.304
전국 - 계 - 경제적 부담,Statistics,46.079,50.238
전국 - 계 - 계,Statistics,100.0,100.0
전국 - 계 - 교통 혼잡,Statistics,1.285,1.31
전국 - 계 - 기타,Statistics,10.65,0.413
전국 - 계 - 시간 부족,Statistics,19.253,23.062
전국 - 계 - 여가를 함께 즐길사람이 없어서,Statistics,1.586,2.022
전국 - 계 - 여가시설 부족,Statistics,2.715,2.027
전국 - 계 - 여가정보 부족,Statistics,1.037,0.674
전국 - 계 - 여가프로그램 부족,Statistics,1.514,0.606
전국 - 계 - 적당한 취미가 없어서,Statistics,5.498,5.345
전라남도 - 계 - 건강 체력 부족,Statistics,16.541,19.908
전라남도 - 계 - 경제적 부담,Statistics,35.361,44.246
전라남도 - 계 - 계,Statistics,100.0,100.0
전라남도 - 계 - 교통 혼잡,Statistics,0.882,0.203
전라남도 - 계 - 기타,Statistics,9.485,0.639
전라남도 - 계 - 시간 부족,Statistics,21.262,22.776
전라남도 - 계 - 여가를 함께 즐길사람이 없어서,Statistics,2.184,2.89
전라남도 - 계 - 여가시설 부족,Statistics,4.919,3.295
전라남도 - 계 - 여가정보 부족,Statistics,0.194,0.849
전라남도 - 계 - 여가프로그램 부족,Statistics,1.343,1.483
