item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
세종특별자치시 - 경찰공무원 정원＜br＞(B),Statistics,,,,,,,,,,,,546.0,676.0,776.0,793.0,865.0
세종특별자치시 - 주민등록인구＜br＞(A),Statistics,,,,,,,,,,,,340575.0,355831.0,371895.0,383591.0,386525.0
울산광역시 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,587.3,587.1,564.3,568.0,567.7,552.8,524.9,501.3,489.3,480.5,470.1,464.0,425.8,403.7,399.7,394.3
울산광역시 - 경찰공무원 정원＜br＞(B),Statistics,1894.0,1899.0,1996.0,1999.0,2021.0,2092.0,2222.0,2341.0,2396.0,2425.0,2458.0,2474.0,2668.0,2778.0,2779.0,2799.0
울산광역시 - 주민등록인구＜br＞(A),Statistics,1112407.0,1114866.0,1126298.0,1135494.0,1147256.0,1156480.0,1166377.0,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,1121592.0,1110663.0,1103661.0
인천광역시 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,553.9,556.9,555.3,563.9,565.4,550.1,529.0,513.5,512.1,488.6,480.2,458.7,449.2,441.8,442.0,444.8
인천광역시 - 경찰공무원 정원＜br＞(B),Statistics,4861.0,4867.0,4967.0,4968.0,5030.0,5235.0,5487.0,5698.0,5747.0,6035.0,6153.0,6446.0,6551.0,6673.0,6714.0,6739.0
인천광역시 - 주민등록인구＜br＞(A),Statistics,2692696.0,2710579.0,2758296.0,2801274.0,2843981.0,2879782.0,2902608.0,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,2948375.0,2967314.0,2997410.0
전국 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,515.8,507.1,506.7,507.9,504.4,491.9,475.8,462.0,457.5,450.4,442.8,427.6,416.2,405.8,398.0,397.0
전국 - 경찰공무원 정원＜br＞(B),Statistics,96054.0,98160.0,99699.0,99882.0,101016.0,103965.0,107873.0,111525.0,113007.0,114970.0,117037.0,121249.0,124531.0,127243.0,129257.0,129288.0
전국 - 주민등록인구＜br＞(A),Statistics,49540367.0,49773145.0,50515666.0,50734284.0,50948272.0,51141463.0,51327916.0,51529338.0,51696216.0,51778544.0,51826059.0,51849861.0,51829023.0,51638809.0,51439038.0,51325329.0
전라남도 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,400.0,391.5,399.5,398.4,392.7,390.4,376.6,364.5,360.8,362.0,352.5,342.0,334.3,320.1,312.1,309.8
전라남도 - 경찰공무원 정원＜br＞(B),Statistics,4798.0,4886.0,4802.0,4805.0,4863.0,4885.0,5061.0,5238.0,5277.0,5239.0,5342.0,5464.0,5539.0,5726.0,5825.0,5824.0
전라남도 - 주민등록인구＜br＞(A),Statistics,1919000.0,1913004.0,1918485.0,1914339.0,1909618.0,1907172.0,1905780.0,1908996.0,1903914.0,1896424.0,1882970.0,1868745.0,1851549.0,1832803.0,1817697.0,1804217.0
전북특별자치도 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,429.9,431.8,433.4,434.4,428.8,424.2,412.9,400.5,398.3,392.7,381.2,367.2,360.0,347.8,343.1,340.0
전북특별자치도 - 경찰공무원 정원＜br＞(B),Statistics,4317.0,4295.0,4312.0,4314.0,4369.0,4415.0,4533.0,4669.0,4682.0,4723.0,4819.0,4954.0,5011.0,5138.0,5158.0,5161.0
전북특별자치도 - 주민등록인구＜br＞(A),Statistics,1855772.0,1854508.0,1868963.0,1874031.0,1873341.0,1872965.0,1871560.0,1869711.0,1864791.0,1854607.0,1836832.0,1818917.0,1804104.0,1786855.0,1769607.0,1754757.0
제주특별자치도 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,410.1,414.0,423.8,427.1,427.9,419.9,406.3,394.4,394.3,399.0,392.7,379.3,342.8,327.7,326.7,323.7
제주특별자치도 - 경찰공무원 정원＜br＞(B),Statistics,1367.0,1359.0,1348.0,1349.0,1364.0,1414.0,1495.0,1583.0,1627.0,1647.0,1699.0,1769.0,1968.0,2065.0,2076.0,2086.0
제주특별자치도 - 주민등록인구＜br＞(A),Statistics,560618.0,562663.0,571255.0,576156.0,583713.0,593806.0,607346.0,624395.0,641597.0,657083.0,667191.0,670989.0,674635.0,676759.0,678159.0,675252.0
충청남도 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,531.5,522.9,536.6,542.7,535.9,526.1,509.6,505.9,514.5,506.8,501.0,459.0,451.1,434.5,419.2,421.3
충청남도 - 경찰공무원 정원＜br＞(B),Statistics,3798.0,3897.0,3868.0,3872.0,3997.0,4124.0,4353.0,4524.0,4548.0,4729.0,4871.0,4627.0,4702.0,4878.0,5065.0,5056.0
충청남도 - 주민등록인구＜br＞(A),Statistics,2018537.0,2037582.0,2075514.0,2101284.0,2141894.0,2169784.0,2218398.0,2288533.0,2339775.0,2396870.0,2440408.0,2123709.0,2121029.0,2119257.0,2123037.0,2130119.0
충청북도 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,525.4,526.5,518.4,516.7,512.6,511.5,496.7,477.0,474.0,461.2,453.2,447.7,433.1,416.6,412.4,409.8
충청북도 - 경찰공무원 정원＜br＞(B),Statistics,2892.0,2901.0,2989.0,3025.0,3054.0,3075.0,3179.0,3321.0,3358.0,3457.0,3529.0,3574.0,3696.0,3834.0,3868.0,3888.0
충청북도 - 주민등록인구＜br＞(A),Statistics,1519587.0,1527478.0,1549528.0,1562903.0,1565628.0,1572732.0,1578933.0,1583952.0,1591625.0,1594432.0,1599252.0,1600007.0,1600837.0,1597427.0,1595058.0,1593469.0
