item,category,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
강북구 - 지가변동률,Statistics,,,,,,,,,0.21,-0.07,-0.01,-2.14,0.18,0.75,0.24,2.11,0.16,2.03
강서구 - 지가변동률,Statistics,0.61,8.73,23.31,10.43,4.25,0.81,0.11,0.15,0.38,0.22,0.45,-1.98,0.43,0.25,0.04,3.04,0.52,2.04
강원특별자치도 - 지가변동률,Statistics,0.73,4.9,9.22,4.32,1.97,0.99,-0.07,-0.15,0.2,0.3,0.21,-0.11,0.41,0.55,0.2,0.46,0.29,0.45
강진군 - 지가변동률,Statistics,2.96,4.04,2.66,3.09,1.68,1.88,-0.39,-0.43,-0.15,0.16,0.05,0.19,0.06,0.41,0.64,-0.03,0.3,0.06
강화군 - 지가변동률,Statistics,0.1,2.09,2.36,5.24,6.15,0.15,-0.13,-0.47,0.12,1.32,0.38,-0.09,0.31,2.43,0.04,0.93,0.11,1.88
거제군 - 지가변동률,Statistics,0.39,1.24,8.0,1.94,0.61,1.29,0.08,-0.24,,,,,,,,,,
거제시 - 지가변동률,Statistics,,,,,,,,,0.06,0.5,0.13,-0.01,0.12,0.45,0.42,0.97,0.47,0.92
거창군 - 지가변동률,Statistics,1.01,3.73,5.66,0.73,2.7,0.05,-0.15,-0.45,-0.55,0.05,0.01,-0.66,0.01,0.37,0.17,0.23,0.03,0.21
경기도 - 지가변동률,Statistics,1.3,5.88,15.97,7.83,4.27,0.93,-0.28,-0.53,0.16,0.34,0.22,-1.44,0.68,0.9,0.23,2.28,0.7,1.96
경산군 - 지가변동률,Statistics,1.18,7.41,1.25,8.27,3.07,0.39,-0.15,0.0,,,,,,,,,,
경산시 - 지가변동률,Statistics,,,6.85,4.09,4.69,0.34,-0.56,-0.42,0.14,0.82,-0.06,-0.21,0.52,0.34,0.11,0.18,-0.19,0.5
경상남도 - 지가변동률,Statistics,3.48,8.31,7.28,3.92,3.37,0.73,-0.23,-0.34,0.04,0.2,0.09,-0.5,0.21,0.48,0.3,0.82,0.31,0.71
경상북도 - 지가변동률,Statistics,0.85,7.02,5.66,4.37,3.05,0.88,-0.24,-0.1,0.12,0.37,0.07,-0.42,0.21,0.43,0.2,0.67,-0.34,0.42
경주군 - 지가변동률,Statistics,,,4.19,5.14,1.53,1.67,-0.61,0.66,,,,,,,,,,
경주시 - 지가변동률,Statistics,1.34,9.32,6.82,4.49,3.18,2.8,0.19,-0.02,0.2,0.65,0.32,-0.78,0.41,0.44,0.24,0.53,-0.28,0.47
계룡시 - 지가변동률,Statistics,,,,,,,,,,,,,,,,,2.09,0.12
계양구 - 지가변동률,Statistics,,,,,,,,,0.03,0.06,0.22,-0.44,0.34,0.29,0.1,1.95,0.27,1.7
고령군 - 지가변동률,Statistics,0.95,1.84,3.87,4.45,2.98,0.67,-0.73,-0.72,0.49,0.25,-0.13,-2.27,0.07,0.38,0.18,0.62,-0.49,0.52
고성군 - 지가변동률,Statistics,0.06,2.25,4.69,11.79,0.98,0.72,-0.3,-0.49,0.45,0.3,0.31,-0.35,0.52,0.34,0.66,0.19,0.45,0.49
고양군 - 지가변동률,Statistics,0.77,6.09,22.71,11.28,7.94,,,,,,,,,,,,,
고양시 - 지가변동률,Statistics,,,,,,0.07,-0.1,-0.03,0.64,0.79,0.56,-2.77,1.73,1.01,-0.06,3.56,0.97,1.43
고창군 - 지가변동률,Statistics,1.73,6.42,4.04,1.83,0.48,-0.07,0.0,-0.8,0.18,0.08,0.34,0.43,0.19,0.42,0.23,0.06,-0.06,0.12
고흥군 - 지가변동률,Statistics,0.46,3.84,2.05,2.5,0.86,0.3,-0.14,-0.27,0.46,0.26,0.44,0.22,0.28,1.25,0.75,0.27,0.04,0.13
곡성군 - 지가변동률,Statistics,0.68,7.38,5.78,3.1,0.2,-0.43,-1.53,0.0,0.1,0.16,0.0,-0.16,0.61,0.42,0.16,0.21,0.43,0.46
공주군 - 지가변동률,Statistics,1.26,6.17,4.72,3.1,-0.54,0.62,-0.12,-0.2,,,,,,,,,,
공주시 - 지가변동률,Statistics,1.16,11.47,5.85,4.29,1.72,0.39,-1.11,-0.05,-0.61,-0.01,0.34,-0.12,0.52,0.35,0.2,0.06,1.35,1.05
과천시 - 지가변동률,Statistics,1.0,3.87,26.66,8.22,6.74,0.03,0.0,0.18,0.06,0.68,0.26,-1.85,0.1,0.71,0.04,2.33,0.48,2.26
관악구 - 지가변동률,Statistics,0.11,8.96,20.29,10.85,6.38,-0.06,0.0,-1.32,-0.12,0.01,0.0,-2.08,1.18,0.7,0.21,3.0,0.51,2.01
광명시 - 지가변동률,Statistics,0.91,7.26,16.83,9.17,4.34,0.21,-0.94,-1.07,0.99,0.19,0.65,-1.96,0.2,1.04,-0.03,1.46,0.91,5.09
광산구 - 지가변동률,Statistics,,,,,,,,,0.09,0.25,0.26,-0.43,0.27,0.29,0.05,0.2,1.0,0.37
광양군 - 지가변동률,Statistics,1.13,5.84,7.5,0.11,1.56,0.22,-0.21,-0.48,,,,,,,,,,
광양시 - 지가변동률,Statistics,,,,,,,,,-0.38,0.05,0.65,-0.14,0.16,0.29,0.01,-0.18,0.04,0.46
광주광역시 - 지가변동률,Statistics,,,,,,,,,0.36,0.5,0.19,-0.86,0.13,0.16,0.0,0.12,0.27,0.21
광주군 - 지가변동률,Statistics,0.55,5.67,6.69,6.22,5.07,0.0,-0.2,-1.65,0.12,0.22,0.28,-1.52,0.59,1.15,,,,
광주시 - 지가변동률,Statistics,,,,,,,,,,,,,,0.08,0.38,2.44,-0.15,5.06
광진구 - 지가변동률,Statistics,,,,,,,,,0.49,0.03,0.03,-1.92,0.08,0.35,0.09,3.03,0.85,2.02
괴산군 - 지가변동률,Statistics,0.0,2.45,3.11,5.28,2.35,0.82,-0.03,-0.45,0.09,0.35,0.24,0.05,0.77,1.19,0.48,-0.12,-0.26,0.07
구례군 - 지가변동률,Statistics,0.19,9.74,2.99,3.11,1.7,0.25,-1.24,-0.04,0.0,0.18,0.36,-0.07,0.38,0.63,0.05,-0.07,-0.04,0.02
구로구 - 지가변동률,Statistics,0.39,6.87,19.63,11.64,5.25,0.0,0.02,-0.12,0.46,-0.1,0.12,-1.49,0.15,0.04,0.07,2.38,0.59,2.06
구리시 - 지가변동률,Statistics,1.86,3.42,9.17,5.0,5.39,2.33,-0.33,0.33,0.41,0.22,0.14,-0.07,0.16,0.66,0.04,2.99,0.83,1.07
구미시 - 지가변동률,Statistics,0.11,7.25,4.5,5.84,3.27,0.1,-0.18,0.13,0.42,0.13,0.27,-0.36,0.49,0.5,0.15,2.02,-0.01,0.4
군산시 - 지가변동률,Statistics,2.83,13.11,9.51,3.43,3.02,1.19,0.0,-0.26,-0.28,0.21,0.17,-0.17,0.09,0.26,-0.12,-0.01,-0.03,0.08
군위군 - 지가변동률,Statistics,0.53,4.06,4.46,6.25,2.31,0.23,-0.33,0.21,0.06,0.17,0.04,-0.7,0.17,0.42,0.46,1.18,-0.43,0.27
군포시 - 지가변동률,Statistics,,,26.69,15.06,3.17,1.39,-0.03,-0.14,0.47,0.14,0.11,-1.68,0.46,0.89,0.06,2.58,0.18,1.28
권선구 - 지가변동률,Statistics,,,12.85,8.82,5.41,0.49,-0.23,0.84,0.68,0.11,0.3,-1.66,0.29,0.15,0.25,3.12,0.25,1.25
금릉군 - 지가변동률,Statistics,0.17,3.2,5.78,3.62,1.38,0.31,0.01,-0.15,,,,,,,,,,
금산군 - 지가변동률,Statistics,1.15,7.38,2.64,3.71,3.13,0.88,0.07,0.0,0.04,0.21,0.26,0.2,0.33,0.79,0.35,0.09,0.12,1.4
금정구 - 지가변동률,Statistics,,,,,,,,,-0.15,0.04,-0.04,-2.23,0.36,0.41,-0.06,0.52,0.36,0.27
금천구 - 지가변동률,Statistics,,,,,,,,,0.38,0.2,0.16,-1.39,0.13,0.32,-0.01,1.14,0.5,2.12
기장군 - 지가변동률,Statistics,,,,,,,,,0.45,0.91,0.8,-0.01,5.45,0.98,0.72,8.65,1.06,1.51
김제군 - 지가변동률,Statistics,1.69,6.02,7.47,2.57,0.34,0.27,-0.71,-0.04,,,,,,,,,,
김제시 - 지가변동률,Statistics,,,6.62,7.01,0.93,-0.11,0.01,-0.11,0.0,0.07,0.16,-0.2,0.01,0.39,0.23,-0.09,-0.01,0.12
김천시 - 지가변동률,Statistics,0.53,3.11,19.19,4.18,2.47,0.13,-0.2,-0.11,0.48,0.3,0.05,-0.03,0.29,0.47,0.27,0.66,-0.52,0.49
김포군 - 지가변동률,Statistics,0.67,4.7,2.15,6.38,5.22,0.77,-0.67,0.01,0.15,0.8,0.34,,,,,,,
김포시 - 지가변동률,Statistics,,,,,,,,,,,,-0.31,0.38,1.02,0.22,0.7,0.13,4.21
김해군 - 지가변동률,Statistics,1.75,14.18,12.08,1.52,4.15,0.18,-0.44,-0.39,0.64,,,,,,,,,
김해시 - 지가변동률,Statistics,1.72,10.04,5.41,4.12,3.23,0.86,-0.34,-0.44,-0.1,0.35,0.25,-0.92,0.53,0.47,0.2,0.93,0.87,0.82
나주군 - 지가변동률,Statistics,0.62,4.64,3.46,4.1,1.83,0.79,-0.13,-0.45,,,,,,,,,,
나주시 - 지가변동률,Statistics,0.6,5.12,3.15,3.39,2.96,0.17,-0.18,-0.27,0.17,0.14,0.12,0.45,0.44,0.68,0.09,-0.04,-0.14,0.05
남구 - 지가변동률,Statistics,,,,,,,,,-0.12,0.23,0.18,-2.46,0.1,0.33,-0.06,0.42,0.22,0.12
남동구 - 지가변동률,Statistics,,,,,,,,,0.19,0.05,0.02,-0.04,0.36,0.32,0.03,2.33,0.31,1.11
남양주군 - 지가변동률,Statistics,1.03,7.44,-11.36,6.26,1.99,1.56,-0.08,-0.6,,,,,,,,,,
남양주시 - 지가변동률,Statistics,,,,,,,,,0.25,0.14,0.09,-0.82,0.06,0.98,0.85,2.48,1.04,1.36
남원군 - 지가변동률,Statistics,1.11,4.16,7.85,1.63,0.22,0.08,0.0,-0.92,,,,,,,,,,
남원시 - 지가변동률,Statistics,0.95,2.98,6.33,5.45,2.77,1.14,-0.37,0.0,0.08,0.31,0.18,0.48,0.56,1.61,0.16,0.06,-0.25,0.01
