item,category,2016,2017,2018,2019,2020,2021,2022
대구광역시 - 장애인 - 종사자수,Statistics,1332.0,1444.0,1441.0,1442.0,1526.0,1585.0,1522.0
대구광역시 - 정신보건 - 종사자수,Statistics,163.0,197.0,169.0,177.0,177.0,156.0,158.0
대구광역시 - 지역자활센터 - 종사자수,Statistics,68.0,72.0,73.0,84.0,92.0,101.0,103.0
대전광역시 - 결핵 및 한센 - 종사자수,Statistics,,,,0.0,0.0,0.0,
대전광역시 - 계 - 종사자수,Statistics,21463.0,17818.0,18320.0,19570.0,20270.0,21132.0,22471.0
대전광역시 - 노숙인 - 종사자수,Statistics,65.0,62.0,67.0,69.0,68.0,77.0,85.0
대전광역시 - 노인 - 종사자수,Statistics,4425.0,4710.0,4974.0,6091.0,6829.0,8005.0,9323.0
대전광역시 - 사회복지관 - 종사자수,Statistics,221.0,224.0,226.0,245.0,234.0,295.0,309.0
대전광역시 - 아동 - 종사자수,Statistics,4637.0,629.0,633.0,655.0,672.0,698.0,771.0
대전광역시 - 어린이집 - 종사자수,Statistics,10351.0,10368.0,10545.0,10597.0,10368.0,10109.0,9721.0
대전광역시 - 장애인 - 종사자수,Statistics,1499.0,1568.0,1613.0,1645.0,1825.0,1659.0,2085.0
대전광역시 - 정신보건 - 종사자수,Statistics,216.0,216.0,215.0,223.0,220.0,230.0,115.0
대전광역시 - 지역자활센터 - 종사자수,Statistics,49.0,41.0,47.0,45.0,54.0,59.0,62.0
부산광역시 - 결핵 및 한센 - 종사자수,Statistics,,,,0.0,0.0,0.0,
부산광역시 - 계 - 종사자수,Statistics,30736.0,26363.0,27096.0,28423.0,29012.0,31551.0,34203.0
부산광역시 - 노숙인 - 종사자수,Statistics,128.0,125.0,118.0,133.0,143.0,145.0,154.0
부산광역시 - 노인 - 종사자수,Statistics,5579.0,5453.0,5689.0,6742.0,7583.0,10192.0,13157.0
부산광역시 - 사회복지관 - 종사자수,Statistics,972.0,905.0,995.0,992.0,1172.0,1286.0,1322.0
부산광역시 - 아동 - 종사자수,Statistics,5241.0,1104.0,1137.0,1192.0,1220.0,1221.0,1552.0
부산광역시 - 어린이집 - 종사자수,Statistics,16679.0,16801.0,17089.0,17208.0,16706.0,16310.0,15630.0
부산광역시 - 장애인 - 종사자수,Statistics,1773.0,1625.0,1726.0,1783.0,1789.0,1998.0,2000.0
부산광역시 - 정신보건 - 종사자수,Statistics,191.0,190.0,173.0,196.0,199.0,188.0,162.0
부산광역시 - 지역자활센터 - 종사자수,Statistics,173.0,160.0,169.0,177.0,200.0,211.0,226.0
서울특별시 - 결핵 및 한센 - 종사자수,Statistics,7.0,9.0,9.0,9.0,9.0,9.0,9.0
서울특별시 - 계 - 종사자수,Statistics,96169.0,89302.0,89259.0,91587.0,93584.0,99512.0,115673.0
서울특별시 - 노숙인 - 종사자수,Statistics,524.0,601.0,593.0,670.0,635.0,564.0,646.0
서울특별시 - 노인 - 종사자수,Statistics,17801.0,19591.0,20202.0,22881.0,25679.0,32515.0,47033.0
서울특별시 - 사회복지관 - 종사자수,Statistics,2542.0,2670.0,2678.0,2607.0,2832.0,2832.0,2840.0
서울특별시 - 아동 - 종사자수,Statistics,12921.0,2719.0,2927.0,3158.0,3247.0,3586.0,5693.0
서울특별시 - 어린이집 - 종사자수,Statistics,55117.0,56428.0,55336.0,54583.0,53238.0,52263.0,50946.0
서울특별시 - 장애인 - 종사자수,Statistics,6445.0,6618.0,6718.0,6855.0,7055.0,6813.0,7526.0
서울특별시 - 정신보건 - 종사자수,Statistics,574.0,418.0,515.0,538.0,542.0,545.0,578.0
서울특별시 - 지역자활센터 - 종사자수,Statistics,238.0,248.0,281.0,286.0,347.0,385.0,402.0
세종특별자치시 - 결핵 및 한센 - 종사자수,Statistics,,,,0.0,0.0,0.0,
세종특별자치시 - 계 - 종사자수,Statistics,3045.0,3292.0,3963.0,4338.0,4838.0,5180.0,108254.0
세종특별자치시 - 노숙인 - 종사자수,Statistics,18.0,18.0,16.0,16.0,21.0,21.0,24.0
세종특별자치시 - 노인 - 종사자수,Statistics,272.0,336.0,421.0,460.0,695.0,787.0,89289.0
세종특별자치시 - 사회복지관 - 종사자수,Statistics,31.0,33.0,35.0,34.0,34.0,43.0,42.0
세종특별자치시 - 아동 - 종사자수,Statistics,290.0,45.0,66.0,82.0,83.0,103.0,5342.0
세종특별자치시 - 어린이집 - 종사자수,Statistics,2234.0,2642.0,3197.0,3510.0,3748.0,3931.0,4013.0
세종특별자치시 - 장애인 - 종사자수,Statistics,152.0,169.0,179.0,190.0,211.0,244.0,8295.0
세종특별자치시 - 정신보건 - 종사자수,Statistics,38.0,40.0,40.0,36.0,37.0,40.0,815.0
세종특별자치시 - 지역자활센터 - 종사자수,Statistics,10.0,9.0,9.0,10.0,9.0,11.0,434.0
울산광역시 - 결핵 및 한센 - 종사자수,Statistics,,,,0.0,0.0,0.0,
울산광역시 - 계 - 종사자수,Statistics,11475.0,10475.0,11012.0,11096.0,11642.0,12418.0,13301.0
울산광역시 - 노숙인 - 종사자수,Statistics,5.0,5.0,5.0,6.0,6.0,7.0,7.0
울산광역시 - 노인 - 종사자수,Statistics,1801.0,1791.0,1957.0,2091.0,2712.0,3660.0,4568.0
울산광역시 - 사회복지관 - 종사자수,Statistics,94.0,96.0,94.0,98.0,108.0,145.0,156.0
울산광역시 - 아동 - 종사자수,Statistics,1362.0,232.0,252.0,266.0,307.0,332.0,498.0
울산광역시 - 어린이집 - 종사자수,Statistics,7397.0,7520.0,7826.0,7728.0,7508.0,7195.0,6933.0
울산광역시 - 장애인 - 종사자수,Statistics,752.0,771.0,806.0,839.0,921.0,988.0,1029.0
울산광역시 - 정신보건 - 종사자수,Statistics,31.0,32.0,31.0,33.0,33.0,38.0,56.0
울산광역시 - 지역자활센터 - 종사자수,Statistics,33.0,28.0,41.0,35.0,47.0,53.0,54.0
인천광역시 - 결핵 및 한센 - 종사자수,Statistics,,,,0.0,0.0,0.0,
인천광역시 - 계 - 종사자수,Statistics,32762.0,29615.0,31276.0,32861.0,34297.0,38672.0,40067.0
인천광역시 - 노숙인 - 종사자수,Statistics,59.0,61.0,61.0,73.0,78.0,79.0,82.0
인천광역시 - 노인 - 종사자수,Statistics,8230.0,9057.0,10412.0,11971.0,13432.0,17788.0,19038.0
인천광역시 - 사회복지관 - 종사자수,Statistics,301.0,306.0,312.0,330.0,447.0,420.0,414.0
인천광역시 - 아동 - 종사자수,Statistics,4931.0,880.0,869.0,881.0,924.0,1001.0,1129.0
인천광역시 - 어린이집 - 종사자수,Statistics,17594.0,17674.0,17883.0,17855.0,17638.0,17563.0,17315.0
인천광역시 - 장애인 - 종사자수,Statistics,1436.0,1442.0,1530.0,1528.0,1548.0,1579.0,1700.0
인천광역시 - 정신보건 - 종사자수,Statistics,85.0,81.0,85.0,88.0,86.0,92.0,234.0
인천광역시 - 지역자활센터 - 종사자수,Statistics,126.0,114.0,124.0,135.0,144.0,150.0,155.0
전국 - 결핵 및 한센 - 종사자수,Statistics,96.0,96.0,97.0,103.0,102.0,103.0,104.0
전국 - 계 - 종사자수,Statistics,618649.0,550179.0,568912.0,587031.0,612957.0,660695.0,724388.0
전국 - 노숙인 - 종사자수,Statistics,1676.0,1724.0,1762.0,1861.0,1897.0,1934.0,1962.0
전국 - 노인 - 종사자수,Statistics,141580.0,151056.0,164318.0,181785.0,208664.0,256815.0,322902.0
전국 - 사회복지관 - 종사자수,Statistics,8043.0,8232.0,8621.0,8758.0,10273.0,11184.0,11612.0
