item,category,2016,2017,2018,2019,2020,2021,2022,2023
계양구 - 노후주택비율(A÷B×100),Statistics,11.5,12.7,14.7,18.4,24.6,31.0,34.5,37.7
계양구 - 전체주택(B),Statistics,108431.0,108663.0,107446.0,106268.0,107004.0,110467.0,110061.0,110729.0
고령군 - 30년 이상 노후주택(A),Statistics,5001.0,5003.0,4957.0,4867.0,5049.0,5174.0,5409.0,5644.0
고령군 - 노후주택비율(A÷B×100),Statistics,36.4,36.2,36.1,35.5,36.6,37.4,39.0,40.5
고령군 - 전체주택(B),Statistics,13736.0,13833.0,13739.0,13709.0,13785.0,13825.0,13859.0,13931.0
고성군 - 30년 이상 노후주택(A),Statistics,4251.0,4342.0,4337.0,4289.0,4819.0,4922.0,5044.0,5238.0
고성군 - 노후주택비율(A÷B×100),Statistics,37.5,37.6,37.2,37.1,40.5,37.5,38.3,39.7
고성군 - 전체주택(B),Statistics,11334.0,11545.0,11653.0,11559.0,11910.0,13129.0,13164.0,13189.0
고양시 - 30년 이상 노후주택(A),Statistics,12472.0,13270.0,14350.0,16545.0,19228.0,22891.0,29725.0,38584.0
고양시 - 노후주택비율(A÷B×100),Statistics,4.2,4.3,4.6,5.0,5.7,6.7,8.5,11.0
고양시 - 전체주택(B),Statistics,299167.0,305178.0,314605.0,327782.0,334425.0,339468.0,347754.0,352201.0
고창군 - 30년 이상 노후주택(A),Statistics,11864.0,11906.0,11953.0,12032.0,12230.0,12342.0,12571.0,12786.0
고창군 - 노후주택비율(A÷B×100),Statistics,48.9,48.3,48.1,47.7,48.4,48.9,49.4,49.7
고창군 - 전체주택(B),Statistics,24268.0,24649.0,24875.0,25219.0,25269.0,25261.0,25472.0,25738.0
고흥군 - 30년 이상 노후주택(A),Statistics,16913.0,16981.0,17169.0,17287.0,17863.0,18481.0,19324.0,19792.0
고흥군 - 노후주택비율(A÷B×100),Statistics,50.9,51.2,51.1,51.3,52.3,54.0,55.5,56.9
고흥군 - 전체주택(B),Statistics,33213.0,33151.0,33618.0,33687.0,34150.0,34227.0,34814.0,34812.0
곡성군 - 30년 이상 노후주택(A),Statistics,6334.0,6337.0,6301.0,6286.0,6333.0,6391.0,6566.0,6731.0
곡성군 - 노후주택비율(A÷B×100),Statistics,48.0,47.8,47.2,46.6,47.0,47.2,48.3,49.4
곡성군 - 전체주택(B),Statistics,13196.0,13271.0,13361.0,13484.0,13488.0,13545.0,13591.0,13630.0
공주시 - 30년 이상 노후주택(A),Statistics,12233.0,12440.0,12844.0,12873.0,14160.0,14905.0,16136.0,17337.0
공주시 - 노후주택비율(A÷B×100),Statistics,29.6,29.4,29.3,28.4,31.3,33.0,35.1,37.2
공주시 - 전체주택(B),Statistics,41322.0,42343.0,43883.0,45271.0,45266.0,45172.0,46008.0,46548.0
과천시 - 30년 이상 노후주택(A),Statistics,8971.0,5426.0,5449.0,5515.0,5683.0,5736.0,5755.0,5792.0
과천시 - 노후주택비율(A÷B×100),Statistics,57.3,44.8,42.7,42.4,38.3,31.1,25.6,24.1
과천시 - 전체주택(B),Statistics,15661.0,12114.0,12772.0,13008.0,14819.0,18426.0,22455.0,24038.0
관악구 - 30년 이상 노후주택(A),Statistics,15112.0,15073.0,15871.0,16167.0,17934.0,21959.0,27116.0,33258.0
관악구 - 노후주택비율(A÷B×100),Statistics,12.2,12.1,12.7,12.8,14.1,17.2,20.9,25.5
관악구 - 전체주택(B),Statistics,123911.0,124170.0,125148.0,126526.0,127568.0,127783.0,129778.0,130244.0
광명시 - 30년 이상 노후주택(A),Statistics,14832.0,14424.0,14863.0,21674.0,35079.0,36680.0,36760.0,39343.0
광명시 - 노후주택비율(A÷B×100),Statistics,14.3,13.9,14.2,20.9,33.9,37.6,37.4,39.4
광명시 - 전체주택(B),Statistics,103508.0,103564.0,104641.0,103740.0,103493.0,97560.0,98203.0,99923.0
광산구 - 30년 이상 노후주택(A),Statistics,8765.0,8715.0,9201.0,9979.0,10613.0,12179.0,20973.0,22616.0
광산구 - 노후주택비율(A÷B×100),Statistics,6.5,6.3,6.6,6.9,7.1,8.2,13.9,14.9
광산구 - 전체주택(B),Statistics,134996.0,138251.0,140371.0,143848.0,148489.0,149319.0,151271.0,152165.0
광양시 - 30년 이상 노후주택(A),Statistics,8416.0,9980.0,12728.0,13940.0,16096.0,17391.0,21245.0,24415.0
광양시 - 노후주택비율(A÷B×100),Statistics,14.2,16.6,21.2,23.1,26.6,27.0,32.0,35.0
광양시 - 전체주택(B),Statistics,59402.0,59981.0,60122.0,60427.0,60548.0,64442.0,66448.0,69835.0
광주광역시 - 30년 이상 노후주택(A),Statistics,71451.0,74198.0,81093.0,86177.0,95408.0,107453.0,129980.0,142277.0
광주광역시 - 노후주택비율(A÷B×100),Statistics,14.4,14.7,15.8,16.4,17.7,19.8,23.4,25.4
광주광역시 - 전체주택(B),Statistics,494547.0,505471.0,514767.0,526161.0,538275.0,542703.0,555185.0,560550.0
광주시 - 30년 이상 노후주택(A),Statistics,3652.0,3745.0,3800.0,3959.0,4301.0,4536.0,5027.0,5696.0
