item,category,1978,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
경기 - 특허 - 시도별 출원,Statistics,76.0,122.0,145.0,230.0,194.0,298.0,512.0,760.0,1083.0,1422.0,2534.0,3114.0,4891.0,5777.0,5977.0,7741.0,16942.0,20306.0,25785.0,20845.0,20723.0,20802.0,21247.0,23426.0,28536.0,36863.0,42908.0,42699.0,41598.0,39188.0,37913.0,39208.0,40109.0,44130.0,50234.0,50468.0,52542.0,48764.0,46133.0,47175.0,49685.0,54696.0,57830.0,58241.0,61623.0
경남 - 계 - 시도별 출원,Statistics,352.0,635.0,666.0,898.0,1245.0,966.0,1329.0,1543.0,1692.0,1517.0,1585.0,1638.0,1999.0,2721.0,3347.0,3579.0,3701.0,4795.0,4779.0,,,,,,,,,,,,,,,,,,,,,,,,,,
경남 - 다류상표기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,994.0,1278.0,2123.0,2089.0,2277.0,2279.0,2416.0,2699.0,2469.0,3222.0,2558.0,2620.0,2545.0,3366.0,3012.0,3310.0,4245.0,3913.0,4002.0,3970.0,4495.0,4894.0,5720.0,6783.0,6669.0,6449.0
경남 - 디자인 - 시도별 출원,Statistics,116.0,205.0,223.0,312.0,367.0,278.0,344.0,328.0,410.0,324.0,311.0,331.0,376.0,504.0,726.0,576.0,487.0,503.0,555.0,,,,,,,,,,,,,,,,,,,,,,,,,,
경남 - 복수디자인기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,512.0,590.0,648.0,716.0,764.0,680.0,909.0,906.0,1160.0,1306.0,1276.0,1232.0,1290.0,1383.0,1646.0,1539.0,1570.0,1802.0,1769.0,1619.0,1666.0,1792.0,1815.0,1840.0,1472.0,1409.0
경남 - 상표 - 시도별 출원,Statistics,67.0,181.0,145.0,234.0,288.0,233.0,422.0,590.0,442.0,384.0,498.0,463.0,471.0,592.0,642.0,1043.0,1045.0,1234.0,1165.0,,,,,,,,,,,,,,,,,,,,,,,,,,
경남 - 상품류기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,3529.0,3808.0,5309.0,5601.0,5833.0,6699.0,,,,,,,,,,,,,,,,,,,,
경남 - 실용신안 - 시도별 출원,Statistics,146.0,226.0,256.0,310.0,501.0,399.0,502.0,522.0,666.0,661.0,610.0,663.0,850.0,1183.0,1352.0,1255.0,1256.0,1798.0,1601.0,1069.0,1008.0,1272.0,1440.0,1468.0,1837.0,1409.0,1398.0,1392.0,835.0,601.0,639.0,571.0,439.0,465.0,486.0,285.0,332.0,430.0,300.0,266.0,239.0,156.0,143.0,146.0,137.0
경남 - 출원서기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,3275.0,3580.0,4812.0,5073.0,5446.0,6345.0,894.0,907.0,1140.0,1298.0,1253.0,1218.0,1285.0,1372.0,1636.0,1522.0,1569.0,1770.0,1757.0,1572.0,1629.0,1782.0,1801.0,1827.0,1452.0,1405.0
경남 - 특허 - 시도별 출원,Statistics,23.0,23.0,42.0,42.0,89.0,56.0,61.0,103.0,174.0,148.0,166.0,181.0,302.0,442.0,627.0,705.0,913.0,1260.0,1458.0,954.0,932.0,1266.0,1356.0,1324.0,1903.0,1818.0,2091.0,2739.0,3604.0,3471.0,3786.0,3971.0,4415.0,4935.0,5017.0,5502.0,5548.0,6625.0,6609.0,6521.0,6657.0,6810.0,6964.0,6746.0,6710.0
경북 - 계 - 시도별 출원,Statistics,1541.0,2290.0,2310.0,2952.0,931.0,711.0,1019.0,1111.0,1777.0,1539.0,974.0,1183.0,1582.0,2487.0,3844.0,5320.0,4265.0,5350.0,5260.0,,,,,,,,,,,,,,,,,,,,,,,,,,
경북 - 다류상표기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,881.0,1455.0,1710.0,1828.0,2182.0,2097.0,1914.0,2577.0,2627.0,3300.0,3090.0,2956.0,3409.0,3142.0,3677.0,2834.0,3301.0,3857.0,3729.0,3701.0,4011.0,4845.0,5760.0,6324.0,6199.0,6267.0
경북 - 디자인 - 시도별 출원,Statistics,465.0,882.0,850.0,1047.0,166.0,197.0,273.0,244.0,293.0,211.0,217.0,273.0,338.0,435.0,624.0,626.0,386.0,454.0,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,
경북 - 복수디자인기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,438.0,651.0,553.0,664.0,678.0,707.0,809.0,948.0,874.0,1118.0,1014.0,1287.0,1244.0,922.0,1304.0,1434.0,1492.0,1444.0,1366.0,1469.0,1275.0,1452.0,1456.0,1735.0,1401.0,1534.0
경북 - 상표 - 시도별 출원,Statistics,371.0,353.0,387.0,719.0,241.0,132.0,208.0,190.0,254.0,247.0,167.0,240.0,269.0,362.0,459.0,796.0,583.0,797.0,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,
경북 - 상품류기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,4992.0,7047.0,7539.0,8303.0,8373.0,7472.0,,,,,,,,,,,,,,,,,,,,
경북 - 실용신안 - 시도별 출원,Statistics,639.0,956.0,971.0,1075.0,410.0,311.0,391.0,409.0,565.0,492.0,394.0,433.0,635.0,1174.0,1846.0,2621.0,1850.0,2199.0,1851.0,1726.0,1872.0,1502.0,1283.0,1238.0,1263.0,1229.0,1207.0,913.0,620.0,503.0,482.0,383.0,266.0,283.0,286.0,214.0,254.0,184.0,180.0,153.0,120.0,141.0,145.0,105.0,107.0
경북 - 출원서기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,4748.0,6633.0,7118.0,7800.0,7711.0,6978.0,783.0,699.0,714.0,1041.0,966.0,1198.0,1166.0,886.0,1227.0,1366.0,1477.0,1406.0,1343.0,1443.0,1262.0,1398.0,1414.0,1634.0,1324.0,1395.0
경북 - 특허 - 시도별 출원,Statistics,66.0,99.0,102.0,111.0,114.0,71.0,147.0,268.0,665.0,589.0,196.0,237.0,340.0,516.0,915.0,1277.0,1446.0,1900.0,2153.0,1947.0,3069.0,3774.0,4528.0,4275.0,3405.0,2878.0,3488.0,3936.0,4678.0,4809.0,4847.0,5915.0,7008.0,7314.0,7634.0,7235.0,6858.0,7048.0,6764.0,6634.0,6615.0,6698.0,6733.0,6374.0,7798.0
계 - 계 - 시도별 출원,Statistics,21267.0,27698.0,29076.0,34525.0,40734.0,46703.0,57393.0,63256.0,69632.0,68300.0,71103.0,81713.0,90659.0,98798.0,125723.0,151779.0,202098.0,231407.0,205690.0,,,,,,,,,,,,,,,,,,,,,,,,,,
