item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
계룡시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,43967.0,43731.0,42971.0
계양구 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,257.0,267.5,282.1
계양구 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,83207.0,83632.0,85605.0
계양구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,323784.0,312680.0,303471.0
고령군 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,585.9,603.6,618.2
고령군 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,19784.0,19900.0,20013.0
고령군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,33768.0,32969.0,32373.0
고성군 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,398.2,470.5,500.1
고성군 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,11957.0,13242.0,13634.0
고성군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,30029.0,28144.0,27260.0
고양시 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,306.6,318.8,313.9
고양시 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,319434.0,332904.0,334751.0
고양시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,1041983.0,1044189.0,1066351.0
고창군 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,301.9,327.9,370.1
고창군 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,18255.0,18704.0,20542.0
고창군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,60472.0,57041.0,55504.0
고흥군 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,280.2,306.4,318.1
고흥군 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,18701.0,20156.0,20652.0
고흥군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,66736.0,65777.0,64913.0
곡성군 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,363.2,381.2,407.1
