item,category,2020,2021,2022,2023
과천시 - 5년간 연평균 인구증감률,Statistics,-1.2,5.3,8.1,9.3
과천시 - 당해년 총인구,Statistics,58018.0,65880.0,73406.0,76824.0
관악구 - 4년전 총인구,Statistics,515648.0,511222.0,510303.0,507828.0
관악구 - 5년간 연평균 인구증감률,Statistics,-0.6,-0.8,-0.7,-0.7
관악구 - 당해년 총인구,Statistics,502641.0,495777.0,496743.0,493677.0
광명시 - 4년전 총인구,Statistics,334361.0,328253.0,323460.0,313462.0
광명시 - 5년간 연평균 인구증감률,Statistics,-2.8,-3.0,-3.2,-3.2
광명시 - 당해년 총인구,Statistics,298116.0,290345.0,284031.0,275397.0
광산구 - 4년전 총인구,Statistics,417200.0,419625.0,420665.0,423310.0
광산구 - 5년간 연평균 인구증감률,Statistics,0.3,0.2,0.1,-0.3
광산구 - 당해년 총인구,Statistics,422502.0,422758.0,421755.0,417491.0
광양시 - 4년전 총인구,Statistics,144364.0,144010.0,144027.0,143656.0
광양시 - 5년간 연평균 인구증감률,Statistics,-0.1,0.0,0.3,0.6
광양시 - 당해년 총인구,Statistics,143928.0,144226.0,145926.0,147378.0
광주광역시 - 4년전 총인구,Statistics,1501557.0,1496172.0,1490092.0,1489730.0
광주광역시 - 5년간 연평균 인구증감률,Statistics,-0.4,-0.4,-0.4,-0.6
광주광역시 - 당해년 총인구,Statistics,1477573.0,1475262.0,1468972.0,1457090.0
광주시 - 4년전 총인구,Statistics,322302.0,341046.0,364178.0,375238.0
광주시 - 5년간 연평균 인구증감률,Statistics,4.6,3.3,1.9,1.3
광주시 - 당해년 총인구,Statistics,385141.0,387700.0,392926.0,394667.0
광진구 - 4년전 총인구,Statistics,363979.0,363934.0,362304.0,359766.0
광진구 - 5년간 연평균 인구증감률,Statistics,-0.7,-1.2,-1.1,-0.8
광진구 - 당해년 총인구,Statistics,353967.0,347099.0,346519.0,348160.0
괴산군 - 4년전 총인구,Statistics,38164.0,38579.0,38453.0,38808.0
괴산군 - 5년간 연평균 인구증감률,Statistics,0.0,-0.7,-0.4,-0.8
괴산군 - 당해년 총인구,Statistics,38093.0,37526.0,37830.0,37607.0
구례군 - 4년전 총인구,Statistics,24278.0,24420.0,24246.0,23836.0
