item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강화군 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,1.2,1.1,0.8,0.7,0.8,0.7
강화군 - 자동차등록대수＜br＞(A),Statistics,21968.0,22805.0,23334.0,23981.0,25107.0,25988.0,26566.0,27163.0,27543.0,28162.0,29128.0,31529.0,33337.0,34429.0,34239.0,83721.0,73836.0,52791.0,46248.0,53160.0,46846.0
강화군 - 주민등록인구＜br＞(B),Statistics,65114.0,65389.0,65510.0,66466.0,67387.0,67049.0,67104.0,66779.0,66752.0,66735.0,67118.0,67667.0,68010.0,68754.0,68896.0,69178.0,69203.0,69693.0,69803.0,69005.0,69402.0
거제시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5
거제시 - 자동차등록대수＜br＞(A),Statistics,58687.0,62094.0,65294.0,68741.0,72927.0,77619.0,80386.0,84217.0,87615.0,92056.0,97500.0,102977.0,105287.0,105258.0,105341.0,106333.0,108296.0,109084.0,110322.0,111968.0,114112.0
거제시 - 주민등록인구＜br＞(B),Statistics,190141.0,195609.0,201412.0,208208.0,217211.0,225522.0,228355.0,232787.0,236944.0,242077.0,248287.0,255828.0,257183.0,254073.0,250516.0,248276.0,245754.0,241216.0,236662.0,234038.0,232972.0
거창군 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
거창군 - 자동차등록대수＜br＞(A),Statistics,19239.0,19865.0,20583.0,21239.0,21702.0,22670.0,23488.0,24324.0,25190.0,26207.0,27355.0,28758.0,29908.0,30739.0,31671.0,32265.0,32974.0,33763.0,34583.0,35549.0,36118.0
거창군 - 주민등록인구＜br＞(B),Statistics,65615.0,64735.0,63917.0,63979.0,63268.0,63180.0,63421.0,63146.0,63103.0,63177.0,63137.0,63232.0,63308.0,62763.0,62455.0,62179.0,61502.0,61073.0,60387.0,60047.0,59588.0
경기 여주군 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
경기 여주군 - 자동차등록대수＜br＞(A),Statistics,44317.0,45766.0,48184.0,50142.0,51201.0,52893.0,54221.0,55273.0,56146.0,,,,,,,,,,,,
경기 여주군 - 주민등록인구＜br＞(B),Statistics,103976.0,104260.0,105022.0,106926.0,107355.0,108088.0,109250.0,109120.0,109550.0,,,,,,,,,,,,
경기도 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5
경기도 - 자동차등록대수＜br＞(A),Statistics,3358474.0,3505759.0,3651142.0,3792395.0,3888856.0,4014392.0,4189151.0,4303774.0,4402396.0,4525170.0,4694527.0,4917091.0,5160921.0,5386022.0,5617611.0,5765692.0,6004126.0,6204452.0,6378632.0,6525098.0,6645518.0
경기도 - 주민등록인구＜br＞(B),Statistics,10462920.0,10697215.0,10906033.0,11106211.0,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0,13694685.0
