item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
서울특별시 - 임금근로자＜br＞(B),Statistics,3441.7,3550.9,3637.8,3766.0,3767.8,3698.8,3873.7,3979.7,3961.6,4017.5,4030.0,4050.2,4041.5,4102.9,4055.2,4236.9,4185.6,4161.3,4209.7,4308.9,4367.2
세종특별자치시 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,,,,31.5,28.7,25.4,28.1,26.7,31.4,30.9,27.5
세종특별자치시 - 비정규직근로자＜br＞(A),Statistics,,,,,,,,,,,,,,33.6,36.2,35.7,42.3,41.4,52.0,53.5,47.6
세종특별자치시 - 임금근로자＜br＞(B),Statistics,,,,,,,,,,,,,,106.7,126.1,140.8,150.6,155.0,165.7,173.4,173.2
울산광역시 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,30.5,27.6,26.7,27.9,28.8,30.6,31.8,31.7,29.1,27.9,26.6,24.6,30.0,29.1,31.9,32.3,34.3,34.9,34.9,34.6,35.9
울산광역시 - 비정규직근로자＜br＞(A),Statistics,115.1,101.1,98.1,109.2,117.3,124.9,134.4,137.3,129.1,125.5,119.7,117.1,139.7,134.4,151.6,150.5,158.9,158.4,169.1,163.6,170.2
울산광역시 - 임금근로자＜br＞(B),Statistics,376.9,366.2,366.8,390.8,406.9,408.2,423.0,433.2,443.2,449.1,450.8,475.7,466.3,462.5,475.1,466.0,463.5,454.2,484.2,472.9,473.5
인천광역시 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,34.8,35.3,35.9,36.8,36.7,34.7,35.2,38.3,33.2,32.6,30.6,29.6,33.0,31.4,32.0,36.9,34.7,37.1,38.7,36.4,39.0
인천광역시 - 비정규직근로자＜br＞(A),Statistics,297.4,309.4,324.4,346.2,346.8,342.4,364.1,405.1,362.8,369.0,356.4,355.9,413.5,385.7,404.1,470.0,445.4,478.6,510.9,497.3,550.8
인천광역시 - 임금근로자＜br＞(B),Statistics,854.8,876.2,904.6,940.1,944.3,986.8,1034.0,1056.7,1092.4,1132.1,1165.0,1201.8,1252.2,1228.1,1261.4,1272.1,1285.0,1291.7,1318.6,1365.5,1413.2
전국 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,37.0,36.6,35.4,35.8,33.8,34.8,33.2,34.2,33.2,32.5,32.2,32.4,32.8,32.9,33.0,36.4,36.3,38.4,37.5,37.0,38.2
전국 - 비정규직근로자＜br＞(A),Statistics,5406.9,5468.5,5464.6,5732.2,5488.0,5782.5,5714.5,6053.3,5953.9,5977.2,6122.9,6308.4,6480.8,6577.8,6614.1,7480.9,7425.7,8065.9,8156.3,8121.9,8458.7
전국 - 임금근로자＜br＞(B),Statistics,14617.6,14948.2,15420.4,16006.2,16257.7,16608.7,17189.2,17714.9,17941.2,18403.1,18991.8,19474.4,19743.3,20006.0,20045.1,20559.0,20445.9,20992.4,21724.1,21954.0,22143.4
전라남도 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,41.8,42.9,39.1,39.9,40.2,42.0,37.3,42.0,40.5,37.4,38.2,38.3,38.8,38.0,36.5,39.1,39.4,41.3,40.9,46.3,46.2
전라남도 - 비정규직근로자＜br＞(A),Statistics,171.4,177.9,165.0,180.1,177.6,205.1,178.7,208.3,201.5,193.4,199.2,215.8,225.3,217.3,212.9,235.4,237.1,250.3,248.9,292.4,288.2
전라남도 - 임금근로자＜br＞(B),Statistics,410.3,415.1,422.0,450.9,442.1,488.5,478.8,496.0,497.0,517.6,521.7,562.8,581.4,572.1,582.9,602.4,602.2,606.1,608.2,631.2,623.7
전북특별자치도 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,37.0,41.8,35.1,36.6,33.3,40.8,37.9,37.5,37.3,40.6,39.1,40.2,40.1,40.9,42.5,45.0,44.1,44.7,44.0,44.4,42.6
전북특별자치도 - 비정규직근로자＜br＞(A),Statistics,164.2,195.7,161.0,175.3,156.5,200.6,186.8,206.0,204.3,233.7,230.0,240.8,241.9,244.5,255.0,272.7,268.6,284.1,280.3,296.2,285.0
전북특별자치도 - 임금근로자＜br＞(B),Statistics,443.4,468.1,458.6,478.4,470.5,491.2,493.0,550.0,547.7,576.2,588.7,598.6,603.7,597.6,599.6,606.1,609.0,635.6,636.5,666.5,669.8
제주특별자치도 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,43.5,45.8,47.7,41.0,38.3,39.9,42.1,41.6,41.5,44.1,42.2,40.2,39.3,39.1,39.1,44.6,43.8,41.0,43.0,40.8,39.1
제주특별자치도 - 비정규직근로자＜br＞(A),Statistics,68.0,67.0,80.1,68.2,66.7,70.4,72.4,75.9,76.8,83.1,85.9,89.1,91.6,100.9,95.3,109.8,104.6,102.1,115.7,113.1,106.1
제주특별자치도 - 임금근로자＜br＞(B),Statistics,156.4,146.2,168.1,166.4,174.0,176.3,171.9,182.4,185.2,188.5,203.5,221.4,233.1,257.9,243.6,246.0,238.6,248.8,269.0,277.0,271.6
충청남도 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,41.7,41.5,38.1,38.3,34.9,35.7,31.2,34.2,32.7,33.3,32.0,34.6,33.7,33.8,35.8,37.3,37.6,35.7,36.6,37.4,36.7
충청남도 - 비정규직근로자＜br＞(A),Statistics,213.2,214.9,210.1,229.6,219.3,220.9,202.5,233.9,240.8,255.6,247.1,283.3,292.7,270.8,292.4,298.6,301.6,298.7,312.4,337.5,335.6
충청남도 - 임금근로자＜br＞(B),Statistics,511.7,517.6,551.3,599.7,628.2,618.4,648.8,683.2,735.8,768.2,772.4,819.4,868.7,802.1,817.5,800.5,801.5,836.7,852.6,901.4,914.8
충청북도 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,42.0,41.1,36.8,35.2,32.6,35.2,35.5,35.1,31.1,30.8,33.7,35.0,34.7,33.1,33.7,36.9,34.5,38.6,40.1,37.9,40.1
충청북도 - 비정규직근로자＜br＞(A),Statistics,168.7,166.6,151.2,152.6,145.4,171.8,183.1,181.4,159.4,160.8,189.5,205.4,207.5,200.0,209.9,232.3,219.9,256.5,266.3,253.6,274.2
충청북도 - 임금근로자＜br＞(B),Statistics,401.4,405.6,410.5,434.0,446.1,488.1,515.5,517.0,511.9,521.3,562.7,586.3,597.4,604.6,623.4,629.9,637.0,663.7,664.7,669.1,684.0
