경기도 - 1인가구＜br＞(A),Statistics,562995.0,777360.0,1026471.0,1067916.0,1124541.0,1197586.0,1290893.0,1406010.0,1543100.0,1634147.0,1714629.0
경기도 - 일반가구＜br＞(B),Statistics,3329177.0,3831134.0,4384742.0,4484424.0,4602950.0,4751497.0,4907660.0,5098431.0,5290662.0,5406963.0,5500024.0
경남 마산시 - 1인가구비율＜br＞(A÷B×100),Statistics,19.6,,,,,,,,,,
경남 마산시 - 1인가구＜br＞(A),Statistics,28314.0,,,,,,,,,,
경남 마산시 - 일반가구＜br＞(B),Statistics,144246.0,,,,,,,,,,
경남 진해시 - 1인가구비율＜br＞(A÷B×100),Statistics,17.5,,,,,,,,,,
경남 진해시 - 1인가구＜br＞(A),Statistics,8723.0,,,,,,,,,,
경남 진해시 - 일반가구＜br＞(B),Statistics,49975.0,,,,,,,,,,
경남 창원시 - 1인가구비율＜br＞(A÷B×100),Statistics,19.3,,,,,,,,,,
경남 창원시 - 1인가구＜br＞(A),Statistics,31397.0,,,,,,,,,,
경남 창원시 - 일반가구＜br＞(B),Statistics,162888.0,,,,,,,,,,
경산시 - 1인가구비율＜br＞(A÷B×100),Statistics,27.1,33.8,32.4,32.4,33.1,32.8,34.0,36.0,37.7,38.9,41.4
경산시 - 1인가구＜br＞(A),Statistics,23186.0,34037.0,34156.0,34448.0,35937.0,35808.0,38217.0,41805.0,46114.0,48265.0,52780.0
경산시 - 일반가구＜br＞(B),Statistics,85485.0,100576.0,105571.0,106396.0,108602.0,109175.0,112324.0,116127.0,122309.0,124164.0,127547.0
경상남도 - 1인가구비율＜br＞(A÷B×100),Statistics,21.4,24.9,27.6,28.1,28.6,29.1,29.6,30.9,32.7,33.7,34.7
경상남도 - 1인가구＜br＞(A),Statistics,226117.0,286485.0,346754.0,358430.0,370293.0,379719.0,391421.0,417737.0,450490.0,468772.0,487491.0
경상남도 - 일반가구＜br＞(B),Statistics,1056007.0,1151172.0,1258487.0,1273523.0,1292998.0,1306394.0,1321213.0,1350155.0,1378982.0,1392608.0,1404476.0
경상북도 - 1인가구비율＜br＞(A÷B×100),Statistics,23.9,28.8,30.4,31.3,31.9,32.3,32.7,34.4,36.0,37.0,38.1
경상북도 - 1인가구＜br＞(A),Statistics,224611.0,289704.0,322569.0,336547.0,346998.0,353702.0,360213.0,388791.0,416697.0,430969.0,444108.0
경상북도 - 일반가구＜br＞(B),Statistics,938840.0,1005349.0,1062724.0,1076581.0,1087807.0,1094534.0,1102934.0,1131819.0,1156645.0,1166306.0,1166594.0
경주시 - 1인가구비율＜br＞(A÷B×100),Statistics,25.0,29.7,31.6,32.7,33.5,33.8,33.8,35.6,37.2,37.6,38.1
경주시 - 1인가구＜br＞(A),Statistics,24071.0,29434.0,32760.0,34493.0,35678.0,36355.0,36572.0,39638.0,42355.0,42790.0,43793.0
경주시 - 일반가구＜br＞(B),Statistics,96216.0,99125.0,103686.0,105400.0,106533.0,107484.0,108194.0,111247.0,113760.0,113877.0,114793.0
