item,category,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
경산시 - 논,Statistics,,,,,,,,,,,,,558.0,538.0,532.0,491.0,477.0,390.0,317.0,2726.0,2386.0,2329.0,2203.0,2153.0,2144.0,2093.0,2065.0,2022.0,2015.0,2000.0,1985.0,1894.0,1941.0,1884.0,1851.0,1846.0,1858.0,1874.0,1583.0,1226.0958754841,1140.0,966.4491,931.6204,930.5502,855.1816,1251.5668,1226.47,1174.1956,1123.7511
경주군 - 논,Statistics,,,,,,,,,,,,,15109.0,15031.0,15082.0,15013.0,14785.0,14433.0,14088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경주시 - 논,Statistics,3607.6,3641.6,3462.1,3491.6,3469.4,3466.0,3415.0,3397.0,3395.0,3380.0,3364.0,3409.0,3360.0,3406.0,3361.0,3321.0,3238.0,3226.0,3173.0,17100.0,17171.0,17044.0,16976.0,17004.0,16836.0,16940.0,16875.0,16873.0,16559.0,16558.0,16440.0,16205.0,15905.0,15648.0,15448.0,15316.0,15398.0,15171.0,14881.0,14473.2382912782,14394.0,13930.7109,13680.5805,13679.1414,13523.9572,12366.1501,12044.16,11953.841,11918.6955
계룡시 - 논,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.0,335.0,321.0,301.0,295.0,295.0,307.0,315.0,309.0,299.0863400804,298.0,287.3446,284.7136,284.7136,277.2055,170.0941,154.1382,140.5628,135.0282
고령군 - 논,Statistics,5775.6,5895.1,5958.4,5988.6,6001.8,6010.0,5924.0,5903.0,5957.0,5934.0,5927.0,5903.0,5881.0,5812.0,5730.0,5734.0,5484.0,5384.0,5352.0,5214.0,5111.0,5082.0,5076.0,5106.0,5228.0,5250.0,5247.0,5190.0,5095.0,5013.0,5010.0,4993.0,4931.0,4865.0,4595.0,4507.0,4796.0,4769.0,4902.0,4520.4210312884,4536.0,4387.7739,4357.5655,4338.5927,4312.4586,3354.7209,3404.04,3263.2831,3303.9009
고성군 - 논,Statistics,3703.9,3756.3,3761.2,3774.1,3765.8,3762.0,3763.0,3758.0,3746.0,3792.0,3805.0,3791.0,3769.0,3757.0,3760.0,3748.0,3778.0,3680.0,3611.0,3401.0,3396.0,3465.0,3521.0,3560.0,3561.0,3569.0,3575.0,3570.0,3539.0,3528.0,3563.0,3560.0,3544.0,3516.0,3464.0,3417.0,3388.0,3429.0,3427.0,3350.888511471,3328.0,3319.2363,3205.355,3149.6402,3055.0173,3107.0086,3028.07,2992.7504,2932.5883
고양군 - 논,Statistics,7445.6,7487.1,7462.6,7409.8,7365.3,7317.0,7311.0,7407.0,7457.0,7363.0,7318.0,7644.0,7580.0,7398.0,6405.0,5994.0,5660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고양시 - 논,Statistics,,,,,,,,,,,,,,,,,,5237.0,4690.0,4258.0,3514.0,3225.0,3027.0,3046.0,2948.0,2871.0,2477.0,2409.0,2350.0,2311.0,2265.0,2125.0,1894.0,1758.0,1662.0,1601.0,1639.0,1723.0,1604.0,1603.3951545518,1534.0,1423.9766,1320.1265,1280.9226,1242.5571,1124.0202,1069.79,1009.1966,976.2537
고창군 - 논,Statistics,15089.6,15164.2,15287.5,15464.8,15514.0,15570.0,15877.0,16547.0,17047.0,17358.0,17586.0,15590.0,15770.0,15923.0,16043.0,16037.0,15994.0,15685.0,15492.0,15703.0,15611.0,15500.0,15472.0,15361.0,15528.0,15508.0,15518.0,15467.0,15385.0,15357.0,15120.0,15112.0,15084.0,14588.0,14465.0,14023.0,14128.0,14098.0,14059.0,13966.7209903909,14163.0,13931.1584,13789.8762,13256.1398,13134.5833,12714.3559,12717.1,12441.7441,12422.2281
고흥군 - 논,Statistics,12118.6,12210.8,12243.5,12316.4,12366.0,12346.0,12473.0,12504.0,12590.0,12565.0,12589.0,14133.0,14164.0,14104.0,14130.0,14057.0,13933.0,14965.0,14777.0,14778.0,14661.0,14573.0,14582.0,14674.0,14655.0,14650.0,14642.0,14615.0,14722.0,14678.0,14536.0,14416.0,14184.0,15630.0,15396.0,15163.0,15145.0,15506.0,14773.0,14477.0862928338,14426.0,14061.9784,13744.7752,13603.7293,13619.3643,13347.5194,13074.9,12802.7244,12615.071
곡성군 - 논,Statistics,7181.5,7222.1,7241.3,7242.8,7238.0,7235.0,7243.0,7219.0,7244.0,7251.0,7264.0,7090.0,7131.0,7191.0,7196.0,7210.0,7188.0,7169.0,7123.0,6793.0,6769.0,6714.0,6692.0,6673.0,6673.0,6648.0,6616.0,6597.0,6545.0,6526.0,6467.0,6363.0,6244.0,5904.0,5705.0,5591.0,5625.0,5589.0,5410.0,5253.8209197218,5172.0,4891.6755,4932.6031,4594.8481,4589.3551,4252.4868,4168.82,4200.4995,4205.896
공주군 - 논,Statistics,12210.2,12345.7,12533.3,12619.9,12650.5,12735.0,12875.0,12920.0,13010.0,13047.0,12063.0,12710.0,12711.0,12619.0,12560.0,12511.0,12441.0,12291.0,12201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공주시 - 논,Statistics,,,,,,,,,,,1060.0,1024.0,1009.0,1087.0,1075.0,1062.0,1026.0,1023.0,1008.0,12607.0,12550.0,12467.0,12473.0,12304.0,12287.0,12006.0,11781.0,11253.0,11187.0,11073.0,11084.0,11003.0,10273.0,10048.0,9885.0,9658.0,9953.0,8715.0,7479.0,7452.650130014,7548.0,7271.9186,7201.6063,7192.9557,7160.0626,7013.364,6893.25,6742.6681,6730.3416
과천시 - 논,Statistics,,,,,,,,,,,297.0,285.0,276.0,261.0,243.0,231.0,201.0,189.0,165.0,162.0,98.0,94.0,106.0,108.0,110.0,99.0,95.0,87.0,80.0,68.0,29.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,15.1016543083,15.0,13.6885,9.9479,8.4987,7.4381,3.8134,2.8881,2.8881,2.8881
광명시 - 논,Statistics,,,,,,885.0,880.0,926.0,768.0,766.0,767.0,864.0,748.0,668.0,638.0,609.0,589.0,534.0,456.0,423.0,397.0,359.0,341.0,322.0,322.0,293.0,285.0,252.0,238.0,202.0,149.0,140.0,146.0,145.0,144.0,143.0,149.0,147.0,140.0,137.429424912,139.0,130.6516,124.7392,113.082,113.7975,65.5088,65.5088,65.5088,59.1441
광산구 - 논,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5016.0,4799.0,4673.0,4059.0,3970.0,3799.0,3728.0,3740.0,3717.0,3684.2661376891,3400.0,3337.2237,3304.2636,3256.8364,3243.8462,2566.8049,2637.13,2841.3927,2828.8935
광산구외 - 논,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4024.0,4020.0,3637.0,3501.0,3332.0,3216.0,3195.0,3218.0,3047.0,2931.1157424418,2767.0,2594.0886,2488.0431,2501.0996,2480.5899,2012.8021,1962.61,2138.5413,2161.497
광산군 - 논,Statistics,10161.9,10365.8,10594.7,10597.2,10413.2,10420.0,10409.0,10453.0,10485.0,10474.0,9645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광양군 - 논,Statistics,5452.1,5339.0,5342.1,5337.1,5351.3,5351.0,5302.0,5306.0,5313.0,5305.0,4504.0,5086.0,5080.0,5057.0,5022.0,4966.0,4880.0,4854.0,4805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광양시 - 논,Statistics,,,,,,,,,,,,,,,,,,,,5322.0,5298.0,5164.0,5136.0,5106.0,5067.0,5030.0,4902.0,4735.0,4623.0,4447.0,4236.0,4070.0,3457.0,3283.0,2655.0,2040.0,2089.0,1978.0,1794.0,1701.254051613,1605.0,1487.5028,1384.1181,1309.9182,1256.923,1328.2929,1399.48,1415.1222,1321.8955
광양출장소 - 논,Statistics,,,,,,,,,,,734.0,727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주 - 논,Statistics,,,,,,,,,,,3862.0,13459.0,13444.0,13315.0,13296.0,13193.0,12928.0,12596.0,11825.0,10930.0,10621.0,10574.0,10454.0,10435.0,10428.0,10366.0,10231.0,10102.0,9354.0,9324.0,9040.0,8819.0,8310.0,7560.0,7302.0,7015.0,6922.0,6958.0,6764.0,6615.3818801309,6167.0,5931.3123,5792.3067,5757.936,5724.4361,4579.607,4599.74,4979.934,4990.3905
광주군 - 논,Statistics,5038.7,5081.0,5111.3,5094.6,4962.9,4984.0,4940.0,4879.0,4733.0,4647.0,4623.0,5008.0,3797.0,3770.0,3615.0,3430.0,2995.0,2871.0,2525.0,2521.0,2299.0,2173.0,2161.0,2135.0,2082.0,2005.0,,,,,,,,,,,,,,,,,,,,,,,
광주시 - 논,Statistics,4191.8,4052.7,3926.0,3901.5,3872.7,3872.0,3897.0,3897.0,3900.0,3888.0,,,,,,,,,,,,,,,,,1926.0,1876.0,1798.0,1710.0,1687.0,1636.0,1518.0,1486.0,1341.0,1099.0,1062.0,1044.0,992.0,986.454289188,926.0,830.5588,756.6423,711.6389,688.3746,628.247,584.8443,573.8488,534.6309
