item,category,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
나주시 - 논,Statistics,,,,,,,,,,,1765.0,2007.0,2005.0,2007.0,2001.0,1996.0,1942.0,1918.0,1911.0,17233.0,17161.0,17106.0,17065.0,17038.0,17128.0,17084.0,17146.0,17122.0,16829.0,16806.0,16759.0,16747.0,16632.0,15724.0,15471.0,15010.0,14819.0,14838.0,14822.0,14605.6339335154,14471.0,14191.9194,13996.8042,13628.8871,13651.4176,12533.6549,12605.67,12206.3731,12185.2415
남양주군 - 논,Statistics,,,,5011.1,4952.0,4924.0,4937.0,4932.0,4354.0,4316.0,3845.0,4482.0,3806.0,3678.0,3378.0,3183.0,2840.0,2720.0,2183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남양주시 - 논,Statistics,,,,,,,,,,,,,,,,,,,,2142.0,1744.0,1603.0,1412.0,1397.0,1342.0,1196.0,1161.0,1046.0,827.0,766.0,760.0,712.0,603.0,559.0,518.0,421.0,442.0,396.0,335.0,311.40768572,292.0,273.7388,272.3257,265.1318,253.095,187.2207,164.1044,167.4721,166.3085
남원군 - 논,Statistics,13700.5,13801.0,13846.1,13884.0,13881.4,12908.0,12831.0,12725.0,12727.0,12812.0,12921.0,13491.0,13703.0,13812.0,13869.0,13851.0,13826.0,13647.0,13362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남원시 - 논,Statistics,,,,,,999.0,980.0,1076.0,1070.0,1061.0,1058.0,1114.0,1114.0,1109.0,1115.0,1114.0,1085.0,1045.0,1030.0,13612.0,13559.0,13340.0,13270.0,13197.0,13157.0,13216.0,13240.0,13133.0,13098.0,13044.0,12911.0,12789.0,12727.0,11531.0,11515.0,11483.0,11604.0,11526.0,11051.0,10963.0427553729,10844.0,10734.9358,10483.3253,10530.8787,10513.9267,10019.1207,10053.24,9985.3734,10004.0664
남제주군 - 논,Statistics,644.0,641.8,622.5,652.6,653.0,393.0,366.0,311.0,311.0,325.0,367.0,371.0,373.0,326.0,326.0,209.0,88.0,107.0,62.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,43.0,,,,,,,,,,,,,,,,,,
남해군 - 논,Statistics,5425.8,5472.6,5470.6,5452.3,5405.9,5390.0,5383.0,5371.0,5348.0,5333.0,5331.0,5374.0,5314.0,5268.0,5209.0,5155.0,5065.0,4997.0,4984.0,4695.0,4609.0,4532.0,4544.0,4535.0,4519.0,4465.0,4469.0,4395.0,4343.0,4227.0,4160.0,4107.0,3977.0,3822.0,3626.0,3545.0,3443.0,3388.0,2656.0,2626.8214542044,2559.0,2471.1848,2249.7485,2231.8189,2189.6335,2699.3864,2500.84,2692.8725,2677.6179
논산군 - 논,Statistics,17507.1,17611.7,17813.3,17883.7,17931.6,17990.0,18205.0,18380.0,18266.0,18322.0,18574.0,18846.0,18859.0,18658.0,18698.0,18665.0,18330.0,18275.0,18091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
논산시 - 논,Statistics,,,,,,,,,,,,,,,,,,,,16890.0,16809.0,16599.0,16474.0,16427.0,16194.0,16159.0,16119.0,16091.0,15971.0,15936.0,15270.0,15409.0,15218.0,14214.0,13911.0,13220.0,13688.0,13120.0,12556.0,12025.5392671598,12001.0,11694.3703,11621.1435,11524.584,11460.2276,10925.2748,10986.8,10896.3321,10873.4789
단양군 - 논,Statistics,2111.9,2114.6,2171.1,2171.4,2175.0,2173.0,2166.0,2143.0,2006.0,1990.0,1981.0,2173.0,2123.0,2032.0,1917.0,1833.0,1698.0,1634.0,1375.0,1269.0,1147.0,1110.0,1123.0,1093.0,1078.0,1064.0,1053.0,1001.0,901.0,865.0,813.0,668.0,620.0,570.0,535.0,450.0,446.0,444.0,450.0,424.6388492154,405.0,347.5467,309.8985,318.3384,297.892,285.1675,256.5742,236.3395,229.6699
달성군 - 논,Statistics,10568.5,10699.7,10537.4,10073.1,9876.7,7569.0,7564.0,7563.0,7568.0,7592.0,7538.0,7312.0,7251.0,7208.0,7143.0,6827.0,6614.0,6521.0,6296.0,,,,,,,,,,,,5358.0,5258.0,5000.0,4418.0,3940.0,3633.0,3848.0,3805.0,3831.0,3271.6966456542,3451.0,3429.2735,2996.2473,2999.9085,3007.7561,2264.5092,2567.11,2559.8081,2601.0335
달성군외 - 논,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.0,888.0,778.0,768.0,727.0,712.0,712.0,694.0,624.0,593.03417639,574.0,564.4886,538.5595,513.351,503.9644,395.6758,385.84,389.0596,394.0752
담양군 - 논,Statistics,9611.6,9702.9,9934.0,9976.5,9987.4,9969.0,9987.0,10032.0,10017.0,10055.0,10076.0,9338.0,9413.0,9514.0,9596.0,9490.0,9247.0,9367.0,9263.0,8837.0,8918.0,8902.0,8936.0,8913.0,8893.0,8896.0,8855.0,8839.0,8815.0,8811.0,8706.0,8619.0,8589.0,7629.0,7475.0,7174.0,7126.0,7087.0,6823.0,6631.3310721975,6720.0,6622.7721,6507.0786,6343.9362,6299.4763,5371.7853,5334.37,5266.968,5289.033
당진군 - 논,Statistics,15676.3,15766.8,15797.0,15868.4,16187.2,16486.0,17891.0,18341.0,18612.0,18863.0,19345.0,19006.0,19289.0,19434.0,19721.0,20043.0,20304.0,20950.0,21251.0,21783.0,22018.0,21928.0,22274.0,22441.0,22501.0,22877.0,23090.0,23041.0,23027.0,22911.0,22815.0,23294.0,22556.0,22427.0,22208.0,21760.0,,,,,,,,,,,,,
당진시 - 논,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21948.0,21726.0,21308.0,21199.5591402756,20841.0,20526.7461,20417.1065,20379.6962,20361.2257,21449.8825,21356.03,21362.6265,21276.0969
대구 - 논,Statistics,,,,,,4727.0,4750.0,4524.0,4402.0,4330.0,4260.0,4181.0,4075.0,3814.0,3346.0,3030.0,2764.0,2636.0,2171.0,7929.0,7461.0,7214.0,7023.0,6752.0,6702.0,6702.0,6567.0,6484.0,6370.0,6319.0,6286.0,6146.0,5778.0,5186.0,4667.0,4345.0,4560.0,4499.0,4455.0,3864.7308220442,4025.0,3993.7621,3534.8068,3513.2595,3511.7205,2660.185,2952.95,2948.8677,5472.6978
대구시 - 논,Statistics,1063.1,938.6,878.6,702.0,592.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대덕군 - 논,Statistics,6812.1,6701.0,6676.9,6487.0,5805.1,5778.0,5731.0,2952.0,2655.0,2659.0,2645.0,3318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대전 - 논,Statistics,,,,,,,,,,,,,5880.0,5765.0,5461.0,5292.0,5062.0,4931.0,4641.0,4103.0,3789.0,3604.0,3569.0,3534.0,3421.0,3352.0,3186.0,2824.0,2782.0,2688.0,2528.0,2254.0,2214.0,2131.0,2041.0,1895.0,1944.0,1837.0,1629.0,1605.8340197172,1544.0,1458.0793,1400.1635,1357.6167,1285.6278,1137.4177,1103.76,1075.4099,1070.4809
대전시 - 논,Statistics,1222.3,1180.0,1104.1,1080.1,1035.1,1036.0,1019.0,3567.0,3381.0,3233.0,2998.0,2776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대천시 - 논,Statistics,,,,,,,,,,,1402.0,1763.0,1767.0,1774.0,1717.0,1719.0,1656.0,1649.0,1620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동광양시 - 논,Statistics,,,,,,,,,,,,,724.0,677.0,669.0,598.0,545.0,544.0,546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동두천시 - 논,Statistics,,,,,,360.0,354.0,457.0,509.0,507.0,507.0,459.0,458.0,456.0,441.0,430.0,430.0,377.0,362.0,327.0,309.0,264.0,236.0,242.0,197.0,187.0,188.0,184.0,184.0,179.0,167.0,161.0,155.0,150.0,148.0,120.0,118.0,110.0,88.0,86.0052419799,86.0,77.8881,76.7813,66.366,64.3765,42.222,34.1651,29.4873,12.7622
동해시 - 논,Statistics,,,,649.9,642.4,637.0,630.0,627.0,627.0,619.0,602.0,654.0,652.0,650.0,643.0,626.0,591.0,589.0,543.0,369.0,387.0,384.0,378.0,378.0,384.0,377.0,375.0,358.0,323.0,306.0,292.0,286.0,305.0,306.0,295.0,293.0,280.0,276.0,276.0,268.7192777198,286.0,261.4476,251.991,251.192,245.7824,128.4175,115.0188,111.9231,111.8079
마산시 - 논,Statistics,3755.6,2831.1,2063.1,849.8,512.3,512.0,476.0,470.0,469.0,460.0,448.0,447.0,437.0,426.0,426.0,415.0,398.0,396.0,3080.0,3081.0,2680.0,2495.0,2442.0,2389.0,2333.0,2303.0,2261.0,2185.0,2106.0,2045.0,2030.0,2032.0,1979.0,1955.0,1695.0,,,,,,,,,,,,,,
명주군 - 논,Statistics,5008.0,5004.3,4982.6,4721.9,4657.4,4650.0,4645.0,4620.0,4580.0,4534.0,4505.0,4516.0,4399.0,4373.0,4340.0,4347.0,4330.0,4295.0,4165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목포시 - 논,Statistics,257.2,256.9,253.2,253.2,253.2,250.0,250.0,249.0,243.0,239.0,239.0,281.0,281.0,433.0,433.0,409.0,410.0,480.0,430.0,456.0,456.0,441.0,444.0,444.0,444.0,444.0,429.0,384.0,383.0,378.0,364.0,329.0,329.0,271.0,265.0,254.0,256.0,227.0,221.0,174.2775322016,173.0,160.7309,119.818,102.4844,103.6394,108.3215,98.6601,95.1967,95.015
무안군 - 논,Statistics,7260.5,7265.0,7263.5,7279.6,7270.4,7278.0,7389.0,7651.0,8131.0,8153.0,8207.0,8658.0,8834.0,8735.0,8739.0,9380.0,9388.0,10834.0,10671.0,10646.0,10752.0,10682.0,10611.0,10639.0,11109.0,11083.0,10998.0,10977.0,10894.0,10856.0,10672.0,10599.0,10523.0,10283.0,10167.0,9960.0,10056.0,10248.0,10238.0,10126.5763900421,10081.0,9954.905,9769.2005,9395.8043,9347.4676,8796.8857,8915.13,8775.1464,8769.8519
무주군 - 논,Statistics,3898.6,3976.4,3976.1,3960.2,3950.7,3945.0,3952.0,3942.0,3958.0,4004.0,4004.0,4018.0,4051.0,4056.0,4045.0,3963.0,3927.0,3846.0,3713.0,3329.0,3319.0,3209.0,3113.0,3119.0,3103.0,3063.0,2976.0,2919.0,2920.0,2869.0,2738.0,2584.0,2532.0,1901.0,1822.0,1745.0,1764.0,1856.0,1598.0,1585.7276447748,1416.0,1284.2348,1193.041,1172.7762,1174.9448,783.4393,789.0345,791.2573,752.7589
문경군 - 논,Statistics,7061.0,7282.6,7426.4,7499.2,7454.2,7471.0,7471.0,7464.0,7426.0,7369.0,6580.0,7195.0,7224.0,7279.0,7304.0,7278.0,7122.0,7167.0,7046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문경시 - 논,Statistics,,,,,,,,,,,,,,,,,,,,6763.0,6795.0,6785.0,6734.0,6774.0,6552.0,6519.0,6463.0,6287.0,6273.0,6199.0,6171.0,6115.0,5747.0,5531.0,5415.0,5379.0,5424.0,5577.0,5295.0,5024.2598061309,4960.0,4778.5682,4597.536,4456.9912,4467.6873,4282.7158,4254.41,4020.4884,3962.358
미금시 - 논,Statistics,,,,,,,,,,,,,598.0,505.0,510.0,474.0,441.0,360.0,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밀양군 - 논,Statistics,12821.6,12820.4,12870.6,12795.4,12805.3,12743.0,12724.0,12750.0,12711.0,12738.0,12695.0,13822.0,13357.0,13194.0,13073.0,12833.0,12542.0,12192.0,11919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밀양시 - 논,Statistics,,,,,,,,,,,,,389.0,392.0,393.0,394.0,395.0,379.0,372.0,10621.0,10134.0,10018.0,9924.0,9901.0,9975.0,9949.0,9883.0,9665.0,9569.0,9425.0,9274.0,9119.0,9028.0,8963.0,8725.0,8565.0,8678.0,8534.0,8383.0,7989.0863395435,7983.0,6799.4188,6607.5967,6399.2983,6392.2934,4261.1468,4228.31,4541.7327,4683.3448
반월출장소 - 논,Statistics,,,,,1438.6,1444.0,1424.0,1398.0,1393.0,1187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보령군 - 논,Statistics,10094.4,10152.6,10298.8,10399.5,10424.0,10438.0,10529.0,10587.0,10740.0,10837.0,9550.0,9427.0,9687.0,9700.0,9790.0,9785.0,9787.0,9770.0,9485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보령시 - 논,Statistics,,,,,,,,,,,,,,,,,,,,10646.0,10435.0,10711.0,10696.0,10564.0,10475.0,10567.0,10518.0,10360.0,10471.0,10444.0,10376.0,10241.0,10065.0,10049.0,9912.0,9802.0,9863.0,9707.0,9570.0,9497.2659758825,9351.0,9206.321,9142.4406,8900.5965,8913.8486,9245.0233,9266.95,9224.1855,9199.1449
보성군 - 논,Statistics,13282.3,13267.9,13233.0,13246.4,13235.5,13165.0,13171.0,13219.0,13240.0,13264.0,13533.0,13339.0,13410.0,13378.0,12874.0,12831.0,12648.0,12668.0,12443.0,11920.0,11891.0,11812.0,11675.0,11661.0,11613.0,11617.0,11634.0,11597.0,11479.0,11422.0,11350.0,11200.0,11043.0,10279.0,9980.0,9823.0,9841.0,9844.0,9134.0,8738.1138508344,8695.0,8368.3161,8247.4944,7986.2487,7981.2734,8213.7084,8322.65,8218.4928,8057.6503
보은군 - 논,Statistics,6562.3,6774.0,6863.5,6781.0,6766.0,6836.0,6821.0,6836.0,6903.0,6929.0,6977.0,6980.0,6959.0,6966.0,6965.0,6954.0,6979.0,6896.0,6849.0,6207.0,6120.0,6146.0,6106.0,6097.0,6040.0,6017.0,5885.0,5878.0,5939.0,5921.0,5850.0,5714.0,5676.0,5537.0,5395.0,5164.0,5175.0,5011.0,4865.0,4851.7091044239,4858.0,4344.7035,4061.2802,4013.2645,3995.4379,3856.2395,3878.15,3927.5968,4005.9308
봉화군 - 논,Statistics,4831.2,4816.6,4820.1,4813.7,4791.7,4798.0,4805.0,4784.0,4768.0,4764.0,4747.0,5139.0,5077.0,4993.0,4967.0,4941.0,4873.0,4793.0,4677.0,4048.0,4033.0,4018.0,3917.0,3914.0,3947.0,4001.0,3940.0,3960.0,3976.0,3893.0,3895.0,3794.0,3664.0,3621.0,3565.0,3506.0,3534.0,3482.0,3384.0,3240.3873052369,3158.0,2913.3971,2811.7555,2759.969,2754.2896,2352.3006,2355.52,2289.1857,2240.9492
부산 - 논,Statistics,1406.6,4917.9,4876.0,4817.5,4766.7,4735.0,4576.0,4529.0,4450.0,4359.0,4340.0,4731.0,7453.0,7407.0,7354.0,7325.0,7155.0,7023.0,6941.0,8662.0,8425.0,7851.0,7474.0,7310.0,7147.0,6694.0,6575.0,6070.0,6011.0,5862.0,5756.0,5400.0,5147.0,5025.0,4647.0,4442.0,4417.0,3859.0,3778.0,3490.2146646744,3348.0,3242.8121,3091.0261,2951.2151,2812.4495,2277.8394,2267.61,2277.625,2305.7383
부안군 - 논,Statistics,14704.6,14832.4,15669.9,15788.7,15847.7,15917.0,16174.0,16355.0,16629.0,16698.0,16884.0,16416.0,16622.0,16657.0,16664.0,16718.0,16661.0,16636.0,16369.0,16015.0,15901.0,15764.0,15576.0,15468.0,15450.0,15423.0,15412.0,15381.0,15356.0,15337.0,15328.0,15268.0,15264.0,15073.0,14977.0,14709.0,14811.0,14825.0,14805.0,14628.1789234041,14740.0,14731.9759,14590.5894,13488.9372,13329.0041,13489.3478,13517.58,13244.3144,13289.8214
부여군 - 논,Statistics,16544.2,16777.0,16956.8,17047.8,17087.2,17125.0,17209.0,17330.0,17351.0,17382.0,17451.0,17185.0,17296.0,17412.0,17456.0,17377.0,17309.0,17181.0,16982.0,16170.0,15806.0,15743.0,15530.0,15495.0,15185.0,15097.0,15079.0,14954.0,14898.0,14836.0,14720.0,14645.0,14614.0,14536.0,13920.0,13689.0,13615.0,12928.0,12884.0,12552.5911816679,12769.0,12649.7252,12405.693,12256.2582,12243.739,10661.5686,10734.16,10662.6872,10745.0617
부천시 - 논,Statistics,1442.4,1411.9,1335.3,1296.8,1281.3,1277.0,1236.0,1229.0,1444.0,1423.0,1423.0,1489.0,1491.0,1486.0,1084.0,1013.0,1012.0,987.0,982.0,834.0,768.0,649.0,431.0,455.0,443.0,418.0,396.0,383.0,377.0,378.0,362.0,356.0,356.0,338.0,338.0,309.0,312.0,316.0,314.0,285.9188632297,286.0,276.0628,266.2055,246.3975,246.2233,290.3365,290.3365,290.3365,269.0178
북제주군 - 논,Statistics,343.4,343.4,316.5,316.1,316.1,400.0,391.0,391.0,391.0,391.0,389.0,387.0,386.0,387.0,387.0,400.0,364.0,117.0,137.0,132.0,131.0,131.0,131.0,121.0,121.0,120.0,120.0,120.0,97.0,97.0,33.0,,,,,,,,,,,,,,,,,,
사천군 - 논,Statistics,6288.5,6289.4,6273.8,6253.9,6256.9,6255.0,6299.0,6243.0,6245.0,6211.0,6155.0,6636.0,6620.0,6576.0,6556.0,6521.0,6411.0,6288.0,6131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사천시 - 논,Statistics,,,,,,,,,,,,,,,,,,,,6638.0,6556.0,6523.0,6455.0,6457.0,6431.0,6407.0,6379.0,6331.0,6304.0,6237.0,6213.0,6185.0,6123.0,5847.0,5620.0,5532.0,5561.0,5794.0,4835.0,4644.8779369139,4573.0,4264.2239,4145.1247,4069.2786,4039.7609,3921.7142,3935.05,3902.5659,3897.293
산청군 - 논,Statistics,8087.9,8100.0,8118.1,8113.6,8065.5,8061.0,8012.0,8044.0,8043.0,8101.0,8118.0,8367.0,8373.0,8355.0,8304.0,8191.0,8185.0,8051.0,7819.0,7275.0,6686.0,6637.0,6584.0,6613.0,6599.0,6642.0,6601.0,6551.0,6324.0,6248.0,6213.0,6147.0,6108.0,5972.0,5008.0,4880.0,4814.0,4809.0,4647.0,4434.4374184095,4456.0,4257.7276,4159.1689,4192.2919,4193.5329,3531.1364,3439.44,3384.5885,3355.7098
삼척군 - 논,Statistics,2158.8,2148.0,2142.9,1729.5,1724.3,1681.0,1680.0,1665.0,1679.0,1668.0,1581.0,1645.0,1657.0,1663.0,1612.0,1563.0,1508.0,1500.0,1468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼척시 - 논,Statistics,,,,,,,,,,,84.0,107.0,101.0,98.0,98.0,94.0,94.0,77.0,77.0,1221.0,1185.0,1189.0,1181.0,1183.0,1171.0,1172.0,1166.0,1144.0,1134.0,1128.0,1132.0,1140.0,1134.0,1113.0,1082.0,1071.0,1080.0,1069.0,1054.0,1023.9502465696,1014.0,954.6908,943.7592,949.1125,941.5948,637.4205,608.8687,575.908,590.0512
삼천포시 - 논,Statistics,1197.8,1191.0,1200.0,1186.7,1176.5,1174.0,1170.0,1166.0,1141.0,1150.0,1148.0,1102.0,1104.0,1107.0,1109.0,1097.0,1070.0,1043.0,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상주군 - 논,Statistics,20118.0,20701.9,20985.5,21241.0,21284.4,21287.0,21299.0,21409.0,21510.0,21610.0,18732.0,20023.0,19943.0,20035.0,20096.0,19802.0,19354.0,19039.0,18475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상주시 - 논,Statistics,,,,,,,,,,,3022.0,2809.0,2782.0,2773.0,2816.0,2776.0,2700.0,2692.0,2582.0,18577.0,18410.0,18103.0,17730.0,17580.0,17651.0,17899.0,17817.0,17568.0,17270.0,16736.0,16612.0,16377.0,15920.0,15657.0,15511.0,15170.0,15272.0,15276.0,14666.0,13940.5181117779,13884.0,13481.4378,13147.6962,13089.078,13007.7682,13021.596,13045.49,12907.0004,12820.6526
서귀포시 - 논,Statistics,,,,,,376.0,372.0,338.0,336.0,289.0,215.0,193.0,193.0,142.0,142.0,147.0,8.0,10.0,10.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,68.0,51.0,25.0,25.0,25.0,25.0,24.0,13.0,12.4309966328,12.0,12.0,11.9666,11.9666,11.9589,13.5237,12.2098,12.2098,12.2098
서산군 - 논,Statistics,19813.7,20211.1,20688.2,21085.2,21263.8,21334.0,21494.0,21678.0,22154.0,22466.0,24211.0,27324.0,18954.0,18970.0,18658.0,19396.0,19569.0,19186.0,17827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서산시 - 논,Statistics,,,,,,,,,,,,,1804.0,1802.0,1804.0,1811.0,1792.0,1744.0,1878.0,21716.0,21972.0,21938.0,21934.0,21993.0,22058.0,22074.0,21983.0,21985.0,21921.0,21891.0,21933.0,21845.0,21795.0,21729.0,21521.0,21297.0,21545.0,21730.0,21416.0,21299.5630333775,21024.0,20440.5571,20293.0778,20308.6922,20210.6632,19446.5247,19401.61,19091.5771,18911.7692
서울 - 논,Statistics,3469.6,3353.3,3079.3,2847.3,2640.6,2582.0,2276.0,1550.0,1499.0,1432.0,1341.0,1471.0,1438.0,1380.0,1294.0,1140.0,1099.0,963.0,868.0,789.0,762.0,739.0,753.0,748.0,745.0,745.0,709.0,655.0,618.0,590.0,568.0,545.0,544.0,536.0,318.0,296.0,298.0,186.0,179.0,175.9248854599,176.0,167.4724,159.3155,149.9721,144.9208,195.8483,190.2606,200.4655,193.587
서천군 - 논,Statistics,11774.6,11768.4,11763.4,11737.1,11758.0,11735.0,11745.0,11767.0,11770.0,11755.0,11791.0,12120.0,12284.0,12348.0,12387.0,12386.0,12261.0,12261.0,12212.0,11637.0,11532.0,11343.0,11287.0,11316.0,11595.0,11590.0,11558.0,11436.0,11377.0,11358.0,11212.0,11079.0,11048.0,10939.0,10897.0,10812.0,10909.0,10939.0,10902.0,10884.6132537368,10731.0,10611.3248,10476.4127,10507.7336,10360.6275,9989.4648,9962.1,9982.2229,9975.9548
선산군 - 논,Statistics,10658.5,9416.2,9452.9,9443.2,9469.1,9452.0,9481.0,9617.0,9699.0,9714.0,9753.0,9370.0,9419.0,9282.0,9336.0,9263.0,9105.0,8851.0,8670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성남시 - 논,Statistics,1709.3,1706.5,1672.7,1618.1,1618.5,1654.0,1634.0,1603.0,1548.0,1498.0,1470.0,1718.0,1693.0,1685.0,988.0,811.0,656.0,576.0,361.0,294.0,222.0,208.0,207.0,187.0,190.0,196.0,148.0,143.0,143.0,142.0,103.0,101.0,98.0,91.0,80.0,63.0,64.0,65.0,55.0,54.2582632098,54.0,46.7587,35.5734,33.9096,33.9096,23.0101,23.0101,20.5868,20.5868
성주군 - 논,Statistics,9800.8,9900.6,9994.4,9979.6,10095.2,10083.0,10063.0,10071.0,10166.0,10169.0,10125.0,10927.0,10953.0,10960.0,10902.0,10666.0,10548.0,10192.0,10063.0,8593.0,8548.0,8527.0,8534.0,8622.0,8661.0,8766.0,8815.0,8762.0,8560.0,8492.0,8485.0,8421.0,8318.0,8215.0,7973.0,7950.0,8144.0,7553.0,6997.0,6078.7879787688,6135.0,5924.0378,5856.4808,5807.7117,5836.3713,2692.5552,2753.54,2755.0211,2832.8376
세종 - 논,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5508.0,4968.0,4784.5700733572,4616.0,4512.784,4386.7535,4249.8652,4240.995,3703.6058,3526.34,3412.3637,3392.952
속초시 - 논,Statistics,722.3,717.0,717.4,720.3,697.4,697.0,696.0,723.0,723.0,699.0,699.0,523.0,519.0,477.0,476.0,472.0,460.0,431.0,374.0,529.0,514.0,516.0,512.0,505.0,499.0,495.0,487.0,478.0,461.0,461.0,454.0,451.0,433.0,421.0,421.0,421.0,428.0,430.0,406.0,397.8675107066,408.0,404.6491,395.4125,395.9862,386.6388,246.714,249.1895,246.9231,249.183
송정시 - 논,Statistics,,,,,,,,,,,841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송탄시 - 논,Statistics,,,,,,1116.0,1120.0,1100.0,1132.0,1113.0,1110.0,1163.0,1154.0,1144.0,1117.0,1082.0,1084.0,1043.0,969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수원시 - 논,Statistics,1739.6,1731.4,1660.8,1600.6,1551.0,1499.0,1404.0,1561.0,1539.0,1485.0,1423.0,1615.0,1530.0,1714.0,1686.0,1651.0,1582.0,1477.0,1435.0,1738.0,1641.0,1578.0,1490.0,1381.0,1348.0,1339.0,1341.0,1289.0,1210.0,1168.0,1105.0,861.0,861.0,760.0,670.0,644.0,634.0,583.0,576.0,565.5508039009,495.0,474.5182,447.7525,448.2052,446.761,523.2819,505.8117,501.209,470.7354
순창군 - 논,Statistics,7465.9,7502.2,7624.3,7665.0,7712.7,7722.0,7722.0,7780.0,7956.0,8180.0,8331.0,8883.0,9057.0,9138.0,9097.0,9079.0,9149.0,9162.0,9132.0,7615.0,7796.0,7784.0,7694.0,7673.0,7618.0,7602.0,7582.0,7573.0,7517.0,7488.0,7386.0,7278.0,7139.0,6749.0,6653.0,6609.0,6706.0,6825.0,6435.0,6284.2182953776,6326.0,6190.1861,6071.0968,5994.702,5979.6391,5839.3074,5946.89,5827.1079,5896.7522
순천시 - 논,Statistics,1902.0,1886.6,1887.1,1868.2,1843.1,1827.0,1802.0,1784.0,1720.0,1718.0,1718.0,2056.0,2063.0,2065.0,1986.0,1960.0,1933.0,1920.0,1909.0,11020.0,10865.0,10628.0,10584.0,10543.0,10487.0,10456.0,10379.0,10290.0,10159.0,10048.0,9872.0,9711.0,7662.0,6764.0,6329.0,6291.0,6278.0,6478.0,6299.0,6156.7077968679,6148.0,5928.24,5640.0172,5400.5679,5393.1548,4769.8789,4785.38,4731.3345,4721.477
승주군 - 논,Statistics,10630.6,10670.1,10700.4,10661.5,10630.2,10622.0,10616.0,10665.0,10664.0,10708.0,10698.0,9588.0,9605.0,9620.0,9570.0,9548.0,9394.0,9229.0,9328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시흥군 - 논,Statistics,7021.2,6727.2,6367.2,6192.3,5139.7,4154.0,4059.0,3989.0,3997.0,3979.0,3688.0,4005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시흥시 - 논,Statistics,,,,,,,,,,,,,3149.0,3141.0,3122.0,3050.0,3016.0,2907.0,2832.0,2606.0,1893.0,1870.0,1782.0,1731.0,1661.0,1638.0,1566.0,1440.0,1431.0,1363.0,1295.0,1286.0,1246.0,1227.0,1227.0,1133.0,1142.0,1106.0,1067.0,1061.5552977868,1001.0,953.2708,869.9099,850.9875,801.9155,944.3106,942.6987,914.4625,922.0583
신안군 - 논,Statistics,9415.6,9379.7,9421.4,9412.9,9455.3,9444.0,9415.0,9422.0,9444.0,9568.0,9572.0,10125.0,10197.0,10225.0,10334.0,10352.0,10312.0,11087.0,10982.0,10845.0,10618.0,10647.0,10654.0,10726.0,10739.0,10741.0,10744.0,10767.0,10782.0,10775.0,10760.0,10710.0,10675.0,10631.0,10602.0,10521.0,10609.0,10644.0,10359.0,10289.0537143136,10052.0,9706.7289,9534.4737,9277.201,9150.4286,9910.6578,9592.06,9560.6315,9456.2653
아산군 - 논,Statistics,14687.3,14800.3,15077.6,15086.1,15158.3,15205.0,15370.0,15536.0,15712.0,15682.0,14307.0,14283.0,14365.0,14324.0,14306.0,14209.0,13910.0,13746.0,13549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
