item,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
인천광역시 - 재난재해 관리기금 현황(A+B),Statistics,93337.0,97714.0,96413.0,102091.0,99491.0,105841.0,124165.0,137227.0,159924.0,189120.0,113156.0,157208.0,173632.0,172878.0,188775.0
인천광역시 - 재해구호기금(B),Statistics,,,29011.0,31618.0,32224.0,30908.0,31182.0,29624.0,28074.0,48843.0,10414.0,30847.0,41978.0,43401.0,67039.0
전국 - 재난관리기금(A),Statistics,,,1596193.0,1722760.0,1815618.0,2176960.0,2564465.0,2946099.0,3121337.0,3491622.0,1452131.0,1932862.0,1964779.0,2605583.0,2835995.0
전국 - 재난재해 관리기금 현황(A+B),Statistics,2176623.0,2302424.0,2113330.0,2251833.0,2373202.0,2769922.0,3198352.0,3668549.0,3927027.0,4406162.0,1772492.0,2231539.0,2260823.0,3012398.0,3365457.0
전국 - 재해구호기금(B),Statistics,,,517137.0,529073.0,557584.0,592962.0,633887.0,722450.0,805690.0,914540.0,320361.0,298677.0,296044.0,406815.0,529462.0
전라남도 - 재난관리기금(A),Statistics,,,63845.0,57091.0,64512.0,65723.0,72646.0,77673.0,81551.0,93096.0,48775.0,53944.0,63207.0,77524.0,87001.0
전라남도 - 재난재해 관리기금 현황(A+B),Statistics,46982.0,49730.0,106363.0,81650.0,89106.0,90317.0,98990.0,103630.0,107666.0,119290.0,53055.0,65471.0,73257.0,94281.0,112976.0
전라남도 - 재해구호기금(B),Statistics,,,42518.0,24559.0,24594.0,24594.0,26344.0,25957.0,26115.0,26194.0,4280.0,11527.0,10050.0,16757.0,25975.0
전북특별자치도 - 재난관리기금(A),Statistics,,,37703.0,46380.0,53811.0,56976.0,67655.0,76153.0,83087.0,89761.0,34622.0,41951.0,50357.0,54517.0,72364.0
전북특별자치도 - 재난재해 관리기금 현황(A+B),Statistics,59011.0,62921.0,43923.0,57169.0,67867.0,73339.0,87185.0,99066.0,110474.0,120949.0,39021.0,50606.0,64628.0,75176.0,95723.0
전북특별자치도 - 재해구호기금(B),Statistics,,,6220.0,10789.0,14056.0,16363.0,19530.0,22913.0,27387.0,31188.0,4399.0,8655.0,14271.0,20659.0,23359.0
제주특별자치도 - 재난관리기금(A),Statistics,,,19304.0,19538.0,20966.0,15552.0,21618.0,26521.0,27929.0,32613.0,14559.0,20892.0,34808.0,39386.0,31053.0
제주특별자치도 - 재난재해 관리기금 현황(A+B),Statistics,30092.0,31429.0,32522.0,33431.0,35541.0,33727.0,44495.0,54463.0,60968.0,70697.0,26862.0,48431.0,52366.0,64349.0,64336.0
제주특별자치도 - 재해구호기금(B),Statistics,,,13218.0,13893.0,14575.0,18175.0,22877.0,27942.0,33039.0,38084.0,12303.0,27539.0,17558.0,24963.0,33283.0
충청남도 - 재난관리기금(A),Statistics,,,58473.0,65201.0,68365.0,74799.0,80448.0,83943.0,90895.0,99997.0,72358.0,51045.0,74019.0,94400.0,111077.0
충청남도 - 재난재해 관리기금 현황(A+B),Statistics,69469.0,78953.0,81923.0,89502.0,91941.0,99250.0,109733.0,115921.0,121402.0,133362.0,117998.0,85144.0,116691.0,128309.0,129459.0
충청남도 - 재해구호기금(B),Statistics,,,23450.0,24301.0,23576.0,24451.0,29285.0,31978.0,30507.0,33365.0,45640.0,34099.0,42672.0,33909.0,18382.0
충청북도 - 재난관리기금(A),Statistics,,,52415.0,52095.0,53304.0,57213.0,58720.0,55938.0,65011.0,70448.0,43193.0,49275.0,59953.0,66106.0,70450.0
충청북도 - 재난재해 관리기금 현황(A+B),Statistics,38786.0,49795.0,52415.0,52095.0,53304.0,57213.0,58720.0,55938.0,65011.0,70448.0,43193.0,49275.0,59953.0,66106.0,70450.0
