item,category,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강릉시 - 상업지역 - 1인당 도시지역면적 현황,Statistics,8.86,8.75,8.84,8.84,9.549992386,9.682540781,9.921178961,10.02,10.07,9.66,9.93,9.82,9.87,9.81,9.72,9.61,9.61,9.58
강릉시 - 주거지역 - 1인당 도시지역면적 현황,Statistics,77.85,76.94,77.68,77.68,88.59487815,89.82452404,92.03836041,92.12,92.55,89.0,91.44,91.87,92.3,91.81,92.26,91.27,91.26,90.97
강북구 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,40.66,41.07,41.46,41.69,40.95001732,41.12399798,41.35133481,41.89,42.36,37.42,37.84,38.15,38.79,39.43,40.2,41.66,42.45,43.26
강북구 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,26.91,27.18,27.43,27.59,27.098003,27.21313186,27.36356828,27.72,28.03,34.02,34.4,34.68827567,35.27,35.85,36.52,37.34,38.04,38.77
강북구 - 공업지역 - 1인당 도시지역면적 현황,Statistics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
강북구 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23635959.0,23635959.0,23636019.0,23636019.0,23636019.0,23636019.0,23636019.0,23636019.0,23636019.0
강북구 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,348990.0,345478.0,342274.0,340367.0,346520.0,345054.0,343157.0,338707.0,335025.0,330873.0,327195.0,324479.0,319164.0,313954.0,308055.0,299182.0,293660.0,288113.0
강북구 - 상업지역 - 1인당 도시지역면적 현황,Statistics,0.92,0.93,0.93,0.94,0.923467621,0.933621984,0.938783123,0.95,0.96,0.82,0.83,0.83,0.85,0.86,0.88,0.91,0.93,0.94
강북구 - 주거지역 - 1인당 도시지역면적 현황,Statistics,25.99,26.25,26.5,26.65,26.17453538,26.27950987,26.42478516,26.77,27.07,33.2,33.57,33.86,34.42,34.99,35.64,36.43,37.11,37.83
강서구 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,47.25,46.78,40.58,40.87,40.70345063,41.06582471,41.1776727,41.06,39.93,39.53,39.1,37.4,37.69,38.02,38.78,39.18,39.53,39.96
강서구 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,27.35,27.09,31.19,31.41,31.40603037,31.68419638,31.7827401,31.69,30.82,30.75,30.42,31.51387672,31.76,32.04,32.68,33.02,33.32,33.68
강서구 - 공업지역 - 1인당 도시지역면적 현황,Statistics,3.19,3.16,5.0,5.03,5.020692286,5.062413895,5.076925653,5.06,4.92,4.89,4.84,4.85,4.89,4.93,5.03,5.08,5.13,5.19
강서구 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41462497.0,41462415.0,41463274.0,41463274.0,41463273.0,41463273.0,41463248.0
강서구 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,554945.0,560424.0,576848.0,572836.0,574127.0,569072.0,567431.0,569070.0,585160.0,589074.0,595485.0,601691.0,596949.0,591796.0,580185.0,574315.0,569166.0,563058.0
강서구 - 상업지역 - 1인당 도시지역면적 현황,Statistics,1.49,1.39,2.52,2.54,2.597573359,2.623523913,2.358318456,2.35,2.29,2.27,2.25,2.2,2.21,2.24,2.28,2.31,2.33,2.35
강서구 - 주거지역 - 1인당 도시지역면적 현황,Statistics,22.67,22.55,23.67,23.84,23.78776473,23.99825857,24.347496,24.28,23.61,23.59,23.34,24.46,24.66,24.87,25.37,25.63,25.86,26.14
강원특별자치도 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,653.73,650.44,662.46,658.84,637.321312,632.1325674,640.3414261,634.29,634.39,626.8,633.69,630.19,632.04,631.06,621.95,622.4,623.17,623.07
강원특별자치도 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,135.36,137.41,143.03,144.62,150.6940693,149.9950677,152.9808312,152.59,153.4,152.91,155.58,155.7317906,157.34,157.35,156.15,156.34,156.64,157.01
강원특별자치도 - 공업지역 - 1인당 도시지역면적 현황,Statistics,21.66,21.5,22.65,23.18,27.56832989,27.7433262,28.51445596,29.0,29.07,29.29,29.95,29.8,30.83,30.81,30.91,30.97,31.02,30.82
강원특별자치도 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,981362881.0,993137222.0,992883080.0,994892241.0,1009506443.0,1012011361.0,1016937071.0,1022102313.0,1022114847.0,1022563285.0,1027198470.0,1027228237.0,1028778399.0,1028522877.0,1029687366.0,1030004376.0,1030008274.0,1004738631.0
