item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
전북특별자치도 - 계 - 인원수,Statistics,1861.0,2483.0,2006.0,2214.0,3210.0,3008.0,3331.0,3508.0,3372.0,3160.0,2554.0
전북특별자치도 - 남자 - 인원수,Statistics,939.0,1215.0,1005.0,1058.0,1535.0,1454.0,1856.0,1836.0,1931.0,1606.0,1289.0
전북특별자치도 - 여자 - 인원수,Statistics,922.0,1268.0,1001.0,1156.0,1675.0,1554.0,1475.0,1672.0,1441.0,1554.0,1265.0
제주특별자치도 - 계 - 인원수,Statistics,889.0,1215.0,1132.0,1198.0,1520.0,1120.0,934.0,1079.0,1203.0,1289.0,952.0
제주특별자치도 - 남자 - 인원수,Statistics,420.0,547.0,509.0,564.0,723.0,523.0,470.0,565.0,703.0,662.0,485.0
제주특별자치도 - 여자 - 인원수,Statistics,469.0,668.0,623.0,634.0,797.0,597.0,464.0,514.0,500.0,627.0,467.0
충청남도 - 계 - 인원수,Statistics,2581.0,2867.0,2953.0,3298.0,3716.0,3523.0,5120.0,4996.0,4868.0,3957.0,3271.0
충청남도 - 남자 - 인원수,Statistics,1352.0,1536.0,1637.0,1786.0,2046.0,1837.0,3512.0,3145.0,3248.0,2303.0,1791.0
충청남도 - 여자 - 인원수,Statistics,1229.0,1331.0,1316.0,1512.0,1670.0,1686.0,1608.0,1851.0,1620.0,1654.0,1480.0
충청북도 - 계 - 인원수,Statistics,1949.0,2144.0,2170.0,2298.0,4306.0,2555.0,5042.0,4592.0,3830.0,3803.0,2063.0
충청북도 - 남자 - 인원수,Statistics,1013.0,1132.0,1043.0,1175.0,2573.0,1355.0,3456.0,3046.0,2596.0,2345.0,1160.0
충청북도 - 여자 - 인원수,Statistics,936.0,1012.0,1127.0,1123.0,1733.0,1200.0,1586.0,1546.0,1234.0,1458.0,903.0
