item,category,2020,2022,2024
대전광역시 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,19.505,18.232,27.574
대전광역시 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,5.909,7.044,7.607
대전광역시 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,2.949,1.765,3.742
대전광역시 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,26.066,22.241,20.151
대전광역시 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,45.319,50.514,40.926
대전광역시 - 계 - 계,Statistics,100.0,100.0,100.0
대전광역시 - 계 - 매우 불안,Statistics,4.476,2.71,7.495
대전광역시 - 계 - 매우 안전,Statistics,11.204,11.747,12.44
대전광역시 - 계 - 비교적 안전,Statistics,52.077,59.495,54.849
대전광역시 - 계 - 소계,Statistics,100.0,100.0,100.0
대전광역시 - 계 - 약간 불안,Statistics,32.243,26.048,25.216
부산광역시 - 계 - -불안 이유: 기타,Statistics,,0.768,0.263
부산광역시 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,19.938,14.963,16.813
부산광역시 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,4.976,8.265,7.153
부산광역시 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,2.898,7.457,3.511
부산광역시 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,28.111,30.333,26.082
부산광역시 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,44.077,38.215,46.177
부산광역시 - 계 - 계,Statistics,100.0,100.0,100.0
부산광역시 - 계 - 매우 불안,Statistics,3.093,2.617,2.768
부산광역시 - 계 - 매우 안전,Statistics,14.408,14.842,13.592
부산광역시 - 계 - 비교적 안전,Statistics,57.179,60.065,58.831
부산광역시 - 계 - 소계,Statistics,100.0,100.0,100.0
부산광역시 - 계 - 약간 불안,Statistics,25.32,22.477,24.81
서울특별시 - 계 - -불안 이유: 기타,Statistics,0.485,0.615,0.603
서울특별시 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,17.578,15.563,12.086
서울특별시 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,6.951,6.259,6.31
서울특별시 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,4.309,3.444,4.273
서울특별시 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,21.238,23.757,24.519
서울특별시 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,49.439,50.362,52.208
서울특별시 - 계 - 계,Statistics,100.0,100.0,100.0
서울특별시 - 계 - 매우 불안,Statistics,3.785,3.367,3.132
서울특별시 - 계 - 매우 안전,Statistics,12.011,13.637,12.336
서울특별시 - 계 - 비교적 안전,Statistics,55.937,57.616,60.06
서울특별시 - 계 - 소계,Statistics,100.0,100.0,100.0
서울특별시 - 계 - 약간 불안,Statistics,28.267,25.379,24.473
세종특별자치시 - 계 - -불안 이유: 기타,Statistics,,0.263,1.53
세종특별자치시 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,17.105,13.322,12.008
세종특별자치시 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,7.486,5.587,6.719
세종특별자치시 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,1.239,2.419,1.474
세종특별자치시 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,32.736,35.106,28.218
세종특별자치시 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,41.435,43.303,50.051
세종특별자치시 - 계 - 계,Statistics,100.0,100.0,100.0
세종특별자치시 - 계 - 매우 불안,Statistics,4.08,2.045,3.417
세종특별자치시 - 계 - 매우 안전,Statistics,13.23,13.34,14.753
세종특별자치시 - 계 - 비교적 안전,Statistics,51.475,59.611,56.691
세종특별자치시 - 계 - 소계,Statistics,100.0,100.0,100.0
세종특별자치시 - 계 - 약간 불안,Statistics,31.215,25.004,25.14
울산광역시 - 계 - -불안 이유: 기타,Statistics,,0.474,1.13
울산광역시 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,24.302,23.708,16.286
울산광역시 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,7.144,7.569,7.329
울산광역시 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,3.282,2.02,2.484
울산광역시 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,21.669,22.512,24.216
울산광역시 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,43.603,43.717,48.555
울산광역시 - 계 - 계,Statistics,100.0,100.0,100.0
울산광역시 - 계 - 매우 불안,Statistics,4.813,2.523,3.459
울산광역시 - 계 - 매우 안전,Statistics,13.036,14.88,11.303
울산광역시 - 계 - 비교적 안전,Statistics,54.524,53.905,55.009
울산광역시 - 계 - 소계,Statistics,100.0,100.0,100.0
울산광역시 - 계 - 약간 불안,Statistics,27.627,28.692,30.229
인천광역시 - 계 - -불안 이유: 기타,Statistics,,0.261,1.078
인천광역시 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,16.75,19.009,13.364
인천광역시 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,9.003,8.476,7.31
인천광역시 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,3.403,2.376,3.897
인천광역시 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,22.676,24.942,27.85
인천광역시 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,48.168,44.936,46.502
인천광역시 - 계 - 계,Statistics,100.0,100.0,100.0
인천광역시 - 계 - 매우 불안,Statistics,4.685,2.897,4.219
인천광역시 - 계 - 매우 안전,Statistics,9.02,10.99,10.948
인천광역시 - 계 - 비교적 안전,Statistics,53.342,57.61,57.626
인천광역시 - 계 - 소계,Statistics,100.0,100.0,100.0
인천광역시 - 계 - 약간 불안,Statistics,32.953,28.503,27.207
전국 - 계 - -불안 이유: 기타,Statistics,0.597,0.634,0.472
전국 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,20.148,19.533,16.867
전국 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,6.895,7.822,6.856
전국 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,2.941,3.203,3.159
전국 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,25.422,27.386,26.351
전국 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,43.998,41.421,46.295
전국 - 계 - 계,Statistics,100.0,100.0,100.0
전국 - 계 - 매우 불안,Statistics,4.07,3.189,3.717
전국 - 계 - 매우 안전,Statistics,11.294,13.358,12.479
전국 - 계 - 비교적 안전,Statistics,55.16,57.021,57.069
전국 - 계 - 소계,Statistics,100.0,100.0,100.0
전국 - 계 - 약간 불안,Statistics,29.476,26.431,26.735
전라남도 - 계 - -불안 이유: 기타,Statistics,2.061,0.839,1.067
전라남도 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,24.929,19.287,22.662
전라남도 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,5.158,5.233,6.011
전라남도 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,3.57,3.168,1.404
전라남도 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,27.643,33.674,31.754
전라남도 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,36.64,37.799,37.102
전라남도 - 계 - 계,Statistics,100.0,100.0,100.0
전라남도 - 계 - 매우 불안,Statistics,4.516,3.292,3.554
전라남도 - 계 - 매우 안전,Statistics,14.333,11.643,13.049
전라남도 - 계 - 비교적 안전,Statistics,56.205,56.498,61.865
전라남도 - 계 - 소계,Statistics,100.0,100.0,100.0
전라남도 - 계 - 약간 불안,Statistics,24.946,28.566,21.531
전북특별자치도 - 계 - -불안 이유: 기타,Statistics,,0.123,
전북특별자치도 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,20.89,20.802,14.57
전북특별자치도 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,5.282,4.972,5.978
전북특별자치도 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,2.783,1.346,1.38
전북특별자치도 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,32.115,32.873,35.7
전북특별자치도 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,38.931,39.883,42.372
전북특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0
전북특별자치도 - 계 - 매우 불안,Statistics,3.944,3.112,4.786
전북특별자치도 - 계 - 매우 안전,Statistics,12.891,13.453,11.069
전북특별자치도 - 계 - 비교적 안전,Statistics,54.573,59.887,55.465
전북특별자치도 - 계 - 소계,Statistics,100.0,100.0,100.0
전북특별자치도 - 계 - 약간 불안,Statistics,28.593,23.549,28.679
제주특별자치도 - 계 - -불안 이유: 기타,Statistics,1.388,0.914,1.465
제주특별자치도 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,32.374,29.21,25.101
제주특별자치도 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,5.484,5.356,5.096
제주특별자치도 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,1.109,1.224,2.846
제주특별자치도 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,23.565,28.689,26.607
제주특별자치도 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,36.079,34.606,38.885
제주특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0
제주특별자치도 - 계 - 매우 불안,Statistics,4.095,3.435,3.307
제주특별자치도 - 계 - 매우 안전,Statistics,10.886,12.379,12.839
제주특별자치도 - 계 - 비교적 안전,Statistics,57.357,53.821,56.946
제주특별자치도 - 계 - 소계,Statistics,100.0,100.0,100.0
제주특별자치도 - 계 - 약간 불안,Statistics,27.661,30.365,26.909
충청남도 - 계 - -불안 이유: 기타,Statistics,0.556,0.578,0.282
충청남도 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,22.12,20.883,21.269
충청남도 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,5.529,10.337,8.026
충청남도 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,1.446,1.065,1.998
충청남도 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,30.687,36.327,31.978
충청남도 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,39.662,30.81,36.449
충청남도 - 계 - 계,Statistics,100.0,100.0,100.0
충청남도 - 계 - 매우 불안,Statistics,4.64,2.164,4.265
충청남도 - 계 - 매우 안전,Statistics,12.034,15.728,15.219
충청남도 - 계 - 비교적 안전,Statistics,55.178,57.236,55.886
충청남도 - 계 - 소계,Statistics,100.0,100.0,100.0
충청남도 - 계 - 약간 불안,Statistics,28.148,24.873,24.629
충청북도 - 계 - -불안 이유: 기타,Statistics,1.779,0.61,1.223
충청북도 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,19.254,24.489,18.428
충청북도 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,7.997,8.71,5.582
충청북도 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,3.516,2.381,2.627
충청북도 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,31.556,28.926,35.237
충청북도 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,35.898,34.884,36.904
충청북도 - 계 - 계,Statistics,100.0,100.0,100.0
충청북도 - 계 - 매우 불안,Statistics,5.532,3.743,3.596
충청북도 - 계 - 매우 안전,Statistics,12.032,12.899,10.697
충청북도 - 계 - 비교적 안전,Statistics,51.31,58.695,58.749
충청북도 - 계 - 소계,Statistics,100.0,100.0,100.0
충청북도 - 계 - 약간 불안,Statistics,31.126,24.662,26.958
