item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
경주시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,7.3,7.3,7.8
경주시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,9022.0,9184.0,10007.0
경주시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,123526.0,125938.0,128663.0
계룡시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,9.8,10.8,10.3
계룡시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,1017.0,1054.0,1045.0
계룡시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,10391.0,9801.0,10127.0
계양구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,13.3,14.0,14.1
계양구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,11081.0,11677.0,12056.0
계양구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,83207.0,83632.0,85605.0
고령군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,5.0,4.9,5.8
고령군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,990.0,977.0,1151.0
고령군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,19784.0,19900.0,20013.0
고성군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,12.8,11.8,11.8
고성군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,1526.0,1559.0,1614.0
고성군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,11957.0,13242.0,13634.0
고양시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,10.9,11.5,12.1
고양시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,34684.0,38170.0,40593.0
고양시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,319434.0,332904.0,334751.0
고창군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,12.4,12.9,14.4
고창군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,2268.0,2407.0,2951.0
고창군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,18255.0,18704.0,20542.0
고흥군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,13.3,13.2,13.2
고흥군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,2492.0,2670.0,2732.0
고흥군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,18701.0,20156.0,20652.0
곡성군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,10.7,11.4,10.8
곡성군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,1176.0,1285.0,1268.0
곡성군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,10943.0,11294.0,11760.0
공주시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,9.5,10.1,10.6
공주시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,4355.0,4844.0,5473.0
공주시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,45952.0,47885.0,51567.0
과천시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.3,4.9,5.1
과천시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,1500.0,1716.0,1762.0
과천시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,34844.0,34827.0,34834.0
관악구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,9.9,11.3,11.7
관악구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,11432.0,12906.0,13504.0
관악구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,115390.0,113944.0,115329.0
광명시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,9.6,9.7,10.3
광명시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,8850.0,9225.0,9654.0
광명시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,92010.0,94647.0,93906.0
광산구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,9.4,9.8,9.9
광산구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,14830.0,16044.0,16922.0
광산구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,157564.0,163823.0,170248.0
광양시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,6.0,7.1,7.2
광양시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,4375.0,5425.0,5882.0
광양시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,72600.0,76537.0,81906.0
광주광역시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,6.1,6.7,7.1,7.6,8.2,8.8,9.2,9.6,9.5,10.3,10.8,11.1,11.6
광주광역시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,27678.0,31232.0,34914.0,38051.0,41083.0,45905.0,48654.0,51609.0,53241.0,60463.0,65042.0,68462.0,73598.0
광주광역시 - 전체산업 종사자수＜br＞(B),Statistics,456575.0,464104.0,488781.0,499215.0,499802.0,519912.0,529113.0,537822.0,559853.0,585486.0,600938.0,616265.0,631876.0
광주시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,6.3,6.6,7.0
광주시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,8438.0,9076.0,9963.0
광주시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,133492.0,138040.0,141633.0
광진구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,8.5,9.1,9.1
광진구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,10686.0,11615.0,11551.0
광진구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,125170.0,127879.0,126305.0
괴산군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,8.7,8.8,8.4
괴산군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,1189.0,1226.0,1230.0
괴산군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,13628.0,13873.0,14597.0
구례군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,14.7,14.6,15.7
구례군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,1223.0,1247.0,1469.0
구례군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,8293.0,8533.0,9360.0
구로구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,6.5,6.8,7.1
구로구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,13889.0,14882.0,15997.0
구로구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,213468.0,218070.0,225668.0
구리시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,10.3,10.4,11.1
구리시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,6642.0,6970.0,7395.0
구리시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,64560.0,66759.0,66383.0
구미시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,5.8,6.5,6.7
구미시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,12011.0,13198.0,13580.0
구미시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,208426.0,204344.0,202772.0
군산시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,9.7,10.7,11.4
군산시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,10229.0,11113.0,12156.0
군산시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,105360.0,104296.0,106246.0
군위군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,8.2,8.3,9.0
군위군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,722.0,697.0,781.0
군위군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,8791.0,8418.0,8634.0
군포시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,8.0,8.5,9.2
군포시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,8212.0,9177.0,10123.0
군포시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,103134.0,108524.0,110548.0
금산군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,6.1,6.6,6.7
금산군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,1566.0,1692.0,1863.0
금산군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,25540.0,25718.0,27781.0
금정구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,8.9,9.2,9.7
금정구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,8308.0,8447.0,9268.0
금정구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,93150.0,91889.0,95426.0
금천구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.2,3.1,3.3
금천구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,7229.0,7162.0,7989.0
금천구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,228000.0,234012.0,242686.0
기장군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,8.1,8.3,8.4
기장군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,5103.0,5412.0,5674.0
기장군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,63229.0,65551.0,67550.0
김제시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,11.0,11.4,11.7
김제시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,3725.0,3988.0,4303.0
김제시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,33779.0,35061.0,36692.0
김천시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,10.3,11.0,12.3
김천시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,5643.0,6380.0,7488.0
김천시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,54988.0,57816.0,61091.0
김포시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,6.1,6.4,6.7
김포시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,9379.0,10634.0,11857.0
김포시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,153261.0,165298.0,176235.0
김해시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,6.9,7.2,7.4
김해시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,15525.0,16563.0,17424.0
김해시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,225875.0,229441.0,236717.0
나주시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,10.1,10.2,9.8
나주시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,4744.0,5150.0,5251.0
나주시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,46831.0,50343.0,53324.0
남구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,9.4,10.5,11.3
남구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,7676.0,8870.0,9696.0
남구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,81440.0,84665.0,86061.0
남동구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,8.6,9.1,10.0
남동구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,19741.0,21640.0,23684.0
남동구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,230684.0,236985.0,235674.0
남양주시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,10.5,10.8,11.1
남양주시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,16660.0,17801.0,19422.0
남양주시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,158434.0,165207.0,174878.0
남원시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,13.7,13.7,12.9
남원시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,3713.0,3714.0,3672.0
남원시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,27166.0,27124.0,28448.0
남해군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,12.0,12.1,12.2
남해군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,1855.0,1951.0,2073.0
남해군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,15418.0,16138.0,16935.0
노원구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,15.6,15.7,16.7
노원구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,18404.0,18684.0,19452.0
노원구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,117859.0,118713.0,116684.0
논산시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,12.1,12.3,12.2
논산시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,5492.0,5776.0,6018.0
논산시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,45337.0,46854.0,49359.0
단양군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,6.0,6.1,6.7
단양군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,849.0,926.0,1046.0
단양군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,14193.0,15153.0,15569.0
달서구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,8.2,8.5,9.2
달서구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,17010.0,17655.0,19598.0
달서구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,207468.0,208084.0,213918.0
달성군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,6.4,6.8,7.0
달성군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,6254.0,6973.0,7474.0
달성군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,98008.0,101944.0,106122.0
담양군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,10.8,11.5,11.3
담양군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,1990.0,2147.0,2244.0
담양군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,18510.0,18645.0,19803.0
당진시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,6.4,6.9,7.1
당진시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,5025.0,5640.0,6133.0
당진시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,79109.0,81177.0,85920.0
대구광역시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,5.8,6.3,6.6,7.1,7.3,7.7,8.1,8.3,8.2,8.9,9.3,10.0,10.4
대구광역시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,42208.0,46926.0,50835.0,56002.0,59294.0,64471.0,68737.0,71778.0,73436.0,82858.0,87530.0,96782.0,100706.0
대구광역시 - 전체산업 종사자수＜br＞(B),Statistics,732128.0,739022.0,766886.0,786487.0,809381.0,833833.0,849628.0,866593.0,895517.0,929078.0,943170.0,967206.0,967934.0
대덕구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,6.6,7.3,7.9
대덕구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,6095.0,6742.0,7504.0
대덕구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,92633.0,92774.0,95530.0
대전광역시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,6.3,6.6,7.1,7.6,7.8,8.3,8.8,9.0,8.8,9.5,9.7,10.0,10.5
대전광역시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,27046.0,29843.0,33120.0,37242.0,39596.0,43178.0,46963.0,49950.0,51413.0,56640.0,58518.0,61810.0,66489.0
대전광역시 - 전체산업 종사자수＜br＞(B),Statistics,429632.0,450857.0,468501.0,492722.0,509740.0,521281.0,536181.0,556297.0,586069.0,597011.0,605742.0,618271.0,633418.0
