item,category,2020,2021,2022,2023,2024
동해시 - 등록장애인수,Statistics,6750.0,6771.0,6754.0,6646.0,6562.0
마포구 - 등록장애인수,Statistics,12934.0,12905.0,12746.0,12647.0,12388.0
목포시 - 등록장애인수,Statistics,13910.0,13814.0,13704.0,13598.0,13454.0
무안군 - 등록장애인수,Statistics,6348.0,6341.0,6237.0,6134.0,6088.0
무주군 - 등록장애인수,Statistics,2472.0,2475.0,2444.0,2381.0,2348.0
문경시 - 등록장애인수,Statistics,6618.0,6658.0,6615.0,6524.0,6449.0
미추홀구 - 등록장애인수,Statistics,22724.0,23346.0,23720.0,23765.0,23906.0
밀양시 - 등록장애인수,Statistics,9004.0,8975.0,8947.0,8848.0,8765.0
보령시 - 등록장애인수,Statistics,8785.0,8761.0,8715.0,8623.0,8506.0
보성군 - 등록장애인수,Statistics,4414.0,4398.0,4301.0,4202.0,4114.0
보은군 - 등록장애인수,Statistics,3212.0,3177.0,3142.0,3097.0,3080.0
봉화군 - 등록장애인수,Statistics,3248.0,3254.0,3257.0,3215.0,3169.0
부산광역시 - 등록장애인수,Statistics,176258.0,176361.0,175858.0,175062.0,174256.0
부산진구 - 등록장애인수,Statistics,18565.0,18595.0,18615.0,18654.0,18593.0
부안군 - 등록장애인수,Statistics,5179.0,5120.0,5068.0,4958.0,4856.0
부여군 - 등록장애인수,Statistics,7122.0,7040.0,6969.0,6793.0,6670.0
부천시 - 등록장애인수,Statistics,37363.0,37651.0,37476.0,37303.0,
부평구 - 등록장애인수,Statistics,26870.0,26947.0,27274.0,27365.0,27395.0
북구 - 등록장애인수,Statistics,16015.0,16176.0,16128.0,16088.0,15907.0
사상구 - 등록장애인수,Statistics,13456.0,13448.0,13329.0,13286.0,13272.0
사천시 - 등록장애인수,Statistics,7375.0,7389.0,7371.0,7317.0,7287.0
사하구 - 등록장애인수,Statistics,17884.0,17860.0,17928.0,17944.0,17875.0
산청군 - 등록장애인수,Statistics,3566.0,3536.0,3476.0,3356.0,3301.0
삼척시 - 등록장애인수,Statistics,5488.0,5426.0,5378.0,5330.0,5250.0
상주시 - 등록장애인수,Statistics,9476.0,9577.0,9529.0,9462.0,9420.0
서구 - 등록장애인수,Statistics,6590.0,6586.0,6656.0,6593.0,6539.0
서귀포시 - 등록장애인수,Statistics,11394.0,11434.0,11465.0,11397.0,11312.0
서대문구 - 등록장애인수,Statistics,12539.0,12281.0,12177.0,11975.0,11847.0
서산시 - 등록장애인수,Statistics,10150.0,10307.0,10364.0,10426.0,10474.0
서울특별시 - 등록장애인수,Statistics,394001.0,391609.0,389620.0,387448.0,386316.0
서천군 - 등록장애인수,Statistics,5614.0,5615.0,5530.0,5432.0,5312.0
서초구 - 등록장애인수,Statistics,10534.0,10281.0,10141.0,10125.0,10165.0
성남시분당구 - 등록장애인수,Statistics,13893.0,14011.0,13984.0,13713.0,13633.0
성남시수정구 - 등록장애인수,Statistics,11181.0,11033.0,11094.0,11197.0,11159.0
성남시중원구 - 등록장애인수,Statistics,11041.0,11015.0,10891.0,10871.0,10840.0
성동구 - 등록장애인수,Statistics,11412.0,11282.0,11073.0,10889.0,10743.0
성북구 - 등록장애인수,Statistics,17490.0,17382.0,17467.0,17028.0,16901.0
성주군 - 등록장애인수,Statistics,3962.0,4000.0,4047.0,3977.0,3940.0
세종특별자치시 - 등록장애인수,Statistics,12346.0,12628.0,12829.0,12908.0,12993.0
속초시 - 등록장애인수,Statistics,4978.0,4985.0,4995.0,4870.0,4798.0
송파구 - 등록장애인수,Statistics,20272.0,20318.0,20426.0,20281.0,20173.0
수성구 - 등록장애인수,Statistics,18256.0,18199.0,18047.0,17965.0,18069.0
수영구 - 등록장애인수,Statistics,8201.0,8206.0,8176.0,8203.0,8113.0
수원시권선구 - 등록장애인수,Statistics,14667.0,14827.0,14963.0,15165.0,15356.0
수원시영통구 - 등록장애인수,Statistics,9160.0,9116.0,9045.0,9017.0,9080.0
수원시장안구 - 등록장애인수,Statistics,10877.0,10936.0,11037.0,11147.0,11264.0
수원시팔달구 - 등록장애인수,Statistics,8352.0,8594.0,8878.0,8958.0,8859.0
순창군 - 등록장애인수,Statistics,2934.0,2900.0,2850.0,2808.0,2802.0
순천시 - 등록장애인수,Statistics,15942.0,15905.0,15706.0,15604.0,15477.0
시흥시 - 등록장애인수,Statistics,20910.0,21622.0,22003.0,22327.0,22471.0
신안군 - 등록장애인수,Statistics,4244.0,4174.0,4112.0,4035.0,3961.0
아산시 - 등록장애인수,Statistics,15691.0,15998.0,16249.0,16368.0,16522.0
안동시 - 등록장애인수,Statistics,13842.0,13746.0,13545.0,13295.0,13227.0
안산시단원구 - 등록장애인수,Statistics,15362.0,15485.0,15597.0,15589.0,15654.0
안산시상록구 - 등록장애인수,Statistics,17547.0,17677.0,17595.0,17415.0,17382.0
안성시 - 등록장애인수,Statistics,11114.0,11155.0,11158.0,11154.0,11207.0
