item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
거창군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,10.0,11.0,17.0,8.0,11.0,17.0,4.0,8.0,10.0,5.0,8.0,4.0,5.0,3.0,1.0,,3.0
거창군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,4.4,3.8,6.0,2.7,3.2,5.7,1.7,2.9,3.8,2.0,3.3,1.6,2.0,1.1,0.4,,1.9
거창군 - 전체 교통사고발생건수＜br＞(B),Statistics,228.0,288.0,283.0,301.0,341.0,297.0,242.0,272.0,264.0,256.0,242.0,250.0,253.0,274.0,228.0,222.0,162.0
경기 여주군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,37.0,28.0,40.0,27.0,31.0,,,,,,,,,,,,
경기 여주군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,7.9,5.9,8.5,6.0,6.7,,,,,,,,,,,,
경기 여주군 - 전체 교통사고발생건수＜br＞(B),Statistics,466.0,472.0,469.0,451.0,464.0,,,,,,,,,,,,
경기도 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,3130.0,3311.0,3026.0,2939.0,2713.0,2332.0,2021.0,2233.0,2067.0,2044.0,1988.0,1971.0,2120.0,2077.0,1834.0,1731.0,1943.0
경기도 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,7.8,7.6,6.9,6.7,6.1,5.3,4.2,4.2,4.1,4.0,3.7,3.6,4.0,3.9,3.5,3.3,3.7
경기도 - 전체 교통사고발생건수＜br＞(B),Statistics,40193.0,43405.0,43963.0,43655.0,44763.0,43900.0,48112.0,52954.0,51013.0,50627.0,53448.0,55463.0,52391.0,53332.0,52968.0,53164.0,52175.0
경남 마산시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,87.0,89.0,,,,,,,,,,,,,,,
경남 마산시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,4.8,5.0,,,,,,,,,,,,,,,
경남 마산시 - 전체 교통사고발생건수＜br＞(B),Statistics,1802.0,1789.0,,,,,,,,,,,,,,,
경남 진해시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,34.0,26.0,,,,,,,,,,,,,,,
경남 진해시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,5.2,3.8,,,,,,,,,,,,,,,
경남 진해시 - 전체 교통사고발생건수＜br＞(B),Statistics,655.0,682.0,,,,,,,,,,,,,,,
경남 창원시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,143.0,166.0,,,,,,,,,,,,,,,
경남 창원시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,7.6,8.9,,,,,,,,,,,,,,,
경남 창원시 - 전체 교통사고발생건수＜br＞(B),Statistics,1872.0,1862.0,,,,,,,,,,,,,,,
경산시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,95.0,92.0,69.0,57.0,39.0,43.0,77.0,47.0,54.0,24.0,42.0,30.0,30.0,59.0,36.0,30.0,29.0
경산시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,7.6,7.1,6.3,5.3,3.3,3.5,5.2,3.1,3.8,2.2,3.8,2.4,2.8,6.3,4.1,3.7,3.1
경산시 - 전체 교통사고발생건수＜br＞(B),Statistics,1244.0,1296.0,1099.0,1070.0,1180.0,1234.0,1484.0,1500.0,1411.0,1087.0,1113.0,1239.0,1089.0,931.0,874.0,813.0,925.0
경상남도 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,772.0,894.0,697.0,619.0,721.0,655.0,584.0,551.0,407.0,353.0,332.0,348.0,350.0,338.0,318.0,391.0,279.0
