item,category,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
대전광역시 - 계 - 경제활동인구,Statistics,585.0,588.5,604.7,655.6,654.8,670.1,660.0,668.0,679.2,704.0,697.4,707.5,714.7,731.3,741.7,764.6,782.2,782.4,788.3,783.5,792.0,818.0,806.3,812.5,815.6,805.9,817.7
대전광역시 - 남자 - 경제활동인구,Statistics,358.0,350.5,358.6,380.9,388.9,397.7,391.1,396.4,398.1,414.1,409.9,421.9,419.7,429.3,433.7,450.9,457.5,443.0,450.8,442.8,452.2,464.4,454.1,464.9,459.8,454.5,454.5
대전광역시 - 여자 - 경제활동인구,Statistics,227.0,237.9,246.1,274.7,265.9,272.4,268.8,271.6,281.1,289.9,287.5,285.6,295.0,302.1,308.0,313.7,324.8,339.4,337.5,340.7,339.8,353.6,352.2,347.5,355.8,351.4,363.2
부산광역시 - 계 - 경제활동인구,Statistics,1738.0,1761.4,1755.6,1793.3,1732.3,1680.6,1700.3,1694.5,1692.8,1677.8,1673.1,1674.7,1630.1,1703.9,1741.4,1713.0,1742.3,1749.6,1739.5,1725.9,1702.8,1725.5,1693.3,1698.2,1737.1,1735.1,1721.4
부산광역시 - 남자 - 경제활동인구,Statistics,1023.0,1035.0,1030.1,1039.5,1012.0,995.8,990.3,979.4,974.3,963.2,956.2,965.9,950.4,985.0,1011.7,1006.7,1009.1,991.7,988.5,992.3,951.8,946.7,942.7,944.9,967.5,962.2,931.2
부산광역시 - 여자 - 경제활동인구,Statistics,715.0,726.4,725.6,753.8,720.3,684.8,710.0,715.1,718.5,714.6,716.9,708.8,679.7,718.9,729.7,706.3,733.3,757.9,751.0,733.5,751.0,778.8,750.7,753.4,769.6,772.9,790.1
서울특별시 - 계 - 경제활동인구,Statistics,4857.0,4915.1,4917.4,5016.4,5025.7,5120.4,5170.8,5237.9,5271.4,5274.3,5213.6,5230.2,5289.3,5322.1,5277.5,5375.9,5398.2,5349.0,5325.8,5341.3,5244.3,5312.5,5233.6,5276.6,5235.1,5363.5,5326.1
서울특별시 - 남자 - 경제활동인구,Statistics,2867.0,2921.0,2878.5,2943.4,2962.6,2970.3,3001.7,2992.4,3016.3,3017.4,2997.8,3006.7,3007.0,3016.9,2997.0,3031.0,3020.3,2999.0,2979.7,2956.0,2888.9,2855.5,2843.6,2850.7,2789.9,2867.0,2811.4
서울특별시 - 여자 - 경제활동인구,Statistics,1990.0,1994.0,2038.9,2073.0,2063.1,2150.0,2169.0,2245.6,2255.1,2256.9,2215.8,2223.4,2282.3,2305.2,2280.5,2344.9,2377.9,2350.0,2346.1,2385.3,2355.4,2457.0,2389.9,2425.9,2445.2,2496.5,2514.7
세종특별자치시 - 계 - 경제활동인구,Statistics,,,,,,,,,,,,,,,,,,,120.3,137.0,161.2,176.9,183.4,184.7,204.3,207.5,213.1
세종특별자치시 - 남자 - 경제활동인구,Statistics,,,,,,,,,,,,,,,,,,,73.5,82.7,95.1,102.6,107.5,108.0,119.1,119.6,120.8
세종특별자치시 - 여자 - 경제활동인구,Statistics,,,,,,,,,,,,,,,,,,,46.8,54.4,66.1,74.2,75.9,76.7,85.2,87.9,92.3
울산광역시 - 계 - 경제활동인구,Statistics,446.0,437.8,457.5,466.0,471.4,488.2,496.5,484.9,505.6,519.2,536.7,530.8,545.0,550.7,554.5,571.6,568.0,589.0,592.4,601.2,584.9,598.8,575.1,571.1,585.3,586.6,582.0
울산광역시 - 남자 - 경제활동인구,Statistics,290.0,293.1,301.3,301.8,316.1,319.7,321.6,318.7,329.5,333.6,337.9,338.8,344.7,353.5,364.2,378.8,374.8,381.1,375.0,371.8,361.6,367.1,356.0,348.5,357.9,355.9,359.5
울산광역시 - 여자 - 경제활동인구,Statistics,156.0,144.8,156.2,164.2,155.3,168.5,174.9,166.3,176.1,185.7,198.8,192.0,200.2,197.2,190.3,192.8,193.1,207.9,217.3,229.5,223.3,231.7,219.1,222.6,227.4,230.7,222.6
인천광역시 - 계 - 경제활동인구,Statistics,1155.0,1136.1,1154.0,1209.6,1206.3,1215.1,1232.0,1237.7,1264.4,1317.8,1300.5,1367.2,1389.7,1450.2,1472.7,1524.3,1522.9,1566.6,1575.1,1608.9,1620.2,1623.9,1604.6,1607.6,1674.5,1708.4,1746.5
인천광역시 - 남자 - 경제활동인구,Statistics,710.0,701.4,702.8,731.8,741.8,741.7,750.1,759.3,764.1,798.0,782.8,815.2,835.0,856.3,869.7,892.3,884.7,913.7,914.9,930.7,928.8,925.4,917.7,929.7,948.8,963.5,986.4
인천광역시 - 여자 - 경제활동인구,Statistics,444.0,434.7,451.2,477.8,464.5,473.4,481.8,478.4,500.4,519.8,517.7,552.0,554.8,593.8,603.0,632.0,638.2,653.0,660.2,678.2,691.5,698.5,686.9,677.9,725.7,744.9,760.1
전라남도 - 계 - 경제활동인구,Statistics,1033.0,1003.0,987.0,983.1,993.9,966.3,961.1,936.1,943.7,928.9,922.8,930.4,873.3,923.7,930.1,921.8,947.7,937.3,938.3,957.5,963.1,992.8,972.1,1002.5,1023.0,1011.0,1013.9
전라남도 - 남자 - 경제활동인구,Statistics,576.0,569.7,548.2,536.0,542.2,541.4,537.5,524.9,529.2,521.7,523.3,529.7,508.5,529.2,532.9,535.8,552.4,549.0,538.7,552.2,544.8,568.6,561.1,567.8,571.5,564.1,567.1
전라남도 - 여자 - 경제활동인구,Statistics,457.0,433.3,438.8,447.1,451.6,424.9,423.7,411.1,414.5,407.2,399.6,400.7,364.7,394.4,397.2,386.0,395.3,388.4,399.6,405.3,418.3,424.3,411.0,434.6,451.5,446.9,446.7
전북특별자치도 - 계 - 경제활동인구,Statistics,907.0,782.9,793.1,808.8,786.7,807.8,792.6,797.3,807.4,821.6,824.9,804.3,806.8,815.1,850.3,853.7,880.7,894.1,912.9,890.0,929.7,932.0,932.2,958.3,959.7,983.4,983.8
전북특별자치도 - 남자 - 경제활동인구,Statistics,510.0,471.0,482.7,477.6,480.5,482.3,474.5,463.0,473.1,475.3,479.4,472.9,486.8,487.9,511.5,516.4,524.0,527.2,538.3,533.5,540.8,535.4,537.4,543.1,535.5,546.1,542.4
전북특별자치도 - 여자 - 경제활동인구,Statistics,397.0,311.9,310.4,331.1,306.1,325.5,318.1,334.3,334.2,346.4,345.5,331.4,320.1,327.2,338.8,337.3,356.7,366.9,374.6,356.5,389.0,396.6,394.8,415.2,424.3,437.4,441.4
제주도 - 계 - 경제활동인구,Statistics,251.0,263.4,266.9,277.0,285.0,286.5,290.3,287.8,294.5,290.7,288.8,289.4,287.8,305.0,309.5,324.0,336.8,350.8,370.3,376.3,385.4,399.9,385.6,402.1,403.6,411.6,406.1
제주도 - 남자 - 경제활동인구,Statistics,137.0,140.4,142.1,146.8,154.7,154.0,155.6,153.6,157.7,157.9,161.5,159.5,159.3,168.2,169.0,179.3,186.3,191.4,201.3,206.3,212.5,213.7,206.4,219.2,219.2,219.6,216.7
제주도 - 여자 - 경제활동인구,Statistics,113.0,123.0,124.8,130.2,130.3,132.5,134.6,134.2,136.8,132.7,127.3,130.0,128.5,136.8,140.5,144.7,150.5,159.4,169.0,170.0,172.8,186.1,179.2,182.8,184.4,191.9,189.5
충청남도 - 계 - 경제활동인구,Statistics,941.0,825.5,803.7,842.4,876.3,897.5,920.9,932.2,958.5,967.3,948.7,981.1,984.3,1014.3,1052.2,1117.8,1137.7,1177.7,1082.2,1141.5,1171.4,1154.4,1118.5,1156.1,1189.8,1216.0,1263.4
충청남도 - 남자 - 경제활동인구,Statistics,543.0,492.2,470.5,492.1,525.8,540.5,556.0,549.2,584.3,577.3,575.8,601.2,600.3,610.3,639.8,684.9,704.8,717.4,664.2,684.5,702.3,689.3,671.5,696.0,704.2,720.0,749.8
충청남도 - 여자 - 경제활동인구,Statistics,399.0,333.3,333.2,350.3,350.4,357.1,365.0,383.0,374.2,390.0,372.9,379.9,384.0,404.1,412.4,432.9,432.9,460.3,418.0,457.0,469.2,465.1,447.0,460.2,485.6,495.9,513.5
충청북도 - 계 - 경제활동인구,Statistics,702.0,619.8,618.7,624.7,647.7,648.6,654.1,648.4,661.1,670.2,682.3,694.9,710.9,708.3,711.8,777.8,782.3,806.1,820.9,841.1,862.3,895.8,867.3,913.5,911.0,937.8,954.9
충청북도 - 남자 - 경제활동인구,Statistics,399.0,374.0,375.9,379.4,391.0,394.3,387.9,379.0,391.6,410.4,404.4,408.7,410.3,418.6,424.0,462.4,452.5,466.7,469.3,497.4,506.0,520.2,508.3,529.5,534.8,554.3,545.8
충청북도 - 여자 - 경제활동인구,Statistics,303.0,245.8,242.7,245.4,256.7,254.2,266.1,269.3,269.5,259.8,277.9,286.1,300.6,289.7,287.8,315.4,329.8,339.4,351.5,343.6,356.3,375.6,359.0,384.0,376.2,383.5,409.1
