item,category,2021,2022,2023
구리시 - 남자,Statistics,36199.0,34268.0,34997.0
구리시 - 여자,Statistics,32937.0,32589.0,32739.0
구미시 - 계,Statistics,207975.0,211678.0,207952.0
구미시 - 남자,Statistics,129821.0,131938.0,129060.0
구미시 - 여자,Statistics,78154.0,79740.0,78892.0
군산시 - 계,Statistics,116443.0,117057.0,115264.0
군산시 - 남자,Statistics,68204.0,68824.0,67953.0
군산시 - 여자,Statistics,48239.0,48233.0,47311.0
군위군 - 계,Statistics,12675.0,12452.0,11525.0
군위군 - 남자,Statistics,7139.0,7526.0,6806.0
군위군 - 여자,Statistics,5536.0,4926.0,4719.0
군포시 - 계,Statistics,115375.0,119151.0,114667.0
군포시 - 남자,Statistics,65448.0,66625.0,63783.0
군포시 - 여자,Statistics,49927.0,52526.0,50884.0
금산군 - 계,Statistics,32510.0,30112.0,30566.0
금산군 - 남자,Statistics,20650.0,18845.0,19083.0
금산군 - 여자,Statistics,11860.0,11267.0,11483.0
금정구 - 계,Statistics,102359.0,99884.0,96451.0
금정구 - 남자,Statistics,59982.0,57672.0,54427.0
금정구 - 여자,Statistics,42377.0,42212.0,42024.0
금천구 - 계,Statistics,255449.0,256316.0,256009.0
금천구 - 남자,Statistics,158019.0,156950.0,156360.0
금천구 - 여자,Statistics,97430.0,99366.0,99649.0
기장군 - 계,Statistics,77117.0,80168.0,85019.0
기장군 - 남자,Statistics,44241.0,45015.0,48486.0
기장군 - 여자,Statistics,32876.0,35153.0,36533.0
김제시 - 계,Statistics,43550.0,44145.0,44761.0
김제시 - 남자,Statistics,25428.0,25806.0,25981.0
김제시 - 여자,Statistics,18122.0,18339.0,18780.0
김천시 - 계,Statistics,64625.0,68643.0,70402.0
김천시 - 남자,Statistics,38316.0,40535.0,41705.0
김천시 - 여자,Statistics,26309.0,28108.0,28697.0
김포시 - 계,Statistics,213769.0,221339.0,222322.0
김포시 - 남자,Statistics,130599.0,134870.0,133991.0
김포시 - 여자,Statistics,83170.0,86469.0,88331.0
김해시 - 계,Statistics,255401.0,258655.0,257703.0
김해시 - 남자,Statistics,150403.0,151981.0,150824.0
김해시 - 여자,Statistics,104998.0,106674.0,106879.0
나주시 - 계,Statistics,62999.0,64160.0,65919.0
나주시 - 남자,Statistics,37375.0,37984.0,38702.0
나주시 - 여자,Statistics,25624.0,26176.0,27217.0
남구 - 계,Statistics,93744.0,92796.0,89505.0
남구 - 남자,Statistics,53833.0,52702.0,49400.0
남구 - 여자,Statistics,39911.0,40094.0,40105.0
남동구 - 계,Statistics,255508.0,259869.0,251584.0
남동구 - 남자,Statistics,146427.0,147437.0,142040.0
남동구 - 여자,Statistics,109081.0,112432.0,109544.0
남양주시 - 계,Statistics,215236.0,217628.0,221695.0
남양주시 - 남자,Statistics,117417.0,118532.0,118977.0
