item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
전국 - 주차장면수＜br＞(A),Statistics,16673969.0,17600151.0,18663943.0,19126999.0,20511002.0,21441032.0,22198788.0,23434257.0,24584399.0,,,
전국 - 주차장확보율＜br＞(A÷B×100),Statistics,90.4,93.3,96.2,95.1,97.7,98.3,98.5,101.0,103.8,,,
전라남도 - 자동차등록대수＜br＞(B),Statistics,740903.0,766704.0,799385.0,841881.0,897655.0,952004.0,994318.0,1032074.0,1056239.0,1099894.0,1172282.0,1236858.0
전라남도 - 주차장면수＜br＞(A),Statistics,436465.0,509173.0,518655.0,538284.0,645660.0,675067.0,742501.0,800464.0,820144.0,,,
전라남도 - 주차장확보율＜br＞(A÷B×100),Statistics,58.9,66.4,64.9,63.9,71.9,70.9,74.7,77.6,77.6,,,
전북특별자치도 - 자동차등록대수＜br＞(B),Statistics,736698.0,755456.0,780844.0,807368.0,839181.0,869002.0,892118.0,915944.0,929061.0,948147.0,959920.0,977834.0
전북특별자치도 - 주차장면수＜br＞(A),Statistics,561831.0,605340.0,626859.0,626179.0,643229.0,727515.0,728021.0,749456.0,907684.0,,,
전북특별자치도 - 주차장확보율＜br＞(A÷B×100),Statistics,76.3,80.1,80.3,77.6,76.6,83.7,81.6,81.8,97.7,,,
제주특별자치도 - 자동차등록대수＜br＞(B),Statistics,257154.0,294488.0,334426.0,384117.0,435015.0,467243.0,500197.0,553578.0,596215.0,615342.0,658594.0,689924.0
제주특별자치도 - 주차장면수＜br＞(A),Statistics,221500.0,221928.0,229088.0,247299.0,268751.0,298548.0,327125.0,340013.0,396638.0,,,
제주특별자치도 - 주차장확보율＜br＞(A÷B×100),Statistics,86.1,75.4,68.5,64.4,61.8,63.9,65.4,61.4,66.5,,,
충청남도 - 자동차등록대수＜br＞(B),Statistics,868688.0,855751.0,887083.0,924576.0,969162.0,1015144.0,1057515.0,1093582.0,1118117.0,1149845.0,1176350.0,1211477.0
충청남도 - 주차장면수＜br＞(A),Statistics,498006.0,619810.0,732311.0,662176.0,811281.0,1008680.0,1005430.0,1154680.0,1117045.0,1217654.0,1190664.0,1269728.0
충청남도 - 주차장확보율＜br＞(A÷B×100),Statistics,57.3,72.4,82.6,71.6,83.7,99.4,95.1,105.6,99.9,105.9,101.2,104.8
충청북도 - 자동차등록대수＜br＞(B),Statistics,640303.0,653610.0,674138.0,699797.0,730069.0,760701.0,787188.0,814698.0,837602.0,865620.0,892301.0,916455.0
충청북도 - 주차장면수＜br＞(A),Statistics,481738.0,509809.0,532228.0,469085.0,598510.0,653628.0,736768.0,769908.0,704207.0,,,
충청북도 - 주차장확보율＜br＞(A÷B×100),Statistics,75.2,78.0,78.9,67.0,82.0,85.9,93.6,94.5,84.1,,,
