item,category,2009,2011,2013,2015,2017,2019,2021,2023
경상남도 - 남자 - - 매우 불만족,Statistics,9.9,12.5,11.7,9.2,12.8,10.1,15.518,13.486
경상남도 - 남자 - - 보통,Statistics,43.5,38.4,40.3,45.0,42.6,44.5,32.976,34.519
경상남도 - 남자 - - 약간 만족,Statistics,13.7,9.0,11.7,10.4,10.6,12.1,20.443,23.599
경상남도 - 남자 - - 약간 불만족,Statistics,31.4,38.5,35.3,34.6,32.7,32.0,29.461,25.778
경상남도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 남자 - 소득 있음,Statistics,80.2,88.3,90.5,90.2,91.3,91.4,91.733,87.543
경상남도 - 여자 - - 매우 만족,Statistics,1.3,1.2,1.3,0.9,2.2,2.3,2.401,3.059
경상남도 - 여자 - - 매우 불만족,Statistics,12.9,13.3,10.7,9.5,12.6,10.9,11.646,12.086
경상남도 - 여자 - - 보통,Statistics,38.1,37.9,40.2,42.7,42.7,47.9,32.232,34.841
경상남도 - 여자 - - 약간 만족,Statistics,12.9,10.9,10.0,11.4,9.1,10.3,22.262,24.817
경상남도 - 여자 - - 약간 불만족,Statistics,34.8,36.7,37.8,35.5,33.3,28.6,31.459,25.196
경상남도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 여자 - 소득 있음,Statistics,49.6,55.5,69.6,64.1,73.3,74.6,76.447,69.032
경상북도 - 계 - - 매우 만족,Statistics,1.1,0.9,1.0,1.1,1.2,1.4,3.297,2.294
경상북도 - 계 - - 매우 불만족,Statistics,13.2,12.1,10.9,8.0,9.9,10.3,13.033,13.579
경상북도 - 계 - - 보통,Statistics,37.8,39.9,40.9,46.6,40.3,42.3,34.611,36.16
경상북도 - 계 - - 약간 만족,Statistics,12.8,10.2,8.3,10.3,11.5,11.9,20.014,21.99
경상북도 - 계 - - 약간 불만족,Statistics,35.1,36.8,38.9,34.1,37.2,34.1,29.045,25.976
경상북도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 계 - 소득 있음,Statistics,69.8,72.6,80.5,78.5,86.3,83.4,85.701,79.758
경상북도 - 남자 - - 매우 만족,Statistics,0.9,0.8,0.8,1.4,1.2,1.6,3.007,2.779
경상북도 - 남자 - - 매우 불만족,Statistics,12.6,11.7,9.8,8.4,9.4,10.3,14.43,12.699
경상북도 - 남자 - - 보통,Statistics,37.9,40.0,40.0,46.0,41.3,40.9,31.744,35.875
경상북도 - 남자 - - 약간 만족,Statistics,14.5,11.4,10.6,11.7,12.6,12.4,20.597,22.865
경상북도 - 남자 - - 약간 불만족,Statistics,34.1,36.1,38.9,32.5,35.5,34.8,30.222,25.783
경상북도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 남자 - 소득 있음,Statistics,82.8,91.1,92.7,89.7,94.0,91.6,91.927,86.658
경상북도 - 여자 - - 매우 만족,Statistics,1.4,1.2,1.4,0.6,1.2,1.2,3.633,1.703
경상북도 - 여자 - - 매우 불만족,Statistics,14.0,12.8,12.2,7.4,10.5,10.2,11.413,14.655
경상북도 - 여자 - - 보통,Statistics,37.7,39.7,42.0,47.3,39.0,43.8,37.936,36.508
경상북도 - 여자 - - 약간 만족,Statistics,10.4,8.4,5.3,8.6,10.1,11.3,19.338,20.921
