item,category,2010,2012,2014,2016,2018,2020,2022,2024
경북 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경북 - 남자 - 매우 나쁘다,Statistics,1.5,2.0,1.7,2.3,1.7,1.245,0.802,0.912
경북 - 남자 - 매우 좋다,Statistics,16.8,17.2,14.2,16.9,16.5,24.858,25.292,18.966
경북 - 남자 - 보통,Statistics,37.6,37.7,40.6,40.0,31.9,31.837,33.128,30.491
경북 - 남자 - 약간 나쁘다,Statistics,9.4,10.0,9.0,10.1,8.2,7.574,7.07,5.551
경북 - 남자 - 약간 좋다,Statistics,34.8,33.1,34.5,30.6,41.8,34.485,33.707,44.079
경북 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경북 - 여자 - 매우 나쁘다,Statistics,1.4,2.8,1.8,2.8,2.2,1.178,1.017,0.704
경북 - 여자 - 매우 좋다,Statistics,13.8,19.5,14.2,18.3,19.2,23.775,24.912,19.556
경북 - 여자 - 보통,Statistics,41.9,34.1,39.7,36.9,29.6,32.464,31.5,29.838
경북 - 여자 - 약간 나쁘다,Statistics,7.6,10.5,9.8,12.1,8.2,6.187,5.862,5.389
경북 - 여자 - 약간 좋다,Statistics,35.2,33.2,34.6,29.9,40.8,36.396,36.71,44.513
광주 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 계 - 매우 나쁘다,Statistics,3.4,3.0,2.4,3.4,1.6,0.805,1.27,1.194
광주 - 계 - 매우 좋다,Statistics,5.4,10.6,9.1,10.6,11.1,16.781,17.808,13.56
광주 - 계 - 보통,Statistics,49.6,44.5,47.2,45.2,41.8,38.636,38.103,41.055
광주 - 계 - 약간 나쁘다,Statistics,17.8,15.0,12.6,11.4,9.3,5.32,5.851,7.364
광주 - 계 - 약간 좋다,Statistics,23.8,26.9,28.7,29.3,36.1,38.458,36.967,36.826
광주 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 남자 - 매우 나쁘다,Statistics,3.9,2.7,3.1,3.5,2.2,0.436,1.443,1.051
광주 - 남자 - 매우 좋다,Statistics,5.1,10.7,8.7,10.2,10.3,18.226,19.267,14.288
광주 - 남자 - 보통,Statistics,49.1,44.6,47.9,44.5,43.1,40.09,38.306,39.894
광주 - 남자 - 약간 나쁘다,Statistics,18.2,13.9,10.0,11.7,8.6,4.234,6.061,6.915
광주 - 남자 - 약간 좋다,Statistics,23.7,28.2,30.4,30.2,35.9,37.014,34.923,37.852
광주 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 여자 - 매우 나쁘다,Statistics,2.9,3.3,1.9,3.4,1.1,1.155,1.105,1.334
광주 - 여자 - 매우 좋다,Statistics,5.7,10.5,9.6,11.1,12.0,15.407,16.413,12.852
광주 - 여자 - 보통,Statistics,50.1,44.4,46.5,46.0,40.7,37.254,37.909,42.186
광주 - 여자 - 약간 나쁘다,Statistics,17.5,16.1,15.0,11.2,10.0,6.354,5.651,7.801
광주 - 여자 - 약간 좋다,Statistics,23.8,25.6,27.0,28.4,36.2,39.831,38.922,35.827
대구 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 계 - 매우 나쁘다,Statistics,4.1,5.0,4.1,3.3,3.0,1.076,0.315,0.789
대구 - 계 - 매우 좋다,Statistics,3.0,9.2,5.7,8.8,6.5,17.924,16.426,17.237
대구 - 계 - 보통,Statistics,51.1,41.5,48.8,43.9,47.8,40.26,40.124,41.949
대구 - 계 - 약간 나쁘다,Statistics,18.5,17.7,15.9,13.9,12.2,6.195,6.221,8.57
대구 - 계 - 약간 좋다,Statistics,23.2,26.6,25.5,30.1,30.5,34.546,36.914,31.455
대구 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 남자 - 매우 나쁘다,Statistics,3.4,4.6,4.6,2.9,3.3,1.334,0.442,0.759
대구 - 남자 - 매우 좋다,Statistics,2.9,9.6,5.9,8.6,6.4,17.214,15.757,17.583
대구 - 남자 - 보통,Statistics,51.0,41.5,49.3,44.6,48.7,38.97,40.5,42.589
대구 - 남자 - 약간 나쁘다,Statistics,19.6,17.8,14.5,13.7,12.3,6.163,7.049,8.298
대구 - 남자 - 약간 좋다,Statistics,23.1,26.5,25.7,30.2,29.3,36.319,36.253,30.771
대구 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 여자 - 매우 나쁘다,Statistics,4.8,5.4,3.8,3.7,2.6,0.828,0.191,0.818
대구 - 여자 - 매우 좋다,Statistics,3.1,8.8,5.4,8.9,6.7,18.604,17.078,16.905
대구 - 여자 - 보통,Statistics,51.2,41.5,48.3,43.3,47.0,41.497,39.759,41.336
대구 - 여자 - 약간 나쁘다,Statistics,17.5,17.6,17.2,14.2,12.1,6.225,5.415,8.83
대구 - 여자 - 약간 좋다,Statistics,23.4,26.8,25.3,29.9,31.6,32.846,37.557,32.111
대전 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 계 - 매우 나쁘다,Statistics,2.4,3.8,2.6,5.1,2.0,1.757,1.31,1.241
대전 - 계 - 매우 좋다,Statistics,11.3,9.8,11.0,8.8,11.3,16.468,18.847,19.559
대전 - 계 - 보통,Statistics,47.3,41.6,44.6,40.6,43.2,36.832,32.691,37.826
대전 - 계 - 약간 나쁘다,Statistics,13.7,14.5,13.3,14.2,10.4,6.48,5.929,7.432
대전 - 계 - 약간 좋다,Statistics,25.3,30.2,28.5,31.3,33.1,38.463,41.223,33.942
대전 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 남자 - 매우 나쁘다,Statistics,2.0,4.2,2.4,5.4,2.2,1.451,1.462,1.361
대전 - 남자 - 매우 좋다,Statistics,11.2,9.7,10.9,9.5,10.2,16.328,18.513,20.074
대전 - 남자 - 보통,Statistics,47.6,39.6,45.2,42.3,43.6,36.971,31.755,34.709
대전 - 남자 - 약간 나쁘다,Statistics,14.1,15.9,12.7,12.9,9.7,7.1,6.453,7.337
대전 - 남자 - 약간 좋다,Statistics,25.0,30.5,28.9,29.9,34.4,38.15,41.817,36.519
대전 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 여자 - 매우 나쁘다,Statistics,2.8,3.5,2.7,4.8,1.8,2.061,1.156,1.118
대전 - 여자 - 매우 좋다,Statistics,11.5,9.9,11.2,8.1,12.4,16.607,19.184,19.03
대전 - 여자 - 보통,Statistics,46.9,43.6,44.1,39.0,42.7,36.694,33.636,41.026
대전 - 여자 - 약간 나쁘다,Statistics,13.2,13.1,13.9,15.5,11.1,5.866,5.4,7.529
대전 - 여자 - 약간 좋다,Statistics,25.6,30.0,28.1,32.6,31.9,38.772,40.624,31.298
부산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 계 - 매우 나쁘다,Statistics,5.4,5.3,3.7,3.8,1.6,1.054,1.997,1.772
부산 - 계 - 매우 좋다,Statistics,7.5,8.7,10.9,14.3,14.5,27.331,23.14,20.609
부산 - 계 - 보통,Statistics,43.7,39.6,39.5,40.3,38.1,28.726,31.194,33.617
부산 - 계 - 약간 나쁘다,Statistics,17.8,17.7,17.4,16.5,10.6,5.292,7.815,6.948
부산 - 계 - 약간 좋다,Statistics,25.6,28.7,28.5,25.1,35.1,37.598,35.853,37.055
부산 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 남자 - 매우 나쁘다,Statistics,6.4,5.5,3.9,4.0,1.7,0.913,1.95,1.685
