item,category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
서울특별시 - 범죄발생건수＜br＞(A),Statistics,350505.0,346733.0,355754.0,392590.0,405428.0,348180.0,358620.0,358534.0,368583.0,355991.0,356575.0,343104.0,320193.0,308997.0,309269.0,296178.0,257969.0,279507.0,277213.0
서울특별시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,34.5,34.1,34.9,38.5,39.7,33.8,35.0,35.2,36.3,35.2,35.6,34.6,32.5,31.6,31.8,30.6,27.1,29.6,29.5
서울특별시 - 주민등록인구＜br＞(B),Statistics,10167344.0,10181166.0,10192710.0,10200827.0,10208302.0,10312545.0,10249679.0,10195318.0,10143645.0,10103233.0,10022181.0,9930616.0,9857426.0,9765623.0,9729107.0,9668465.0,9509458.0,9428372.0,9386034.0
세종특별자치시 - 범죄발생건수＜br＞(A),Statistics,,,,,,,,,,,,,,,6111.0,6276.0,5937.0,6575.0,7603.0
세종특별자치시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,,,,,17.9,17.6,16.0,17.1,19.7
세종특별자치시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,,,,,340575.0,355831.0,371895.0,383591.0,386525.0
울산광역시 - 범죄발생건수＜br＞(A),Statistics,36530.0,38372.0,44071.0,44590.0,45807.0,41314.0,36848.0,37362.0,40848.0,41167.0,44569.0,39799.0,34912.0,32764.0,32780.0,31381.0,29085.0,27286.0,29859.0
울산광역시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,33.6,35.1,40.1,40.1,41.1,36.7,32.5,32.6,35.3,35.3,38.0,33.9,30.0,28.4,28.6,27.6,25.9,24.6,27.1
울산광역시 - 주민등록인구＜br＞(B),Statistics,1087648.0,1092494.0,1099995.0,1112407.0,1114866.0,1126298.0,1135494.0,1147256.0,1156480.0,1166377.0,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,1121592.0,1110663.0,1103661.0
인천광역시 - 범죄발생건수＜br＞(A),Statistics,99682.0,103491.0,99260.0,106547.0,103727.0,85078.0,82870.0,89911.0,95270.0,94210.0,99915.0,100387.0,91385.0,86391.0,90608.0,88143.0,76584.0,82397.0,87831.0
인천광역시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,38.3,39.4,37.3,39.6,38.3,30.8,29.6,31.6,33.1,32.5,34.1,34.1,31.0,29.2,30.6,30.0,26.0,27.8,29.3
인천광역시 - 주민등록인구＜br＞(B),Statistics,2600495.0,2624391.0,2664576.0,2692696.0,2710579.0,2758296.0,2801274.0,2843981.0,2879782.0,2902608.0,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,2948375.0,2967314.0,2997410.0
전국 - 범죄발생건수＜br＞(A),Statistics,1690455.0,1666302.0,1784384.0,2012504.0,1970042.0,1736355.0,1706007.0,1747523.0,1805891.0,1765652.0,1834836.0,1819014.0,1636131.0,1542267.0,1568968.0,1542270.0,1382736.0,1434888.0,1467729.0
전국 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,34.7,34.0,36.2,40.6,39.6,34.4,33.6,34.3,35.3,34.4,35.6,35.2,31.6,29.8,30.3,29.8,26.8,27.9,28.6
전국 - 주민등록인구＜br＞(B),Statistics,48782274.0,48991779.0,49268928.0,49540367.0,49773145.0,50515666.0,50734284.0,50948272.0,51141463.0,51327916.0,51529338.0,51696216.0,51778544.0,51826059.0,51849861.0,51829023.0,51638809.0,51439038.0,51325329.0
전라남도 - 범죄발생건수＜br＞(A),Statistics,69175.0,65244.0,70871.0,72467.0,70933.0,71326.0,63780.0,63187.0,65888.0,63197.0,66643.0,62794.0,53892.0,50993.0,52698.0,51519.0,48380.0,48062.0,49909.0
전라남도 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,35.2,33.6,36.7,37.8,37.1,37.2,33.3,33.1,34.5,33.2,34.9,33.0,28.4,27.1,28.2,27.8,26.4,26.4,27.7
전라남도 - 주민등록인구＜br＞(B),Statistics,1967205.0,1942925.0,1929836.0,1919000.0,1913004.0,1918485.0,1914339.0,1909618.0,1907172.0,1905780.0,1908996.0,1903914.0,1896424.0,1882970.0,1868745.0,1851549.0,1832803.0,1817697.0,1804217.0
전북특별자치도 - 범죄발생건수＜br＞(A),Statistics,59487.0,58152.0,56813.0,60895.0,62911.0,61757.0,58570.0,62200.0,59906.0,56642.0,57342.0,53375.0,48979.0,47944.0,48252.0,47446.0,43650.0,45199.0,46143.0
전북특별자치도 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,31.6,31.1,30.5,32.8,33.9,33.0,31.3,33.2,32.0,30.3,30.7,28.6,26.4,26.1,26.5,26.3,24.4,25.5,26.3
전북특별자치도 - 주민등록인구＜br＞(B),Statistics,1885335.0,1868365.0,1862277.0,1855772.0,1854508.0,1868963.0,1874031.0,1873341.0,1872965.0,1871560.0,1869711.0,1864791.0,1854607.0,1836832.0,1818917.0,1804104.0,1786855.0,1769607.0,1754757.0
제주특별자치도 - 범죄발생건수＜br＞(A),Statistics,25284.0,24556.0,23093.0,27138.0,24104.0,25334.0,24706.0,26284.0,31223.0,31254.0,33819.0,35003.0,31368.0,27427.0,26090.0,27129.0,25515.0,26103.0,26836.0
제주특별자치도 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,45.3,44.0,41.3,48.4,42.8,44.3,42.9,45.0,52.6,51.5,54.2,54.6,47.7,41.1,38.9,40.2,37.7,38.5,39.7
제주특별자치도 - 주민등록인구＜br＞(B),Statistics,557569.0,558496.0,559258.0,560618.0,562663.0,571255.0,576156.0,583713.0,593806.0,607346.0,624395.0,641597.0,657083.0,667191.0,670989.0,674635.0,676759.0,678159.0,675252.0
충청남도 - 범죄발생건수＜br＞(A),Statistics,74922.0,68268.0,72749.0,73623.0,73857.0,70989.0,63054.0,67554.0,70573.0,71136.0,73409.0,72072.0,67276.0,68577.0,62666.0,61612.0,54223.0,59196.0,61507.0
충청남도 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,38.2,34.6,36.5,36.5,36.2,34.2,30.0,31.5,32.5,32.1,32.1,30.8,28.1,28.1,29.5,29.0,25.6,27.9,28.9
충청남도 - 주민등록인구＜br＞(B),Statistics,1962646.0,1974433.0,1995531.0,2018537.0,2037582.0,2075514.0,2101284.0,2141894.0,2169784.0,2218398.0,2288533.0,2339775.0,2396870.0,2440408.0,2123709.0,2121029.0,2119257.0,2123037.0,2130119.0
충청북도 - 범죄발생건수＜br＞(A),Statistics,56552.0,52662.0,60902.0,63243.0,58990.0,54370.0,48236.0,50477.0,52065.0,50857.0,53703.0,56179.0,50387.0,48315.0,48085.0,47864.0,43397.0,44055.0,42517.0
충청북도 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,38.0,35.2,40.4,41.6,38.6,35.1,30.9,32.2,33.1,32.2,33.9,35.3,31.6,30.2,30.1,29.9,27.2,27.6,26.7
충청북도 - 주민등록인구＜br＞(B),Statistics,1488803.0,1494559.0,1506608.0,1519587.0,1527478.0,1549528.0,1562903.0,1565628.0,1572732.0,1578933.0,1583952.0,1591625.0,1594432.0,1599252.0,1600007.0,1600837.0,1597427.0,1595058.0,1593469.0
