item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
대전 대덕구 - 실업률 (％),Statistics,,,,,,,,,2.5,2.0,3.5,2.7
대전 동구 - 실업률 (％),Statistics,,,,,,,,,3.3,3.1,3.1,2.6
대전 서구 - 실업률 (％),Statistics,,,,,,,,,3.4,2.2,2.6,2.2
대전 유성구 - 실업률 (％),Statistics,,,,,,,,,2.5,1.9,2.1,3.1
대전 중구 - 실업률 (％),Statistics,,,,,,,,,3.5,2.8,3.4,2.4
동두천시 - 실업률 (％),Statistics,3.1,4.8,3.7,2.5,5.0,4.5,5.1,4.5,4.6,3.1,3.1,5.1
동해시 - 실업률 (％),Statistics,2.1,3.1,3.5,3.7,3.9,3.6,3.1,2.3,1.1,1.2,0.4,1.4
목포시 - 실업률 (％),Statistics,2.2,1.8,3.0,3.3,3.0,1.9,2.8,3.2,3.2,2.3,2.7,2.0
무안군 - 실업률 (％),Statistics,1.5,1.0,2.1,2.2,1.9,1.3,0.5,1.9,1.6,1.6,1.0,0.5
무주군 - 실업률 (％),Statistics,0.5,0.5,1.9,1.0,0.3,0.6,0.5,0.2,0.9,0.6,1.4,0.4
문경시 - 실업률 (％),Statistics,2.3,0.6,2.3,3.1,2.3,3.1,3.4,2.4,3.5,2.0,2.3,1.7
밀양시 - 실업률 (％),Statistics,0.7,1.8,2.0,2.4,2.0,2.2,3.1,3.0,2.6,2.4,1.3,1.2
보령시 - 실업률 (％),Statistics,2.5,1.7,3.3,2.7,2.2,2.4,2.6,1.0,2.4,1.3,1.0,1.4
보성군 - 실업률 (％),Statistics,0.4,0.9,0.7,2.4,0.7,1.2,1.7,0.2,1.6,0.4,0.9,1.2
보은군 - 실업률 (％),Statistics,0.5,0.1,0.6,0.9,0.8,0.5,1.8,1.2,0.4,0.5,0.3,0.6
봉화군 - 실업률 (％),Statistics,0.6,0.2,0.7,1.0,0.2,0.4,0.8,1.4,1.0,0.3,0.5,0.1
부산 강서구 - 실업률 (％),Statistics,,,,,,,,,4.5,4.1,3.5,4.2
부산 금정구 - 실업률 (％),Statistics,,,,,,,,,4.8,3.0,5.3,3.8
부산 기장군 - 실업률 (％),Statistics,,,,,,,,,5.6,4.0,4.5,3.8
부산 남구 - 실업률 (％),Statistics,,,,,,,,,5.3,3.5,3.5,4.6
부산 동구 - 실업률 (％),Statistics,,,,,,,,,4.9,3.6,4.4,3.6
부산 동래구 - 실업률 (％),Statistics,,,,,,,,,5.8,4.9,4.1,3.5
부산 부산진구 - 실업률 (％),Statistics,,,,,,,,,5.4,3.3,3.8,5.2
부산 북구 - 실업률 (％),Statistics,,,,,,,,,4.9,2.6,5.0,4.1
부산 사상구 - 실업률 (％),Statistics,,,,,,,,,5.6,3.2,5.0,5.3
부산 사하구 - 실업률 (％),Statistics,,,,,,,,,5.6,3.1,4.7,4.3
부산 서구 - 실업률 (％),Statistics,,,,,,,,,4.8,4.8,4.8,4.5
부산 수영구 - 실업률 (％),Statistics,,,,,,,,,5.4,3.4,4.7,4.7
부산 연제구 - 실업률 (％),Statistics,,,,,,,,,5.2,3.1,3.9,5.4
부산 영도구 - 실업률 (％),Statistics,,,,,,,,,4.3,3.4,4.8,5.8
부산 중구 - 실업률 (％),Statistics,,,,,,,,,4.4,4.1,4.7,5.0
부산 해운대구 - 실업률 (％),Statistics,,,,,,,,,4.8,3.1,3.9,4.5
부안군 - 실업률 (％),Statistics,0.6,1.0,0.9,1.0,1.3,1.1,1.1,0.8,0.5,1.5,0.7,0.1
부여군 - 실업률 (％),Statistics,1.6,1.8,2.3,1.2,1.7,2.5,1.1,1.2,2.0,1.2,0.9,0.8
부천시 - 실업률 (％),Statistics,4.2,4.1,4.2,4.7,4.5,4.5,4.2,4.8,3.6,2.8,4.0,4.8
사천시 - 실업률 (％),Statistics,0.9,1.0,1.7,2.8,2.1,2.9,4.2,3.5,4.4,3.5,2.6,1.4
산청군 - 실업률 (％),Statistics,0.1,0.2,0.5,1.6,0.3,1.5,2.2,0.1,0.9,0.8,1.3,2.3
삼척시 - 실업률 (％),Statistics,0.7,1.5,2.0,1.9,2.8,3.3,2.4,1.4,1.2,1.0,1.5,0.7
상주시 - 실업률 (％),Statistics,0.8,1.3,1.4,1.7,1.0,2.5,1.9,1.1,1.4,0.9,0.9,1.4
서귀포시 - 실업률 (％),Statistics,1.4,1.3,1.8,2.0,1.6,1.6,2.8,2.7,1.3,1.3,1.5,1.6
서산시 - 실업률 (％),Statistics,1.9,1.0,1.8,3.2,2.6,2.1,2.1,1.4,1.1,1.4,2.2,1.2
서울 강남구 - 실업률 (％),Statistics,,,,,,,,,4.7,3.3,2.8,3.5
서울 강동구 - 실업률 (％),Statistics,,,,,,,,,3.8,3.7,2.2,4.7
서울 강북구 - 실업률 (％),Statistics,,,,,,,,,5.5,4.9,3.5,4.5
서울 강서구 - 실업률 (％),Statistics,,,,,,,,,5.7,4.1,3.6,4.1
서울 관악구 - 실업률 (％),Statistics,,,,,,,,,6.2,4.8,4.6,4.4
서울 광진구 - 실업률 (％),Statistics,,,,,,,,,5.7,3.9,3.3,3.4
서울 구로구 - 실업률 (％),Statistics,,,,,,,,,5.1,3.3,3.6,5.0
서울 금천구 - 실업률 (％),Statistics,,,,,,,,,5.8,5.0,3.5,3.4
서울 노원구 - 실업률 (％),Statistics,,,,,,,,,4.9,3.6,3.5,4.5
서울 도봉구 - 실업률 (％),Statistics,,,,,,,,,6.1,4.8,3.9,5.6
서울 동대문구 - 실업률 (％),Statistics,,,,,,,,,5.0,4.1,4.4,4.7
서울 동작구 - 실업률 (％),Statistics,,,,,,,,,5.5,4.9,4.6,5.0
서울 마포구 - 실업률 (％),Statistics,,,,,,,,,3.7,3.1,3.2,5.1
서울 서대문구 - 실업률 (％),Statistics,,,,,,,,,5.6,4.3,4.0,3.7
서울 서초구 - 실업률 (％),Statistics,,,,,,,,,4.6,3.2,2.6,2.3
서울 성동구 - 실업률 (％),Statistics,,,,,,,,,5.4,4.1,3.0,2.6
서울 성북구 - 실업률 (％),Statistics,,,,,,,,,5.5,4.7,3.4,3.2
서울 송파구 - 실업률 (％),Statistics,,,,,,,,,5.6,3.8,3.0,3.4
서울 양천구 - 실업률 (％),Statistics,,,,,,,,,5.3,4.2,3.8,3.9
서울 영등포구 - 실업률 (％),Statistics,,,,,,,,,4.3,3.9,2.7,3.7
서울 용산구 - 실업률 (％),Statistics,,,,,,,,,5.7,4.3,3.4,3.7
서울 은평구 - 실업률 (％),Statistics,,,,,,,,,5.5,4.3,4.3,4.4
서울 종로구 - 실업률 (％),Statistics,,,,,,,,,4.6,3.5,2.8,5.2
서울 중구 - 실업률 (％),Statistics,,,,,,,,,5.0,4.1,3.8,3.5
서울 중랑구 - 실업률 (％),Statistics,,,,,,,,,5.9,4.2,3.4,2.1
서천군 - 실업률 (％),Statistics,2.3,1.6,2.4,1.4,0.9,0.6,1.3,0.6,1.2,0.8,0.6,0.9
성남시 - 실업률 (％),Statistics,4.4,4.5,4.3,3.3,2.7,4.7,4.6,3.9,4.9,3.0,3.1,4.1
성주군 - 실업률 (％),Statistics,0.5,0.7,1.1,1.2,1.5,0.8,2.0,0.7,1.1,0.4,1.2,0.6
속초시 - 실업률 (％),Statistics,0.8,1.1,1.2,0.8,0.8,0.9,1.0,0.9,1.8,1.4,1.9,1.8
수원시 - 실업률 (％),Statistics,5.1,4.3,5.0,4.7,3.6,4.8,4.3,3.8,3.8,2.3,3.6,4.8
순창군 - 실업률 (％),Statistics,0.9,0.5,1.7,1.6,1.2,1.6,2.3,0.2,2.2,0.6,2.4,1.1
순천시 - 실업률 (％),Statistics,1.3,2.5,3.0,2.2,1.4,2.8,2.5,2.5,3.3,2.5,1.5,2.3
시흥시 - 실업률 (％),Statistics,3.1,3.4,2.9,4.0,3.8,4.2,4.8,5.1,5.2,4.6,3.2,4.8
신안군 - 실업률 (％),Statistics,1.4,0.0,0.8,0.1,0.2,0.2,1.0,0.1,0.4,0.6,0.5,0.3
