item,category,2016,2017,2018,2019,2020,2021,2022,2023
고령군 - 빈집비율(A÷B×100),Statistics,12.6,13.5,13.3,12.7,13.2,12.9,12.4,12.3
고령군 - 빈집수(A),Statistics,1734.0,1864.0,1825.0,1740.0,1826.0,1777.0,1725.0,1717.0
고령군 - 전체주택(B),Statistics,13736.0,13833.0,13739.0,13709.0,13785.0,13825.0,13859.0,13931.0
고성군 - 빈집비율(A÷B×100),Statistics,7.3,12.6,13.1,14.5,15.6,19.3,16.9,14.6
고성군 - 빈집수(A),Statistics,825.0,1459.0,1524.0,1681.0,1855.0,2532.0,2230.0,1919.0
고성군 - 전체주택(B),Statistics,11334.0,11545.0,11653.0,11559.0,11910.0,13129.0,13164.0,13189.0
고양시 - 빈집비율(A÷B×100),Statistics,3.0,2.9,3.9,4.4,3.5,3.3,4.2,3.4
고양시 - 빈집수(A),Statistics,9083.0,8956.0,12196.0,14528.0,11809.0,11066.0,14559.0,12059.0
고양시 - 전체주택(B),Statistics,299167.0,305178.0,314605.0,327782.0,334425.0,339468.0,347754.0,352201.0
고창군 - 빈집비율(A÷B×100),Statistics,11.8,13.2,14.0,15.1,15.0,14.2,14.5,14.9
고창군 - 빈집수(A),Statistics,2874.0,3243.0,3480.0,3805.0,3790.0,3582.0,3688.0,3830.0
고창군 - 전체주택(B),Statistics,24268.0,24649.0,24875.0,25219.0,25269.0,25261.0,25472.0,25738.0
고흥군 - 빈집비율(A÷B×100),Statistics,16.7,17.4,18.7,18.5,18.7,18.4,18.6,18.8
고흥군 - 빈집수(A),Statistics,5537.0,5758.0,6294.0,6245.0,6370.0,6281.0,6489.0,6540.0
고흥군 - 전체주택(B),Statistics,33213.0,33151.0,33618.0,33687.0,34150.0,34227.0,34814.0,34812.0
곡성군 - 빈집비율(A÷B×100),Statistics,15.5,15.1,16.9,16.3,15.8,15.5,15.2,14.8
곡성군 - 빈집수(A),Statistics,2046.0,2001.0,2257.0,2192.0,2135.0,2094.0,2065.0,2012.0
곡성군 - 전체주택(B),Statistics,13196.0,13271.0,13361.0,13484.0,13488.0,13545.0,13591.0,13630.0
공주시 - 빈집비율(A÷B×100),Statistics,10.1,11.8,13.2,14.0,13.0,11.4,11.7,11.6
공주시 - 빈집수(A),Statistics,4178.0,4979.0,5798.0,6332.0,5896.0,5140.0,5401.0,5386.0
공주시 - 전체주택(B),Statistics,41322.0,42343.0,43883.0,45271.0,45266.0,45172.0,46008.0,46548.0
과천시 - 빈집비율(A÷B×100),Statistics,3.0,0.2,1.6,0.6,1.5,2.0,6.0,7.3
과천시 - 빈집수(A),Statistics,472.0,25.0,206.0,81.0,224.0,365.0,1356.0,1763.0
과천시 - 전체주택(B),Statistics,15661.0,12114.0,12772.0,13008.0,14819.0,18426.0,22455.0,24038.0
관악구 - 빈집비율(A÷B×100),Statistics,1.0,0.7,0.4,0.7,0.6,0.6,1.2,0.8
관악구 - 빈집수(A),Statistics,1272.0,917.0,548.0,840.0,764.0,775.0,1547.0,1059.0
관악구 - 전체주택(B),Statistics,123911.0,124170.0,125148.0,126526.0,127568.0,127783.0,129778.0,130244.0
광명시 - 빈집비율(A÷B×100),Statistics,1.7,2.0,2.8,3.9,7.3,3.6,3.8,6.6
광명시 - 빈집수(A),Statistics,1710.0,2092.0,2980.0,4019.0,7580.0,3490.0,3733.0,6616.0
광명시 - 전체주택(B),Statistics,103508.0,103564.0,104641.0,103740.0,103493.0,97560.0,98203.0,99923.0
광산구 - 빈집비율(A÷B×100),Statistics,5.8,6.2,6.4,6.7,7.4,5.7,6.5,7.1
광산구 - 빈집수(A),Statistics,7877.0,8510.0,9022.0,9678.0,10953.0,8557.0,9850.0,10768.0
광산구 - 전체주택(B),Statistics,134996.0,138251.0,140371.0,143848.0,148489.0,149319.0,151271.0,152165.0
광양시 - 빈집비율(A÷B×100),Statistics,15.7,15.8,15.5,15.1,13.7,16.3,15.8,17.7
광양시 - 빈집수(A),Statistics,9333.0,9502.0,9334.0,9148.0,8274.0,10486.0,10532.0,12355.0
광양시 - 전체주택(B),Statistics,59402.0,59981.0,60122.0,60427.0,60548.0,64442.0,66448.0,69835.0
광주광역시 - 빈집비율(A÷B×100),Statistics,5.9,6.6,7.2,7.5,7.7,6.2,7.1,7.2
광주광역시 - 빈집수(A),Statistics,29127.0,33569.0,37220.0,39625.0,41585.0,33439.0,39205.0,40588.0
광주광역시 - 전체주택(B),Statistics,494547.0,505471.0,514767.0,526161.0,538275.0,542703.0,555185.0,560550.0
광주시 - 빈집비율(A÷B×100),Statistics,6.2,8.3,9.1,8.1,5.5,4.2,4.9,5.2
광주시 - 빈집수(A),Statistics,6008.0,8967.0,10882.0,10173.0,6995.0,5530.0,6654.0,7248.0
광주시 - 전체주택(B),Statistics,97373.0,107996.0,120155.0,125545.0,128175.0,130350.0,136376.0,139426.0
광진구 - 빈집비율(A÷B×100),Statistics,1.3,1.2,0.9,1.1,0.8,1.2,1.2,1.4
광진구 - 빈집수(A),Statistics,1069.0,981.0,768.0,1008.0,735.0,1085.0,1146.0,1302.0
광진구 - 전체주택(B),Statistics,82691.0,84316.0,85638.0,89132.0,89832.0,91432.0,93555.0,95286.0
괴산군 - 빈집비율(A÷B×100),Statistics,9.4,10.1,11.0,11.9,8.4,9.0,8.7,8.9
괴산군 - 빈집수(A),Statistics,1495.0,1637.0,1808.0,2000.0,1437.0,1544.0,1507.0,1543.0
괴산군 - 전체주택(B),Statistics,15907.0,16157.0,16380.0,16836.0,17021.0,17208.0,17343.0,17424.0
구례군 - 빈집비율(A÷B×100),Statistics,14.9,15.5,15.8,16.4,15.5,15.6,15.7,15.6
구례군 - 빈집수(A),Statistics,1695.0,1784.0,1819.0,1918.0,1811.0,1864.0,1891.0,1880.0
구례군 - 전체주택(B),Statistics,11355.0,11483.0,11526.0,11661.0,11687.0,11948.0,12046.0,12078.0
구로구 - 빈집비율(A÷B×100),Statistics,2.5,2.6,3.1,3.8,3.7,4.0,4.7,3.8
구로구 - 빈집수(A),Statistics,3068.0,3188.0,3874.0,4948.0,4964.0,5355.0,6454.0,5232.0
구로구 - 전체주택(B),Statistics,120431.0,121684.0,124569.0,129693.0,133012.0,134367.0,137403.0,137863.0
구리시 - 빈집비율(A÷B×100),Statistics,1.7,2.1,2.4,2.2,3.3,4.3,2.9,3.5
구리시 - 빈집수(A),Statistics,898.0,1168.0,1427.0,1305.0,2004.0,2616.0,1736.0,2157.0
구리시 - 전체주택(B),Statistics,52511.0,55252.0,58785.0,58998.0,60554.0,60917.0,60367.0,61146.0
구미시 - 빈집비율(A÷B×100),Statistics,8.1,10.6,9.5,11.1,10.3,9.1,9.2,9.0
구미시 - 빈집수(A),Statistics,10869.0,15087.0,13737.0,16643.0,15604.0,13843.0,14038.0,13841.0
구미시 - 전체주택(B),Statistics,133737.0,142140.0,143992.0,149882.0,152076.0,152482.0,152734.0,153364.0
군산시 - 빈집비율(A÷B×100),Statistics,13.9,13.9,15.5,15.3,16.3,15.5,15.4,15.2
군산시 - 빈집수(A),Statistics,15188.0,15223.0,17460.0,17342.0,19033.0,18202.0,18331.0,18335.0
군산시 - 전체주택(B),Statistics,109477.0,109423.0,112370.0,113112.0,116663.0,117489.0,119129.0,120261.0
군위군 - 빈집비율(A÷B×100),Statistics,13.0,13.7,13.9,12.7,11.9,11.5,9.4,11.9
군위군 - 빈집수(A),Statistics,1387.0,1490.0,1525.0,1387.0,1315.0,1264.0,1042.0,1326.0
군위군 - 전체주택(B),Statistics,10650.0,10855.0,10936.0,10940.0,11043.0,11005.0,11053.0,11109.0
군포시 - 빈집비율(A÷B×100),Statistics,2.3,2.7,3.4,4.6,3.1,2.9,3.3,3.3
군포시 - 빈집수(A),Statistics,1991.0,2321.0,2985.0,4183.0,2866.0,2662.0,3018.0,3053.0
군포시 - 전체주택(B),Statistics,86160.0,86340.0,87516.0,90977.0,91152.0,91201.0,92238.0,92266.0
금산군 - 빈집비율(A÷B×100),Statistics,11.8,14.0,14.2,14.6,13.3,12.9,13.4,14.6
금산군 - 빈집수(A),Statistics,2671.0,3205.0,3267.0,3372.0,3105.0,3014.0,3175.0,3568.0
금산군 - 전체주택(B),Statistics,22706.0,22946.0,22957.0,23104.0,23266.0,23307.0,23736.0,24396.0
금정구 - 빈집비율(A÷B×100),Statistics,8.3,8.1,7.9,8.6,8.8,7.8,8.2,7.9
금정구 - 빈집수(A),Statistics,6688.0,6658.0,6609.0,7401.0,7670.0,6795.0,7118.0,6827.0
금정구 - 전체주택(B),Statistics,80635.0,82427.0,83959.0,86185.0,86739.0,86898.0,87098.0,86802.0
금천구 - 빈집비율(A÷B×100),Statistics,0.7,1.1,1.9,2.1,2.2,1.9,1.7,2.2
금천구 - 빈집수(A),Statistics,422.0,711.0,1213.0,1432.0,1523.0,1376.0,1211.0,1597.0
금천구 - 전체주택(B),Statistics,58938.0,62314.0,65244.0,67012.0,68804.0,71117.0,72044.0,72901.0
기장군 - 빈집비율(A÷B×100),Statistics,6.5,9.7,7.8,8.0,9.7,7.1,8.5,8.0
기장군 - 빈집수(A),Statistics,3498.0,5586.0,4592.0,4795.0,6385.0,4639.0,5843.0,5610.0
기장군 - 전체주택(B),Statistics,54029.0,57542.0,58705.0,59828.0,65541.0,65110.0,69010.0,70007.0
김제시 - 빈집비율(A÷B×100),Statistics,12.9,14.8,15.3,15.8,15.8,16.5,15.3,13.5
김제시 - 빈집수(A),Statistics,4783.0,5571.0,5740.0,5948.0,5944.0,6343.0,5868.0,5187.0
김제시 - 전체주택(B),Statistics,37132.0,37723.0,37623.0,37759.0,37736.0,38501.0,38430.0,38544.0
김천시 - 빈집비율(A÷B×100),Statistics,12.0,14.5,14.6,16.7,14.8,14.2,13.3,13.3
김천시 - 빈집수(A),Statistics,6592.0,8291.0,8391.0,10090.0,8921.0,8669.0,8166.0,8167.0
김천시 - 전체주택(B),Statistics,54798.0,57293.0,57455.0,60340.0,60378.0,61002.0,61174.0,61246.0
김포시 - 빈집비율(A÷B×100),Statistics,3.3,3.6,5.3,4.1,4.7,4.0,4.5,4.3
김포시 - 빈집수(A),Statistics,3780.0,4604.0,7547.0,5996.0,7458.0,6648.0,7580.0,7503.0
김포시 - 전체주택(B),Statistics,115633.0,126247.0,141596.0,146321.0,159766.0,167035.0,169085.0,172576.0
김해시 - 빈집비율(A÷B×100),Statistics,4.5,6.5,6.5,9.7,8.6,7.3,7.4,7.2
김해시 - 빈집수(A),Statistics,7237.0,10962.0,11261.0,18343.0,16623.0,14245.0,14511.0,14407.0
김해시 - 전체주택(B),Statistics,161407.0,169924.0,173974.0,189429.0,193783.0,194064.0,196704.0,200332.0
나주시 - 빈집비율(A÷B×100),Statistics,21.8,20.0,23.9,21.5,21.2,17.2,16.5,16.2
나주시 - 빈집수(A),Statistics,9974.0,9643.0,12640.0,11399.0,11549.0,9365.0,8989.0,9053.0
나주시 - 전체주택(B),Statistics,45692.0,48326.0,52942.0,53024.0,54524.0,54339.0,54445.0,55771.0
남구 - 빈집비율(A÷B×100),Statistics,10.2,10.9,12.6,12.1,12.7,10.7,10.1,11.3
남구 - 빈집수(A),Statistics,10201.0,11022.0,13399.0,13107.0,13789.0,11417.0,10804.0,12407.0
남구 - 전체주택(B),Statistics,99806.0,100948.0,106627.0,107984.0,108223.0,106747.0,106699.0,109973.0
남동구 - 빈집비율(A÷B×100),Statistics,4.6,5.3,5.5,6.6,6.0,5.6,6.1,7.0
남동구 - 빈집수(A),Statistics,7909.0,9299.0,9966.0,12323.0,11179.0,10467.0,11449.0,13238.0
남동구 - 전체주택(B),Statistics,173212.0,177023.0,181834.0,185746.0,187149.0,188253.0,188807.0,189988.0
남양주시 - 빈집비율(A÷B×100),Statistics,2.9,3.1,4.5,5.2,5.1,5.5,5.0,5.4
남양주시 - 빈집수(A),Statistics,5938.0,6579.0,9952.0,12245.0,12272.0,13974.0,12947.0,14192.0
남양주시 - 전체주택(B),Statistics,204573.0,209195.0,220328.0,233886.0,240547.0,252799.0,259844.0,263186.0
남원시 - 빈집비율(A÷B×100),Statistics,11.6,11.9,12.2,12.5,12.9,12.3,12.1,13.0
남원시 - 빈집수(A),Statistics,3912.0,3987.0,4101.0,4237.0,4524.0,4303.0,4252.0,4613.0
남원시 - 전체주택(B),Statistics,33611.0,33573.0,33703.0,33980.0,34965.0,35018.0,35053.0,35621.0
남해군 - 빈집비율(A÷B×100),Statistics,17.3,18.9,19.8,20.6,21.5,21.3,21.3,22.4
남해군 - 빈집수(A),Statistics,3765.0,4191.0,4440.0,4681.0,4929.0,4926.0,4936.0,5238.0
남해군 - 전체주택(B),Statistics,21802.0,22206.0,22473.0,22676.0,22950.0,23082.0,23226.0,23434.0
노원구 - 빈집비율(A÷B×100),Statistics,2.8,2.5,2.6,3.0,3.0,3.1,3.4,3.5
노원구 - 빈집수(A),Statistics,5290.0,4713.0,4910.0,5575.0,5626.0,5947.0,6556.0,6838.0
노원구 - 전체주택(B),Statistics,189013.0,187025.0,186533.0,187376.0,189213.0,190352.0,192022.0,192926.0
논산시 - 빈집비율(A÷B×100),Statistics,10.0,10.9,11.9,12.4,11.9,11.3,11.3,11.3
논산시 - 빈집수(A),Statistics,4708.0,5188.0,5710.0,6040.0,5825.0,5503.0,5518.0,5523.0
논산시 - 전체주택(B),Statistics,46943.0,47771.0,48060.0,48874.0,48936.0,48915.0,48963.0,48888.0
단양군 - 빈집비율(A÷B×100),Statistics,14.0,14.5,15.9,15.2,15.2,14.6,14.1,15.6
단양군 - 빈집수(A),Statistics,1827.0,1924.0,2205.0,2112.0,2107.0,2033.0,1965.0,2242.0
단양군 - 전체주택(B),Statistics,13093.0,13247.0,13840.0,13854.0,13898.0,13885.0,13916.0,14395.0
달서구 - 빈집비율(A÷B×100),Statistics,3.3,3.3,3.2,3.1,3.1,2.6,4.0,3.6
달서구 - 빈집수(A),Statistics,5872.0,5909.0,5805.0,5771.0,5764.0,4837.0,7413.0,6719.0
달서구 - 전체주택(B),Statistics,179685.0,179539.0,181128.0,183594.0,184756.0,183025.0,187027.0,188900.0
달성군 - 빈집비율(A÷B×100),Statistics,10.4,12.6,8.5,8.9,8.2,7.6,8.1,8.5
달성군 - 빈집수(A),Statistics,7887.0,11362.0,7732.0,8461.0,8041.0,7628.0,8313.0,8931.0
달성군 - 전체주택(B),Statistics,75593.0,90122.0,91215.0,95011.0,97595.0,100552.0,103133.0,105220.0
담양군 - 빈집비율(A÷B×100),Statistics,13.0,14.1,14.1,15.4,14.0,14.5,14.9,13.2
담양군 - 빈집수(A),Statistics,2232.0,2545.0,2566.0,2809.0,2585.0,2816.0,2913.0,2615.0
담양군 - 전체주택(B),Statistics,17122.0,17996.0,18144.0,18299.0,18485.0,19420.0,19612.0,19834.0
당진시 - 빈집비율(A÷B×100),Statistics,9.8,10.0,11.8,10.8,11.7,11.0,12.6,13.4
당진시 - 빈집수(A),Statistics,5749.0,6086.0,7525.0,6879.0,7524.0,7382.0,8828.0,9862.0
당진시 - 전체주택(B),Statistics,58838.0,60720.0,63534.0,63441.0,64504.0,66931.0,70195.0,73627.0
대구광역시 - 빈집비율(A÷B×100),Statistics,4.9,5.6,5.2,5.1,4.8,4.4,5.2,6.5
대구광역시 - 빈집수(A),Statistics,36932.0,44180.0,40861.0,40721.0,39069.0,36121.0,43086.0,56673.0
대구광역시 - 전체주택(B),Statistics,761054.0,783895.0,792998.0,800340.0,809802.0,815588.0,834637.0,876286.0
대덕구 - 빈집비율(A÷B×100),Statistics,5.5,5.3,6.4,6.9,7.4,4.8,5.6,5.8
대덕구 - 빈집수(A),Statistics,3419.0,3239.0,3942.0,4219.0,4697.0,3012.0,3630.0,3769.0
대덕구 - 전체주택(B),Statistics,61796.0,60584.0,61367.0,61426.0,63102.0,62717.0,64575.0,64613.0
대전광역시 - 빈집비율(A÷B×100),Statistics,5.5,5.6,6.1,6.0,5.4,5.2,5.1,4.9
대전광역시 - 빈집수(A),Statistics,26238.0,26994.0,29900.0,29640.0,26983.0,26005.0,26262.0,25396.0
대전광역시 - 전체주택(B),Statistics,474193.0,479161.0,486764.0,492797.0,496875.0,501218.0,510178.0,514123.0
도봉구 - 빈집비율(A÷B×100),Statistics,2.8,2.9,2.6,3.1,3.0,3.0,3.6,3.8
도봉구 - 빈집수(A),Statistics,2879.0,3032.0,2785.0,3320.0,3257.0,3284.0,3960.0,4138.0
도봉구 - 전체주택(B),Statistics,104170.0,104752.0,105526.0,106641.0,107156.0,107959.0,109190.0,109465.0
동구 - 빈집비율(A÷B×100),Statistics,9.7,10.8,12.7,11.2,11.6,12.6,12.0,13.3
동구 - 빈집수(A),Statistics,2919.0,3327.0,3992.0,3611.0,3902.0,4336.0,4120.0,4896.0
동구 - 전체주택(B),Statistics,30089.0,30842.0,31508.0,32199.0,33775.0,34295.0,34367.0,36688.0
동대문구 - 빈집비율(A÷B×100),Statistics,2.0,2.3,2.6,4.0,2.0,1.7,2.1,2.3
동대문구 - 빈집수(A),Statistics,1929.0,2289.0,2659.0,4177.0,2022.0,1733.0,2262.0,2551.0
동대문구 - 전체주택(B),Statistics,96464.0,97891.0,100802.0,104821.0,103520.0,104287.0,106441.0,110169.0
동두천시 - 빈집비율(A÷B×100),Statistics,7.7,7.9,9.0,10.5,10.1,8.8,8.7,10.8
동두천시 - 빈집수(A),Statistics,2769.0,2838.0,3326.0,3942.0,3811.0,3389.0,3368.0,4229.0
동두천시 - 전체주택(B),Statistics,35755.0,35987.0,36825.0,37452.0,37755.0,38523.0,38752.0,39306.0
동래구 - 빈집비율(A÷B×100),Statistics,5.5,6.5,7.5,8.5,6.5,6.4,7.1,6.6
동래구 - 빈집수(A),Statistics,4592.0,5650.0,6718.0,7932.0,6145.0,6122.0,7129.0,6619.0
동래구 - 전체주택(B),Statistics,84217.0,87052.0,89354.0,93805.0,94561.0,95011.0,100567.0,100960.0
동작구 - 빈집비율(A÷B×100),Statistics,1.5,0.8,0.7,0.7,0.7,1.2,1.1,1.7
