item,category,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
대전광역시 - 계 - 취업자,Statistics,531.0,522.0,554.1,564.8,622.1,625.5,638.2,624.1,634.0,647.9,679.2,670.9,673.7,686.8,701.4,713.1,735.5,756.8,758.7,755.4,752.9,745.8,776.3,752.5,779.5,789.0,778.3,784.8
대전광역시 - 남자 - 취업자,Statistics,326.0,312.0,327.5,333.0,359.8,377.2,378.0,372.5,373.2,378.2,398.2,391.5,403.1,402.2,414.8,416.3,432.7,443.0,430.1,432.3,426.2,426.5,439.9,431.7,446.8,444.8,440.0,439.6
대전광역시 - 여자 - 취업자,Statistics,206.0,211.0,226.6,231.9,262.3,248.3,260.3,251.6,260.8,269.7,281.0,279.4,270.6,284.6,286.6,296.8,302.9,313.8,328.6,323.1,326.7,319.2,336.4,320.8,332.8,344.2,338.3,345.2
부산광역시 - 계 - 취업자,Statistics,1632.0,1538.0,1619.4,1628.2,1705.4,1661.5,1599.8,1621.7,1630.2,1623.0,1610.3,1595.5,1593.4,1566.4,1637.8,1666.2,1652.3,1671.1,1673.2,1662.5,1650.9,1628.7,1659.7,1595.5,1623.5,1676.9,1654.3,1636.9
부산광역시 - 남자 - 취업자,Statistics,974.0,900.0,942.9,935.7,984.9,970.5,944.3,935.4,934.4,931.0,920.3,911.2,914.6,911.8,938.1,959.6,966.8,963.8,948.7,949.1,950.4,913.6,913.6,892.7,903.4,936.6,926.5,895.5
부산광역시 - 여자 - 취업자,Statistics,658.0,638.0,676.5,692.5,720.5,691.0,655.4,686.2,695.7,692.0,690.0,684.2,678.9,654.6,699.7,706.6,685.5,707.3,724.5,713.4,700.5,715.1,746.2,702.8,720.1,740.2,727.8,741.4
서울특별시 - 계 - 취업자,Statistics,4589.0,4330.0,4587.8,4636.6,4751.5,4777.6,4875.0,4888.6,4977.7,5020.3,5053.5,4992.2,4917.5,5037.0,5075.4,5072.6,5173.3,5166.5,5133.2,5087.4,5104.6,4976.5,5088.8,4892.5,5026.4,5056.8,5195.0,5101.1
서울특별시 - 남자 - 취업자,Statistics,2692.0,2551.0,2701.9,2699.8,2781.3,2815.4,2820.3,2831.2,2834.5,2844.5,2879.2,2842.0,2806.8,2845.1,2868.6,2868.6,2906.4,2884.5,2876.3,2840.6,2829.6,2738.3,2748.7,2673.4,2730.0,2707.6,2777.3,2703.5
서울특별시 - 여자 - 취업자,Statistics,1897.0,1778.0,1885.9,1936.8,1970.2,1962.2,2054.7,2057.4,2143.1,2175.8,2174.4,2150.2,2110.7,2192.0,2206.7,2204.0,2266.9,2282.0,2256.8,2246.8,2274.9,2238.2,2340.1,2219.1,2296.4,2349.2,2417.7,2397.6
세종특별자치시 - 계 - 취업자,Statistics,,,,,,,,,,,,,,,,,,,,116.8,133.7,157.0,172.1,177.3,180.1,199.5,202.9,207.4
세종특별자치시 - 남자 - 취업자,Statistics,,,,,,,,,,,,,,,,,,,,71.7,81.1,93.5,99.9,104.4,105.8,117.6,117.5,119.1
세종특별자치시 - 여자 - 취업자,Statistics,,,,,,,,,,,,,,,,,,,,45.1,52.6,63.5,72.2,73.0,74.3,81.9,85.3,88.3
