item,category,2009,2011,2013,2015,2017,2019,2021,2023
경기도 - 여자 - · 관광자 1인당 여행횟수,Statistics,2.5,2.4,2.5,2.6,2.7,2.8,2.736,3.144
경기도 - 여자 - · 인구 1인당 여행횟수,Statistics,1.3,1.2,1.3,1.4,1.6,1.7,0.99,1.822
경기도 - 여자 - · 회당 평균 숙박일수,Statistics,2.4,2.6,2.4,2.5,2.5,2.6,2.432,2.45
경기도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 여자 - 관광자 1인당 여행횟수,Statistics,5.1,4.2,4.5,4.8,4.8,5.0,4.299,5.189
경기도 - 여자 - 국내관광여행 경험없음,Statistics,33.8,34.7,32.0,30.3,25.6,25.9,54.262,
경기도 - 여자 - 국내관광여행 경험있음,Statistics,66.2,65.3,68.0,69.7,74.4,74.1,45.738,69.951
경기도 - 여자 - 인구 1인당 여행횟수,Statistics,3.4,2.8,3.0,3.3,3.6,3.7,1.966,3.63
경상남도 - 계 - - 당일여행,Statistics,51.9,43.4,49.4,52.1,56.3,49.4,26.854,48.934
경상남도 - 계 - - 숙박여행,Statistics,38.0,41.0,42.9,44.1,47.8,48.0,24.243,47.697
경상남도 - 계 - · 관광자 1인당 여행횟수,Statistics,2.3,2.2,2.6,2.7,2.9,2.8,2.483,3.265
경상남도 - 계 - · 인구 1인당 여행횟수,Statistics,0.9,0.9,1.1,1.2,1.4,1.4,0.602,1.557
경상남도 - 계 - · 회당 평균 숙박일수,Statistics,2.3,2.4,2.3,2.4,2.4,2.5,2.403,2.596
경상남도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 계 - 관광자 1인당 여행횟수,Statistics,4.9,4.2,4.9,5.4,6.3,5.5,5.276,6.168
경상남도 - 계 - 국내관광여행 경험없음,Statistics,34.6,36.5,32.8,31.3,26.2,31.3,62.747,
경상남도 - 계 - 국내관광여행 경험있음,Statistics,65.4,63.5,67.2,68.7,73.8,68.7,37.253,67.885
경상남도 - 계 - 인구 1인당 여행횟수,Statistics,3.2,2.7,3.3,3.7,4.7,3.8,1.965,4.187
경상남도 - 남자 - - 당일여행,Statistics,51.9,42.4,46.6,51.6,55.2,48.8,26.701,47.074
경상남도 - 남자 - - 숙박여행,Statistics,39.5,41.1,43.3,44.6,48.1,48.7,23.899,46.647
경상남도 - 남자 - · 관광자 1인당 여행횟수,Statistics,2.4,2.4,2.6,2.8,3.1,2.7,2.553,3.262
경상남도 - 남자 - · 인구 1인당 여행횟수,Statistics,1.0,1.0,1.1,1.3,1.5,1.3,0.61,1.522
경상남도 - 남자 - · 회당 평균 숙박일수,Statistics,2.3,2.4,2.3,2.4,2.4,2.5,2.382,2.567
경상남도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 남자 - 관광자 1인당 여행횟수,Statistics,5.1,4.4,5.1,5.5,6.6,5.4,5.32,6.267
경상남도 - 남자 - 국내관광여행 경험없음,Statistics,33.3,37.2,35.2,31.7,27.7,31.5,62.506,
경상남도 - 남자 - 국내관광여행 경험있음,Statistics,66.7,62.8,64.8,68.3,72.3,68.5,37.494,66.31
경상남도 - 남자 - 인구 1인당 여행횟수,Statistics,3.4,2.8,3.3,3.8,4.8,3.7,1.995,4.155
경상남도 - 여자 - - 당일여행,Statistics,51.9,44.3,52.2,52.7,57.5,50.0,27.01,50.814
경상남도 - 여자 - - 숙박여행,Statistics,36.5,41.0,42.5,43.7,47.5,47.4,24.593,48.759
경상남도 - 여자 - · 관광자 1인당 여행횟수,Statistics,2.2,2.0,2.6,2.6,2.7,3.0,2.414,3.267
경상남도 - 여자 - · 인구 1인당 여행횟수,Statistics,0.8,0.8,1.1,1.1,1.3,1.4,0.594,1.593
경상남도 - 여자 - · 회당 평균 숙박일수,Statistics,2.2,2.4,2.3,2.3,2.4,2.4,2.424,2.624
경상남도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 여자 - 관광자 1인당 여행횟수,Statistics,4.8,4.1,4.7,5.3,6.0,5.7,5.23,6.073
경상남도 - 여자 - 국내관광여행 경험없음,Statistics,35.9,35.9,30.3,30.9,24.6,31.2,62.993,
경상남도 - 여자 - 국내관광여행 경험있음,Statistics,64.1,64.1,69.7,69.1,75.4,68.8,37.007,69.476
경상남도 - 여자 - 인구 1인당 여행횟수,Statistics,3.1,2.6,3.3,3.7,4.5,3.9,1.936,4.22
경상북도 - 계 - - 당일여행,Statistics,45.0,45.2,51.3,55.8,59.6,47.5,23.913,46.074
경상북도 - 계 - - 숙박여행,Statistics,35.8,34.3,37.7,37.9,43.0,44.1,20.598,45.929
경상북도 - 계 - · 관광자 1인당 여행횟수,Statistics,2.5,2.3,2.4,2.6,2.9,3.3,2.511,3.015
경상북도 - 계 - · 인구 1인당 여행횟수,Statistics,0.9,0.8,0.9,1.0,1.2,1.5,0.517,1.385
경상북도 - 계 - · 회당 평균 숙박일수,Statistics,2.3,2.4,2.4,2.4,2.3,2.5,2.385,2.568
경상북도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
