item,category,2021,2022,2023
곡성군 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,11.2,12.5,13.3
곡성군 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,1541.0,1791.0,1931.0
곡성군 - 전체산업 종사자수(B),Statistics,13742.0,14281.0,14514.0
공주시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,11.3,12.8,13.6
공주시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,6428.0,7293.0,7692.0
공주시 - 전체산업 종사자수(B),Statistics,57123.0,57138.0,56581.0
과천시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,5.7,5.5,5.0
과천시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,2115.0,2163.0,2410.0
과천시 - 전체산업 종사자수(B),Statistics,37242.0,39142.0,48660.0
관악구 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,12.5,12.4,13.4
관악구 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,16081.0,15688.0,16972.0
관악구 - 전체산업 종사자수(B),Statistics,128417.0,126394.0,126925.0
광명시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,10.3,11.3,11.1
광명시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,10851.0,12148.0,12277.0
광명시 - 전체산업 종사자수(B),Statistics,105342.0,107968.0,110241.0
광산구 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,10.1,10.5,11.2
광산구 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,18924.0,19243.0,20708.0
광산구 - 전체산업 종사자수(B),Statistics,186454.0,183465.0,185695.0
광양시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,7.4,7.3,7.6
광양시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,6648.0,6871.0,7453.0
광양시 - 전체산업 종사자수(B),Statistics,90334.0,94036.0,97741.0
광주광역시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,12.9,13.4,13.8
광주광역시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,87414.0,90482.0,93458.0
광주광역시 - 전체산업 종사자수(B),Statistics,676261.0,675251.0,678748.0
광주시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,7.0,7.4,7.7
광주시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,11134.0,11938.0,12647.0
광주시 - 전체산업 종사자수(B),Statistics,160061.0,161865.0,164027.0
광진구 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,9.9,9.9,10.2
광진구 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,12785.0,12890.0,13004.0
광진구 - 전체산업 종사자수(B),Statistics,129707.0,129917.0,127974.0
괴산군 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,9.0,9.7,14.0
괴산군 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,1656.0,1730.0,2724.0
괴산군 - 전체산업 종사자수(B),Statistics,18451.0,17849.0,19481.0
구례군 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,15.1,14.2,15.5
구례군 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,1479.0,1448.0,1635.0
구례군 - 전체산업 종사자수(B),Statistics,9824.0,10184.0,10564.0
구로구 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,7.6,8.1,8.3
구로구 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,18241.0,19679.0,19504.0
구로구 - 전체산업 종사자수(B),Statistics,240689.0,242639.0,235229.0
구리시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,13.1,14.0,14.4
구리시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,9043.0,9362.0,9730.0
구리시 - 전체산업 종사자수(B),Statistics,69136.0,66857.0,67736.0
구미시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,7.0,6.9,6.9
구미시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,14570.0,14560.0,14435.0
구미시 - 전체산업 종사자수(B),Statistics,207975.0,211678.0,207952.0
군산시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,10.6,10.7,10.8
군산시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,12321.0,12505.0,12429.0
군산시 - 전체산업 종사자수(B),Statistics,116443.0,117057.0,115264.0
군위군 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,22.9,22.3,20.9
군위군 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,2900.0,2775.0,2414.0
군위군 - 전체산업 종사자수(B),Statistics,12675.0,12452.0,11525.0
군포시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,10.6,9.3,9.4
군포시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,12268.0,11053.0,10749.0
군포시 - 전체산업 종사자수(B),Statistics,115375.0,119151.0,114667.0
금산군 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,7.2,7.5,7.8
금산군 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,2345.0,2252.0,2387.0
금산군 - 전체산업 종사자수(B),Statistics,32510.0,30112.0,30566.0
