item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
거창군 - 계 - 건수,Statistics,43.0,40.0,32.0,24.0,27.0,31.0,33.0,36.0,34.0,33.0
거창군 - 계 - 농가수,Statistics,112.0,107.0,34.0,102.0,103.0,109.0,111.0,113.0,117.0,111.0
거창군 - 계 - 출하량,Statistics,11633.0,15158.0,12416.9,4681.0,4699.05,7383.4,6962.3,9750.18,11372.16,11555.24
거창군 - 무항생제축산물 - 건수,Statistics,40.0,39.0,32.0,24.0,27.0,31.0,33.0,36.0,34.0,33.0
거창군 - 무항생제축산물 - 농가수,Statistics,109.0,106.0,34.0,102.0,103.0,109.0,111.0,113.0,117.0,111.0
거창군 - 무항생제축산물 - 출하량,Statistics,11633.0,15158.0,12416.9,4681.0,4699.05,7383.4,6962.3,9750.18,11372.16,11555.24
거창군 - 유기축산물 - 건수,Statistics,3.0,1.0,,,,,,,,
거창군 - 유기축산물 - 농가수,Statistics,3.0,1.0,,,,,,,,
경기 남양주시 - 계 - 건수,Statistics,52.0,49.0,46.0,41.0,37.0,36.0,32.0,31.0,30.0,29.0
경기 남양주시 - 계 - 농가수,Statistics,52.0,49.0,46.0,41.0,37.0,36.0,32.0,31.0,30.0,29.0
경기 남양주시 - 계 - 출하량,Statistics,2656.0,1935.0,583.8,5241.0,1817.81,1111.85,2158.3,2240.99,1973.46,3547.37
경기 남양주시 - 무항생제축산물 - 건수,Statistics,52.0,49.0,46.0,41.0,37.0,36.0,32.0,31.0,30.0,29.0
경기 남양주시 - 무항생제축산물 - 농가수,Statistics,52.0,49.0,46.0,41.0,37.0,36.0,32.0,31.0,30.0,29.0
경기 남양주시 - 무항생제축산물 - 출하량,Statistics,2656.0,1935.0,583.8,5241.0,1817.81,1111.85,2158.3,2240.99,1973.46,3547.37
경기 동두천시 - 계 - 건수,Statistics,11.0,12.0,12.0,11.0,9.0,8.0,8.0,8.0,8.0,6.0
경기 동두천시 - 계 - 농가수,Statistics,11.0,12.0,12.0,11.0,9.0,8.0,8.0,8.0,8.0,6.0
경기 동두천시 - 계 - 출하량,Statistics,660.0,613.0,1749.8,1283.0,,26.37,393.62,752.87,509.81,303.1
경기 동두천시 - 무항생제축산물 - 건수,Statistics,11.0,12.0,12.0,11.0,9.0,8.0,8.0,8.0,8.0,6.0
경기 동두천시 - 무항생제축산물 - 농가수,Statistics,11.0,12.0,12.0,11.0,9.0,8.0,8.0,8.0,8.0,6.0
경기 동두천시 - 무항생제축산물 - 출하량,Statistics,660.0,613.0,1749.8,1283.0,,26.37,393.62,752.87,509.81,303.1
경기 수원시 - 계 - 건수,Statistics,6.0,5.0,4.0,3.0,4.0,1.0,,,1.0,2.0
경기 수원시 - 계 - 농가수,Statistics,6.0,5.0,4.0,3.0,4.0,1.0,,,1.0,2.0
경기 수원시 - 계 - 출하량,Statistics,784.0,800.0,419.3,433.0,305.76,,,,,3.7
경기 수원시 - 무항생제축산물 - 건수,Statistics,6.0,5.0,4.0,3.0,4.0,1.0,,,1.0,2.0
경기 수원시 - 무항생제축산물 - 농가수,Statistics,6.0,5.0,4.0,3.0,4.0,1.0,,,1.0,2.0
경기 수원시 - 무항생제축산물 - 출하량,Statistics,784.0,800.0,419.3,433.0,305.76,,,,,3.7
경기도 소계 - 계 - 건수,Statistics,1583.0,1647.0,1672.0,1448.0,1445.0,1475.0,1501.0,1505.0,1530.0,1546.0
경기도 소계 - 계 - 농가수,Statistics,1660.0,1728.0,1678.0,1453.0,1449.0,1490.0,1528.0,1544.0,1548.0,1577.0
경기도 소계 - 계 - 출하량,Statistics,168533.0,231843.0,174902.6,194691.0,182777.19,197123.53,192606.65,348002.19,347269.43,368999.1
경기도 소계 - 무항생제축산물 - 건수,Statistics,1573.0,1638.0,1664.0,1439.0,1438.0,1468.0,1493.0,1498.0,1525.0,1540.0
경기도 소계 - 무항생제축산물 - 농가수,Statistics,1650.0,1719.0,1670.0,1444.0,1442.0,1483.0,1520.0,1537.0,1543.0,1571.0
경기도 소계 - 무항생제축산물 - 출하량,Statistics,166111.0,229139.0,170043.9,192035.0,180093.45,194530.05,189665.18,344662.43,344758.96,366435.31
경기도 소계 - 유기축산물 - 건수,Statistics,10.0,9.0,8.0,9.0,7.0,7.0,8.0,7.0,5.0,6.0
경기도 소계 - 유기축산물 - 농가수,Statistics,10.0,9.0,8.0,9.0,7.0,7.0,8.0,7.0,5.0,6.0
경기도 소계 - 유기축산물 - 출하량,Statistics,2422.0,2704.0,4858.7,2656.0,2683.74,2593.48,2941.47,3339.76,2510.46,2563.79
경남 창원시 - 계 - 건수,Statistics,11.0,12.0,12.0,9.0,8.0,13.0,14.0,12.0,10.0,10.0
경남 창원시 - 계 - 농가수,Statistics,11.0,12.0,22.0,19.0,17.0,13.0,14.0,12.0,10.0,10.0
경남 창원시 - 계 - 출하량,Statistics,2065.0,1806.0,1666.9,1834.0,975.12,664.66,675.35,617.7,613.63,582.49
경남 창원시 - 무항생제축산물 - 건수,Statistics,11.0,12.0,12.0,9.0,8.0,13.0,14.0,12.0,10.0,10.0
경남 창원시 - 무항생제축산물 - 농가수,Statistics,11.0,12.0,22.0,19.0,17.0,13.0,14.0,12.0,10.0,10.0
경남 창원시 - 무항생제축산물 - 출하량,Statistics,2065.0,1806.0,1666.9,1834.0,975.12,664.66,675.35,617.7,613.63,582.49
경남 통영시 - 계 - 건수,Statistics,1.0,1.0,1.0,,,,2.0,2.0,1.0,
경남 통영시 - 계 - 농가수,Statistics,1.0,1.0,1.0,,,,2.0,2.0,1.0,
경남 통영시 - 계 - 출하량,Statistics,,125.0,,,,,117.66,412.17,270.0,
경남 통영시 - 무항생제축산물 - 건수,Statistics,1.0,1.0,1.0,,,,2.0,2.0,1.0,
경남 통영시 - 무항생제축산물 - 농가수,Statistics,1.0,1.0,1.0,,,,2.0,2.0,1.0,
경남 통영시 - 무항생제축산물 - 출하량,Statistics,,125.0,,,,,117.66,412.17,270.0,
경산시 - 계 - 건수,Statistics,13.0,36.0,42.0,44.0,49.0,55.0,71.0,75.0,76.0,81.0
