item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
경산시 - 일반대＜br＞(A),Statistics,99370.0,100535.0,102355.0,103987.0,104024.0,104752.0,104551.0,102894.0,99757.0,96126.0,93403.0,91133.0,90417.0,87416.0,84499.0,80220.0,79143.0
경산시 - 전문대＜br＞(B),Statistics,14552.0,14883.0,15658.0,15956.0,14950.0,13240.0,12291.0,11143.0,10304.0,9940.0,9255.0,8633.0,8218.0,7796.0,7310.0,6696.0,6988.0
경상남도 - 교육대＜br＞(C),Statistics,2116.0,2038.0,1905.0,1802.0,1678.0,1544.0,1469.0,1398.0,1381.0,1398.0,1384.0,1376.0,1371.0,1356.0,1332.0,1287.0,1284.0
경상남도 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,136814.0,129953.0,129357.0,130948.0,130688.0,129823.0,128959.0,126509.0,122471.0,118729.0,115431.0,111845.0,107580.0,101910.0,94829.0,92121.0,88172.0
경상남도 - 산업대＜br＞(D),Statistics,14492.0,10217.0,9539.0,7407.0,5524.0,3819.0,2226.0,1329.0,595.0,,,,,,,,
경상남도 - 일반대＜br＞(A),Statistics,81534.0,79965.0,80923.0,82863.0,84243.0,86232.0,88088.0,87657.0,86495.0,84580.0,82469.0,79942.0,78102.0,74202.0,69177.0,68188.0,65663.0
경상남도 - 전문대＜br＞(B),Statistics,38672.0,37733.0,36990.0,38876.0,39243.0,38228.0,37176.0,36125.0,34000.0,32751.0,31578.0,30527.0,28107.0,26352.0,24320.0,22646.0,21225.0
경상북도 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,232864.0,232813.0,234786.0,238438.0,235751.0,226828.0,223541.0,218978.0,211544.0,203602.0,195774.0,189481.0,186264.0,178369.0,171561.0,165256.0,162508.0
경상북도 - 산업대＜br＞(D),Statistics,15265.0,13458.0,12307.0,11589.0,6495.0,4976.0,3280.0,1831.0,940.0,330.0,,,,,,,
경상북도 - 일반대＜br＞(A),Statistics,159512.0,161969.0,165975.0,169945.0,175172.0,170603.0,170723.0,169540.0,164760.0,159290.0,154544.0,149853.0,147688.0,141641.0,136335.0,131644.0,129161.0
경상북도 - 전문대＜br＞(B),Statistics,58087.0,57386.0,56504.0,56904.0,54084.0,51249.0,49538.0,47607.0,45844.0,43982.0,41230.0,39628.0,38576.0,36728.0,35226.0,33612.0,33347.0
경주시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,28304.0,27464.0,26291.0,26054.0,24905.0,23521.0,22128.0,21317.0,20114.0,19325.0,18395.0,17364.0,16896.0,15762.0,15117.0,14441.0,13594.0
경주시 - 일반대＜br＞(A),Statistics,24619.0,24327.0,23657.0,23637.0,22981.0,21966.0,20748.0,20047.0,18957.0,18274.0,17447.0,16505.0,16143.0,15053.0,14438.0,13761.0,13130.0
경주시 - 전문대＜br＞(B),Statistics,3685.0,3137.0,2634.0,2417.0,1924.0,1555.0,1380.0,1270.0,1157.0,1051.0,948.0,859.0,753.0,709.0,679.0,680.0,464.0
계양구 - 교육대＜br＞(C),Statistics,2135.0,1943.0,1775.0,1990.0,1491.0,1061.0,655.0,1300.0,1332.0,1334.0,1330.0,1330.0,1313.0,1322.0,1313.0,1283.0,1262.0
계양구 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,6597.0,6383.0,6281.0,6620.0,6166.0,5873.0,5838.0,6609.0,6532.0,6428.0,6373.0,6362.0,6408.0,6265.0,5861.0,5470.0,5138.0
계양구 - 전문대＜br＞(B),Statistics,4462.0,4440.0,4506.0,4630.0,4675.0,4812.0,5183.0,5309.0,5200.0,5094.0,5043.0,5032.0,5095.0,4943.0,4548.0,4187.0,3876.0
고령군 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,152.0,149.0,76.0,51.0,44.0,17.0,7.0,3.0,,,,,,,,,
고령군 - 일반대＜br＞(A),Statistics,152.0,149.0,76.0,51.0,44.0,17.0,7.0,3.0,,,,,,,,,
고성군 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,4565.0,4408.0,4652.0,4987.0,4902.0,4981.0,5171.0,5140.0,5450.0,4831.0,3882.0,2907.0,1938.0,1155.0,810.0,866.0,1006.0
고성군 - 일반대＜br＞(A),Statistics,4565.0,4408.0,4652.0,4987.0,4902.0,4981.0,5171.0,5140.0,5450.0,4831.0,3882.0,2907.0,1938.0,1155.0,810.0,866.0,1006.0
고양시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,7066.0,7081.0,7061.0,7093.0,7080.0,7044.0,7077.0,6761.0,6726.0,6617.0,6388.0,6335.0,6337.0,6244.0,6406.0,12859.0,13036.0
고양시 - 일반대＜br＞(A),Statistics,6561.0,6603.0,6629.0,6546.0,6514.0,6465.0,6500.0,6180.0,6115.0,6061.0,5866.0,5824.0,5796.0,5729.0,5917.0,12388.0,12541.0
고양시 - 전문대＜br＞(B),Statistics,505.0,478.0,432.0,547.0,566.0,579.0,577.0,581.0,611.0,556.0,522.0,511.0,541.0,515.0,489.0,471.0,495.0
곡성군 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,4145.0,4383.0,4801.0,4926.0,5208.0,5209.0,5163.0,5064.0,5033.0,4755.0,4725.0,4612.0,4357.0,4035.0,3777.0,3612.0,3374.0
곡성군 - 전문대＜br＞(B),Statistics,4145.0,4383.0,4801.0,4926.0,5208.0,5209.0,5163.0,5064.0,5033.0,4755.0,4725.0,4612.0,4357.0,4035.0,3777.0,3612.0,3374.0
공주시 - 교육대＜br＞(C),Statistics,2261.0,2173.0,2088.0,1997.0,1871.0,1739.0,1664.0,1570.0,1555.0,1548.0,1522.0,1517.0,1490.0,1493.0,1434.0,1419.0,1422.0
공주시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,26717.0,26851.0,26675.0,27024.0,26834.0,21133.0,21018.0,20791.0,20295.0,19758.0,19212.0,18812.0,18415.0,17971.0,17596.0,9420.0,9470.0
공주시 - 일반대＜br＞(A),Statistics,19084.0,19068.0,19086.0,19333.0,19523.0,19394.0,19354.0,19221.0,18740.0,18210.0,17690.0,17295.0,16925.0,16478.0,16162.0,8001.0,8048.0
공주시 - 전문대＜br＞(B),Statistics,5372.0,5610.0,5501.0,5694.0,5440.0,,,,,,,,,,,,
관악구 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,22792.0,22087.0,21776.0,21441.0,21363.0,21370.0,21200.0,21068.0,21032.0,21004.0,21220.0,21279.0,21404.0,21333.0,21286.0,20507.0,20743.0
관악구 - 일반대＜br＞(A),Statistics,22792.0,22087.0,21776.0,21441.0,21363.0,21370.0,21200.0,21068.0,21032.0,21004.0,21220.0,21279.0,21404.0,21333.0,21286.0,20507.0,20743.0
광산구 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,21560.0,22116.0,22878.0,23341.0,24094.0,24308.0,24094.0,23913.0,23413.0,22717.0,22253.0,21842.0,22014.0,21580.0,21189.0,20082.0,19350.0
광산구 - 일반대＜br＞(A),Statistics,16118.0,16727.0,17463.0,18021.0,18608.0,18852.0,18640.0,18537.0,18233.0,17718.0,17365.0,16967.0,17184.0,16829.0,16517.0,15518.0,14859.0
