item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강화군 - 생활계폐기물 총발생량＜br＞(B),Statistics,31.3,39.7,40.7,38.6,49.8,42.7,46.6,55.7,52.4,66.1,61.5,79.4,45.7,29.9,45.8,50.5,49.1,96.2,130.2,86.5,79.6,51.4,100.8
강화군 - 총재활용량＜br＞(A),Statistics,16.7,23.9,25.6,24.4,37.8,19.9,22.0,38.8,32.6,43.2,40.3,57.2,24.8,12.7,21.3,25.7,22.5,69.9,88.1,36.2,32.9,29.9,41.6
거제시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,50.3,36.0,42.5,52.3,53.6,45.8,59.5,57.6,52.3,53.7,51.0,54.4,51.6,52.1,55.1,65.7,66.6,59.0,49.9,37.1,30.2,18.4,21.7
거제시 - 생활계폐기물 총발생량＜br＞(B),Statistics,150.3,193.1,234.3,249.7,284.9,276.2,321.6,299.0,306.6,286.9,280.2,235.5,195.2,250.2,264.8,350.4,369.1,352.7,355.0,378.9,268.4,261.0,259.5
거제시 - 총재활용량＜br＞(A),Statistics,75.6,69.6,99.5,130.5,152.7,126.4,191.3,172.3,160.4,154.2,142.8,128.1,100.8,130.3,146.0,230.3,246.0,208.2,177.2,140.5,81.0,48.0,56.4
거창군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,41.7,37.7,40.0,41.3,42.8,39.9,32.4,30.6,27.7,29.1,28.2,51.3,50.6,43.7,46.0,54.5,56.6,52.1,55.3,51.9,38.6,36.3,94.2
거창군 - 생활계폐기물 총발생량＜br＞(B),Statistics,44.6,49.6,45.7,47.5,46.3,46.9,53.7,51.6,50.1,50.5,56.4,79.4,79.5,69.5,78.9,83.3,76.3,70.3,97.3,100.6,79.5,83.2,81.7
거창군 - 총재활용량＜br＞(A),Statistics,18.6,18.7,18.3,19.6,19.8,18.7,17.4,15.8,13.9,14.7,15.9,40.7,40.2,30.4,36.3,45.4,43.2,36.6,53.8,52.2,30.7,30.2,77.0
경기 여주군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,59.4,55.9,57.0,61.6,61.6,65.2,64.9,75.9,75.7,85.6,89.1,79.6,,,,,,,,,,,
경기 여주군 - 생활계폐기물 총발생량＜br＞(B),Statistics,84.0,92.3,85.2,78.1,78.6,69.8,78.4,109.7,116.8,219.5,322.7,132.1,,,,,,,,,,,
경기 여주군 - 총재활용량＜br＞(A),Statistics,49.9,51.6,48.6,48.1,48.4,45.5,50.9,83.3,88.4,188.0,287.4,105.1,,,,,,,,,,,
경기도 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,44.2,47.3,48.6,52.5,57.9,58.0,57.9,61.7,62.0,61.9,60.3,61.3,58.3,57.5,58.9,59.1,61.0,60.7,59.3,58.8,61.3,63.8,60.7
경기도 - 생활계폐기물 총발생량＜br＞(B),Statistics,8742.9,9069.0,9354.5,9167.1,9286.7,9166.3,9790.0,10195.6,10213.6,10362.4,10798.2,10428.2,9919.2,10452.1,11467.1,12069.5,11605.3,12406.1,13196.9,15212.8,14992.6,15647.6,15325.3
경기도 - 총재활용량＜br＞(A),Statistics,3867.8,4294.1,4549.4,4812.3,5374.7,5317.6,5670.8,6289.4,6334.8,6411.6,6507.8,6389.5,5780.5,6012.8,6752.5,7133.1,7075.6,7530.7,7827.5,8949.2,9194.4,9981.3,9307.2
경남 마산시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,28.9,32.2,31.6,34.4,48.4,51.1,51.0,55.5,54.1,,,,,,,,,,,,,,
경남 마산시 - 생활계폐기물 총발생량＜br＞(B),Statistics,439.0,442.0,445.0,439.0,446.0,500.7,487.4,432.6,421.9,,,,,,,,,,,,,,
경남 마산시 - 총재활용량＜br＞(A),Statistics,127.0,142.5,140.4,151.1,215.8,255.7,248.4,240.1,228.2,,,,,,,,,,,,,,
경남 진해시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,44.2,50.3,43.4,50.5,53.4,52.5,54.1,62.9,61.8,,,,,,,,,,,,,,
경남 진해시 - 생활계폐기물 총발생량＜br＞(B),Statistics,128.4,129.3,130.0,133.8,135.8,151.9,180.9,178.8,183.5,,,,,,,,,,,,,,
경남 진해시 - 총재활용량＜br＞(A),Statistics,56.7,65.1,56.4,67.6,72.5,79.8,97.9,112.5,113.4,,,,,,,,,,,,,,
경남 창원시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,32.6,35.0,34.1,31.5,35.6,42.5,43.8,48.7,46.4,,,,,,,,,,,,,,
경남 창원시 - 생활계폐기물 총발생량＜br＞(B),Statistics,501.7,638.6,556.6,490.5,497.8,514.4,535.4,457.9,532.0,,,,,,,,,,,,,,
경남 창원시 - 총재활용량＜br＞(A),Statistics,163.8,223.4,189.7,154.7,177.2,218.7,234.5,222.9,247.1,,,,,,,,,,,,,,
경산시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,47.9,52.6,53.2,57.5,58.6,64.1,55.0,58.2,56.9,55.7,57.9,47.9,43.4,43.6,52.2,53.1,51.8,51.2,44.0,45.5,47.1,49.0,49.4
경산시 - 생활계폐기물 총발생량＜br＞(B),Statistics,188.8,193.3,196.9,195.9,190.8,176.7,250.4,200.2,201.9,202.6,187.7,170.3,172.0,181.8,218.9,235.5,239.0,268.8,256.1,321.8,283.2,303.1,303.2
경산시 - 총재활용량＜br＞(A),Statistics,90.5,101.6,104.8,112.6,111.9,113.2,137.8,116.6,114.9,112.9,108.7,81.6,74.6,79.2,114.3,125.1,123.7,137.7,112.8,146.4,133.3,148.4,149.9
경상남도 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,39.8,38.8,38.8,42.6,48.8,47.2,52.3,52.9,51.9,51.9,50.8,51.2,51.8,52.9,52.1,54.7,55.7,57.3,59.5,51.5,48.6,55.0,50.2
경상남도 - 생활계폐기물 총발생량＜br＞(B),Statistics,2691.2,3002.0,3010.3,2969.6,3043.1,3170.5,3336.4,3179.8,3300.8,3270.0,3274.6,3453.6,3176.2,3452.5,3496.4,3951.4,4003.9,3937.3,4471.8,4609.8,4683.6,4263.6,4142.2
경상남도 - 총재활용량＜br＞(A),Statistics,1070.9,1163.7,1168.2,1264.3,1485.9,1498.0,1744.0,1681.8,1712.8,1697.2,1664.2,1767.9,1644.6,1826.4,1822.7,2161.6,2229.7,2258.0,2661.2,2376.3,2274.7,2346.3,2080.9
경상북도 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,36.0,39.0,37.5,42.1,48.2,50.0,51.4,51.6,52.6,51.2,48.8,45.5,50.0,49.2,45.7,44.1,48.1,49.2,50.1,44.3,49.5,50.5,55.7
경상북도 - 생활계폐기물 총발생량＜br＞(B),Statistics,2134.0,2231.7,2340.0,2436.3,2430.0,2427.4,2676.7,2641.9,2673.5,2679.1,2594.2,2623.2,2804.4,2795.3,2805.0,2885.4,3163.5,3246.2,3569.4,3704.3,4023.3,3755.3,3660.7
경상북도 - 총재활용량＜br＞(A),Statistics,768.3,870.1,877.8,1026.0,1170.2,1214.7,1375.4,1363.8,1405.2,1370.5,1267.1,1192.8,1401.3,1375.0,1282.2,1273.7,1521.3,1597.7,1787.0,1641.8,1989.7,1896.6,2040.6
경주시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,27.3,26.3,24.5,39.0,39.0,51.3,53.7,51.6,52.3,54.3,52.9,52.7,50.5,55.3,57.3,58.7,64.5,55.5,49.8,30.5,58.1,42.4,46.1
경주시 - 생활계폐기물 총발생량＜br＞(B),Statistics,221.3,248.2,260.6,260.1,262.0,231.0,257.8,300.8,290.1,272.9,268.8,277.4,272.4,269.3,287.3,300.7,410.6,582.0,378.6,282.8,635.9,521.3,399.8
경주시 - 총재활용량＜br＞(A),Statistics,60.4,65.2,63.9,101.4,102.2,118.6,138.5,155.1,151.6,148.3,142.2,146.1,137.5,149.0,164.5,176.4,265.0,322.8,188.4,86.3,369.7,220.8,184.5
계룡시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,,,17.4,38.2,42.4,49.2,56.8,60.3,57.1,56.4,71.6,52.2,50.3,59.1,48.6,53.2,57.0,55.8,59.8,52.8,39.3,52.1,42.9
계룡시 - 생활계폐기물 총발생량＜br＞(B),Statistics,,,25.8,26.7,25.5,31.9,41.2,40.6,37.8,35.1,86.2,56.5,47.7,64.0,41.8,44.7,45.3,42.8,46.3,37.9,40.7,52.8,46.9
계룡시 - 총재활용량＜br＞(A),Statistics,,,4.5,10.2,10.8,15.7,23.4,24.5,21.6,19.8,61.7,29.5,24.0,37.8,20.3,23.8,25.8,23.9,27.7,20.0,16.0,27.5,20.1
