item,category,2009,2011,2013,2015,2017,2019,2021,2023
경상북도 - 계 - 많이 좋아짐,Statistics,4.2,3.1,4.0,5.0,3.8,6.9,3.878,5.357
경상북도 - 계 - 변화없음,Statistics,40.0,41.0,43.7,39.4,44.6,44.8,51.562,48.02
경상북도 - 계 - 약간 나빠짐,Statistics,22.5,17.7,16.8,7.8,7.5,7.2,20.784,5.273
경상북도 - 계 - 약간 좋아짐,Statistics,26.8,33.0,32.0,46.2,42.2,39.5,18.867,39.852
경상북도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 남자 - 많이 나빠짐,Statistics,6.8,5.1,4.3,1.4,2.5,2.4,5.889,2.06
경상북도 - 남자 - 많이 좋아짐,Statistics,4.3,3.4,3.1,4.6,2.8,5.6,4.516,5.784
경상북도 - 남자 - 변화없음,Statistics,39.8,40.1,43.9,40.2,44.7,46.0,50.2,47.563
경상북도 - 남자 - 약간 나빠짐,Statistics,21.7,19.5,16.9,8.0,8.4,8.7,21.305,4.839
경상북도 - 남자 - 약간 좋아짐,Statistics,27.4,31.9,31.8,45.8,41.6,37.3,18.09,39.754
경상북도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 여자 - 많이 나빠짐,Statistics,6.4,5.4,2.6,1.7,1.2,0.9,3.926,0.92
경상북도 - 여자 - 많이 좋아짐,Statistics,4.1,2.8,4.8,5.3,4.8,8.1,3.239,4.92
경상북도 - 여자 - 변화없음,Statistics,40.1,41.8,43.6,38.8,44.5,43.5,52.927,48.489
경상북도 - 여자 - 약간 나빠짐,Statistics,23.3,16.0,16.7,7.7,6.6,5.8,20.262,5.718
경상북도 - 여자 - 약간 좋아짐,Statistics,26.1,34.0,32.3,46.7,42.8,41.6,19.646,39.953
광주광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 계 - 많이 나빠짐,Statistics,7.0,5.4,2.8,2.1,1.1,0.6,4.336,2.085
광주광역시 - 계 - 많이 좋아짐,Statistics,2.9,4.1,4.0,5.5,5.6,5.9,9.972,7.558
광주광역시 - 계 - 변화없음,Statistics,45.4,44.1,49.6,48.6,41.9,37.9,37.135,47.162
광주광역시 - 계 - 약간 나빠짐,Statistics,22.3,17.6,10.8,7.5,4.0,2.4,17.393,9.476
광주광역시 - 계 - 약간 좋아짐,Statistics,22.3,28.9,32.8,36.3,47.4,53.2,31.164,33.719
광주광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 남자 - 많이 나빠짐,Statistics,8.3,5.8,3.2,2.3,0.9,0.6,5.127,2.714
광주광역시 - 남자 - 많이 좋아짐,Statistics,2.6,3.5,3.6,5.3,4.9,5.2,9.353,8.731
광주광역시 - 남자 - 변화없음,Statistics,45.8,43.5,49.7,49.3,42.7,39.3,37.925,47.358
광주광역시 - 남자 - 약간 나빠짐,Statistics,21.9,17.7,10.5,7.7,4.9,2.6,16.843,10.054
광주광역시 - 남자 - 약간 좋아짐,Statistics,21.5,29.4,33.0,35.4,46.7,52.3,30.752,31.143
광주광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 여자 - 많이 나빠짐,Statistics,5.9,5.0,2.4,1.9,1.2,0.6,3.595,1.485
광주광역시 - 여자 - 많이 좋아짐,Statistics,3.2,4.6,4.4,5.7,6.4,6.4,10.552,6.438
광주광역시 - 여자 - 변화없음,Statistics,45.1,44.6,49.4,47.9,41.1,36.6,36.395,46.976
광주광역시 - 여자 - 약간 나빠짐,Statistics,22.7,17.5,11.1,7.4,3.0,2.2,17.908,8.925
광주광역시 - 여자 - 약간 좋아짐,Statistics,23.1,28.3,32.6,37.1,48.2,54.1,31.55,36.176
대구광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 계 - 많이 나빠짐,Statistics,7.6,3.7,1.8,2.1,1.8,1.4,3.787,2.281
대구광역시 - 계 - 많이 좋아짐,Statistics,3.6,2.7,3.7,5.8,4.9,9.8,6.311,7.933
대구광역시 - 계 - 변화없음,Statistics,39.8,45.0,50.4,44.4,41.6,39.7,47.115,47.404
대구광역시 - 계 - 약간 나빠짐,Statistics,18.8,17.0,10.8,10.0,7.5,6.8,15.114,4.86
대구광역시 - 계 - 약간 좋아짐,Statistics,30.1,31.6,33.3,37.6,44.2,42.2,27.674,37.522
대구광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 남자 - 많이 나빠짐,Statistics,7.6,4.9,1.9,3.1,1.7,1.9,4.113,2.234
대구광역시 - 남자 - 많이 좋아짐,Statistics,3.5,2.0,3.1,5.7,5.6,10.3,5.963,8.209
대구광역시 - 남자 - 변화없음,Statistics,40.2,45.8,50.6,44.3,43.7,42.2,48.412,49.197
대구광역시 - 남자 - 약간 나빠짐,Statistics,18.7,17.8,11.8,11.3,7.9,7.1,15.433,5.139
대구광역시 - 남자 - 약간 좋아짐,Statistics,30.1,29.5,32.6,35.7,41.1,38.5,26.079,35.222
대구광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 여자 - 많이 나빠짐,Statistics,7.6,2.6,1.7,1.2,1.8,1.0,3.474,2.325
대구광역시 - 여자 - 많이 좋아짐,Statistics,3.7,3.2,4.2,5.8,4.2,9.4,6.644,7.675
대구광역시 - 여자 - 변화없음,Statistics,39.5,44.2,50.2,44.6,39.6,37.5,45.872,45.723
대구광역시 - 여자 - 약간 나빠짐,Statistics,19.0,16.3,9.9,8.8,7.2,6.5,14.808,4.598
대구광역시 - 여자 - 약간 좋아짐,Statistics,30.2,33.6,33.9,39.5,47.1,45.7,29.202,39.679
대전광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 계 - 많이 나빠짐,Statistics,7.7,9.7,5.8,3.3,2.8,2.4,5.238,2.217
대전광역시 - 계 - 많이 좋아짐,Statistics,5.1,5.3,5.1,5.5,6.0,6.0,6.954,10.277
대전광역시 - 계 - 변화없음,Statistics,40.2,38.4,41.6,45.8,40.6,42.9,41.848,44.892
대전광역시 - 계 - 약간 나빠짐,Statistics,17.7,21.9,21.1,11.9,11.9,8.4,19.744,11.285
대전광역시 - 계 - 약간 좋아짐,Statistics,29.2,24.7,26.4,33.5,38.7,40.3,26.217,31.329
대전광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 남자 - 많이 나빠짐,Statistics,8.2,9.8,6.0,4.0,2.7,2.0,5.883,2.715
대전광역시 - 남자 - 많이 좋아짐,Statistics,4.8,5.6,5.5,5.1,5.4,7.1,6.891,9.618
대전광역시 - 남자 - 변화없음,Statistics,40.7,38.9,41.9,43.6,39.4,44.2,43.566,45.326
대전광역시 - 남자 - 약간 나빠짐,Statistics,16.8,21.2,20.9,12.5,11.8,8.7,19.634,11.576
대전광역시 - 남자 - 약간 좋아짐,Statistics,29.5,24.5,25.6,34.8,40.7,38.1,24.027,30.764
대전광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 여자 - 많이 나빠짐,Statistics,7.2,9.7,5.6,2.7,3.0,2.8,4.595,1.719
대전광역시 - 여자 - 많이 좋아짐,Statistics,5.4,5.0,4.7,5.8,6.6,4.9,7.018,10.936
대전광역시 - 여자 - 변화없음,Statistics,39.8,37.9,41.3,47.9,41.7,41.7,40.134,44.458
대전광역시 - 여자 - 약간 나빠짐,Statistics,18.6,22.5,21.3,11.4,12.0,8.1,19.853,10.994
대전광역시 - 여자 - 약간 좋아짐,Statistics,29.0,24.9,27.1,32.2,36.8,42.5,28.4,31.893
부산광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산광역시 - 계 - 많이 나빠짐,Statistics,8.8,9.7,5.0,2.7,1.9,2.3,2.945,1.664
부산광역시 - 계 - 많이 좋아짐,Statistics,3.6,3.4,4.3,7.2,3.3,5.7,7.648,9.546
부산광역시 - 계 - 변화없음,Statistics,43.2,38.6,43.8,46.7,45.9,38.7,35.558,48.805
부산광역시 - 계 - 약간 나빠짐,Statistics,17.9,23.1,16.1,9.5,6.6,5.4,15.606,8.466
부산광역시 - 계 - 약간 좋아짐,Statistics,26.6,25.3,30.8,33.9,42.3,47.9,38.243,31.52
부산광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산광역시 - 남자 - 많이 나빠짐,Statistics,9.7,11.6,5.5,3.4,1.9,2.7,3.284,1.762
부산광역시 - 남자 - 많이 좋아짐,Statistics,3.2,2.8,3.9,7.3,3.1,5.3,7.072,8.115
부산광역시 - 남자 - 변화없음,Statistics,41.4,39.1,44.3,48.0,48.5,40.6,37.314,52.008
부산광역시 - 남자 - 약간 나빠짐,Statistics,18.3,22.4,16.3,10.4,7.1,6.8,15.566,8.843
부산광역시 - 남자 - 약간 좋아짐,Statistics,27.3,24.1,30.0,30.9,39.3,44.6,36.764,29.271
부산광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산광역시 - 여자 - 많이 나빠짐,Statistics,7.9,7.9,4.5,2.0,1.9,2.1,2.629,1.572
부산광역시 - 여자 - 많이 좋아짐,Statistics,4.0,3.9,4.7,7.2,3.4,6.0,8.186,10.878
부산광역시 - 여자 - 변화없음,Statistics,44.8,38.1,43.3,45.5,43.5,37.0,33.919,45.822
부산광역시 - 여자 - 약간 나빠짐,Statistics,17.4,23.7,16.0,8.7,6.2,4.1,15.644,8.115
부산광역시 - 여자 - 약간 좋아짐,Statistics,25.9,26.3,31.5,36.6,45.0,50.9,39.623,33.613
서울특별시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울특별시 - 계 - 많이 나빠짐,Statistics,7.2,8.9,6.8,4.6,3.9,2.7,6.322,2.602
서울특별시 - 계 - 많이 좋아짐,Statistics,5.3,3.8,5.0,5.7,3.7,6.3,8.049,6.133
서울특별시 - 계 - 변화없음,Statistics,41.7,39.3,45.4,44.9,47.0,42.1,45.269,49.202
서울특별시 - 계 - 약간 나빠짐,Statistics,15.8,22.2,17.4,14.7,14.3,8.3,20.291,10.864
서울특별시 - 계 - 약간 좋아짐,Statistics,29.9,25.7,25.3,30.0,31.1,40.6,20.069,31.199
서울특별시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울특별시 - 남자 - 많이 나빠짐,Statistics,7.8,9.3,7.5,5.4,4.4,3.2,6.933,3.155
서울특별시 - 남자 - 많이 좋아짐,Statistics,5.1,3.2,4.9,5.9,3.1,5.9,8.226,5.99
서울특별시 - 남자 - 변화없음,Statistics,41.7,39.9,45.5,43.8,45.7,43.0,47.128,49.595
서울특별시 - 남자 - 약간 나빠짐,Statistics,15.9,22.3,17.3,16.2,15.2,7.8,17.699,11.621
서울특별시 - 남자 - 약간 좋아짐,Statistics,29.5,25.3,24.8,28.7,31.6,40.1,20.014,29.64
서울특별시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울특별시 - 여자 - 많이 나빠짐,Statistics,6.8,8.5,6.2,3.9,3.6,2.3,5.766,2.103
서울특별시 - 여자 - 많이 좋아짐,Statistics,5.5,4.4,5.2,5.6,4.2,6.7,7.888,6.262
서울특별시 - 여자 - 변화없음,Statistics,41.7,38.8,45.3,46.0,48.2,41.3,43.578,48.847
서울특별시 - 여자 - 약간 나빠짐,Statistics,15.7,22.2,17.5,13.4,13.5,8.7,22.65,10.181
서울특별시 - 여자 - 약간 좋아짐,Statistics,30.3,26.1,25.8,31.2,30.5,41.0,20.119,32.607
세종특별자치시 - 계 - 계,Statistics,,,,100.0,100.0,100.0,100.0,100.0
세종특별자치시 - 계 - 많이 나빠짐,Statistics,,,,3.4,2.0,2.3,4.817,3.925
세종특별자치시 - 계 - 많이 좋아짐,Statistics,,,,5.8,8.3,7.4,7.781,8.213
세종특별자치시 - 계 - 변화없음,Statistics,,,,43.2,42.1,36.9,37.862,40.305
세종특별자치시 - 계 - 약간 나빠짐,Statistics,,,,9.2,10.5,7.0,22.88,12.812
세종특별자치시 - 계 - 약간 좋아짐,Statistics,,,,38.3,37.1,46.4,26.661,34.745
세종특별자치시 - 남자 - 계,Statistics,,,,100.0,100.0,100.0,100.0,100.0
세종특별자치시 - 남자 - 많이 나빠짐,Statistics,,,,3.6,1.9,3.2,6.002,3.898
세종특별자치시 - 남자 - 많이 좋아짐,Statistics,,,,5.0,8.5,7.2,7.196,8.381
세종특별자치시 - 남자 - 변화없음,Statistics,,,,43.5,44.3,37.6,40.855,40.406
세종특별자치시 - 남자 - 약간 나빠짐,Statistics,,,,10.0,12.0,7.7,19.223,13.336
세종특별자치시 - 남자 - 약간 좋아짐,Statistics,,,,37.9,33.4,44.4,26.724,33.979
세종특별자치시 - 여자 - 계,Statistics,,,,100.0,100.0,100.0,100.0,100.0
세종특별자치시 - 여자 - 많이 나빠짐,Statistics,,,,3.2,2.1,1.4,3.616,3.953
세종특별자치시 - 여자 - 많이 좋아짐,Statistics,,,,6.8,8.1,7.6,8.375,8.041
세종특별자치시 - 여자 - 변화없음,Statistics,,,,43.0,40.0,36.3,34.829,40.202
세종특별자치시 - 여자 - 약간 나빠짐,Statistics,,,,8.4,9.2,6.4,26.584,12.274
세종특별자치시 - 여자 - 약간 좋아짐,Statistics,,,,38.6,40.6,48.4,26.597,35.53
울산광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산광역시 - 계 - 많이 나빠짐,Statistics,7.0,6.7,5.7,3.0,2.9,2.8,5.696,1.785
울산광역시 - 계 - 많이 좋아짐,Statistics,4.4,3.8,3.4,4.8,3.8,3.0,6.019,4.549
울산광역시 - 계 - 변화없음,Statistics,44.4,40.3,41.9,47.0,44.1,47.5,45.482,50.987
울산광역시 - 계 - 약간 나빠짐,Statistics,15.0,19.4,13.7,13.8,10.1,8.6,17.59,13.36
